kind,column,lwp,iwp,reliq,dgice,band,tau,ssa,g
lw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,0, 1.2309063188731670E+000, 2.2880562208592892E-001, 2.5788832455873489E-001
lw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,1, 2.3899875730276108E+000, 3.8056314736604691E-001, 6.0814217478036892E-001
lw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,2, 2.7727063894271851E+000, 3.9208924770355225E-001, 7.4083277583122253E-001
lw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,3, 2.6104031726717949E+000, 3.7761529907584190E-001, 7.9042648524045944E-001
lw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,4, 2.2707439363002777E+000, 3.5185701027512550E-001, 8.2971049845218658E-001
lw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,5, 1.7988996058702469E+000, 4.2909836024045944E-001, 8.8014547526836395E-001
lw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,6, 2.3723473772406578E+000, 6.8794656544923782E-001, 8.8687650859355927E-001
lw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,7, 2.9697741419076920E+000, 7.6215893030166626E-001, 8.8387870043516159E-001
lw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,8, 3.4917170405387878E+000, 7.8786206245422363E-001, 8.7748290598392498E-001
lw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,9, 3.7011513859033585E+000, 7.7891080081462871E-001, 8.7164349108934414E-001
lw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,10, 3.5402152687311172E+000, 7.1402005851268779E-001, 8.8669591397047032E-001
lw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,11, 3.6896644234657288E+000, 8.7450476735830307E-001, 8.4079372882843018E-001
lw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,12, 3.4764326065778732E+000, 8.2926475256681442E-001, 8.2713787257671356E-001
lw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,13, 3.3684124946594238E+000, 8.7242806702852249E-001, 8.0412970483303059E-001
