kind,column,lwp,iwp,reliq,dgice,band,tau,ssa,g
sw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,0, 3.2525820136070251E+000, 7.9680016636848450E-001, 8.4303381294012070E-001
sw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,1, 3.0443249791860580E+000, 6.8940474092960369E-001, 8.2832208275794983E-001
sw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,2, 2.9862568080425262E+000, 6.8200062960386265E-001, 9.0259223431348801E-001
sw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,3, 2.9526616930961609E+000, 9.7667811810970306E-001, 8.1805639714002609E-001
sw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,4, 2.9071124196052551E+000, 9.6509069204330444E-001, 8.2216041535139084E-001
sw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,5, 2.8651196882128716E+000, 9.8495092988014232E-001, 8.2582478970289230E-001
sw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,6, 2.8256555870175362E+000, 9.9086892604827881E-001, 8.3219961822032928E-001
sw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,7, 2.8011696115136147E+000, 9.9918441474437714E-001, 8.3434947580099106E-001
sw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,8, 2.7551641836762428E+000, 9.9977121502161026E-001, 8.4340073913335800E-001
sw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,9, 2.7100042998790741E+000, 9.9999313056468964E-001, 8.5171336680650711E-001
sw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,10, 2.6785881891846657E+000, 1.0000000000000000E+000, 8.5736968368291855E-001
sw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,11, 2.6550646349787712E+000, 1.0000000000000000E+000, 8.6078410595655441E-001
sw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,12, 2.6340051591396332E+000, 9.9999561160802830E-001, 8.6217871308326732E-001
sw,0, 1.2000000000000000E+001, 0.0000000000000000E+000, 7.1250000000000000E+000, 5.0000000000000000E+001,13, 2.6177037656307220E+000, 9.9997863173484802E-001, 8.5674380511045445E-001
sw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,0, 4.7149864165112376E-001, 5.8100537955760956E-001, 9.4678924977779388E-001
sw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,1, 4.7453840728849173E-001, 5.6806761026382446E-001, 9.3345499038696289E-001
sw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,2, 4.5705302804708481E-001, 7.0568650960922241E-001, 9.1126511991024017E-001
sw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,3, 4.7017813334241509E-001, 9.4284439086914062E-001, 8.1340219080448151E-001
sw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,4, 4.7057936014607549E-001, 8.4183081984519958E-001, 8.4179729223251343E-001
sw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,5, 4.7332816431298852E-001, 9.5506310462951660E-001, 7.8611549735069275E-001
sw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,6, 4.7215570555999875E-001, 9.5303617417812347E-001, 7.8073747456073761E-001
sw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,7, 4.7171412175521255E-001, 9.9601140618324280E-001, 7.6075221598148346E-001
sw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,8, 4.6959379594773054E-001, 9.9937787652015697E-001, 7.5639553368091583E-001
sw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,9, 4.6743843285366893E-001, 9.9999581277370453E-001, 7.5317147374153137E-001
sw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,10, 4.6531789330765605E-001, 1.0000000000000000E+000, 7.4995748698711395E-001
sw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,11, 4.6410077903419733E-001, 1.0000000000000000E+000, 7.4471902847290039E-001
sw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,12, 4.6397145139053464E-001, 1.0000000000000000E+000, 7.3640482127666473E-001
sw,1, 0.0000000000000000E+000, 8.5000000000000000E+000, 1.0000000000000000E+001, 5.7500000000000000E+001,13, 4.6102831931784749E-001, 1.0000000000000000E+000, 7.2095173597335827E-001
sw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,0, 7.0021641702624038E-001, 6.5309418774989880E-001, 8.9767401730482954E-001
sw,2, 4.2500000000000000E+000, 6.7500000000000000E+000, 1.4375000000000000E+001, 1.2375000000000000E+002,1, 6.6899161884794012E-001, 6.1543722429152381E-001, 9.0799638009980999E-001
