case,idx,arm,k,qes,he,hes,qeso,heo,heso,qes_cup,q_cup,he_cup,hes_cup,gamma_cup1,t_cup,qeso_cup,qo_cup,heo_cup,heso_cup,zo_cup,po_cup,gammao_cup,tn_cup,u_cup,v_cup,entr2d_a,zu_pdf,cd,entr2d_b,upme,upmd,upmeu,upmdu,hc,uc,vc,hco,dby,dbyo,dbyt,cdd,ddme,ddmd,ddmeu,ddmdu,mentrd2d,hcdo,ucd,vcd,dbydo,c1d,qcdo,qrcdo,pwdo,qco,qrco,pwo,clw_all,dellu,dellv,dellah,dellaq,dellaqc,dellat,xhe,xq,xt,xqes,xhes,xqes_cup,xq_cup,xhe_cup,xhes_cup,gamma_cupx,xt_cup,xhc,xdby,outt_o,outq_o,outqc_o,outt_ke,outu_f,outv_f,dtempdz
1,1,0,1, 2.2243667393922806E-002, 3.5138928125000000E+005, 3.5703859375000000E+005, 2.2247323766350746E-002, 3.5139653125000000E+005, 3.5705050000000000E+005, 2.2243667393922806E-002, 1.9983936101198196E-002, 3.5099687500000000E+005, 3.5664618750000000E+005, 3.3431999683380127E+000, 2.9973999023437500E+002, 2.2247323766350746E-002, 1.9985733553767204E-002, 3.5100412500000000E+005, 3.5665809375000000E+005, 1.0000000000000000E+001, 1.0118089599609375E+003, 3.3436889648437500E+000, 2.9974270629882812E+002, 5.0599999427795410E+000, 9.8400002717971802E-001, 1.5004744636826217E-004, 0.0000000000000000E+000, 9.9999997171806854E-010, 1.5004744636826217E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.5099687500000000E+005, 5.0599999427795410E+000, 9.8400002717971802E-001, 3.5100412500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1834318749606609E-002, 0.0000000000000000E+000, 8.5659109055995941E-002, 1.7131821811199188E-001, 2.5697731971740723E-001, 0.0000000000000000E+000, 3.3998315625000000E+005, 5.0143823623657227E+000, 9.9616479873657227E-001,-1.6674937500000000E+004, 0.0000000000000000E+000, 1.7112903296947479E-002, 1.7112903296947479E-002,-0.0000000000000000E+000, 1.9985733553767204E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.2047652136243414E-006,-1.6545931202927022E-006,-9.5766150951385498E-001,-2.3663287151975965E-007, 0.0000000000000000E+000,-3.6462084972299635E-004, 3.5139643750000000E+005, 1.9985709339380264E-002, 2.9974267578125000E+002, 2.2247279062867165E-002, 3.5705034375000000E+005, 2.2247279062867165E-002, 1.9985709339380264E-002, 3.5100403125000000E+005, 3.5665793750000000E+005, 3.3436830043792725E+000, 2.9974267578125000E+002, 3.5100403125000000E+005, 0.0000000000000000E+000,-2.0090058683308598E-007,-1.3038115032060205E-010, 0.0000000000000000E+000,-2.0089485985863575E-007, 3.4187321862333420E-009,-9.1165586191266357E-010, 0.0000000000000000E+000
1,1,0,2, 2.1693475544452667E-002, 3.5020200000000000E+005, 3.5595543750000000E+005, 2.1697042509913445E-002, 3.5020918750000000E+005, 3.5596703125000000E+005, 2.1968571469187737E-002, 1.9688021391630173E-002, 3.5079562500000000E+005, 3.5649700000000000E+005, 3.3082354068756104E+000, 2.9945074462890625E+002, 2.1972183138132095E-002, 1.9689816981554031E-002, 3.5080287500000000E+005, 3.5650875000000000E+005, 9.4500000000000000E+001, 1.0023150024414062E+003, 3.3087198734283447E+000, 2.9945343017578125E+002, 5.1267499923706055E+000, 9.6619999408721924E-001, 1.5087623614817858E-004, 3.9852865040302277E-002, 9.9999997171806854E-010, 1.0700197890400887E-005, 4.1790488467086107E-005, 3.9055807476984228E-009, 4.1798299207584932E-005, 1.1716742243095268E-008, 3.5109234375000000E+005, 5.1267499923706055E+000, 9.6619999408721924E-001, 3.5109959375000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.6843433305621147E-003, 8.2191741093993187E-003, 1.4706635475158691E-001, 3.0235189199447632E-001, 4.4119906425476074E-001, 3.7357138353399932E-004, 3.3998315625000000E+005, 5.1968517303466797E+000, 9.4750630855560303E-001,-1.6525593750000000E+004, 0.0000000000000000E+000, 1.6896098852157593E-002, 1.6896098852157593E-002,-2.0595996829797514E-005, 1.9837774336338043E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.3953033026773483E-005,-2.2387455828720704E-005,-1.6652568578720093E+000,-4.8823568477018853E-007, 0.0000000000000000E+000,-4.4289612560532987E-004, 3.5020903125000000E+005, 1.9393850117921829E-002, 2.9916415405273438E+002, 2.1697005257010460E-002, 3.5596690625000000E+005, 2.1972142159938812E-002, 1.9689779728651047E-002, 3.5080275000000000E+005, 3.5650862500000000E+005, 3.3087136745452881E+000, 2.9945343017578125E+002, 3.5109946875000000E+005, 0.0000000000000000E+000,-2.4402908138654311E-007,-2.6901050831362738E-010, 0.0000000000000000E+000,-2.4395168907176412E-007, 4.6256854346893306E-008,-1.2335150678666196E-008,-5.0752824172377586E-003
1,1,0,3, 2.1046832203865051E-002, 3.4882406250000000E+005, 3.5469021875000000E+005, 2.1050298586487770E-002, 3.4883118750000000E+005, 3.5470156250000000E+005, 2.1370153874158859E-002, 1.9046239554882050E-002, 3.4951303125000000E+005, 3.5532281250000000E+005, 3.2318549156188965E+000, 2.9881375122070312E+002, 2.1373670548200607E-002, 1.9048027694225311E-002, 3.4952018750000000E+005, 3.5533431250000000E+005, 1.9250000000000000E+002, 9.9138000488281250E+002, 3.2323286533355713E+000, 2.9881643676757812E+002, 5.2737503051757812E+000, 9.2700004577636719E-001, 1.5271923621185124E-004, 3.9894651621580124E-002, 9.9999997171806854E-010, 6.3864434196148068E-005, 2.9555053333751857E-004, 4.6277794929494576E-009, 2.9555978835560381E-004, 1.3883338922937583E-008, 3.5109140625000000E+005, 5.1268200874328613E+000, 9.6618133783340454E-001, 3.5109868750000000E+005,-4.2314062500000000E+003,-4.2356250000000000E+003,-4.9133250000000000E+005, 4.0822033770382404E-003, 1.7074130475521088E-002, 1.8657764792442322E-001, 3.9022943377494812E-001, 5.5973291397094727E-001, 3.7357138353399932E-004, 3.3940221875000000E+005, 5.4562315940856934E+000, 8.7833833694458008E-001,-1.5932093750000000E+004, 0.0000000000000000E+000, 1.6506584361195564E-002, 1.6506584361195564E-002,-6.5310239733662456E-005, 1.9837310537695885E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2992437405046076E-004,-3.4646476706257090E-005,-1.5004888772964478E+000,-3.8664717294523143E-007, 0.0000000000000000E+000,-5.3174397908151150E-004, 3.4883103125000000E+005, 1.8702117726206779E-002, 2.9846862792968750E+002, 2.1050227805972099E-002, 3.5470131250000000E+005, 2.1373616531491280E-002, 1.9047982990741730E-002, 3.4952003125000000E+005, 3.5533412500000000E+005, 3.2323212623596191E+000, 2.9881640625000000E+002, 3.5109853125000000E+005,-4.2355937500000000E+003,-2.9298291792656528E-007,-2.1303676878137168E-010, 0.0000000000000000E+000,-2.9286314884302556E-007, 7.1586370609111327E-008,-1.9089686276174689E-008,-6.4999591559171677E-003
1,1,0,4, 2.0311441272497177E-002, 3.4728096875000000E+005, 3.5326221875000000E+005, 2.0314788445830345E-002, 3.4728806250000000E+005, 3.5327325000000000E+005, 2.0679136738181114E-002, 1.8309652805328369E-002, 3.4805250000000000E+005, 3.5397621875000000E+005, 3.1431934833526611E+000, 2.9805975341796875E+002, 2.0682543516159058E-002, 1.8311437219381332E-002, 3.4805962500000000E+005, 3.5398740625000000E+005, 3.0850000000000000E+002, 9.7856103515625000E+002, 3.1436543464660645E+000, 2.9806243896484375E+002, 5.4477500915527344E+000, 8.8059997558593750E-001, 1.5489869110751897E-004, 4.0190197527408600E-002, 9.9999997171806854E-010, 1.6476570453960449E-004, 8.8734348537400365E-004, 5.3854862791524738E-009, 8.8735425379127264E-004, 1.6156459281546631E-008, 3.5107471875000000E+005, 5.1284909248352051E+000, 9.6573573350906372E-001, 3.5108203125000000E+005,-2.9015000000000000E+003,-2.9053750000000000E+003,-8.8065275000000000E+005, 2.7093845419585705E-003, 2.8709661215543747E-002, 2.0822128653526306E-001, 4.4515222311019897E-001, 6.2466382980346680E-001, 3.7357138353399932E-004, 3.3880275000000000E+005, 5.8057360649108887E+000, 7.8513717651367188E-001,-1.5184656250000000E+004, 0.0000000000000000E+000, 1.6074502840638161E-002, 1.6074502840638161E-002,-1.3584570842795074E-004, 1.9828964024782181E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9363756291568279E-004,-5.1636787247844040E-005,-1.1766195297241211E+000,-2.3872701149230124E-007, 0.0000000000000000E+000,-5.7749199913814664E-004, 3.4728793750000000E+005, 1.7920691519975662E-002, 2.9765609741210938E+002, 2.0314713940024376E-002, 3.5327300000000000E+005, 2.0682470872998238E-002, 1.8311403691768646E-002, 3.4805950000000000E+005, 3.5398715625000000E+005, 3.1436450481414795E+000, 2.9806237792968750E+002, 3.5108187500000000E+005,-2.9052812500000000E+003,-3.1818939305594540E-007,-1.3153499123230716E-010, 0.0000000000000000E+000,-3.1801087629901303E-007, 1.0669138106322862E-007,-2.8451092148884527E-008,-6.5000001341104507E-003
1,1,0,5, 1.9496098160743713E-002, 3.4560118750000000E+005, 3.5169350000000000E+005, 1.9499288871884346E-002, 3.4560825000000000E+005, 3.5170409375000000E+005, 1.9903769716620445E-002, 1.7489057034254074E-002, 3.4644106250000000E+005, 3.5247787500000000E+005, 3.0430982112884521E+000, 2.9718875122070312E+002, 1.9907038658857346E-002, 1.7490832135081291E-002, 3.4644815625000000E+005, 3.5248868750000000E+005, 4.4250000000000000E+002, 9.6391979980468750E+002, 3.0435435771942139E+000, 2.9719140625000000E+002, 5.6487503051757812E+000, 8.2700002193450928E-001, 1.5741343668196350E-004, 4.1077535599470139E-002, 9.9999997171806854E-010, 3.1194035545922816E-004, 1.9476886373013258E-003, 6.2437854886354671E-009, 1.9477010937407613E-003, 1.8731356021817192E-008, 3.5099278125000000E+005, 5.1374130249023438E+000, 9.6335667371749878E-001, 3.5100012500000000E+005,-1.4850937500000000E+003,-1.4885625000000000E+003,-1.1069142500000000E+006, 1.8666787073016167E-003, 4.2127002030611038E-002, 2.1050214767456055E-001, 4.6313130855560303E-001, 6.3150644302368164E-001, 3.7357138353399932E-004, 3.3816903125000000E+005, 6.2560796737670898E+000, 6.6504538059234619E-001,-1.4319656250000000E+004, 0.0000000000000000E+000, 1.5595721080899239E-002, 1.5595721080899239E-002,-2.2982427617534995E-004, 1.9787743687629700E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5870345416478813E-004,-6.8987719714641571E-005,-7.9716461896896362E-001,-8.1971222698484780E-008, 0.0000000000000000E+000,-5.8987707598134875E-004, 3.4560815625000000E+005, 1.7060941085219383E-002, 2.9672656250000000E+002, 1.9499184563755989E-002, 3.5170378125000000E+005, 1.9906949251890182E-002, 1.7490815371274948E-002, 3.4644806250000000E+005, 3.5248837500000000E+005, 3.0435316562652588E+000, 2.9719134521484375E+002, 3.5099993750000000E+005,-1.4884375000000000E+003,-3.2501338864676654E-007,-4.5164910006390002E-011, 0.0000000000000000E+000,-3.2477487366122659E-007, 1.4254170821459411E-007,-3.8011194192222320E-008,-6.5000308677554131E-003
1,1,0,6, 1.8610371276736259E-002, 3.4381543750000000E+005, 3.5000787500000000E+005, 1.8613392487168312E-002, 3.4382243750000000E+005, 3.5001803125000000E+005, 1.9053235650062561E-002, 1.6596287488937378E-002, 3.4470831250000000E+005, 3.5085068750000000E+005, 2.9325256347656250E+000, 2.9620074462890625E+002, 1.9056340679526329E-002, 1.6598053276538849E-002, 3.4471534375000000E+005, 3.5086106250000000E+005, 5.9450000000000000E+002, 9.4752612304687500E+002, 2.9329516887664795E+000, 2.9620336914062500E+002, 5.8767499923706055E+000, 7.6619994640350342E-001, 1.6026248340494931E-004, 4.3025217950344086E-002, 9.9999997171806854E-010, 4.9390242202207446E-004, 3.6125441547483206E-003, 7.3142869538855848E-009, 3.6125588230788708E-003, 2.1942859973478335E-008, 3.5074871875000000E+005, 5.1654162406921387E+000, 9.5588934421539307E-001, 3.5075603125000000E+005,-1.0196875000000000E+002,-1.0503125000000000E+002,-1.1247695000000000E+006, 1.2920292792841792E-003, 5.5833432823419571E-002, 1.9310480356216431E-001, 4.4204303622245789E-001, 5.7931441068649292E-001, 3.7357138353399932E-004, 3.3750243750000000E+005, 6.7995638847351074E+000, 5.2011603116989136E-001,-1.3358625000000000E+004, 0.0000000000000000E+000, 1.5071526169776917E-002, 1.5071526169776917E-002,-3.3897970570251346E-004, 1.9664306193590164E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9634617385454476E-004,-7.9025652667041868E-005,-4.4030037522315979E-001, 1.0045973652950124E-007, 0.0000000000000000E+000,-6.8869494134560227E-004, 3.4382240625000000E+005, 1.6135165467858315E-002, 2.9568002319335938E+002, 1.8613323569297791E-002, 3.5001781250000000E+005, 1.9056253135204315E-002, 1.6598053276538849E-002, 3.4471528125000000E+005, 3.5086081250000000E+005, 2.9329392910003662E+000, 2.9620330810546875E+002, 3.5075587500000000E+005,-1.0493750000000000E+002,-3.7946054476378777E-007, 5.5351799532754598E-011, 0.0000000000000000E+000,-3.7918732687103329E-007, 1.6328228014117485E-007,-4.3541945160541218E-008,-6.4999596215784550E-003
1,1,0,7, 1.7664572224020958E-002, 3.4195628125000000E+005, 3.4823125000000000E+005, 1.7667435109615326E-002, 3.4196321875000000E+005, 3.4824096875000000E+005, 1.8137471750378609E-002, 1.5643993392586708E-002, 3.4288587500000000E+005, 3.4911956250000000E+005, 2.8125236034393311E+000, 2.9509576416015625E+002, 1.8140412867069244E-002, 1.5645748004317284E-002, 3.4289281250000000E+005, 3.4912950000000000E+005, 7.6450000000000000E+002, 9.2945819091796875E+002, 2.8129310607910156E+000, 2.9509832763671875E+002, 6.1317501068115234E+000, 6.9819998741149902E-001, 1.6344482719432563E-004, 4.6637754887342453E-002, 9.9999997171806854E-010, 6.8561243824660778E-004, 6.0113794170320034E-003, 8.7678984073136235E-009, 6.0113971121609211E-003, 2.6303695221940870E-008, 3.5021168750000000E+005, 5.2298693656921387E+000, 9.3870174884796143E-001, 3.5021896875000000E+005, 1.0921250000000000E+003, 1.0894687500000000E+003,-9.1994937500000000E+005, 8.6588680278509855E-004, 6.8042941391468048E-002, 1.5771412849426270E-001, 3.8347119092941284E-001, 4.7314238548278809E-001, 3.7357138353399932E-004, 3.3681384375000000E+005, 7.4009900093078613E+000, 3.5973575711250305E-001,-1.2315656250000000E+004, 0.0000000000000000E+000, 1.4506138861179352E-002, 1.4506138861179352E-002,-4.4928339775651693E-004, 1.8461909145116806E-002, 5.5299384985119104E-004, 1.7537466192152351E-005, 5.5299384985119104E-004, 2.7790872263722122E-004,-7.4108851549681276E-005,-1.6353189945220947E-001, 1.6183837203698204E-007, 0.0000000000000000E+000,-5.6586443679407239E-004, 3.4196318750000000E+005, 1.5156355686485767E-002, 2.9451651000976562E+002, 1.7667369917035103E-002, 3.4824075000000000E+005, 1.8140345811843872E-002, 1.5645761042833328E-002, 3.4289281250000000E+005, 3.4912928125000000E+005, 2.8129217624664307E+000, 2.9509826660156250E+002, 3.5021881250000000E+005, 1.0895312500000000E+003,-3.1178277026810974E-007, 8.9170504313784704E-011, 0.0000000000000000E+000,-3.1152654855759465E-007, 1.5312352275032026E-007,-4.0832858871908684E-008,-6.4999884925782681E-003
1,1,0,8, 1.6669480130076408E-002, 3.4005696875000000E+005, 3.4639043750000000E+005, 1.6672167927026749E-002, 3.4006384375000000E+005, 3.4639968750000000E+005, 1.7167026177048683E-002, 1.4645341783761978E-002, 3.4100662500000000E+005, 3.4731084375000000E+005, 2.6842246055603027E+000, 2.9387374877929688E+002, 1.7169801518321037E-002, 1.4647085219621658E-002, 3.4101353125000000E+005, 3.4732031250000000E+005, 9.5250000000000000E+002, 9.0980175781250000E+002, 2.6846122741699219E+000, 2.9387628173828125E+002, 6.4137496948242188E+000, 6.2300002574920654E-001, 1.6695931844878942E-004, 5.2649125456809998E-002, 9.9999997171806854E-010, 8.5344974650070071E-004, 9.2562772333621979E-003, 1.0845719877750071E-008, 9.2562986537814140E-003, 3.2537158745071793E-008, 3.4926912500000000E+005, 5.3481731414794922E+000, 9.0715408325195312E-001, 3.4927634375000000E+005, 1.9582812500000000E+003, 1.9560312500000000E+003,-5.1700693750000000E+005, 5.2483798936009407E-004, 7.6955705881118774E-002, 1.0811662673950195E-001, 2.9318895936012268E-001, 3.2434988021850586E-001, 3.7357138353399932E-004, 3.3612256250000000E+005, 7.9953589439392090E+000, 2.0123769342899323E-001,-1.1197750000000000E+004, 1.0000000474974513E-003, 1.3906324282288551E-002, 1.3906324282288551E-002,-5.4346892284229398E-004, 1.7739867791533470E-002, 4.3014044058509171E-004, 1.7030182789312676E-005, 8.3447247743606567E-004, 1.9463174976408482E-004,-5.1901854021707550E-005,-2.8262734413146973E-003, 1.5353877813595318E-007, 1.9745804991089244E-008,-3.8513270555995405E-004, 3.4006387500000000E+005, 1.4137844555079937E-002, 2.9323599243164062E+002, 1.6672134399414062E-002, 3.4639959375000000E+005, 1.7169751226902008E-002, 1.4647100120782852E-002, 3.4101353125000000E+005, 3.4732018750000000E+005, 2.6846048831939697E+000, 2.9387625122070312E+002, 3.4927618750000000E+005, 1.9560000000000000E+003,-2.1220232326868427E-007, 8.4597551186504916E-011, 0.0000000000000000E+000,-2.1202288280619541E-007, 1.0723915977450815E-007,-2.8597138879149497E-008,-6.5000890754163265E-003
1,1,0,9, 1.5636360272765160E-002, 3.3815156250000000E+005, 3.4451371875000000E+005, 1.5636553987860680E-002, 3.3815306250000000E+005, 3.4451437500000000E+005, 1.6152920201420784E-002, 1.3613793998956680E-002, 3.3910425000000000E+005, 3.4545206250000000E+005, 2.5488340854644775E+000, 2.9253472900390625E+002, 1.6154360026121140E-002, 1.3614924624562263E-002, 3.3910843750000000E+005, 3.4545703125000000E+005, 1.1585000000000000E+003, 8.8864965820312500E+002, 2.5490372180938721E+000, 2.9253610229492188E+002, 6.7227497100830078E+000, 5.4060006141662598E-001, 1.7079612007364631E-004, 6.1905391514301300E-002, 9.9999997171806854E-010, 9.6858449978753924E-004, 1.3431175611913204E-002, 1.3866807258011704E-008, 1.3431203551590443E-002, 4.1600422662213532E-008, 3.4789171875000000E+005, 5.5295934677124023E+000, 8.5877519845962524E-001, 3.4789884375000000E+005, 2.4396562500000000E+003, 2.4418125000000000E+003, 2.9959062500000000E+004, 9.9999997171806854E-010, 3.1131664291024208E-002, 2.1702655317312747E-007, 3.1132098287343979E-002, 6.5107963109767297E-007, 1.4344633382279426E-004, 3.3545521875000000E+005, 8.4971237182617188E+000, 6.7433603107929230E-002,-1.0001812500000000E+004, 1.0000000474974513E-003, 1.3280905783176422E-002, 1.3280905783176422E-002,-5.2234996110200882E-004, 1.6855876892805099E-002, 3.5035802284255624E-004, 1.7871780073619448E-005, 7.1122683584690094E-004,-4.3108906538691372E-005, 1.1495678336359560E-005, 1.8626445531845093E-001, 1.7014470188314590E-007, 1.9438370912894243E-008,-2.3814472660887986E-004, 3.3815306250000000E+005, 1.3092037290334702E-002, 2.9183615112304688E+002, 1.5636522322893143E-002, 3.4451428125000000E+005, 1.6154328361153603E-002, 1.3614941388368607E-002, 3.3910846875000000E+005, 3.4545693750000000E+005, 2.5490326881408691E+000, 2.9253607177734375E+002, 3.4789871875000000E+005, 2.4417812500000000E+003,-1.3121415065597830E-007, 9.3747169749303083E-011, 0.0000000000000000E+000,-1.3117440289533988E-007,-2.3752358302431276E-008, 6.3339453681976465E-009,-6.5000313334167004E-003
1,1,0,10, 1.4576550573110580E-002, 3.3627346875000000E+005, 3.4262934375000000E+005, 1.4576707035303116E-002, 3.3627490625000000E+005, 3.4262993750000000E+005, 1.5106455422937870E-002, 1.2562845833599567E-002, 3.3721250000000000E+005, 3.4357153125000000E+005, 2.4076147079467773E+000, 2.9107873535156250E+002, 1.5106630511581898E-002, 1.2563362717628479E-002, 3.3721400000000000E+005, 3.4357215625000000E+005, 1.3825000000000000E+003, 8.6610119628906250E+002, 2.4076397418975830E+000, 2.9107891845703125E+002, 7.0587501525878906E+000, 4.5100000500679016E-001, 1.7496377404313534E-004, 7.5336553156375885E-002, 9.9999997171806854E-010, 1.0191911133006215E-003, 1.8581327050924301E-002, 1.8231446574645815E-008, 1.8581364303827286E-002, 5.4694339723937446E-008, 3.4615521875000000E+005, 5.7710604667663574E+000, 7.9438388347625732E-001, 3.4616134375000000E+005, 2.5836875000000000E+003, 2.5891875000000000E+003, 6.5654243750000000E+005, 9.9999997171806854E-010, 8.9377619326114655E-002, 2.1283685214257275E-007, 8.9378044009208679E-002, 6.3851052800600883E-007, 4.1993489139713347E-004, 3.3522590625000000E+005, 8.5489568710327148E+000, 5.3611312061548233E-002,-8.3462500000000000E+003, 1.0000000474974513E-003, 1.2747840955853462E-002, 1.2747840955853462E-002,-6.4336066134274006E-004, 1.5838379040360451E-002, 2.9922864632681012E-004, 2.0198398487991653E-005, 6.3436478376388550E-004,-1.0872900020331144E-005, 2.8995054890401661E-006,-1.0286587476730347E-001, 5.9038981703452009E-008, 2.0779168607987231E-008,-2.4946546182036400E-004, 3.3627490625000000E+005, 1.2034711427986622E-002, 2.9032165527343750E+002, 1.4576681889593601E-002, 3.4262981250000000E+005, 1.5106601640582085E-002, 1.2563373893499374E-002, 3.3721400000000000E+005, 3.4357206250000000E+005, 2.4076352119445801E+000, 2.9107891845703125E+002, 3.4616125000000000E+005, 2.5891875000000000E+003,-1.3745170690526720E-007, 3.2529590132668318E-011, 0.0000000000000000E+000,-1.3744168825269298E-007,-5.9908038529954410E-009, 1.5975838429937994E-009,-6.4999819733202457E-003
