case,idx,arm,k,u,v,w,t,qv,p,pi,rho,dz8w,p8w,rthften,rqvften,rthraten,rthblten,rqvblten,rthcuten,rqvcuten,rqccuten,rqicuten,dudt_phy,dvdt_phy,gdc,gdc2
1,1,0,1, 5.0599999427795410E+000, 9.8400002717971802E-001, 2.0943568961229175E-004, 2.9973999023437500E+002, 1.9983936101198196E-002, 1.0073043750000000E+005, 1.0020815134048462E+000, 1.1568365097045898E+000, 8.0000000000000000E+001, 1.0118089843750000E+005, 1.9949999114032835E-005, 9.9599999359156755E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008,-2.0047755810992385E-007,-1.3038115032060205E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.4187321862333420E-009,-9.1165586191266357E-010, 0.0000000000000000E+000, 0.0000000000000000E+000
1,1,0,2, 5.1935000419616699E+000, 9.4840002059936523E-001, 6.7531404783949256E-004, 2.9916149902343750E+002, 1.9392106682062149E-002, 9.9732562500000000E+004, 9.9923515319824219E-001, 1.1480008363723755E+000, 9.8000000000000000E+001, 1.0027996875000000E+005, 1.9838749722111970E-005, 9.8710000173696244E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008,-2.4413841970272188E-007,-2.6901050831362738E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.6256854346893306E-008,-1.2335150678666196E-008, 0.0000000000000000E+000, 0.0000000000000000E+000
1,1,0,3, 5.3540000915527344E+000, 9.0560001134872437E-001, 1.2349070748314261E-003, 2.9846600341796875E+002, 1.8700370565056801E-002, 9.8543437500000000E+004, 9.9581652879714966E-001, 1.1374305486679077E+000, 1.1600000000000000E+002, 9.9185156250000000E+004, 1.9704999431269243E-005, 9.7640002749699306E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008,-2.9409346780084888E-007,-2.1303676878137168E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.1586370609111327E-008,-1.9089686276174689E-008, 0.0000000000000000E+000, 0.0000000000000000E+000
1,1,0,4, 5.5415000915527344E+000, 8.5559999942779541E-001, 1.8873790977522731E-003, 2.9765350341796875E+002, 1.7918936908245087E-002, 9.7168781250000000E+004, 9.9182766675949097E-001, 1.1251554489135742E+000, 1.3400000000000000E+002, 9.7901726562500000E+004, 1.9548750060494058E-005, 9.6389998205381744E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008,-3.2063118737823970E-007,-1.3153499123230716E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0669138106322862E-007,-2.8451092148884527E-008, 0.0000000000000000E+000, 0.0000000000000000E+000
1,1,0,5, 5.7560000419616699E+000, 7.9839998483657837E-001, 2.6312873233109713E-003, 2.9672399902343750E+002, 1.7059179022908211E-002, 9.5615179687500000E+004, 9.8727065324783325E-001, 1.1112103462219238E+000, 1.5200000000000000E+002, 9.6435843750000000E+004, 1.9369999790797010E-005, 9.4959995422527754E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008,-3.2896235779844574E-007,-4.5164910006390002E-011, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.4254170821459411E-007,-3.8011194192222320E-008, 0.0000000000000000E+000, 0.0000000000000000E+000
1,1,0,6, 5.9974999427795410E+000, 7.3399996757507324E-001, 3.4643691033124924E-003, 2.9567749023437500E+002, 1.6133395954966545E-002, 9.3890046875000000E+004, 9.8214817047119141E-001, 1.0956358909606934E+000, 1.7000000000000000E+002, 9.4794515625000000E+004, 1.9168750441167504E-005, 9.3349994401137337E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008,-3.8607956298619683E-007, 5.5351799532754598E-011, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6328228014117485E-007,-4.3541945160541218E-008, 0.0000000000000000E+000, 0.0000000000000000E+000
1,1,0,7, 6.2659997940063477E+000, 6.6240000724792480E-001, 4.3833018280565739E-003, 2.9451400756835938E+002, 1.5154590830206871E-002, 9.2001593750000000E+004, 9.7646301984786987E-001, 1.0784776210784912E+000, 1.8800000000000000E+002, 9.2985578125000000E+004, 1.8945000192616135E-005, 9.1560004022994690E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008,-3.1903567787594511E-007, 8.9170504313784704E-011, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5312352275032026E-007,-4.0832858871908684E-008, 5.5299384985119104E-004, 0.0000000000000000E+000
1,1,0,8, 6.5615000724792480E+000, 5.8360004425048828E-001, 5.3834393620491028E-003, 2.9323348999023438E+002, 1.4136091805994511E-002, 8.9958765625000000E+004, 9.7021853923797607E-001, 1.0597884654998779E+000, 2.0600000000000000E+002, 9.1017609375000000E+004, 1.8698749045142904E-005, 8.9589997642747221E-009,-1.4999999621068127E-005, 3.9999998989515007E-005, 1.9999999878450581E-008,-2.1853105636182590E-007, 8.4597551186504916E-011, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0723915977450815E-007,-2.8597138879149497E-008, 4.3014044058509171E-004, 0.0000000000000000E+000
1,1,0,9, 6.8839998245239258E+000, 4.9760001897811890E-001, 6.4585302025079727E-003, 2.9183599853515625E+002, 1.3091496191918850E-002, 8.7771171875000000E+004, 9.6341812610626221E-001, 1.0396250486373901E+000, 2.2400000000000000E+002, 8.8899914062500000E+004, 1.8429998817737214E-005, 8.7440001905747522E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.3615522220788989E-007, 9.3747169749303083E-011, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.3752358302431276E-008, 6.3339453681976465E-009, 3.5035802284255624E-004, 0.0000000000000000E+000
1,1,0,10, 7.2335000038146973E+000, 4.0439999103546143E-001, 7.6004252769052982E-003, 2.9032150268554688E+002, 1.2034195475280285E-002, 8.5449078125000000E+004, 9.5606589317321777E-001, 1.0180516242980957E+000, 2.4200000000000000E+002, 8.6642437500000000E+004, 1.8138749510399066E-005, 8.5109999048427198E-009,-1.4999999621068127E-005, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.4375754631146265E-007, 3.2529590132668318E-011, 0.0000000000000000E+000, 0.0000000000000000E+000,-5.9908038529954410E-009, 1.5975838429937994E-009, 2.9922864632681012E-004, 0.0000000000000000E+000
