3e800000,406809fe
3e800390,4068032b
3e800720,4067fc58
3e800ab0,4067f586
3e800e40,4067eeb4
3e8011d0,4067e7e2
3e801560,4067e111
3e8018f0,4067da40
3e801c80,4067d370
3e802010,4067cca1
3e8023a0,4067c5d1
3e802730,4067bf02
3e802ac0,4067b833
3e802e50,4067b164
3e8031e0,4067aa96
3e803570,4067a3c8
3e803900,40679cfc
3e803c90,4067962f
3e804020,40678f62
3e8043b0,40678896
3e804740,406781cb
3e804ad0,40677b00
3e804e60,40677435
3e8051f0,40676d6b
3e805580,406766a0
3e805910,40675fd6
3e805ca0,4067590e
3e806030,40675245
3e8063c0,40674b7c
3e806750,406744b4
3e806ae0,40673dec
3e806e70,40673725
3e807200,4067305e
3e807590,40672997
3e807920,406722d1
3e807cb0,40671c0b
3e808040,40671546
3e8083d0,40670e81
3e808760,406707bd
3e808af0,406700f8
3e808e80,4066fa34
3e809210,4066f370
3e8095a0,4066ecae
3e809930,4066e5ec
3e809cc0,4066df29
3e80a050,4066d867
3e80a3e0,4066d1a5
3e80a770,4066cae4
3e80ab00,4066c424
3e80ae90,4066bd63
3e80b220,4066b6a3
3e80b5b0,4066afe4
3e80b940,4066a924
3e80bcd0,4066a266
3e80c060,40669ba8
3e80c3f0,406694ea
3e80c780,40668e2b
3e80cb10,4066876e
3e80cea0,406680b2
3e80d230,406679f5
3e80d5c0,4066733a
3e80d950,40666c7e
3e80dce0,406665c2
3e80e070,40665f07
3e80e400,4066584d
3e80e790,40665193
3e80eb20,40664ad9
3e80eeb0,40664420
3e80f240,40663d67
3e80f5d0,406636ae
3e80f960,40662ff6
3e80fcf0,4066293e
3e810080,40662287
3e810410,40661bd0
3e8107a0,40661519
3e810b30,40660e63
3e810ec0,406607ad
3e811250,406600f7
3e8115e0,4065fa42
3e811970,4065f38d
3e811d00,4065ecd9
3e812090,4065e625
3e812420,4065df71
3e8127b0,4065d8bd
3e812b40,4065d20b
3e812ed0,4065cb59
3e813260,4065c4a7
3e8135f0,4065bdf5
3e813980,4065b743
