case,idx,ndiff_words_vs_cup_gf_sh,ndiff_words_vs_dx1,ierr_repl,ierr_sh
1,1,0,0,5,5
2,1,0,0,5,5
3,1,0,0,5,5
4,1,0,0,0,0
5,1,0,0,5,5
6,1,0,0,3,3
7,1,0,0,5,5
8,1,0,0,5,5
9,1,0,0,0,0
10,1,0,0,5,5
11,1,0,0,21,21
12,1,0,0,21,21
13,1,0,0,5,5
14,1,0,0,0,0
15,1,0,0,5,5
16,1,0,0,3,3
17,1,0,0,0,0
18,1,0,0,0,0
1,2,0,0,5,5
2,2,0,0,5,5
3,2,0,0,5,5
4,2,0,0,0,0
5,2,0,0,5,5
6,2,0,0,3,3
7,2,0,0,5,5
8,2,0,0,5,5
9,2,0,0,0,0
10,2,0,0,5,5
11,2,0,0,21,21
12,2,0,0,21,21
13,2,0,0,5,5
14,2,0,0,0,0
15,2,0,0,5,5
16,2,0,0,3,3
17,2,0,0,0,0
18,2,0,0,0,0
1,3,0,0,5,5
2,3,0,0,5,5
3,3,0,0,5,5
4,3,0,0,0,0
5,3,0,0,5,5
6,3,0,0,3,3
7,3,0,0,5,5
8,3,0,0,5,5
9,3,0,0,0,0
10,3,0,0,5,5
11,3,0,0,21,21
12,3,0,0,21,21
13,3,0,0,5,5
14,3,0,0,0,0
15,3,0,0,5,5
16,3,0,0,3,3
17,3,0,0,0,0
18,3,0,0,0,0
1,4,0,0,5,5
2,4,0,0,5,5
3,4,0,0,5,5
4,4,0,0,0,0
5,4,0,0,5,5
6,4,0,0,3,3
7,4,0,0,5,5
8,4,0,0,5,5
9,4,0,0,0,0
10,4,0,0,5,5
11,4,0,0,21,21
12,4,0,0,21,21
13,4,0,0,5,5
14,4,0,0,0,0
15,4,0,0,5,5
16,4,0,0,3,3
17,4,0,0,0,0
18,4,0,0,0,0
1,5,0,0,5,5
2,5,0,0,5,5
3,5,0,0,5,5
4,5,0,0,0,0
5,5,0,0,5,5
6,5,0,0,3,3
7,5,0,0,5,5
8,5,0,0,5,5
9,5,0,0,0,0
10,5,0,0,5,5
11,5,0,0,21,21
12,5,0,0,21,21
13,5,0,0,5,5
14,5,0,0,0,0
15,5,0,0,5,5
16,5,0,0,3,3
17,5,0,0,0,0
18,5,0,0,0,0
1,6,0,0,5,5
2,6,0,0,5,5
3,6,0,0,5,5
4,6,0,0,0,0
5,6,0,0,5,5
6,6,0,0,3,3
7,6,0,0,5,5
8,6,0,0,5,5
9,6,0,0,0,0
10,6,0,0,5,5
11,6,0,0,21,21
12,6,0,0,21,21
13,6,0,0,5,5
14,6,0,0,0,0
15,6,0,0,5,5
16,6,0,0,3,3
17,6,0,0,0,0
18,6,0,0,0,0
