case,idx,arm,ndiff_words_vs_gfdrv,ktop_direct,ktop_driver,xmbs_direct,xmbs_driver,ierr_direct
1,1,0,0,24,24, 0.0000000000000000E+000, 0.0000000000000000E+000,0
2,1,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
3,1,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
4,1,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
5,1,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
6,1,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,2
7,1,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
8,1,0,106,24,24, 0.0000000000000000E+000, 0.0000000000000000E+000,0
9,1,0,0,24,24, 0.0000000000000000E+000, 0.0000000000000000E+000,0
10,1,0,0,30,30, 0.0000000000000000E+000, 0.0000000000000000E+000,0
11,1,0,0,24,24, 0.0000000000000000E+000, 0.0000000000000000E+000,0
12,1,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
13,1,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
14,1,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,51
15,1,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
16,1,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
17,1,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
18,1,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
1,1,1,0,24,24, 0.0000000000000000E+000, 0.0000000000000000E+000,0
2,1,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
3,1,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
4,1,1,0,0,0, 3.5678133368492126E-002, 3.5678133368492126E-002,6
5,1,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
6,1,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,2
7,1,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
8,1,1,106,24,24, 0.0000000000000000E+000, 0.0000000000000000E+000,0
9,1,1,0,24,24, 8.4656393155455589E-003, 8.4656393155455589E-003,0
10,1,1,0,30,30, 0.0000000000000000E+000, 0.0000000000000000E+000,0
11,1,1,0,24,24, 0.0000000000000000E+000, 0.0000000000000000E+000,0
12,1,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
13,1,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
14,1,1,0,0,0, 4.5244161039590836E-002, 4.5244161039590836E-002,51
15,1,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
16,1,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
17,1,1,0,0,0, 6.3648377545177937E-003, 6.3648377545177937E-003,6
18,1,1,0,0,0, 3.8404393941164017E-002, 3.8404393941164017E-002,6
1,2,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
2,2,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
3,2,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
4,2,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
5,2,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
6,2,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,2
7,2,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
8,2,0,126,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
9,2,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
10,2,0,0,31,31, 0.0000000000000000E+000, 0.0000000000000000E+000,0
11,2,0,124,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
12,2,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
13,2,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
14,2,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,51
15,2,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
16,2,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
17,2,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
18,2,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
1,2,1,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
2,2,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
3,2,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
4,2,1,0,0,0, 3.5678133368492126E-002, 3.5678133368492126E-002,6
5,2,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
6,2,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,2
7,2,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
8,2,1,126,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
9,2,1,0,28,28, 8.4656393155455589E-003, 8.4656393155455589E-003,0
10,2,1,0,31,31, 0.0000000000000000E+000, 0.0000000000000000E+000,0
11,2,1,124,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
12,2,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
13,2,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
14,2,1,0,0,0, 4.5244161039590836E-002, 4.5244161039590836E-002,51
15,2,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
16,2,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
17,2,1,0,0,0, 6.3648377545177937E-003, 6.3648377545177937E-003,6
18,2,1,0,0,0, 3.8404393941164017E-002, 3.8404393941164017E-002,6
1,3,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
2,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
3,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
4,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
5,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
6,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,2
7,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
8,3,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
9,3,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
10,3,0,0,31,31, 0.0000000000000000E+000, 0.0000000000000000E+000,0
11,3,0,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
12,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
13,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
14,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,51
15,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
16,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
17,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
18,3,0,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,6
1,3,1,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
2,3,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
3,3,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
4,3,1,0,0,0, 3.5678133368492126E-002, 3.5678133368492126E-002,6
5,3,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,3
6,3,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,2
7,3,1,0,0,0, 0.0000000000000000E+000, 0.0000000000000000E+000,17
8,3,1,0,28,28, 0.0000000000000000E+000, 0.0000000000000000E+000,0
