case,idx,arm,k,zo,po,t2d,q2d,tn,qo,tshall,qshall,dhdt,us,vs,rhoi,omeg_in,zu,zd,cnvwt,cupclw,outt,outq,outqc,outu,outv,zus,cnvwts,cupclws,outts,outqs,outqcs,q2d_after,qo_after,omeg_after
1,1,0,1, 5.0000000000000000E+001, 1.0073043823242188E+003, 2.9973999023437500E+002, 1.9983936101198196E-002, 2.9974270629882812E+002, 1.9985733553767204E-002, 2.9974240112304688E+002, 1.9985135644674301E-002, 9.0267643332481384E-002, 5.0599999427795410E+000, 9.8400002717971802E-001, 1.1568365097045898E+000,-2.3759831674396992E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.0089485985863575E-007,-1.3038115032060205E-010, 0.0000000000000000E+000, 3.4187321862333420E-009,-9.1165586191266357E-010, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9983936101198196E-002, 1.9985733553767204E-002,-2.3759831674396992E-003
1,1,0,2, 1.3900000000000000E+002, 9.9732562255859375E+002, 2.9916149902343750E+002, 1.9392106682062149E-002, 2.9916418457031250E+002, 1.9393898546695709E-002, 2.9916390991210938E+002, 1.9393306225538254E-002, 9.0153262019157410E-002, 5.1935000419616699E+000, 9.4840002059936523E-001, 1.1480008363723755E+000,-7.6027140021324158E-003, 3.9852865040302277E-002, 8.5659109055995941E-002, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.4395168907176412E-007,-2.6901050831362738E-010, 0.0000000000000000E+000, 4.6256854346893306E-008,-1.2335150678666196E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9392106682062149E-002, 1.9393898546695709E-002,-7.6027140021324158E-003
1,1,0,3, 2.4600000000000000E+002, 9.8543432617187500E+002, 2.9846600341796875E+002, 1.8700370565056801E-002, 2.9846868896484375E+002, 1.8702156841754913E-002, 2.9846838378906250E+002, 1.8701570108532906E-002, 9.0015888214111328E-002, 5.3540000915527344E+000, 9.0560001134872437E-001, 1.1374305486679077E+000,-1.3774626888334751E-002, 3.9894651621580124E-002, 2.2450628876686096E-001, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.9286314884302556E-007,-2.1303676878137168E-010, 0.0000000000000000E+000, 7.1586370609111327E-008,-1.9089686276174689E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8700370565056801E-002, 1.8702156841754913E-002,-1.3774626888334751E-002
1,1,0,4, 3.7100000000000000E+002, 9.7168780517578125E+002, 2.9765350341796875E+002, 1.7918936908245087E-002, 2.9765615844726562E+002, 1.7920715734362602E-002, 2.9765588378906250E+002, 1.7920136451721191E-002, 8.9855603873729706E-002, 5.5415000915527344E+000, 8.5559999942779541E-001, 1.1251554489135742E+000,-2.0825352519750595E-002, 4.0190197527408600E-002, 3.9400979876518250E-001, 0.0000000000000000E+000, 0.0000000000000000E+000,-3.1801087629901303E-007,-1.3153499123230716E-010, 0.0000000000000000E+000, 1.0669138106322862E-007,-2.8451092148884527E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.7918936908245087E-002, 1.7920715734362602E-002,-2.0825352519750595E-002
1,1,0,5, 5.1400000000000000E+002, 9.5615179443359375E+002, 2.9672399902343750E+002, 1.7059179022908211E-002, 2.9672662353515625E+002, 1.7060948535799980E-002, 2.9672637939453125E+002, 1.7060378566384315E-002, 8.9672483503818512E-002, 5.7560000419616699E+000, 7.9839998483657837E-001, 1.1112103462219238E+000,-2.8673797845840454E-002, 4.1077535599470139E-002, 5.7352143526077271E-001, 0.0000000000000000E+000, 0.0000000000000000E+000,-3.2477487366122659E-007,-4.5164910006390002E-011, 0.0000000000000000E+000, 1.4254170821459411E-007,-3.8011194192222320E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.7059179022908211E-002, 1.7060948535799980E-002,-2.8673797845840454E-002
1,1,0,6, 6.7500000000000000E+002, 9.3890045166015625E+002, 2.9567749023437500E+002, 1.6133395954966545E-002, 2.9568008422851562E+002, 1.6135156154632568E-002, 2.9567984008789062E+002, 1.6134595498442650E-002, 8.9466638863086700E-002, 5.9974999427795410E+000, 7.3399996757507324E-001, 1.0956358909606934E+000,-3.7222974002361298E-002, 4.3025217950344086E-002, 7.4189656972885132E-001, 0.0000000000000000E+000, 0.0000000000000000E+000,-3.7918732687103329E-007, 5.5351799532754598E-011, 0.0000000000000000E+000, 1.6328228014117485E-007,-4.3541945160541218E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6133395954966545E-002, 1.6135156154632568E-002,-3.7222974002361298E-002
1,1,0,7, 8.5400000000000000E+002, 9.2001593017578125E+002, 2.9451400756835938E+002, 1.5154590830206871E-002, 2.9451657104492188E+002, 1.5156339854001999E-002, 2.9451635742187500E+002, 1.5155790373682976E-002, 8.9238189160823822E-002, 6.2659997940063477E+000, 6.6240000724792480E-001, 1.0784776210784912E+000,-4.6358905732631683E-002, 4.6637754887342453E-002, 8.7916791439056396E-001, 2.6648925199879159E-007, 5.5299384985119104E-004,-3.1152654855759465E-007, 8.9170504313784704E-011, 0.0000000000000000E+000, 1.5312352275032026E-007,-4.0832858871908684E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5154590830206871E-002, 1.5156339854001999E-002,-4.6358905732631683E-002
1,1,0,8, 1.0510000000000000E+003, 8.9958764648437500E+002, 2.9323348999023438E+002, 1.4136091805994511E-002, 2.9323602294921875E+002, 1.4137829653918743E-002, 2.9323580932617188E+002, 1.4137291349470615E-002, 8.8987261056900024E-002, 6.5615000724792480E+000, 5.8360004425048828E-001, 1.0597884654998779E+000,-5.5949948728084564E-002, 5.2649125456809998E-002, 9.6883904933929443E-001, 2.3400394866257557E-007, 4.3014044058509171E-004,-2.1202288280619541E-007, 8.4597551186504916E-011, 0.0000000000000000E+000, 1.0723915977450815E-007,-2.8597138879149497E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.4136091805994511E-002, 1.4137829653918743E-002,-5.5949948728084564E-002
1,1,0,9, 1.2660000000000000E+003, 8.7771166992187500E+002, 2.9183599853515625E+002, 1.3091496191918850E-002, 2.9183618164062500E+002, 1.3092020526528358E-002, 2.9183599853515625E+002, 1.3091496191918850E-002, 0.0000000000000000E+000, 6.8839998245239258E+000, 4.9760001897811890E-001, 1.0396250486373901E+000,-6.5846256911754608E-002, 6.1905391514301300E-002, 1.0000000000000000E+000, 2.2411055056181794E-007, 3.5035802284255624E-004,-1.3117440289533988E-007, 9.3747169749303083E-011, 0.0000000000000000E+000,-2.3752358302431276E-008, 6.3339453681976465E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3091496191918850E-002, 1.3092020526528358E-002,-6.5846256911754608E-002
1,1,0,10, 1.4990000000000000E+003, 8.5449078369140625E+002, 2.9032150268554688E+002, 1.2034195475280285E-002, 2.9032168579101562E+002, 1.2034705840051174E-002, 2.9032150268554688E+002, 1.2034195475280285E-002, 0.0000000000000000E+000, 7.2335000038146973E+000, 4.0439999103546143E-001, 1.0180516242980957E+000,-7.5880184769630432E-002, 7.5336553156375885E-002, 9.6886855363845825E-001, 2.3293280548841722E-007, 2.9922864632681012E-004,-1.3744168825269298E-007, 3.2529590132668318E-011, 0.0000000000000000E+000,-5.9908038529954410E-009, 1.5975838429937994E-009, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2034195475280285E-002, 1.2034705840051174E-002,-7.5880184769630432E-002
