case,idx,arm,nz,dt,dx,ichoice,ishallow,ht,hfx,qfx,xland,kpbl,psfc_p8w,raincv,pratec,htop,hbot,ktop_deep,k22_shallow,kbcon_shallow,ktop_shallow,xmb_shallow
1,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 1.0000000000000000E+001, 1.2000000000000000E+002, 1.1999999696854502E-004, 2.0000000000000000E+000,8, 1.0118089843750000E+005, 8.5359934018924832E-005, 1.4226656048776931E-006, 2.4000999450683594E+001, 7.0009999275207520E+000,24,0,0,0, 0.0000000000000000E+000
2,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 3.5000000000000000E+002, 3.5000000000000000E+002, 1.8000000272877514E-004, 1.0000000000000000E+000,14, 9.7213531250000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
3,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 1.0000000000000000E+001, 1.2000000000000000E+002, 1.1999999696854502E-004, 1.0000000000000000E+000,10, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
4,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 1.0000000000000000E+001, 1.4000000000000000E+002, 2.2000000171829015E-004, 2.0000000000000000E+000,5, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
5,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 1.0000000000000000E+001, 2.0000000000000000E+001, 1.9999999494757503E-005, 2.0000000000000000E+000,8, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
6,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 9.0000000000000000E+002,-3.5000000000000000E+001, 0.0000000000000000E+000, 1.0000000000000000E+000,3, 9.1122437500000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
7,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 1.0000000000000000E+001, 1.2000000000000000E+002, 1.1999999696854502E-004, 2.0000000000000000E+000,8, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
8,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 1.0000000000000000E+001, 1.2000000000000000E+002, 1.1999999696854502E-004, 2.0000000000000000E+000,8, 1.0118089843750000E+005, 3.3819762757048011E-004, 5.6366270655416884E-006, 2.4000999450683594E+001, 7.0009999275207520E+000,24,0,0,0, 0.0000000000000000E+000
9,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 1.0000000000000000E+001, 1.5000000000000000E+001, 2.9999999242136255E-005, 2.0000000000000000E+000,2, 1.0118089843750000E+005, 1.0370631207479164E-004, 1.7284385194216156E-006, 2.4000999450683594E+001, 7.0009999275207520E+000,24,0,0,0, 0.0000000000000000E+000
10,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 1.0000000000000000E+001, 5.0000000000000000E+002, 3.9999998989515007E-004, 1.0000000000000000E+000,20, 1.0118089843750000E+005, 4.1619030525907874E-005, 6.9365052013381501E-007, 3.0000999450683594E+001, 6.0009999275207520E+000,30,0,0,0, 0.0000000000000000E+000
11,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 1.0000000000000000E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000000000000E+000,8, 1.0118089843750000E+005, 1.0314788960386068E-004, 1.7191315464515355E-006, 2.4000999450683594E+001, 7.0009999275207520E+000,24,0,0,0, 0.0000000000000000E+000
12,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 2.0000000000000000E+002,-4.5000000000000000E+001,-9.9999999747524271E-007, 1.0000000000000000E+000,4, 9.8944296875000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
13,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 1.0000000000000000E+001, 1.1000000000000000E+002, 2.6000000070780516E-004, 2.0000000000000000E+000,3, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
14,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 1.0000000000000000E+001, 1.6000000000000000E+002, 2.3999999393709004E-004, 2.0000000000000000E+000,6, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
15,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 4.2000000000000000E+002, 3.2000000000000000E+002, 1.1000000085914508E-004, 1.0000000000000000E+000,5, 9.6416242187500000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
16,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 1.0000000000000000E+001, 4.5000000000000000E+001, 1.5999999595806003E-004, 2.0000000000000000E+000,3, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
17,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 1.0000000000000000E+001, 1.2000000000000000E+001, 1.9999999494757503E-005, 2.0000000000000000E+000,3, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
18,1,0,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,0, 1.0000000000000000E+001, 1.3000000000000000E+002, 2.5000001187436283E-004, 2.0000000000000000E+000,4, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
1,1,1,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,1, 1.0000000000000000E+001, 1.2000000000000000E+002, 1.1999999696854502E-004, 2.0000000000000000E+000,8, 1.0118089843750000E+005, 8.5359934018924832E-005, 1.4226656048776931E-006, 2.4000999450683594E+001, 7.0009999275207520E+000,24,0,0,0, 0.0000000000000000E+000
2,1,1,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,1, 3.5000000000000000E+002, 3.5000000000000000E+002, 1.8000000272877514E-004, 1.0000000000000000E+000,14, 9.7213531250000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
3,1,1,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,1, 1.0000000000000000E+001, 1.2000000000000000E+002, 1.1999999696854502E-004, 1.0000000000000000E+000,10, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
4,1,1,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,1, 1.0000000000000000E+001, 1.4000000000000000E+002, 2.2000000171829015E-004, 2.0000000000000000E+000,5, 1.0118089843750000E+005, 7.7608553692698479E-004, 1.2934759070049040E-005, 1.0000000000000000E+000, 1.0000000474974513E-003,0,2,5,10, 3.5678133368492126E-002
5,1,1,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,1, 1.0000000000000000E+001, 2.0000000000000000E+001, 1.9999999494757503E-005, 2.0000000000000000E+000,8, 1.0118089843750000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
6,1,1,40, 6.0000000000000000E+001, 1.0000000000000000E+003,0,1, 9.0000000000000000E+002,-3.5000000000000000E+001, 0.0000000000000000E+000, 1.0000000000000000E+000,3, 9.1122437500000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+001,0,0,0,0, 0.0000000000000000E+000
