case,mode,k,nz,dt,theta_in,qv_in,qc_in,qr_in,qi_in,qs_in,qg_in,ni_in,ns_in,nr_in,ng_in,rho_in,pii_in,pressure_in,dz_in,qrcuten_in,qscuten_in,qicuten_in,theta_out,qv_out,qc_out,qr_out,qi_out,qs_out,qg_out,ni_out,ns_out,nr_out,ng_out,refl_10cm_out
1,0,1,32, 4.5000000000000000E+001, 3.0227883911132812E+002, 2.1866703405976295E-002, 1.9144857651554048E-004, 3.2362417550757527E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3440122500000000E+006, 0.0000000000000000E+000, 1.1160612106323242E+000, 9.8716795444488525E-001, 9.5580367187500000E+004, 4.0000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0240744018554688E+002, 2.1813450381159782E-002, 2.2935308516025543E-004, 3.4890760434791446E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2200600000000000E+006, 0.0000000000000000E+000, 8.9722595214843750E+000
1,0,2,32, 4.5000000000000000E+001, 3.0539505004882812E+002, 2.1380916237831116E-002, 3.0595198040828109E-004, 3.9689210825599730E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.4072395000000000E+006, 0.0000000000000000E+000, 1.0659166574478149E+000, 9.7316581010818481E-001, 9.0918859375000000E+004, 4.0000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0552392578125000E+002, 2.1328387781977654E-002, 3.2510788878425956E-004, 4.4206075835973024E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2548132500000000E+006, 0.0000000000000000E+000, 1.0709316253662109E+001
1,0,3,32, 4.5000000000000000E+001, 3.0853829956054688E+002, 2.0891975611448288E-002, 4.6023901086300611E-004, 4.6728050801903009E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.4734168750000000E+006, 0.0000000000000000E+000, 1.0180418491363525E+000, 9.5936226844787598E-001, 8.6484695312500000E+004, 4.0000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0866744995117188E+002, 2.0840171724557877E-002, 4.4751222594641149E-004, 5.4489757167175412E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2937582500000000E+006, 0.0000000000000000E+000, 1.2196948051452637E+001
1,0,4,32, 4.5000000000000000E+001, 3.1170877075195312E+002, 2.0400483161211014E-002, 6.5169192384928465E-004, 5.2814913215115666E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5426807500000000E+006, 0.0000000000000000E+000, 9.7233337163925171E-001, 9.4575452804565430E-001, 8.2266789062500000E+004, 4.0000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.1183813476562500E+002, 2.0349407568573952E-002, 5.9177668299525976E-004, 6.5205950522795320E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3396602500000000E+006, 0.0000000000000000E+000, 1.3408796310424805E+001
1,0,5,32, 4.5000000000000000E+001, 3.1490664672851562E+002, 1.9907034933567047E-002, 8.6862070020288229E-004, 5.7307200040668249E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6151743750000000E+006, 0.0000000000000000E+000, 9.2869228124618530E-001, 9.3233978748321533E-001, 7.8254585937500000E+004, 4.0000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.1503622436523438E+002, 1.9856687635183334E-002, 7.4912118725478649E-004, 7.5312441913411021E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.3951812500000000E+006, 0.0000000000000000E+000, 1.4287931442260742E+001
1,0,6,32, 4.5000000000000000E+001, 3.1813198852539062E+002, 1.9412111490964890E-002, 1.0898002656176686E-003, 5.9694662922993302E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6910458750000000E+006, 0.0000000000000000E+000, 8.8702499866485596E-001, 9.1911536455154419E-001, 7.4438070312500000E+004, 4.0000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.1826171875000000E+002, 1.9362492486834526E-002, 9.0814207214862108E-004, 8.3254161290824413E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.4623921250000000E+006, 0.0000000000000000E+000, 1.4758382797241211E+001
1,0,7,32, 4.5000000000000000E+001, 3.2138497924804688E+002, 1.8916349858045578E-002, 1.2870412319898605E-003, 5.9694662922993302E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.7704520000000000E+006, 0.0000000000000000E+000, 8.4724128246307373E-001, 9.0607851743698120E-001, 7.0807687500000000E+004, 4.0000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.2151483154296875E+002, 1.8867462873458862E-002, 1.0556672932580113E-003, 8.7308161891996861E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5423477500000000E+006, 0.0000000000000000E+000, 1.4744257926940918E+001
1,0,8,32, 4.5000000000000000E+001, 3.2466567993164062E+002, 1.8420226871967316E-002, 1.4307604869827628E-003, 5.7307200040668249E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8535550000000000E+006, 0.0000000000000000E+000, 8.0925571918487549E-001, 8.9322650432586670E-001, 6.7354351562500000E+004, 4.0000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.2479565429687500E+002, 1.8372071906924248E-002, 1.1766358511522412E-003, 8.6225470295175910E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6348840000000000E+006, 0.0000000000000000E+000, 1.4186991691589355E+001
1,0,9,32, 4.5000000000000000E+001, 3.2797424316406250E+002, 1.7924325540661812E-002, 1.4971671625971794E-003, 5.2814913215115666E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9405255000000000E+006, 0.0000000000000000E+000, 7.7298647165298462E-001, 8.8055688142776489E-001, 6.4069441406250000E+004, 4.0000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.2810427856445312E+002, 1.7876904457807541E-002, 1.2543725315481424E-003, 7.9837249359115958E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.7387575000000000E+006, 0.0000000000000000E+000, 1.3055115699768066E+001
1,0,10,32, 4.5000000000000000E+001, 3.3131088256835938E+002, 1.7429236322641373E-002, 1.4746960951015353E-003, 4.6728050801903009E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0315423750000000E+006, 0.0000000000000000E+000, 7.3835527896881104E-001, 8.6806690692901611E-001, 6.0944734375000000E+004, 4.0000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.3144094848632812E+002, 1.7382549121975899E-002, 1.2733244802802801E-003, 6.9230876397341490E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8520621250000000E+006, 0.0000000000000000E+000, 1.1347166061401367E+001
