case,mode,dt,rainnc_in,rainncv_in,snownc_in,snowncv_in,graupelnc_in,graupelncv_in,sr_in,rainnc_out,rainncv_out,snownc_out,snowncv_out,graupelnc_out,graupelncv_out,sr_out
1,0, 4.5000000000000000E+001, 1.2500000000000000E-001,-0.0000000000000000E+000, 2.5000000000000000E-001, 0.0000000000000000E+000, 3.7500000000000000E-001,-0.0000000000000000E+000,-0.0000000000000000E+000, 1.3898625969886780E-001, 1.3986254110932350E-002, 2.5000000000000000E-001, 0.0000000000000000E+000, 3.7500000000000000E-001, 0.0000000000000000E+000, 0.0000000000000000E+000
2,0, 4.5000000000000000E+001, 2.5000000000000000E-001,-0.0000000000000000E+000, 5.0000000000000000E-001, 0.0000000000000000E+000, 7.5000000000000000E-001,-0.0000000000000000E+000,-0.0000000000000000E+000, 2.6157522201538086E-001, 1.1575208976864815E-002, 5.0000000000000000E-001, 0.0000000000000000E+000, 7.5000000000000000E-001, 0.0000000000000000E+000, 0.0000000000000000E+000
3,0, 4.5000000000000000E+001, 3.7500000000000000E-001,-0.0000000000000000E+000, 7.5000000000000000E-001, 0.0000000000000000E+000, 1.1250000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 4.1594973206520081E-001, 4.0949724614620209E-002, 7.7578818798065186E-001, 2.5788176804780960E-002, 1.1401615142822266E+000, 1.5161547809839249E-002, 1.0000000000000000E+000
4,0, 4.5000000000000000E+001, 5.0000000000000000E-001,-0.0000000000000000E+000, 1.0000000000000000E+000, 0.0000000000000000E+000, 1.5000000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 5.0000000000000000E-001, 0.0000000000000000E+000, 1.0000000000000000E+000, 0.0000000000000000E+000, 1.5000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,0, 4.5000000000000000E+001, 6.2500000000000000E-001,-0.0000000000000000E+000, 1.2500000000000000E+000, 0.0000000000000000E+000, 1.8750000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 6.2500000000000000E-001, 0.0000000000000000E+000, 1.2500000000000000E+000, 0.0000000000000000E+000, 1.8750000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,0, 4.5000000000000000E+001, 7.5000000000000000E-001,-0.0000000000000000E+000, 1.5000000000000000E+000, 0.0000000000000000E+000, 2.2500000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 8.0462199449539185E-001, 5.4621983319520950E-002, 1.5000000000000000E+000,-1.1316697579033530E-009, 2.2500000000000000E+000,-1.8602904772180295E-009,-5.4775757263314517E-008
7,0, 4.5000000000000000E+001, 8.7500000000000000E-001,-0.0000000000000000E+000, 1.7500000000000000E+000, 0.0000000000000000E+000, 2.6250000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 9.0870767831802368E-001, 3.3707655966281891E-002, 1.7754215002059937E+000, 2.5421442463994026E-002, 2.6332283020019531E+000, 8.2283150404691696E-003, 9.9828231334686279E-001
8,0, 4.5000000000000000E+001, 1.0000000000000000E+000,-0.0000000000000000E+000, 2.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 1.0146398544311523E+000, 1.4639837667346001E-002, 2.0146372318267822E+000, 1.4637311920523643E-002, 3.0000000000000000E+000, 0.0000000000000000E+000, 9.9982750415802002E-001
9,0, 9.0000000000000000E+001, 1.1250000000000000E+000,-0.0000000000000000E+000, 2.2500000000000000E+000, 0.0000000000000000E+000, 3.3750000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 1.9971963167190552E+000, 8.7219631671905518E-001, 2.2508749961853027E+000, 8.7497569620609283E-004, 3.3750000000000000E+000,-1.4746901477735719E-009, 1.0031849378719926E-003
10,0, 4.5000000000000000E+001, 1.2500000000000000E+000,-0.0000000000000000E+000, 2.5000000000000000E+000, 0.0000000000000000E+000, 3.7500000000000000E+000,-0.0000000000000000E+000,-0.0000000000000000E+000, 1.2677602767944336E+000, 1.7760332673788071E-002, 2.5002617835998535E+000, 2.6171377976424992E-004, 3.7500000000000000E+000, 0.0000000000000000E+000, 1.4735859818756580E-002
