case,k,dz,zw,zw_next,xland,dx,pblh,hfx,rmo,spp_pbl,th,thl,qw,qv,qc,qi,qs,p,exner,tsq,qsq,cov,sh,el,vt_before,vq_before,sgm_before,rstoch,qc_bl,qi_bl,cldfra,vt_after,vq_after,sgm_after
dry_land,1,420.000000,0.00000000,420.000000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,291.900055,291.900055,0.634985091E-2,0.634985091E-2,0.00000000,0.00000000,0.00000000,97409.1562,0.992528081,0.188352913E-2,0.489038463E-7,-0.143962359E-5,0.349999994,24.7999992,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.387346745E-2,-4.44969177,0.307141891E-3
dry_land,2,444.000000,420.000000,864.000000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,293.742279,293.742279,0.557559775E-2,0.557559775E-2,0.00000000,0.00000000,0.00000000,92288.5625,0.977332294,0.166482280E-2,0.386685279E-7,-0.120352229E-5,0.349999994,59.3600006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.340116024E-2,-3.32592773,0.402899954E-3
dry_land,3,468.000000,864.000000,1332.00000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,295.672363,295.672363,0.484170998E-2,0.484170998E-2,0.00000000,0.00000000,0.00000000,87175.2266,0.961544633,0.146145560E-2,0.299565563E-7,-0.992498940E-6,0.349999994,95.8399963,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.295341015E-2,-2.14857483,0.359236350E-3
dry_land,4,492.000000,1332.00000,1824.00000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,297.687012,297.687012,0.415477576E-2,0.415477576E-2,0.00000000,0.00000000,0.00000000,82098.5391,0.945201516,0.127416383E-2,0.227038282E-7,-0.806776882E-6,0.349999994,134.239990,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.253438950E-2,-0.919647217,0.316758407E-3
dry_land,5,516.000000,1824.00000,2340.00000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,299.782166,299.782166,0.352012902E-2,0.352012902E-2,0.00000000,0.00000000,0.00000000,77085.8828,0.928340077,0.110328279E-2,0.168055632E-7,-0.645893920E-6,0.349999994,174.559998,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.214731693E-2,0.358398438,0.275981263E-3
dry_land,6,540.000000,2340.00000,2880.00000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,301.953369,301.953369,0.294181099E-2,0.294181099E-2,0.00000000,0.00000000,0.00000000,72162.4766,0.910998285,0.948790635E-3,0.121270549E-7,-0.508808228E-6,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.179445744E-2,1.68283081,0.237376065E-3
dry_land,7,564.000000,2880.00000,3444.00000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,304.195465,304.195465,0.242243684E-2,0.242243684E-2,0.00000000,0.00000000,0.00000000,67351.1641,0.893214464,0.810356229E-3,0.851368576E-8,-0.393992622E-6,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.147771835E-2,3.05050659,0.201352872E-3
dry_land,8,588.000000,3444.00000,4032.00000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,306.502625,306.502625,0.196318841E-2,0.196318841E-2,0.00000000,0.00000000,0.00000000,62672.3398,0.875027478,0.687390508E-3,0.580181769E-8,-0.299553960E-6,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.119757652E-2,4.45787048,0.168250335E-3
dry_land,9,612.000000,4032.00000,4644.00000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,308.868073,308.868073,0.155167782E-2,0.155167782E-2,0.00000000,0.00000000,0.00000000,58143.8555,0.856476367,0.579099345E-3,0.376928488E-8,-0.221614059E-6,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.946521759E-3,5.90080261,0.136432223E-3
dry_land,10,636.000000,4644.00000,5280.00000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,311.284302,311.284302,0.118973840E-2,0.118973840E-2,0.00000000,0.00000000,0.00000000,53780.9961,0.837600291,0.484534306E-3,0.231002151E-8,-0.158694391E-6,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.725746155E-3,7.37469482,0.106805972E-3
dry_land,11,660.000000,5280.00000,5940.00000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,313.742584,313.742584,0.883958128E-3,0.883958128E-3,0.00000000,0.00000000,0.00000000,49596.4961,0.818438411,0.402641017E-3,0.133270617E-8,-0.109879707E-6,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.539183617E-3,8.87425232,0.811249920E-4
dry_land,12,684.000000,5940.00000,6624.00000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,316.233307,316.233307,0.634166354E-3,0.634166354E-3,0.00000000,0.00000000,0.00000000,45600.5703,0.799029708,0.332302385E-3,0.718788862E-9,-0.733092307E-7,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.386834145E-3,10.3936005,0.595783058E-4
dry_land,13,708.000000,6624.00000,7332.00000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,318.745300,318.745300,0.437390205E-3,0.437390205E-3,0.00000000,0.00000000,0.00000000,41800.9961,0.779412925,0.272377307E-3,0.359332480E-9,-0.469272337E-7,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.266790390E-3,11.9259033,0.421245932E-4
dry_land,14,732.000000,7332.00000,8064.00000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,321.266113,321.266113,0.288425450E-3,0.288425450E-3,0.00000000,0.00000000,0.00000000,38203.2344,0.759626389,0.221733004E-3,0.164706457E-9,-0.286656494E-7,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.175952911E-3,13.4636078,0.285196038E-4
dry_land,15,756.000000,8064.00000,8820.00000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,323.781647,323.781647,0.181830066E-3,0.181830066E-3,0.00000000,0.00000000,0.00000000,34810.5352,0.739707768,0.179271708E-3,0.692267632E-10,-0.167102971E-7,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.110864639E-3,14.9980774,0.184894707E-4
dry_land,16,780.000000,8820.00000,9600.00000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,326.276001,326.276001,0.116374198E-3,0.116374198E-3,0.00000000,0.00000000,0.00000000,31624.1211,0.719694376,0.143951154E-3,0.300935041E-10,-0.987268312E-8,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.709295273E-4,16.5196381,0.121905659E-4
dry_land,17,804.000000,9600.00000,10404.0000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,328.731232,328.731232,0.718304873E-4,0.718304873E-4,0.00000000,0.00000000,0.00000000,28643.3184,0.699622571,0.114799637E-3,0.122132061E-10,-0.561663693E-8,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.438690186E-4,18.0173340,0.776608886E-5
dry_land,18,828.000000,10404.0000,11232.0000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,331.127289,331.127289,0.425923135E-4,0.425923135E-4,0.00000000,0.00000000,0.00000000,25865.7637,0.679527760,0.909259543E-4,0.459300306E-11,-0.306537484E-8,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.259876251E-4,19.4789276,0.476250989E-5
dry_land,19,852.000000,11232.0000,12084.0000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,340.525909,340.525909,0.432023808E-4,0.432023808E-4,0.00000000,0.00000000,0.00000000,23287.5801,0.659444690,0.715248825E-4,0.507685777E-11,-0.285836266E-8,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.263452530E-4,25.2120819,0.500708529E-5
dry_land,20,876.000000,12084.0000,12960.0000,1.00000000,3000.00000,850.000000,-18.0000000,0.800000038E-2,0,352.548615,352.548615,0.514432068E-4,0.514432068E-4,0.00000000,0.00000000,0.00000000,20903.5742,0.639406860,0.558789798E-4,0.777106070E-11,-0.312576032E-8,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.263452530E-4,25.2120819,0.00000000
humid_land,1,420.000000,0.00000000,420.000000,1.00000000,3000.00000,1200.00000,145.000000,-0.600000005E-2,0,291.900055,291.900055,0.119785331E-1,0.119785331E-1,0.00000000,0.00000000,0.00000000,97409.1562,0.992528081,0.188352913E-2,0.489038463E-7,-0.143962359E-5,0.349999994,24.7999992,0.00000000,0.00000000,0.00000000,0.00000000,0.340322986E-4,0.00000000,0.164587989,-0.176340461,232.644714,0.307141891E-3
humid_land,2,444.000000,420.000000,864.000000,1.00000000,3000.00000,1200.00000,145.000000,-0.600000005E-2,0,293.742279,293.742279,0.106515046E-1,0.106515046E-1,0.00000000,0.00000000,0.00000000,92288.5625,0.977332294,0.166482280E-2,0.386685279E-7,-0.120352229E-5,0.349999994,59.3600006,0.00000000,0.00000000,0.00000000,0.00000000,0.657093042E-4,0.00000000,0.279411197,-0.242941082,356.894409,0.402899954E-3
humid_land,3,468.000000,864.000000,1332.00000,1.00000000,3000.00000,1200.00000,145.000000,-0.600000005E-2,0,295.672363,295.672363,0.937514659E-2,0.937514659E-2,0.00000000,0.00000000,0.00000000,87175.2266,0.961544633,0.146145560E-2,0.299565563E-7,-0.992498940E-6,0.349999994,95.8399963,0.00000000,0.00000000,0.00000000,0.00000000,0.592036195E-4,0.00000000,0.283149928,-0.236833334,393.502869,0.359236350E-3
humid_land,4,492.000000,1332.00000,1824.00000,1.00000000,3000.00000,1200.00000,145.000000,-0.600000005E-2,0,297.687012,297.687012,0.816171989E-2,0.816171989E-2,0.00000000,0.00000000,0.00000000,82098.5391,0.945201516,0.127416383E-2,0.227038282E-7,-0.806776882E-6,0.349999994,134.239990,0.00000000,0.00000000,0.00000000,0.00000000,0.527375632E-4,0.00000000,0.286850512,-0.229370475,435.412781,0.316758407E-3
humid_land,5,516.000000,1824.00000,2340.00000,1.00000000,3000.00000,1200.00000,145.000000,-0.600000005E-2,0,299.782166,299.782166,0.702196546E-2,0.702196546E-2,0.00000000,0.00000000,0.00000000,77085.8828,0.928340077,0.110328279E-2,0.168055632E-7,-0.645893920E-6,0.349999994,174.559998,0.00000000,0.00000000,0.00000000,0.00000000,0.464071018E-4,0.00000000,0.290512115,-0.220430017,483.329468,0.275981263E-3
humid_land,6,540.000000,2340.00000,2880.00000,1.00000000,3000.00000,1200.00000,145.000000,-0.600000005E-2,0,301.953369,301.953369,0.477199256E-2,0.477199256E-2,0.00000000,0.00000000,0.00000000,72162.4766,0.910998285,0.948790635E-3,0.121270549E-7,-0.508808228E-6,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.291097164E-2,1.68283081,0.237376065E-3
humid_land,7,564.000000,2880.00000,3444.00000,1.00000000,3000.00000,1200.00000,145.000000,-0.600000005E-2,0,304.195465,304.195465,0.399835082E-2,0.399835082E-2,0.00000000,0.00000000,0.00000000,67351.1641,0.893214464,0.810356229E-3,0.851368576E-8,-0.393992622E-6,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.243902206E-2,3.05050659,0.201352872E-3
humid_land,8,588.000000,3444.00000,4032.00000,1.00000000,3000.00000,1200.00000,145.000000,-0.600000005E-2,0,306.502625,306.502625,0.330068544E-2,0.330068544E-2,0.00000000,0.00000000,0.00000000,62672.3398,0.875027478,0.687390508E-3,0.580181769E-8,-0.299553960E-6,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.201344490E-2,4.45787048,0.168250335E-3
humid_land,9,612.000000,4032.00000,4644.00000,1.00000000,3000.00000,1200.00000,145.000000,-0.600000005E-2,0,308.868073,308.868073,0.266042841E-2,0.266042841E-2,0.00000000,0.00000000,0.00000000,58143.8555,0.856476367,0.579099345E-3,0.376928488E-8,-0.221614059E-6,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.162291527E-2,5.90080261,0.136432223E-3
humid_land,10,636.000000,4644.00000,5280.00000,1.00000000,3000.00000,1200.00000,145.000000,-0.600000005E-2,0,311.284302,311.284302,0.208271644E-2,0.208271644E-2,0.00000000,0.00000000,0.00000000,53780.9961,0.837600291,0.484534306E-3,0.231002151E-8,-0.158694391E-6,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.127041340E-2,7.37469482,0.106805972E-3
humid_land,11,660.000000,5280.00000,5940.00000,1.00000000,3000.00000,1200.00000,145.000000,-0.600000005E-2,0,313.742584,313.742584,0.158193731E-2,0.158193731E-2,0.00000000,0.00000000,0.00000000,49596.4961,0.818438411,0.402641017E-3,0.133270617E-8,-0.109879707E-6,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.964999199E-3,8.87425232,0.811249920E-4
humid_land,12,684.000000,5940.00000,6624.00000,1.00000000,3000.00000,1200.00000,145.000000,-0.600000005E-2,0,316.233307,316.233307,0.116177695E-2,0.116177695E-2,0.00000000,0.00000000,0.00000000,45600.5703,0.799029708,0.332302385E-3,0.718788862E-9,-0.733092307E-7,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.708699226E-3,10.3936005,0.595783058E-4
humid_land,13,708.000000,6624.00000,7332.00000,1.00000000,3000.00000,1200.00000,145.000000,-0.600000005E-2,0,318.745300,318.745300,0.821429596E-3,0.821429596E-3,0.00000000,0.00000000,0.00000000,41800.9961,0.779412925,0.272377307E-3,0.359332480E-9,-0.469272337E-7,0.349999994,180.000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.501036644E-3,11.9259033,0.421245932E-4
