case,k,dz,zw,zw_next,p,rho,u,v,w,th,thl,thv,tk,qt,qv,qc,exner,qke,qnc,qni,qnwfa,qnifa,qnbca,vt_before,vq_before,sgm,rstoch,qc_bl_before,cldfra_bl_before,qc_bl_old,cldfra_bl_old,dt,ust,flt,fltv,flq,flqv,pblh,kpbl,dx,landsea,ts,psig_shcu,edmf_a,edmf_w,edmf_qt,edmf_thl,edmf_ent,edmf_qc,s_aw,s_awthl,s_awqt,s_awqv,s_awqc,s_awu,s_awv,s_awqke,s_awqnc,s_awqni,s_awqnwfa,s_awqnifa,s_awqnbca,s_aw_next,s_awthl_next,s_awqt_next,s_awqv_next,s_awqc_next,s_awu_next,s_awv_next,sub_thl,sub_sqv,sub_u,sub_v,det_thl,det_sqv,det_sqc,det_u,det_v,qc_bl,cldfra_bl,vt,vq,maxwidth,ktop,ztop,maxmf
land_dry,1, 5.0000000000000000E+001, 0.0000000000000000E+000, 5.0000000000000000E+001, 9.9706312500000000E+004, 1.1552098989486694E+000, 3.0374999046325684E+000,-9.8000001907348633E-001, 1.9999999552965164E-002, 3.0098498535156250E+002, 3.0098498535156250E+002, 3.0208160400390625E+002, 3.0073214721679688E+002, 5.9925001114606857E-003, 5.9925001114606857E-003, 0.0000000000000000E+000, 9.9915999174118042E-001, 1.3799999952316284E+000, 1.0000000000000000E+008, 1.0000000000000000E+005, 1.0000000000000000E+009, 1.0000000000000000E+006, 1.0000000000000000E+007,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9999997473787516E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000000000000E+001, 3.4999999403953552E-001, 1.0999999940395355E-001, 1.2102060765028000E-001, 5.9999998484272510E-005, 5.9999998484272510E-005, 9.0000000000000000E+002,12, 3.0000000000000000E+003, 1.0000000000000000E+000, 3.0210000610351562E+002, 1.0000000000000000E+000, 9.8272077739238739E-002, 2.0294728875160217E-001, 5.9881680645048618E-003, 3.0097576904296875E+002, 1.0000000474974513E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9000000000000000E+002,8, 6.6500000000000000E+002,-8.0485224723815918E-002
land_dry,2, 6.5000000000000000E+001, 5.0000000000000000E+001, 1.1500000000000000E+002, 9.9034109375000000E+004, 1.1497731208801270E+000, 3.1237499713897705E+000,-9.3400001525878906E-001, 1.9999999552965164E-002, 3.0095050048828125E+002, 3.0095050048828125E+002, 3.0204382324218750E+002, 3.0011709594726562E+002, 5.9752501547336578E-003, 5.9752501547336578E-003, 0.0000000000000000E+000, 9.9723070859909058E-001, 1.3339999914169312E+000, 1.0000000000000000E+008, 1.0000000000000000E+005, 1.0000000000000000E+009, 1.0000000000000000E+006, 1.0000000000000000E+007,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9999997473787516E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000000000000E+001, 3.4999999403953552E-001, 1.0999999940395355E-001, 1.2102060765028000E-001, 5.9999998484272510E-005, 5.9999998484272510E-005, 9.0000000000000000E+002,12, 3.0000000000000000E+003, 1.0000000000000000E+000, 3.0210000610351562E+002, 1.0000000000000000E+000, 9.8272077739238739E-002, 2.3738662898540497E-001, 5.9873363934457302E-003, 3.0097415161132812E+002, 1.0368068469688296E-003, 0.0000000000000000E+000, 2.2992422804236412E-002, 6.9201755523681641E+000, 1.3768972712568939E-004, 1.3768972712568939E-004, 0.0000000000000000E+000, 7.0701695978641510E-002,-2.2072724997997284E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9000000000000000E+002,8, 6.6500000000000000E+002,-8.0485224723815918E-002
land_dry,3, 8.0000000000000000E+001, 1.1500000000000000E+002, 1.9500000000000000E+002, 9.8192992187500000E+004, 1.1429547071456909E+000, 3.2325000762939453E+000,-8.7599998712539673E-001, 1.9999999552965164E-002, 3.0090701293945312E+002, 3.0090701293945312E+002, 3.0199618530273438E+002, 2.9934332275390625E+002, 5.9535000473260880E-003, 5.9535000473260880E-003, 0.0000000000000000E+000, 9.9480342864990234E-001, 1.2760000228881836E+000, 1.0000000000000000E+008, 1.0000000000000000E+005, 1.0000000000000000E+009, 1.0000000000000000E+006, 1.0000000000000000E+007,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9999997473787516E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000000000000E+001, 3.4999999403953552E-001, 1.0999999940395355E-001, 1.2102060765028000E-001, 5.9999998484272510E-005, 5.9999998484272510E-005, 9.0000000000000000E+002,12, 3.0000000000000000E+003, 1.0000000000000000E+000, 3.0210000610351562E+002, 1.0000000000000000E+000, 9.8272077739238739E-002, 3.3286097645759583E-001, 5.9845997020602226E-003, 3.0096871948242188E+002, 1.0368068469688296E-003, 0.0000000000000000E+000, 2.6751149445772171E-002, 8.0514240264892578E+000, 1.6017840243875980E-004, 1.6017840243875980E-004, 0.0000000000000000E+000, 8.2284457981586456E-002,-2.5667946785688400E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9000000000000000E+002,8, 6.6500000000000000E+002,-8.0485224723815918E-002
land_dry,4, 9.5000000000000000E+001, 1.9500000000000000E+002, 2.9000000000000000E+002, 9.7187367187500000E+004, 1.1347795724868774E+000, 3.3637499809265137E+000,-8.0599999427795410E-001, 1.9999999552965164E-002, 3.0085449218750000E+002, 3.0085449218750000E+002, 3.0193872070312500E+002, 2.9841210937500000E+002, 5.9272502548992634E-003, 5.9272502548992634E-003, 0.0000000000000000E+000, 9.9188184738159180E-001, 1.2059999704360962E+000, 1.0000000000000000E+008, 1.0000000000000000E+005, 1.0000000000000000E+009, 1.0000000000000000E+006, 1.0000000000000000E+007,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9999997473787516E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000000000000E+001, 3.4999999403953552E-001, 1.0999999940395355E-001, 1.2102060765028000E-001, 5.9999998484272510E-005, 5.9999998484272510E-005, 9.0000000000000000E+002,12, 3.0000000000000000E+003, 1.0000000000000000E+000, 3.0210000610351562E+002, 1.0000000000000000E+000, 9.8272077739238739E-002, 4.5661476254463196E-001, 5.9791277162730694E-003, 3.0095779418945312E+002, 1.0368068469688296E-003, 0.0000000000000000E+000, 3.7264876067638397E-002, 1.1215598106384277E+001, 2.2303477453533560E-004, 2.2303477453533560E-004, 0.0000000000000000E+000, 1.1476957798004150E-001,-3.5678230226039886E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9000000000000000E+002,8, 6.6500000000000000E+002,-8.0485224723815918E-002
land_dry,5, 1.1000000000000000E+002, 2.9000000000000000E+002, 4.0000000000000000E+002, 9.6022445312500000E+004, 1.1252770423889160E+000, 3.5174999237060547E+000,-7.2399997711181641E-001, 1.9999999552965164E-002, 3.0079299926757812E+002, 3.0079299926757812E+002, 3.0187136840820312E+002, 2.9732498168945312E+002, 5.8964998461306095E-003, 5.8964998461306095E-003, 0.0000000000000000E+000, 9.8847037553787231E-001, 1.1239999532699585E+000, 1.0000000000000000E+008, 1.0000000000000000E+005, 1.0000000000000000E+009, 1.0000000000000000E+006, 1.0000000000000000E+007,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9999997473787516E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000000000000E+001, 3.4999999403953552E-001, 1.0999999940395355E-001, 1.2102060765028000E-001, 5.9999998484272510E-005, 5.9999998484272510E-005, 9.0000000000000000E+002,12, 3.0000000000000000E+003, 1.0000000000000000E+000, 3.0210000610351562E+002, 1.0000000000000000E+000, 9.8272077739238739E-002, 5.7459229230880737E-001, 5.9701204299926758E-003, 3.0093981933593750E+002, 1.0368068469688296E-003, 0.0000000000000000E+000, 5.0722774118185043E-002, 1.5265492439270020E+001, 3.0331738526001573E-004, 3.0331738526001573E-004, 0.0000000000000000E+000, 1.5665753185749054E-001,-4.8328541219234467E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9000000000000000E+002,8, 6.6500000000000000E+002,-8.0485224723815918E-002
land_dry,6, 1.2500000000000000E+002, 4.0000000000000000E+002, 5.2500000000000000E+002, 9.4704203125000000E+004, 1.1144819259643555E+000, 3.6937499046325684E+000,-6.2999999523162842E-001, 1.9999999552965164E-002, 3.0072250366210938E+002, 3.0072250366210938E+002, 3.0179415893554688E+002, 2.9608355712890625E+002, 5.8612502180039883E-003, 5.8612502180039883E-003, 0.0000000000000000E+000, 9.8457401990890503E-001, 1.0299999713897705E+000, 1.0000000000000000E+008, 1.0000000000000000E+005, 1.0000000000000000E+009, 1.0000000000000000E+006, 1.0000000000000000E+007,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9999997473787516E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000000000000E+001, 3.4999999403953552E-001, 1.0999999940395355E-001, 1.2102060765028000E-001, 5.9999998484272510E-005, 5.9999998484272510E-005, 9.0000000000000000E+002,12, 3.0000000000000000E+003, 1.0000000000000000E+000, 3.0210000610351562E+002, 1.0000000000000000E+000, 9.8272077739238739E-002, 6.9140166044235229E-001, 5.9568574652075768E-003, 3.0091333007812500E+002, 1.0368068469688296E-003, 0.0000000000000000E+000, 6.3255004584789276E-002, 1.9036167144775391E+001, 3.7775060627609491E-004, 3.7775060627609491E-004, 0.0000000000000000E+000, 1.9626230001449585E-001,-5.9789791703224182E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9000000000000000E+002,8, 6.6500000000000000E+002,-8.0485224723815918E-002
land_dry,7, 1.4000000000000000E+002, 5.2500000000000000E+002, 6.6500000000000000E+002, 9.3239382812500000E+004, 1.1024332046508789E+000, 3.8924999237060547E+000,-5.2400004863739014E-001, 1.9999999552965164E-002, 3.0064300537109375E+002, 3.0064300537109375E+002, 3.0170712280273438E+002, 2.9468988037109375E+002, 5.8214999735355377E-003, 5.8214999735355377E-003, 0.0000000000000000E+000, 9.8019868135452271E-001, 9.2400002479553223E-001, 1.0000000000000000E+008, 1.0000000000000000E+005, 1.0000000000000000E+009, 1.0000000000000000E+006, 1.0000000000000000E+007,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9999997473787516E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000000000000E+001, 3.4999999403953552E-001, 1.0999999940395355E-001, 1.2102060765028000E-001, 5.9999998484272510E-005, 5.9999998484272510E-005, 9.0000000000000000E+002,12, 3.0000000000000000E+003, 1.0000000000000000E+000, 3.0210000610351562E+002, 1.0000000000000000E+000, 9.8272077739238739E-002, 8.1900399923324585E-001, 5.9402650222182274E-003, 3.0088018798828125E+002, 9.5576420426368713E-004, 0.0000000000000000E+000, 7.5337849557399750E-002, 2.2670671463012695E+001, 4.4903228990733624E-004, 4.4903228990733624E-004, 0.0000000000000000E+000, 2.3537005484104156E-001,-7.0347726345062256E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9000000000000000E+002,8, 6.6500000000000000E+002,-8.0485224723815918E-002
land_dry,8, 1.5500000000000000E+002, 6.6500000000000000E+002, 8.2000000000000000E+002, 9.1635367187500000E+004, 1.0891735553741455E+000, 4.1137499809265137E+000,-4.0600001811981201E-001, 1.9999999552965164E-002, 3.0055450439453125E+002, 3.0055450439453125E+002, 3.0161022949218750E+002, 2.9314611816406250E+002, 5.7772500440478325E-003, 5.7772500440478325E-003, 0.0000000000000000E+000, 9.7535091638565063E-001, 8.0599999427795410E-001, 1.0000000000000000E+008, 1.0000000000000000E+005, 1.0000000000000000E+009, 1.0000000000000000E+006, 1.0000000000000000E+007,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9999997473787516E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000000000000E+001, 3.4999999403953552E-001, 1.0999999940395355E-001, 1.2102060765028000E-001, 5.9999998484272510E-005, 5.9999998484272510E-005, 9.0000000000000000E+002,12, 3.0000000000000000E+003, 1.0000000000000000E+000, 3.0210000610351562E+002, 1.0000000000000000E+000, 5.0738021731376648E-002, 9.2746831476688385E-002, 5.9473961591720581E-003, 3.0089431762695312E+002, 4.4249228085391223E-004, 0.0000000000000000E+000, 8.8223114609718323E-002, 2.6545604705810547E+001, 5.2457902347669005E-004, 5.2457902347669005E-004, 0.0000000000000000E+000, 2.7804550528526306E-001,-8.1089168787002563E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9000000000000000E+002,8, 6.6500000000000000E+002,-8.0485224723815918E-002
land_dry,9, 1.7000000000000000E+002, 8.2000000000000000E+002, 9.9000000000000000E+002, 8.9900148437500000E+004, 1.0536203384399414E+000, 4.3575000762939453E+000,-2.7600002288818359E-001, 1.9999999552965164E-002, 3.0648248291015625E+002, 3.0648248291015625E+002, 3.0754464721679688E+002, 2.9729962158203125E+002, 5.6999996304512024E-003, 5.6999996304512024E-003, 0.0000000000000000E+000, 9.7003787755966187E-001, 6.7599999904632568E-001, 1.0000000000000000E+008, 1.0000000000000000E+005, 1.0000000000000000E+009, 1.0000000000000000E+006, 1.0000000000000000E+007,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9999997473787516E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000000000000E+001, 3.4999999403953552E-001, 1.0999999940395355E-001, 1.2102060765028000E-001, 5.9999998484272510E-005, 5.9999998484272510E-005, 9.0000000000000000E+002,12, 3.0000000000000000E+003, 1.0000000000000000E+000, 3.0210000610351562E+002, 1.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0456309691071510E-003, 1.5182375907897949E+000, 3.0026403692318127E-005, 3.0026403692318127E-005, 0.0000000000000000E+000, 1.5845982357859612E-002,-4.6674492768943310E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9000000000000000E+002,8, 6.6500000000000000E+002,-8.0485224723815918E-002
land_dry,10, 1.8500000000000000E+002, 9.9000000000000000E+002, 1.1750000000000000E+003, 8.8042289062500000E+004, 1.0353229045867920E+000, 4.6237497329711914E+000,-1.3400000333786011E-001, 1.9999999552965164E-002, 3.0728125000000000E+002, 3.0728125000000000E+002, 3.0814721679687500E+002, 2.9630133056640625E+002, 4.6349996700882912E-003, 4.6349996700882912E-003, 0.0000000000000000E+000, 9.6426749229431152E-001, 5.3399997949600220E-001, 1.0000000000000000E+008, 1.0000000000000000E+005, 1.0000000000000000E+009, 1.0000000000000000E+006, 1.0000000000000000E+007,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9999997473787516E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000000000000E+001, 3.4999999403953552E-001, 1.0999999940395355E-001, 1.2102060765028000E-001, 5.9999998484272510E-005, 5.9999998484272510E-005, 9.0000000000000000E+002,12, 3.0000000000000000E+003, 1.0000000000000000E+000, 3.0210000610351562E+002, 1.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.0000000298023224E-001, 5.0000000745058060E-002, 9.9000000000000000E+002,8, 6.6500000000000000E+002,-8.0485224723815918E-002
