case,step,k,initflag,delt,dx,znt,xland,ts,qsfc,ps,ust,ch,hfx,qfx,wspd,uoce,voce,dz,u,v,w,th,sqv3d,sqc3d,sqi3d,sqs3d,p,exner,rho,t3d,qke_in,tsq_in,qsq_in,cov_in,el_in,sh_in,sm_in,qc_bl_in,qi_bl_in,cldfra_bl_in,pblh_in,kpbl_in,rmol_in,rublten,rvblten,rthblten,rqvblten,rqcblten,rqiblten,dozone,exch_h,exch_m,qke,tsq,qsq,cov,el_pbl,sh3d,sm3d,qc_bl,qi_bl,cldfra_bl,pblh,kpbl,rmol,maxwidth,maxmf,ztop_plume,ktop_plume
convective_land,1,1,1, 2.0000000000000000E+001, 3.0000000000000000E+003, 1.5000000596046448E-001, 1.0000000000000000E+000, 3.0229998779296875E+002, 1.6792498528957367E-002, 1.0000000000000000E+005, 3.4999999403953552E-001, 9.9999997764825821E-003, 1.6000000000000000E+002, 1.1500000255182385E-004, 3.1916775703430176E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000000000000000E+001, 3.0374999046325684E+000,-9.8000001907348633E-001, 1.9999999552965164E-002, 3.0098498535156250E+002, 1.6792498528957367E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9706312500000000E+004, 9.9915999174118042E-001, 1.1552098989486694E+000, 3.0073214721679688E+002, 7.0999997854232788E-001, 1.0000000474974513E-003, 2.0000000233721948E-007,-7.9999999798019417E-006, 3.2000000000000000E+001, 3.1000000238418579E-001, 4.6999999880790710E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,1, 0.0000000000000000E+000,-1.0998606448993087E-003, 1.0945737594738603E-003, 1.6601562965661287E-003, 1.3340729765332071E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5323524475097656E+000, 3.7050512619316578E-003, 5.9586713341275299E-010, 1.8533341972215567E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0422058105468750E+003,10,-4.7059196978807449E-002, 3.7125000000000000E+002, 1.7502561211585999E-001, 9.9000000000000000E+002,10
convective_land,1,2,1, 2.0000000000000000E+001, 3.0000000000000000E+003, 1.5000000596046448E-001, 1.0000000000000000E+000, 3.0229998779296875E+002, 1.6792498528957367E-002, 1.0000000000000000E+005, 3.4999999403953552E-001, 9.9999997764825821E-003, 1.6000000000000000E+002, 1.1500000255182385E-004, 3.1916775703430176E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.5000000000000000E+001, 3.1237499713897705E+000,-9.3400001525878906E-001, 1.9999999552965164E-002, 3.0095050048828125E+002, 1.6775248572230339E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.9034109375000000E+004, 9.9723070859909058E-001, 1.1497731208801270E+000, 3.0011709594726562E+002, 7.1999996900558472E-001, 1.0000000474974513E-003, 2.0000000233721948E-007,-7.9999999798019417E-006, 3.4000000000000000E+001, 3.2100000977516174E-001, 4.6099999547004700E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,1, 0.0000000000000000E+000, 6.1422586441040039E-004, 5.1538349362090230E-004,-2.4414062500000000E-004,-4.9467448803852676E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.2699111938476562E+001, 2.9191352844238281E+001, 2.1757369041442871E+000, 1.4412884600460529E-002, 3.2651890080614976E-009, 7.2086440923158079E-006, 3.2536701202392578E+001, 1.2947189807891846E+000, 8.8513785600662231E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0422058105468750E+003,10,-4.7059196978807449E-002, 3.7125000000000000E+002, 1.7502561211585999E-001, 9.9000000000000000E+002,10
convective_land,1,3,1, 2.0000000000000000E+001, 3.0000000000000000E+003, 1.5000000596046448E-001, 1.0000000000000000E+000, 3.0229998779296875E+002, 1.6792498528957367E-002, 1.0000000000000000E+005, 3.4999999403953552E-001, 9.9999997764825821E-003, 1.6000000000000000E+002, 1.1500000255182385E-004, 3.1916775703430176E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.0000000000000000E+001, 3.2325000762939453E+000,-8.7599998712539673E-001, 1.9999999552965164E-002, 3.0090701293945312E+002, 1.6753500327467918E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.8192992187500000E+004, 9.9480342864990234E-001, 1.1429547071456909E+000, 2.9934332275390625E+002, 7.2999995946884155E-001, 1.0000000474974513E-003, 2.0000000233721948E-007,-7.9999999798019417E-006, 3.6000000000000000E+001, 3.3200001716613770E-001, 4.5199999213218689E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,1, 0.0000000000000000E+000, 1.2602328788489103E-003, 6.9728493690490723E-004,-7.2784424992278218E-004,-3.5385247088015603E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.3777076721191406E+001, 5.8963211059570312E+001, 4.1097803115844727E+000, 2.7834104374051094E-002, 7.9325435109467435E-009, 1.3914253031543922E-005, 7.7509094238281250E+001, 8.9874494075775146E-001, 5.6509429216384888E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0422058105468750E+003,10,-4.7059196978807449E-002, 3.7125000000000000E+002, 1.7502561211585999E-001, 9.9000000000000000E+002,10
convective_land,1,4,1, 2.0000000000000000E+001, 3.0000000000000000E+003, 1.5000000596046448E-001, 1.0000000000000000E+000, 3.0229998779296875E+002, 1.6792498528957367E-002, 1.0000000000000000E+005, 3.4999999403953552E-001, 9.9999997764825821E-003, 1.6000000000000000E+002, 1.1500000255182385E-004, 3.1916775703430176E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.5000000000000000E+001, 3.3637499809265137E+000,-8.0599999427795410E-001, 1.9999999552965164E-002, 3.0085449218750000E+002, 1.6727250069379807E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.7187367187500000E+004, 9.9188184738159180E-001, 1.1347795724868774E+000, 2.9841210937500000E+002, 7.4000000953674316E-001, 1.0000000474974513E-003, 2.0000000233721948E-007,-7.9999999798019417E-006, 3.8000000000000000E+001, 3.4299999475479126E-001, 4.4299998879432678E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,1, 0.0000000000000000E+000, 1.3705969322472811E-003, 7.3566439095884562E-004,-8.0108642578125000E-004,-4.0384836097473453E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0522196960449219E+002, 1.2903488159179688E+002, 6.3783912658691406E+000, 5.1229998469352722E-002, 1.3972917045634858E-008, 2.5613715479266830E-005, 1.1381317901611328E+002, 9.0532201528549194E-001, 5.6922811269760132E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0422058105468750E+003,10,-4.7059196978807449E-002, 3.7125000000000000E+002, 1.7502561211585999E-001, 9.9000000000000000E+002,10
convective_land,1,5,1, 2.0000000000000000E+001, 3.0000000000000000E+003, 1.5000000596046448E-001, 1.0000000000000000E+000, 3.0229998779296875E+002, 1.6792498528957367E-002, 1.0000000000000000E+005, 3.4999999403953552E-001, 9.9999997764825821E-003, 1.6000000000000000E+002, 1.1500000255182385E-004, 3.1916775703430176E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.1000000000000000E+002, 3.5174999237060547E+000,-7.2399997711181641E-001, 1.9999999552965164E-002, 3.0079299926757812E+002, 1.6696499660611153E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.6022445312500000E+004, 9.8847037553787231E-001, 1.1252770423889160E+000, 2.9732498168945312E+002, 7.5000000000000000E-001, 1.0000000474974513E-003, 2.0000000233721948E-007,-7.9999999798019417E-006, 4.0000000000000000E+001, 3.5400000214576721E-001, 4.3400001525878906E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,1, 0.0000000000000000E+000, 1.2298941146582365E-003, 6.5697729587554932E-004,-7.0037844125181437E-004,-3.6471953990258044E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.4861505126953125E+002, 2.1919485473632812E+002, 8.6471900939941406E+000, 7.7641017735004425E-002, 2.0371890840920059E-008, 3.8824302464490756E-005, 1.3414198303222656E+002, 1.0012421607971191E+000, 6.2954002618789673E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0422058105468750E+003,10,-4.7059196978807449E-002, 3.7125000000000000E+002, 1.7502561211585999E-001, 9.9000000000000000E+002,10
convective_land,1,6,1, 2.0000000000000000E+001, 3.0000000000000000E+003, 1.5000000596046448E-001, 1.0000000000000000E+000, 3.0229998779296875E+002, 1.6792498528957367E-002, 1.0000000000000000E+005, 3.4999999403953552E-001, 9.9999997764825821E-003, 1.6000000000000000E+002, 1.1500000255182385E-004, 3.1916775703430176E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2500000000000000E+002, 3.6937499046325684E+000,-6.2999999523162842E-001, 1.9999999552965164E-002, 3.0072250366210938E+002, 1.6661249101161957E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.4704203125000000E+004, 9.8457401990890503E-001, 1.1144819259643555E+000, 2.9608355712890625E+002, 7.5999999046325684E-001, 1.0000000474974513E-003, 2.0000000233721948E-007,-7.9999999798019417E-006, 4.2000000000000000E+001, 3.6500000953674316E-001, 4.2500001192092896E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,1, 0.0000000000000000E+000, 1.0111809242516756E-003, 5.3955020848661661E-004,-5.0964357797056437E-004,-2.9335095064197958E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9385183715820312E+002, 3.1051376342773438E+002, 1.0673765182495117E+001, 1.0427569597959518E-001, 2.6265460917329619E-008, 5.2139323088340461E-005, 1.4396945190429688E+002, 1.1103441715240479E+000, 6.9813883304595947E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0422058105468750E+003,10,-4.7059196978807449E-002, 3.7125000000000000E+002, 1.7502561211585999E-001, 9.9000000000000000E+002,10
convective_land,1,7,1, 2.0000000000000000E+001, 3.0000000000000000E+003, 1.5000000596046448E-001, 1.0000000000000000E+000, 3.0229998779296875E+002, 1.6792498528957367E-002, 1.0000000000000000E+005, 3.4999999403953552E-001, 9.9999997764825821E-003, 1.6000000000000000E+002, 1.1500000255182385E-004, 3.1916775703430176E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.4000000000000000E+002, 3.8924999237060547E+000,-5.2400004863739014E-001, 1.9999999552965164E-002, 3.0064300537109375E+002, 1.6621500253677368E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.3239382812500000E+004, 9.8019868135452271E-001, 1.1024332046508789E+000, 2.9468988037109375E+002, 7.6999998092651367E-001, 1.0000000474974513E-003, 2.0000000233721948E-007,-7.9999999798019417E-006, 4.4000000000000000E+001, 3.7599998712539673E-001, 4.1600000858306885E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,1, 0.0000000000000000E+000, 7.7458622399717569E-004, 4.1316449642181396E-004,-1.9226074800826609E-004,-2.0236524278516299E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.2746038818359375E+002, 3.9458236694335938E+002, 1.2211574554443359E+001, 1.3305735588073730E-001, 3.1008241307972639E-008, 6.6528795287013054E-005, 1.4870536804199219E+002, 1.2205977439880371E+000, 7.6758044958114624E-001, 2.0832509108004160E-005, 0.0000000000000000E+000, 5.0321713089942932E-002, 1.0422058105468750E+003,10,-4.7059196978807449E-002, 3.7125000000000000E+002, 1.7502561211585999E-001, 9.9000000000000000E+002,10
convective_land,1,8,1, 2.0000000000000000E+001, 3.0000000000000000E+003, 1.5000000596046448E-001, 1.0000000000000000E+000, 3.0229998779296875E+002, 1.6792498528957367E-002, 1.0000000000000000E+005, 3.4999999403953552E-001, 9.9999997764825821E-003, 1.6000000000000000E+002, 1.1500000255182385E-004, 3.1916775703430176E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5500000000000000E+002, 4.1137499809265137E+000,-4.0600001811981201E-001, 1.9999999552965164E-002, 3.0055450439453125E+002, 1.6577249392867088E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.1635367187500000E+004, 9.7535091638565063E-001, 1.0891735553741455E+000, 2.9314611816406250E+002, 7.7999997138977051E-001, 1.0000000474974513E-003, 2.0000000233721948E-007,-7.9999999798019417E-006, 4.6000000000000000E+001, 3.8699999451637268E-001, 4.0700000524520874E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,1, 0.0000000000000000E+000, 3.6203861236572266E-004, 1.9311011419631541E-004, 5.4168701171875000E-004,-3.9107305838115280E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.5385607910156250E+002, 4.7430001831054688E+002, 1.2952887535095215E+001, 1.5476599335670471E-001, 3.3762479034749049E-008, 7.7381038863677531E-005, 1.5110145568847656E+002, 1.3453947305679321E+000, 8.4647554159164429E-001, 2.8359889984130859E-004, 0.0000000000000000E+000, 1.0000000000000000E+000, 1.0422058105468750E+003,10,-4.7059196978807449E-002, 3.7125000000000000E+002, 1.7502561211585999E-001, 9.9000000000000000E+002,10
convective_land,1,9,1, 2.0000000000000000E+001, 3.0000000000000000E+003, 1.5000000596046448E-001, 1.0000000000000000E+000, 3.0229998779296875E+002, 1.6792498528957367E-002, 1.0000000000000000E+005, 3.4999999403953552E-001, 9.9999997764825821E-003, 1.6000000000000000E+002, 1.1500000255182385E-004, 3.1916775703430176E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.7000000000000000E+002, 4.3575000762939453E+000,-2.7600002288818359E-001, 1.9999999552965164E-002, 3.0045700073242188E+002, 1.6528500244021416E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.9900148437500000E+004, 9.7003787755966187E-001, 1.0747500658035278E+000, 2.9145468139648438E+002, 7.8999996185302734E-001, 1.0000000474974513E-003, 2.0000000233721948E-007,-7.9999999798019417E-006, 4.8000000000000000E+001, 3.9800000190734863E-001, 3.9800000190734863E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,1, 0.0000000000000000E+000,-9.2523096827790141E-004,-4.9345492152497172E-004, 1.8539428710937500E-003, 2.8449466071833740E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.1096740722656250E+002, 5.1035430908203125E+002, 1.2353360176086426E+001, 1.3018788397312164E-001, 3.2365129243316915E-008, 6.5090775024145842E-005, 1.5236361694335938E+002, 1.3973206281661987E+000, 8.7935543060302734E-001, 1.6134483739733696E-003, 0.0000000000000000E+000, 1.0000000000000000E+000, 1.0422058105468750E+003,10,-4.7059196978807449E-002, 3.7125000000000000E+002, 1.7502561211585999E-001, 9.9000000000000000E+002,10
convective_land,1,10,1, 2.0000000000000000E+001, 3.0000000000000000E+003, 1.5000000596046448E-001, 1.0000000000000000E+000, 3.0229998779296875E+002, 1.6792498528957367E-002, 1.0000000000000000E+005, 3.4999999403953552E-001, 9.9999997764825821E-003, 1.6000000000000000E+002, 1.1500000255182385E-004, 3.1916775703430176E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8500000000000000E+002, 4.6237497329711914E+000,-1.3400000333786011E-001, 1.9999999552965164E-002, 3.0035049438476562E+002, 1.6475249081850052E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.8042289062500000E+004, 9.6426749229431152E-001, 1.0592136383056641E+000, 2.8961822509765625E+002, 7.9999995231628418E-001, 1.0000000474974513E-003, 2.0000000233721948E-007,-7.9999999798019417E-006, 5.0000000000000000E+001, 4.0900000929832458E-001, 3.8899999856948853E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,1, 0.0000000000000000E+000,-2.9331208206713200E-003,-1.5643357764929533E-003, 3.8421631325036287E-003, 4.4666231246992538E-007, 8.2341877316594037E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.7109234619140625E+002, 3.5932302856445312E+002, 8.3157997131347656E+000, 1.0446662902832031E+000, 1.8440585947132604E-008,-1.2884257012046874E-004, 1.5256428527832031E+002, 1.1613321304321289E+000, 7.3069339990615845E-001, 2.9427697882056236E-003, 0.0000000000000000E+000, 1.0000000000000000E+000, 1.0422058105468750E+003,10,-4.7059196978807449E-002, 3.7125000000000000E+002, 1.7502561211585999E-001, 9.9000000000000000E+002,10
