case,i,t,p,esat_blend,qsat_blend,xl_blend
surface_pressure,1,180.000000,100000.000,0.560913086E-1,0.348888108E-6,2874181.75
surface_pressure,2,185.000000,100000.000,0.560913086E-1,0.348888108E-6,2872883.75
surface_pressure,3,190.000000,100000.000,0.560913086E-1,0.348888108E-6,2871585.75
surface_pressure,4,193.139999,100000.000,0.560913086E-1,0.348888108E-6,2870770.50
surface_pressure,5,193.149994,100000.000,0.560913086E-1,0.348888108E-6,2870768.00
surface_pressure,6,193.160004,100000.000,0.567016602E-1,0.352684481E-6,2870765.50
surface_pressure,7,200.000000,100000.000,0.162780762,0.101249793E-5,2868989.75
surface_pressure,8,210.000000,100000.000,0.701782227,0.436511618E-5,2866393.75
surface_pressure,9,220.000000,100000.000,2.65795898,0.165329438E-4,2863797.75
surface_pressure,10,230.000000,100000.000,8.95056152,0.556774794E-4,2861201.75
surface_pressure,11,235.000000,100000.000,15.8027344,0.983085483E-4,2859903.75
surface_pressure,12,239.990005,100000.000,27.2310791,0.169423452E-3,2858608.25
surface_pressure,13,240.000000,100000.000,27.2601318,0.169604245E-3,2858605.75
surface_pressure,14,240.009995,100000.000,27.2931213,0.169809558E-3,2858518.50
surface_pressure,15,245.000000,100000.000,48.7037201,0.303086767E-3,2813365.75
surface_pressure,16,250.000000,100000.000,83.1624908,0.517706620E-3,2764982.50
surface_pressure,17,255.000000,100000.000,136.396011,0.849550706E-3,2713456.00
surface_pressure,18,260.000000,100000.000,215.614227,0.134402676E-2,2658786.00
surface_pressure,19,265.000000,100000.000,329.283264,0.205491111E-2,2600972.75
surface_pressure,20,267.100006,100000.000,389.495850,0.243213726E-2,2575753.75
surface_pressure,21,267.149994,100000.000,391.028473,0.244174502E-2,2575146.75
surface_pressure,22,267.200012,100000.000,392.525940,0.245113252E-2,2574539.25
surface_pressure,23,270.000000,100000.000,484.942474,0.303104101E-2,2540016.50
surface_pressure,24,272.000000,100000.000,562.307983,0.351733365E-2,2514754.00
surface_pressure,25,273.140015,100000.000,611.140137,0.382466568E-2,2500129.00
surface_pressure,26,273.149994,100000.000,611.583679,0.382745848E-2,2500000.00
surface_pressure,27,273.160004,100000.000,612.028870,0.383026176E-2,2499976.50
surface_pressure,28,275.000000,100000.000,698.907349,0.437780051E-2,2495664.25
surface_pressure,29,280.000000,100000.000,992.505127,0.623526750E-2,2483946.25
surface_pressure,30,285.000000,100000.000,1389.85925,0.876677036E-2,2472228.25
surface_pressure,31,290.000000,100000.000,1920.71460,0.121808024E-1,2460510.25
surface_pressure,32,295.000000,100000.000,2621.34888,0.167437010E-1,2448792.25
surface_pressure,33,300.000000,100000.000,3535.56567,0.227972288E-1,2437074.25
surface_pressure,34,305.000000,100000.000,4715.76855,0.307837706E-1,2425356.25
surface_pressure,35,310.000000,100000.000,6224.11621,0.412835367E-1,2413638.25
surface_pressure,36,315.000000,100000.000,8133.75488,0.550713204E-1,2401920.25
surface_pressure,37,320.000000,100000.000,10530.1309,0.732061118E-1,2390202.25
midlevel_pressure,1,180.000000,50000.0000,0.560913086E-1,0.697776613E-6,2874181.75
midlevel_pressure,2,185.000000,50000.0000,0.560913086E-1,0.697776613E-6,2872883.75
midlevel_pressure,3,190.000000,50000.0000,0.560913086E-1,0.697776613E-6,2871585.75
midlevel_pressure,4,193.139999,50000.0000,0.560913086E-1,0.697776613E-6,2870770.50
midlevel_pressure,5,193.149994,50000.0000,0.560913086E-1,0.697776613E-6,2870768.00
midlevel_pressure,6,193.160004,50000.0000,0.567016602E-1,0.705369416E-6,2870765.50
midlevel_pressure,7,200.000000,50000.0000,0.162780762,0.202499928E-5,2868989.75
midlevel_pressure,8,210.000000,50000.0000,0.701782227,0.873029330E-5,2866393.75
midlevel_pressure,9,220.000000,50000.0000,2.65795898,0.330667644E-4,2863797.75
midlevel_pressure,10,230.000000,50000.0000,8.95056152,0.111364920E-3,2861201.75
midlevel_pressure,11,235.000000,50000.0000,15.8027344,0.196648180E-3,2859903.75
midlevel_pressure,12,239.990005,50000.0000,27.2310791,0.338939193E-3,2858608.25
midlevel_pressure,13,240.000000,50000.0000,27.2601318,0.339301012E-3,2858605.75
midlevel_pressure,14,240.009995,50000.0000,27.2931213,0.339711842E-3,2858518.50
midlevel_pressure,15,245.000000,50000.0000,48.7037201,0.606473011E-3,2813365.75
midlevel_pressure,16,250.000000,50000.0000,83.1624908,0.103628659E-2,2764982.50
midlevel_pressure,17,255.000000,50000.0000,136.396011,0.170144276E-2,2713456.00
midlevel_pressure,18,260.000000,50000.0000,215.614227,0.269389199E-2,2658786.00
midlevel_pressure,19,265.000000,50000.0000,329.283264,0.412345119E-2,2600972.75
midlevel_pressure,20,267.100006,50000.0000,389.495850,0.488336943E-2,2575753.75
midlevel_pressure,21,267.149994,50000.0000,391.028473,0.490273582E-2,2575146.75
midlevel_pressure,22,267.200012,50000.0000,392.525940,0.492166029E-2,2574539.25
midlevel_pressure,23,270.000000,50000.0000,484.942474,0.609176746E-2,2540016.50
midlevel_pressure,24,272.000000,50000.0000,562.307983,0.707467413E-2,2514754.00
midlevel_pressure,25,273.140015,50000.0000,611.140137,0.769665791E-2,2500129.00
midlevel_pressure,26,273.149994,50000.0000,611.583679,0.770231243E-2,2500000.00
midlevel_pressure,27,273.160004,50000.0000,612.028870,0.770798884E-2,2499976.50
midlevel_pressure,28,275.000000,50000.0000,698.907349,0.881766155E-2,2495664.25
midlevel_pressure,29,280.000000,50000.0000,992.505127,0.125968112E-1,2483946.25
midlevel_pressure,30,285.000000,50000.0000,1389.85925,0.177841987E-1,2472228.25
midlevel_pressure,31,290.000000,50000.0000,1920.71460,0.248482153E-1,2460510.25
midlevel_pressure,32,295.000000,50000.0000,2621.34888,0.344137885E-1,2448792.25
midlevel_pressure,33,300.000000,50000.0000,3535.56567,0.473291427E-1,2437074.25
midlevel_pressure,34,305.000000,50000.0000,4715.76855,0.647732764E-1,2425356.25
midlevel_pressure,35,310.000000,50000.0000,6224.11621,0.884368271E-1,2413638.25
midlevel_pressure,36,315.000000,50000.0000,8133.75488,0.109764703,2401920.25
midlevel_pressure,37,320.000000,50000.0000,10530.1309,0.109764703,2390202.25
upper_pressure,1,180.000000,15000.0000,0.560913086E-1,0.232592811E-5,2874181.75
upper_pressure,2,185.000000,15000.0000,0.560913086E-1,0.232592811E-5,2872883.75
upper_pressure,3,190.000000,15000.0000,0.560913086E-1,0.232592811E-5,2871585.75
upper_pressure,4,193.139999,15000.0000,0.560913086E-1,0.232592811E-5,2870770.50
upper_pressure,5,193.149994,15000.0000,0.560913086E-1,0.232592811E-5,2870768.00
upper_pressure,6,193.160004,15000.0000,0.567016602E-1,0.235123753E-5,2870765.50
upper_pressure,7,200.000000,15000.0000,0.162780762,0.675004867E-5,2868989.75
upper_pressure,8,210.000000,15000.0000,0.701782227,0.291019314E-4,2866393.75
upper_pressure,9,220.000000,15000.0000,2.65795898,0.110236229E-3,2863797.75
upper_pressure,10,230.000000,15000.0000,8.95056152,0.371371541E-3,2861201.75
upper_pressure,11,235.000000,15000.0000,15.8027344,0.655977812E-3,2859903.75
upper_pressure,12,239.990005,15000.0000,27.2310791,0.113123574E-2,2858608.25
upper_pressure,13,240.000000,15000.0000,27.2601318,0.113244471E-2,2858605.75
upper_pressure,14,240.009995,15000.0000,27.2931213,0.113381771E-2,2858518.50
upper_pressure,15,245.000000,15000.0000,48.7037201,0.202624942E-2,2813365.75
upper_pressure,16,250.000000,15000.0000,83.1624908,0.346793979E-2,2764982.50
upper_pressure,17,255.000000,15000.0000,136.396011,0.570818549E-2,2713456.00
upper_pressure,18,260.000000,15000.0000,215.614227,0.907159038E-2,2658786.00
upper_pressure,19,265.000000,15000.0000,329.283264,0.139608849E-1,2600972.75
upper_pressure,20,267.100006,15000.0000,389.495850,0.165816657E-1,2575753.75
upper_pressure,21,267.149994,15000.0000,391.028473,0.166486520E-1,2575146.75
upper_pressure,22,267.200012,15000.0000,392.525940,0.167141240E-1,2574539.25
