case,k,dz,zw,zw_next,u,v,thl,qw,theta,thetav,cldfra,edmf_w,edmf_a,sm_before,sh_before,qke_before,xland,dx,rmo,ust,zi,psig_bl,initialize_qke,el,qke,tsq,qsq,cov,sm,sh
stable_land,1, 6.0000000000000000E+001, 0.0000000000000000E+000, 6.0000000000000000E+001, 3.0000000000000000E+000,-1.5000000000000000E+000, 2.9100000000000000E+002, 1.1500000022351742E-002, 2.9100000000000000E+002, 2.9304135131835938E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.1000000238418579E-001, 4.6999999880790710E-001, 1.3999999761581421E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.0999999940395355E-002, 2.3999999463558197E-001, 3.2000000000000000E+002, 1.0000000000000000E+000,1, 0.0000000000000000E+000, 1.1588842421770096E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.1000000238418579E-001, 4.6999999880790710E-001
stable_land,2, 7.2000000000000000E+001, 6.0000000000000000E+001, 1.3200000000000000E+002, 3.8499999046325684E+000,-1.2000000476837158E+000, 2.9137002563476562E+002, 1.0950000025331974E-002, 2.9142001342773438E+002, 2.9336657714843750E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.2100000977516174E-001, 4.6099999547004700E-001, 1.3099999427795410E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.0999999940395355E-002, 2.3999999463558197E-001, 3.2000000000000000E+002, 1.0000000000000000E+000,1, 7.1970191001892090E+000, 1.7064208164811134E-002, 9.0238783741369843E-004, 1.9937298478822640E-009,-1.3413118722382933E-006, 9.2393316328525543E-002, 3.4426636993885040E-002
stable_land,3, 8.4000000000000000E+001, 1.3200000000000000E+002, 2.1600000000000000E+002, 4.6999998092651367E+000,-8.9999997615814209E-001, 2.9173999023437500E+002, 1.0400000028312206E-002, 2.9183999633789062E+002, 2.9369140625000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.3200001716613770E-001, 4.5199999213218689E-001, 1.2200000286102295E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.0999999940395355E-002, 2.3999999463558197E-001, 3.2000000000000000E+002, 1.0000000000000000E+000,1, 3.3207049369812012E+000, 9.9999988451600075E-003, 8.2618011219892651E-005, 1.8257192979653780E-010,-1.2281583394724294E-007, 8.3752334117889404E-002, 2.6858225464820862E-002
stable_land,4, 9.6000000000000000E+001, 2.1600000000000000E+002, 3.1200000000000000E+002, 5.5500001907348633E+000,-5.9999996423721313E-001, 2.9211001586914062E+002, 9.8500000312924385E-003, 2.9226000976562500E+002, 2.9401605224609375E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.4299999475479126E-001, 4.4299998879432678E-001, 1.1299999952316284E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.0999999940395355E-002, 2.3999999463558197E-001, 3.2000000000000000E+002, 1.0000000000000000E+000,1, 3.0280747413635254E+000, 9.9999988451600075E-003, 4.3709056626539677E-005, 9.6580923814038044E-011,-6.4972773827776109E-008, 7.7021479606628418E-002, 2.1653139963746071E-002
stable_land,5, 1.0800000000000000E+002, 3.1200000000000000E+002, 4.2000000000000000E+002, 6.4000000953674316E+000,-2.9999995231628418E-001, 2.9247998046875000E+002, 9.3000000342726707E-003, 2.9267999267578125E+002, 2.9434039306640625E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.5400000214576721E-001, 4.3400001525878906E-001, 1.0399999618530273E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.0999999940395355E-002, 2.3999999463558197E-001, 3.2000000000000000E+002, 1.0000000000000000E+000,1, 3.2163255214691162E+000, 9.9999988451600075E-003, 3.1952960853232071E-005, 7.0608463520471787E-011,-4.7498943445134501E-008, 7.1611978113651276E-002, 1.7920240759849548E-002
stable_land,6, 1.2000000000000000E+002, 4.2000000000000000E+002, 5.4000000000000000E+002, 7.2500000000000000E+000, 0.0000000000000000E+000, 2.9285000610351562E+002, 8.7500000372529030E-003, 2.9310000610351562E+002, 2.9466442871093750E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.6500000953674316E-001, 4.2500001192092896E-001, 9.4999992847442627E-001, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.0999999940395355E-002, 2.3999999463558197E-001, 3.2000000000000000E+002, 1.0000000000000000E+000,1, 3.3659486770629883E+000, 9.9999988451600075E-003, 2.3251912352861837E-005, 5.1374800247305785E-011,-3.4562443573804558E-008, 6.7111268639564514E-002, 1.5121474862098694E-002
stable_land,7, 1.3200000000000000E+002, 5.4000000000000000E+002, 6.7200000000000000E+002, 8.1000003814697266E+000, 3.0000007152557373E-001, 2.9322000122070312E+002, 8.2000000402331352E-003, 2.9351998901367188E+002, 2.9498818969726562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.7599998712539673E-001, 4.1600000858306885E-001, 8.5999995470046997E-001, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.0999999940395355E-002, 2.3999999463558197E-001, 3.2000000000000000E+002, 1.0000000000000000E+000,1, 3.3991246223449707E+000, 9.9999988451600075E-003, 1.6024041542550549E-005, 3.5408332516029262E-011,-2.3819836769689573E-008, 6.3314884901046753E-002, 1.2975431047379971E-002
stable_land,8, 1.4400000000000000E+002, 6.7200000000000000E+002, 8.1600000000000000E+002, 8.9500007629394531E+000, 6.0000014305114746E-001, 2.9358999633789062E+002, 7.6500000432133675E-003, 2.9394000244140625E+002, 2.9531164550781250E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.8699999451637268E-001, 4.0700000524520874E-001, 7.6999998092651367E-001, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.0999999940395355E-002, 2.3999999463558197E-001, 3.2000000000000000E+002, 1.0000000000000000E+000,1, 3.2430324554443359E+000, 9.9999988451600075E-003, 1.0926226423180196E-005, 2.4143687049615892E-011,-1.6241902045521783E-008, 6.0045704245567322E-002, 1.1282245628535748E-002
stable_land,9, 1.5600000000000000E+002, 8.1600000000000000E+002, 9.7200000000000000E+002, 9.8000001907348633E+000, 9.0000009536743164E-001, 2.9395999145507812E+002, 7.1000000461935997E-003, 2.9435998535156250E+002, 2.9563485717773438E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.9800000190734863E-001, 3.9800000190734863E-001, 6.7999994754791260E-001, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.0999999940395355E-002, 2.3999999463558197E-001, 3.2000000000000000E+002, 1.0000000000000000E+000,1, 3.1697499752044678E+000, 9.9999988451600075E-003, 8.1887965279747732E-006, 1.8094784351441184E-011,-1.2172693963918846E-008, 5.7197101414203644E-002, 9.9211996421217918E-003
stable_land,10, 1.6800000000000000E+002, 9.7200000000000000E+002, 1.1400000000000000E+003, 1.0649999618530273E+001, 1.2000000476837158E+000, 2.9432998657226562E+002, 6.5500000491738319E-003, 2.9477999877929688E+002, 2.9595779418945312E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0900000929832458E-001, 3.8899999856948853E-001, 5.8999991416931152E-001, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.0999999940395355E-002, 2.3999999463558197E-001, 3.2000000000000000E+002, 1.0000000000000000E+000,1, 3.2447671890258789E+000, 9.9999988451600075E-003, 6.6517468439997174E-006, 1.4697286790377184E-011,-9.8874988196939739E-009, 5.4687809199094772E-002, 8.8085643947124481E-003
