case,k,dz,zw,zw_next,u,v,qke,dtv,theta,vt,vq,cldfra,edmf_w,edmf_a,xland,dx,rmo,flt,fltv,flq,zi,psig_bl,el,qkw
stable,1, 8.0000000000000000E+001, 0.0000000000000000E+000, 8.0000000000000000E+001, 4.0000000000000000E+000, 1.0000000000000000E+000, 1.7999999523162842E+000, 6.0000000521540642E-003, 2.9000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 3.5000000000000000E+002, 1.0000000000000000E+000, 0.0000000000000000E+000, 1.3416407108306885E+000
stable,2, 8.5000000000000000E+001, 8.0000000000000000E+001, 1.6500000000000000E+002, 4.6999998092651367E+000, 8.5000002384185791E-001, 1.6799999475479126E+000, 6.0000000521540642E-003, 2.9045001220703125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 3.5000000000000000E+002, 1.0000000000000000E+000, 9.7923212051391602E+000, 1.3197796344757080E+000
stable,3, 9.0000000000000000E+001, 1.6500000000000000E+002, 2.5500000000000000E+002, 5.4000000953674316E+000, 6.9999998807907104E-001, 1.5599999427795410E+000, 6.0000000521540642E-003, 2.9089999389648438E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 3.5000000000000000E+002, 1.0000000000000000E+000, 1.4391077041625977E+001, 1.2734653949737549E+000
stable,4, 9.5000000000000000E+001, 2.5500000000000000E+002, 3.5000000000000000E+002, 6.0999999046325684E+000, 5.4999995231628418E-001, 1.4399999380111694E+000, 6.0000000521540642E-003, 2.9135000610351562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 3.5000000000000000E+002, 1.0000000000000000E+000, 2.1646169662475586E+001, 1.2254067659378052E+000
stable,5, 1.0000000000000000E+002, 3.5000000000000000E+002, 4.5000000000000000E+002, 6.8000001907348633E+000, 3.9999997615814209E-001, 1.3199999332427979E+000, 6.0000000521540642E-003, 2.9179998779296875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 3.5000000000000000E+002, 1.0000000000000000E+000, 2.5213722229003906E+001, 1.1753885746002197E+000
stable,6, 1.0500000000000000E+002, 4.5000000000000000E+002, 5.5500000000000000E+002, 7.5000000000000000E+000, 2.5000000000000000E-001, 1.2000000476837158E+000, 6.0000000521540642E-003, 2.9225000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 3.5000000000000000E+002, 1.0000000000000000E+000, 2.4236820220947266E+001, 1.1231489181518555E+000
stable,7, 1.1000000000000000E+002, 5.5500000000000000E+002, 6.6500000000000000E+002, 8.1999998092651367E+000, 9.9999964237213135E-002, 1.0799999237060547E+000, 6.0000000521540642E-003, 2.9270001220703125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 3.5000000000000000E+002, 1.0000000000000000E+000, 2.3608636856079102E+001, 1.0683610439300537E+000
stable,8, 1.1500000000000000E+002, 6.6500000000000000E+002, 7.8000000000000000E+002, 8.8999996185302734E+000,-5.0000071525573730E-002, 9.5999997854232788E-001, 6.0000000521540642E-003, 2.9314999389648438E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 3.5000000000000000E+002, 1.0000000000000000E+000, 2.3697854995727539E+001, 1.0106103420257568E+000
stable,9, 1.2000000000000000E+002, 7.8000000000000000E+002, 9.0000000000000000E+002, 9.6000003814697266E+000,-2.0000004768371582E-001, 8.3999997377395630E-001, 6.0000000521540642E-003, 2.9360000610351562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 3.5000000000000000E+002, 1.0000000000000000E+000, 2.3794696807861328E+001, 9.4935590028762817E-001
stable,10, 1.2500000000000000E+002, 9.0000000000000000E+002, 1.0250000000000000E+003, 1.0299999237060547E+001,-3.5000002384185791E-001, 7.2000002861022949E-001, 6.0000000521540642E-003, 2.9404998779296875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 3.5000000000000000E+002, 1.0000000000000000E+000, 2.3100502014160156E+001, 8.8386905193328857E-001
stable,11, 1.3000000000000000E+002, 1.0250000000000000E+003, 1.1550000000000000E+003, 1.1000000000000000E+001,-5.0000000000000000E-001, 6.0000002384185791E-001, 6.0000000521540642E-003, 2.9450000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 3.5000000000000000E+002, 1.0000000000000000E+000, 2.1842679977416992E+001, 8.1312757730484009E-001
stable,12, 1.3500000000000000E+002, 1.1550000000000000E+003, 1.2900000000000000E+003, 1.1699999809265137E+001,-6.5000009536743164E-001, 4.8000001907348633E-001, 6.0000000521540642E-003, 2.9495001220703125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 3.5000000000000000E+002, 1.0000000000000000E+000, 2.1865238189697266E+001, 7.3561680316925049E-001
convective,1, 8.0000000000000000E+001, 0.0000000000000000E+000, 8.0000000000000000E+001, 4.0000000000000000E+000, 1.0000000000000000E+000, 3.5000000000000000E+000,-4.0000001899898052E-003, 3.0200000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0000000149011612E-001, 0.0000000000000000E+000, 6.5000000000000000E+002, 9.5999997854232788E-001, 0.0000000000000000E+000, 1.8708287477493286E+000
convective,2, 8.5000000000000000E+001, 8.0000000000000000E+001, 1.6500000000000000E+002, 4.6999998092651367E+000, 8.5000002384185791E-001, 3.2799999713897705E+000,-4.0000001899898052E-003, 3.0179998779296875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0000000149011612E-001, 0.0000000000000000E+000, 6.5000000000000000E+002, 9.5999997854232788E-001, 3.6694347381591797E+001, 1.8421002626419067E+000
convective,3, 9.0000000000000000E+001, 1.6500000000000000E+002, 2.5500000000000000E+002, 5.4000000953674316E+000, 6.9999998807907104E-001, 3.0599999427795410E+000,-4.0000001899898052E-003, 3.0160000610351562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0000000149011612E-001, 0.0000000000000000E+000, 6.5000000000000000E+002, 9.5999997854232788E-001, 6.8157379150390625E+001, 1.7813317775726318E+000
convective,4, 9.5000000000000000E+001, 2.5500000000000000E+002, 3.5000000000000000E+002, 6.0999999046325684E+000, 5.4999995231628418E-001, 2.8400001525878906E+000,-4.0000001899898052E-003, 3.0139999389648438E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0000000149011612E-001, 0.0000000000000000E+000, 6.5000000000000000E+002, 9.5999997854232788E-001, 8.5370407104492188E+001, 1.7184215784072876E+000
convective,5, 1.0000000000000000E+002, 3.5000000000000000E+002, 4.5000000000000000E+002, 6.8000001907348633E+000, 3.9999997615814209E-001, 2.6199998855590820E+000,-4.0000001899898052E-003, 3.0120001220703125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003,-6.0000000521540642E-003, 0.0000000000000000E+000, 1.0000000149011612E-001, 0.0000000000000000E+000, 6.5000000000000000E+002, 9.5999997854232788E-001, 9.3634269714355469E+001, 1.6531244516372681E+000
