case,k,dz,u,v,thl,thetav,qw,ql,vt,vq,dz_prev,u_prev,v_prev,thl_prev,thetav_prev,qw_prev,ql_prev,vt_prev,vq_prev,dtl,dqw,dtv,gm,gh,sm,sh
stable_dry,2, 2.9000000000000000E+001, 3.0999999046325684E+000,-6.4999997615814209E-001, 2.8879998779296875E+002, 2.8982720947265625E+002, 5.8499998413026333E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5000000000000000E+001, 2.0000000000000000E+000,-1.0000000000000000E+000, 2.8800000000000000E+002, 2.8905062866210938E+002, 6.0000000521540642E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9629178345203400E-002,-5.5555633480253164E-006, 2.8615240007638931E-002, 1.8278461648151278E-003,-9.3571841716766357E-004, 1.1303704977035522E-001, 5.6157890707254410E-002
stable_dry,3, 3.3000000000000000E+001, 4.1999998092651367E+000,-3.0000001192092896E-001, 2.8960000610351562E+002, 2.9060366821289062E+002, 5.7000000961124897E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9000000000000000E+001, 3.0999999046325684E+000,-6.4999997615814209E-001, 2.8879998779296875E+002, 2.8982720947265625E+002, 5.8499998413026333E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5807041674852371E-002,-4.8387014430772979E-006, 2.4923935532569885E-002, 1.3865762157365680E-003,-8.1501272507011890E-004, 1.0395466536283493E-001, 4.6008437871932983E-002
stable_dry,4, 3.7000000000000000E+001, 5.3000001907348633E+000, 4.9999952316284180E-002, 2.9039999389648438E+002, 2.9137994384765625E+002, 5.5499998852610588E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.3000000000000000E+001, 4.1999998092651367E+000,-3.0000001192092896E-001, 2.8960000610351562E+002, 2.9060366821289062E+002, 5.7000000961124897E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.2856794297695160E-002,-4.2857204789470416E-006, 2.2074613720178604E-002, 1.0877557797357440E-003,-7.2183989686891437E-004, 9.6674576401710510E-002, 3.8529213517904282E-002
stable_dry,5, 4.1000000000000000E+001, 6.4000000953674316E+000, 3.9999997615814209E-001, 2.9120001220703125E+002, 2.9215606689453125E+002, 5.4000001400709152E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.7000000000000000E+001, 5.3000001907348633E+000, 4.9999952316284180E-002, 2.9039999389648438E+002, 2.9137994384765625E+002, 5.5499998852610588E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0513290539383888E-002,-3.8461471376649570E-006, 1.9811335951089859E-002, 8.7606831220909953E-004,-6.4783071866258979E-004, 9.0667009353637695E-002, 3.2837174832820892E-002
stable_dry,6, 4.5000000000000000E+001, 7.5000000000000000E+000, 7.5000000000000000E-001, 2.9200000000000000E+002, 2.9293203735351562E+002, 5.2499999292194843E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.1000000000000000E+001, 6.4000000953674316E+000, 3.9999997615814209E-001, 2.9120001220703125E+002, 2.9215606689453125E+002, 5.4000001400709152E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.8604367971420288E-002,-3.4883769330917858E-006, 1.7967708408832550E-002, 7.2065973654389381E-004,-5.8754411293193698E-004, 8.5605353116989136E-002, 2.8398670256137848E-002
stable_dry,7, 4.9000000000000000E+001, 8.6000003814697266E+000, 1.0999999046325684E+000, 2.9279998779296875E+002, 2.9370788574218750E+002, 5.1000001840293407E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+001, 7.5000000000000000E+000, 7.5000000000000000E-001, 2.9200000000000000E+002, 2.9293203735351562E+002, 5.2499999292194843E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.7021017149090767E-002,-3.1914839837554609E-006, 1.6438543796539307E-002, 6.0321448836475611E-004,-5.3754041437059641E-004, 8.1258691847324371E-002, 2.4857973679900169E-002
stable_dry,8, 5.3000000000000000E+001, 9.7000007629394531E+000, 1.4500000476837158E+000, 2.9360000610351562E+002, 2.9448361206054688E+002, 4.9499999731779099E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9000000000000000E+001, 8.6000003814697266E+000, 1.0999999046325684E+000, 2.9279998779296875E+002, 2.9370788574218750E+002, 5.1000001840293407E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5686633065342903E-002,-2.9411805826384807E-006, 1.5149842016398907E-002, 5.1230331882834435E-004,-4.9539987230673432E-004, 7.7470950782299042E-002, 2.1981455385684967E-002
convective_dry,2, 2.9000000000000000E+001, 3.0999999046325684E+000,-6.4999997615814209E-001, 3.0135000610351562E+002, 3.0353948974609375E+002, 1.1950000189244747E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5000000000000000E+001, 2.0000000000000000E+000,-1.0000000000000000E+000, 3.0200000000000000E+002, 3.0420336914062500E+002, 1.2000000104308128E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.4073848500847816E-002,-1.8518486513130483E-006,-2.4411827325820923E-002, 1.8278461648151278E-003, 7.9826678847894073E-004, 6.0627919435501099E-001, 9.1537535190582275E-001
convective_dry,3, 3.3000000000000000E+001, 4.1999998092651367E+000,-3.0000001192092896E-001, 3.0070001220703125E+002, 3.0287564086914062E+002, 1.1900000274181366E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9000000000000000E+001, 3.0999999046325684E+000,-6.4999997615814209E-001, 3.0135000610351562E+002, 3.0353948974609375E+002, 1.1950000189244747E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-2.0967544987797737E-002,-1.6129005189213785E-006,-2.1261913701891899E-002, 1.3865762157365680E-003, 6.9526460720226169E-004, 6.2888807058334351E-001, 9.5450103282928467E-001
convective_dry,4, 3.7000000000000000E+001, 5.3000001907348633E+000, 4.9999952316284180E-002, 3.0004998779296875E+002, 3.0221179199218750E+002, 1.1850000359117985E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.3000000000000000E+001, 4.1999998092651367E+000,-3.0000001192092896E-001, 3.0070001220703125E+002, 3.0287564086914062E+002, 1.1900000274181366E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.8572125583887100E-002,-1.4285690213000635E-006,-1.8832851201295853E-002, 1.0877557797357440E-003, 6.1583425849676132E-004, 6.4908367395401001E-001, 9.8946404457092285E-001
convective_dry,5, 4.1000000000000000E+001, 6.4000000953674316E+000, 3.9999997615814209E-001, 2.9939999389648438E+002, 3.0154800415039062E+002, 1.1800000444054604E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.7000000000000000E+001, 5.3000001907348633E+000, 4.9999952316284180E-002, 3.0004998779296875E+002, 3.0221179199218750E+002, 1.1850000359117985E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.6666511073708534E-002,-1.2820490837839316E-006,-1.6900496557354927E-002, 8.7606831220909953E-004, 5.5264629190787673E-004, 6.6720110177993774E-001, 1.0208394527435303E+000
convective_dry,6, 4.5000000000000000E+001, 7.5000000000000000E+000, 7.5000000000000000E-001, 2.9875000000000000E+002, 3.0088427734375000E+002, 1.1750000528991222E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.1000000000000000E+001, 6.4000000953674316E+000, 3.9999997615814209E-001, 2.9939999389648438E+002, 3.0154800415039062E+002, 1.1800000444054604E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.5116137452423573E-002,-1.1627887488430133E-006,-1.5328356996178627E-002, 7.2065973654389381E-004, 5.0123728578910232E-004, 6.8355673551559448E-001, 1.0491710901260376E+000
convective_dry,7, 4.9000000000000000E+001, 8.6000003814697266E+000, 1.0999999046325684E+000, 2.9810000610351562E+002, 3.0022055053710938E+002, 1.1699999682605267E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+001, 7.5000000000000000E+000, 7.5000000000000000E-001, 2.9875000000000000E+002, 3.0088427734375000E+002, 1.1750000528991222E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.3829657807946205E-002,-1.0638477760949172E-006,-1.4023819006979465E-002, 6.0321448836475611E-004, 4.5857889926992357E-004, 6.9838535785675049E-001, 1.0748633146286011E+000
convective_dry,8, 5.3000000000000000E+001, 9.7000007629394531E+000, 1.4500000476837158E+000, 2.9745001220703125E+002, 2.9955691528320312E+002, 1.1649999767541885E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9000000000000000E+001, 8.6000003814697266E+000, 1.0999999046325684E+000, 2.9810000610351562E+002, 3.0022055053710938E+002, 1.1699999682605267E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000,-1.2744978070259094E-002,-9.8039049589715432E-007,-1.2923907488584518E-002, 5.1230331882834435E-004, 4.2261180351488292E-004, 7.1188807487487793E-001, 1.0982624292373657E+000
neutral_shear,2, 2.9000000000000000E+001, 3.0999999046325684E+000, 0.0000000000000000E+000, 2.9500000000000000E+002, 2.9643487548828125E+002, 8.0000003799796104E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5000000000000000E+001, 2.0000000000000000E+000, 0.0000000000000000E+000, 2.9500000000000000E+002, 2.9643487548828125E+002, 8.0000003799796104E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.6598076326772571E-003,-0.0000000000000000E+000, 3.4668067097663879E-001, 4.6848735213279724E-001
neutral_shear,3, 3.3000000000000000E+001, 4.1999998092651367E+000, 0.0000000000000000E+000, 2.9500000000000000E+002, 2.9643487548828125E+002, 8.0000003799796104E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9000000000000000E+001, 3.0999999046325684E+000, 0.0000000000000000E+000, 2.9500000000000000E+002, 2.9643487548828125E+002, 8.0000003799796104E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.2591049307957292E-003,-0.0000000000000000E+000, 3.4668067097663879E-001, 4.6848735213279724E-001
neutral_shear,4, 3.7000000000000000E+001, 5.3000001907348633E+000, 0.0000000000000000E+000, 2.9500000000000000E+002, 2.9643487548828125E+002, 8.0000003799796104E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.3000000000000000E+001, 4.1999998092651367E+000, 0.0000000000000000E+000, 2.9500000000000000E+002, 2.9643487548828125E+002, 8.0000003799796104E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.8775583319365978E-004,-0.0000000000000000E+000, 3.4668067097663879E-001, 4.6848735213279724E-001
neutral_shear,5, 4.1000000000000000E+001, 6.4000000953674316E+000, 0.0000000000000000E+000, 2.9500000000000000E+002, 2.9643487548828125E+002, 8.0000003799796104E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.7000000000000000E+001, 5.3000001907348633E+000, 0.0000000000000000E+000, 2.9500000000000000E+002, 2.9643487548828125E+002, 8.0000003799796104E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.9552910756319761E-004,-0.0000000000000000E+000, 3.4668067097663879E-001, 4.6848735213279724E-001
neutral_shear,6, 4.5000000000000000E+001, 7.5000000000000000E+000, 0.0000000000000000E+000, 2.9500000000000000E+002, 2.9643487548828125E+002, 8.0000003799796104E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.1000000000000000E+001, 6.4000000953674316E+000, 0.0000000000000000E+000, 2.9500000000000000E+002, 2.9643487548828125E+002, 8.0000003799796104E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 6.5440766047686338E-004,-0.0000000000000000E+000, 3.4668067097663879E-001, 4.6848735213279724E-001
