case,k,dz,zw,zw_next,thetav,qke,landsea,dx,zi,kzi,psig_bl,psig_shcu
convective_land,1, 4.0000000000000000E+001, 0.0000000000000000E+000, 4.0000000000000000E+001, 3.0000000000000000E+002, 3.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.8288618469238281E+002,4, 1.0000000000000000E+000, 9.9750494956970215E-001
convective_land,2, 4.5000000000000000E+001, 4.0000000000000000E+001, 8.5000000000000000E+001, 3.0011999511718750E+002, 2.6199998855590820E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.8288618469238281E+002,4, 1.0000000000000000E+000, 9.9750494956970215E-001
convective_land,3, 5.0000000000000000E+001, 8.5000000000000000E+001, 1.3500000000000000E+002, 3.0023999023437500E+002, 2.2400000095367432E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.8288618469238281E+002,4, 1.0000000000000000E+000, 9.9750494956970215E-001
convective_land,4, 5.5000000000000000E+001, 1.3500000000000000E+002, 1.9000000000000000E+002, 3.0035998535156250E+002, 1.8600000143051147E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.8288618469238281E+002,4, 1.0000000000000000E+000, 9.9750494956970215E-001
convective_land,5, 6.0000000000000000E+001, 1.9000000000000000E+002, 2.5000000000000000E+002, 3.0048001098632812E+002, 1.4800000190734863E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.8288618469238281E+002,4, 1.0000000000000000E+000, 9.9750494956970215E-001
convective_land,6, 6.5000000000000000E+001, 2.5000000000000000E+002, 3.1500000000000000E+002, 3.0060000610351562E+002, 1.1000000238418579E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.8288618469238281E+002,4, 1.0000000000000000E+000, 9.9750494956970215E-001
convective_land,7, 7.0000000000000000E+001, 3.1500000000000000E+002, 3.8500000000000000E+002, 3.0232000732421875E+002, 7.2000002861022949E-001, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.8288618469238281E+002,4, 1.0000000000000000E+000, 9.9750494956970215E-001
convective_land,8, 7.5000000000000000E+001, 3.8500000000000000E+002, 4.6000000000000000E+002, 3.0404000854492188E+002, 3.4000015258789062E-001, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.8288618469238281E+002,4, 1.0000000000000000E+000, 9.9750494956970215E-001
convective_land,9, 8.0000000000000000E+001, 4.6000000000000000E+002, 5.4000000000000000E+002, 3.0575997924804688E+002, 9.9999997764825821E-003, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.8288618469238281E+002,4, 1.0000000000000000E+000, 9.9750494956970215E-001
convective_land,10, 8.5000000000000000E+001, 5.4000000000000000E+002, 6.2500000000000000E+002, 3.0747998046875000E+002, 9.9999997764825821E-003, 1.0000000000000000E+000, 3.0000000000000000E+003, 1.8288618469238281E+002,4, 1.0000000000000000E+000, 9.9750494956970215E-001
stable_land,1, 4.0000000000000000E+001, 0.0000000000000000E+000, 4.0000000000000000E+001, 2.9000000000000000E+002, 8.0000001192092896E-001, 1.0000000000000000E+000, 1.0000000000000000E+003, 2.0605917358398438E+002,5, 1.0000000000000000E+000, 9.8224210739135742E-001
stable_land,2, 4.5000000000000000E+001, 4.0000000000000000E+001, 8.5000000000000000E+001, 2.9079998779296875E+002, 6.4999997615814209E-001, 1.0000000000000000E+000, 1.0000000000000000E+003, 2.0605917358398438E+002,5, 1.0000000000000000E+000, 9.8224210739135742E-001
stable_land,3, 5.0000000000000000E+001, 8.5000000000000000E+001, 1.3500000000000000E+002, 2.9160000610351562E+002, 5.0000000000000000E-001, 1.0000000000000000E+000, 1.0000000000000000E+003, 2.0605917358398438E+002,5, 1.0000000000000000E+000, 9.8224210739135742E-001
stable_land,4, 5.5000000000000000E+001, 1.3500000000000000E+002, 1.9000000000000000E+002, 2.9239999389648438E+002, 3.4999999403953552E-001, 1.0000000000000000E+000, 1.0000000000000000E+003, 2.0605917358398438E+002,5, 1.0000000000000000E+000, 9.8224210739135742E-001
stable_land,5, 6.0000000000000000E+001, 1.9000000000000000E+002, 2.5000000000000000E+002, 2.9320001220703125E+002, 1.9999998807907104E-001, 1.0000000000000000E+000, 1.0000000000000000E+003, 2.0605917358398438E+002,5, 1.0000000000000000E+000, 9.8224210739135742E-001
stable_land,6, 6.5000000000000000E+001, 2.5000000000000000E+002, 3.1500000000000000E+002, 2.9400000000000000E+002, 5.0000011920928955E-002, 1.0000000000000000E+000, 1.0000000000000000E+003, 2.0605917358398438E+002,5, 1.0000000000000000E+000, 9.8224210739135742E-001
stable_land,7, 7.0000000000000000E+001, 3.1500000000000000E+002, 3.8500000000000000E+002, 2.9479998779296875E+002, 9.9999997764825821E-003, 1.0000000000000000E+000, 1.0000000000000000E+003, 2.0605917358398438E+002,5, 1.0000000000000000E+000, 9.8224210739135742E-001
stable_land,8, 7.5000000000000000E+001, 3.8500000000000000E+002, 4.6000000000000000E+002, 2.9560000610351562E+002, 9.9999997764825821E-003, 1.0000000000000000E+000, 1.0000000000000000E+003, 2.0605917358398438E+002,5, 1.0000000000000000E+000, 9.8224210739135742E-001
stable_land,9, 8.0000000000000000E+001, 4.6000000000000000E+002, 5.4000000000000000E+002, 2.9639999389648438E+002, 9.9999997764825821E-003, 1.0000000000000000E+000, 1.0000000000000000E+003, 2.0605917358398438E+002,5, 1.0000000000000000E+000, 9.8224210739135742E-001
stable_land,10, 8.5000000000000000E+001, 5.4000000000000000E+002, 6.2500000000000000E+002, 2.9720001220703125E+002, 9.9999997764825821E-003, 1.0000000000000000E+000, 1.0000000000000000E+003, 2.0605917358398438E+002,5, 1.0000000000000000E+000, 9.8224210739135742E-001
marine,1, 4.0000000000000000E+001, 0.0000000000000000E+000, 4.0000000000000000E+001, 2.9500000000000000E+002, 1.7999999523162842E+000, 2.0000000000000000E+000, 5.0000000000000000E+002, 2.7802536010742188E+002,6, 1.0000000000000000E+000, 9.3069088459014893E-001
marine,2, 4.5000000000000000E+001, 4.0000000000000000E+001, 8.5000000000000000E+001, 2.9539999389648438E+002, 1.5499999523162842E+000, 2.0000000000000000E+000, 5.0000000000000000E+002, 2.7802536010742188E+002,6, 1.0000000000000000E+000, 9.3069088459014893E-001
marine,3, 5.0000000000000000E+001, 8.5000000000000000E+001, 1.3500000000000000E+002, 2.9579998779296875E+002, 1.2999999523162842E+000, 2.0000000000000000E+000, 5.0000000000000000E+002, 2.7802536010742188E+002,6, 1.0000000000000000E+000, 9.3069088459014893E-001
marine,4, 5.5000000000000000E+001, 1.3500000000000000E+002, 1.9000000000000000E+002, 2.9620001220703125E+002, 1.0499999523162842E+000, 2.0000000000000000E+000, 5.0000000000000000E+002, 2.7802536010742188E+002,6, 1.0000000000000000E+000, 9.3069088459014893E-001
marine,5, 6.0000000000000000E+001, 1.9000000000000000E+002, 2.5000000000000000E+002, 2.9660000610351562E+002, 7.9999995231628418E-001, 2.0000000000000000E+000, 5.0000000000000000E+002, 2.7802536010742188E+002,6, 1.0000000000000000E+000, 9.3069088459014893E-001
marine,6, 6.5000000000000000E+001, 2.5000000000000000E+002, 3.1500000000000000E+002, 2.9700000000000000E+002, 5.4999995231628418E-001, 2.0000000000000000E+000, 5.0000000000000000E+002, 2.7802536010742188E+002,6, 1.0000000000000000E+000, 9.3069088459014893E-001
marine,7, 7.0000000000000000E+001, 3.1500000000000000E+002, 3.8500000000000000E+002, 2.9739999389648438E+002, 2.9999995231628418E-001, 2.0000000000000000E+000, 5.0000000000000000E+002, 2.7802536010742188E+002,6, 1.0000000000000000E+000, 9.3069088459014893E-001
marine,8, 7.5000000000000000E+001, 3.8500000000000000E+002, 4.6000000000000000E+002, 2.9779998779296875E+002, 4.9999952316284180E-002, 2.0000000000000000E+000, 5.0000000000000000E+002, 2.7802536010742188E+002,6, 1.0000000000000000E+000, 9.3069088459014893E-001
marine,9, 8.0000000000000000E+001, 4.6000000000000000E+002, 5.4000000000000000E+002, 2.9820001220703125E+002, 9.9999997764825821E-003, 2.0000000000000000E+000, 5.0000000000000000E+002, 2.7802536010742188E+002,6, 1.0000000000000000E+000, 9.3069088459014893E-001
marine,10, 8.5000000000000000E+001, 5.4000000000000000E+002, 6.2500000000000000E+002, 2.9860000610351562E+002, 9.9999997764825821E-003, 2.0000000000000000E+000, 5.0000000000000000E+002, 2.7802536010742188E+002,6, 1.0000000000000000E+000, 9.3069088459014893E-001
cold_pool,1, 4.0000000000000000E+001, 0.0000000000000000E+000, 4.0000000000000000E+001, 2.9900000000000000E+002, 3.9999999105930328E-002, 1.0000000000000000E+000, 2.5000000000000000E+002, 2.4538569641113281E+002,5, 1.0000000000000000E+000, 8.1090986728668213E-001
