case,k,dz,rho,dfq,pdk,pdt,pdq,pdc,el,s_aw,s_aw_next,s_awqke,s_awqke_next,ust,flt,flq,pmz,phh,delt,qke_before,tsq_before,qsq_before,cov_before,qke_after,tsq_after,qsq_after,cov_after
stable,1,70.0000000,1.17999995,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.280000001,-0.149999997E-1,-0.999999975E-5,1.14999998,0.899999976,6.00000000,1.70000005,0.100000005E-2,0.200000002E-6,-0.799999998E-5,1.51167333,0.827374961E-2,0.165056193E-6,-0.827393342E-5
stable,2,76.0000000,1.16972005,0.106041364,0.407238869E-3,0.153139321E-3,0.153146107E-9,-0.153142722E-6,9.39245033,0.00000000,0.00000000,0.00000000,0.00000000,0.280000001,-0.149999997E-1,-0.999999975E-5,1.14999998,0.899999976,6.00000000,1.59000003,0.818730798E-3,0.163746151E-6,-0.654984615E-5,1.50733435,0.200960319E-1,0.151673689E-6,-0.200959239E-4
stable,3,82.0000000,1.15866029,0.122518502,0.434072834E-3,0.151270069E-3,0.151259991E-9,-0.151265027E-6,12.8058424,0.00000000,0.00000000,0.00000000,0.00000000,0.280000001,-0.149999997E-1,-0.999999975E-5,1.14999998,0.899999976,6.00000000,1.48000002,0.670320063E-3,0.134064010E-6,-0.536256039E-5,1.43116212,0.300902482E-1,0.128161787E-6,-0.300900756E-4
stable,4,88.0000000,1.14684463,0.147073179,0.513245410E-3,0.149840082E-3,0.149846732E-9,-0.149843402E-6,19.6131821,0.00000000,0.00000000,0.00000000,0.00000000,0.280000001,-0.149999997E-1,-0.999999975E-5,1.14999998,0.899999976,6.00000000,1.37000012,0.548811629E-3,0.109762325E-6,-0.439049290E-5,1.34167147,0.409971252E-1,0.107089271E-6,-0.409969871E-4
stable,5,94.0000000,1.13429856,0.152979419,0.532486418E-3,0.128339176E-3,0.128330624E-9,-0.128334904E-6,26.3868046,0.00000000,0.00000000,0.00000000,0.00000000,0.280000001,-0.149999997E-1,-0.999999975E-5,1.14999998,0.899999976,6.00000000,1.25999999,0.449328974E-3,0.898657930E-7,-0.359463161E-5,1.23980260,0.413483344E-1,0.883198297E-7,-0.413479866E-4
stable,6,100.000000,1.12104845,0.139565840,0.447361643E-3,0.104823688E-3,0.104828340E-9,-0.104826015E-6,26.6958485,0.00000000,0.00000000,0.00000000,0.00000000,0.280000001,-0.149999997E-1,-0.999999975E-5,1.14999998,0.899999976,6.00000000,1.15000010,0.367879460E-3,0.735758903E-7,-0.294303550E-5,1.13215899,0.350738801E-1,0.723980662E-7,-0.350746595E-4
stable,7,106.000000,1.10712254,0.124959819,0.366571767E-3,0.853628153E-4,0.853666096E-10,-0.853647038E-7,26.0419254,0.00000000,0.00000000,0.00000000,0.00000000,0.280000001,-0.149999997E-1,-0.999999975E-5,1.14999998,0.899999976,6.00000000,1.04000008,0.301194203E-3,0.602388397E-7,-0.240955342E-5,1.02374375,0.288872086E-1,0.592904357E-7,-0.288871361E-4
stable,8,112.000000,1.09254992,0.110007346,0.294672849E-3,0.690447705E-4,0.690401833E-10,-0.690424784E-7,24.8351803,0.00000000,0.00000000,0.00000000,0.00000000,0.280000001,-0.149999997E-1,-0.999999975E-5,1.14999998,0.899999976,6.00000000,0.930000067,0.246596988E-3,0.493193966E-7,-0.197277586E-5,0.914973140,0.230635237E-1,0.485168812E-7,-0.230633250E-4
stable,9,118.000000,1.07736087,0.944701657E-1,0.229627345E-3,0.550939403E-4,0.550963893E-10,-0.550951640E-7,22.9428940,0.00000000,0.00000000,0.00000000,0.00000000,0.280000001,-0.149999997E-1,-0.999999975E-5,1.14999998,0.899999976,6.00000000,0.820000052,0.201896532E-3,0.403793052E-7,-0.161517210E-5,0.806158841,0.179823581E-1,0.396802093E-7,-0.179823182E-4
stable,10,124.000000,1.06158638,0.799382627E-1,0.177373251E-3,0.433532477E-4,0.433503615E-10,-0.433518039E-7,21.1652775,0.00000000,0.00000000,0.00000000,0.00000000,0.280000001,-0.149999997E-1,-0.999999975E-5,1.14999998,0.899999976,6.00000000,0.710000038,0.165298901E-3,0.330597807E-7,-0.132239120E-5,0.697771907,0.140523342E-1,0.324633973E-7,-0.140522061E-4
