i,zet,phim,phih
1,-2.0000000000000000E+001, 1.7000770568847656E-001, 1.1453187465667725E-001
2,-1.9950000762939453E+001, 1.7014616727828979E-001, 1.1463189125061035E-001
3,-1.9899999618530273E+001, 1.7028379440307617E-001, 1.1472713947296143E-001
4,-1.9850000381469727E+001, 1.7042452096939087E-001, 1.1482703685760498E-001
5,-1.9799999237060547E+001, 1.7056453227996826E-001, 1.1492532491683960E-001
6,-1.9750000000000000E+001, 1.7070430517196655E-001, 1.1502432823181152E-001
7,-1.9700000762939453E+001, 1.7084521055221558E-001, 1.1512356996536255E-001
8,-1.9649999618530273E+001, 1.7098611593246460E-001, 1.1522382497787476E-001
9,-1.9600000381469727E+001, 1.7112880945205688E-001, 1.1532497406005859E-001
10,-1.9549999237060547E+001, 1.7127048969268799E-001, 1.1542373895645142E-001
11,-1.9500000000000000E+001, 1.7141354084014893E-001, 1.1552417278289795E-001
12,-1.9450000762939453E+001, 1.7155677080154419E-001, 1.1562585830688477E-001
13,-1.9399999618530273E+001, 1.7169994115829468E-001, 1.1572837829589844E-001
14,-1.9350000381469727E+001, 1.7184573411941528E-001, 1.1583042144775391E-001
15,-1.9299999237060547E+001, 1.7198985815048218E-001, 1.1593234539031982E-001
16,-1.9250000000000000E+001, 1.7213559150695801E-001, 1.1603569984436035E-001
17,-1.9200000762939453E+001, 1.7228198051452637E-001, 1.1613899469375610E-001
18,-1.9149999618530273E+001, 1.7242693901062012E-001, 1.1624121665954590E-001
19,-1.9100000381469727E+001, 1.7257374525070190E-001, 1.1634635925292969E-001
20,-1.9049999237060547E+001, 1.7272043228149414E-001, 1.1645001173019409E-001
21,-1.9000000000000000E+001, 1.7286908626556396E-001, 1.1655610799789429E-001
22,-1.8950000762939453E+001, 1.7301654815673828E-001, 1.1666029691696167E-001
23,-1.8899999618530273E+001, 1.7316526174545288E-001, 1.1676561832427979E-001
24,-1.8850000381469727E+001, 1.7331445217132568E-001, 1.1687028408050537E-001
25,-1.8799999237060547E+001, 1.7346453666687012E-001, 1.1697727441787720E-001
26,-1.8750000000000000E+001, 1.7361474037170410E-001, 1.1708271503448486E-001
