case,itimestep,isfflx,dx,xland,snowh,u1,v1,t1,qv1,p1,rho1,dz1,u2,v2,dz2,psfc,tsk,pblh,mavail,hfx_input,qfx_input,znt_input,qsfc_input,ust_input,mol_input,ustm_input,regime,zol,rmol,ust,ustm,mol,psim,psih,chs,chs2,cqs2,ch,flhc,flqc,qgh,qsfc,hfx,qfx,lh,u10,v10,th2,t2,q2,gz1oz0,wspd,br,ck,cka,cd,cda,wstar,qstar,cpm,znt
strong_stable_land,1,1, 3.0000000000000000E+003, 1.0000000000000000E+000, 0.0000000000000000E+000, 6.0000000000000000E+000, 1.0000000000000000E+000, 2.9500000000000000E+002, 6.0000000521540642E-003, 9.9000000000000000E+004, 1.1650869846343994E+000, 4.0000000000000000E+001, 8.0000000000000000E+000, 1.3999999761581421E+000, 6.0000000000000000E+001, 1.0000000000000000E+005, 2.8000000000000000E+002, 2.5000000000000000E+002, 4.4999998807907104E-001,-2.5000000000000000E+001,-9.9999999747524271E-007, 1.0000000149011612E-001, 5.9642144478857517E-003, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 1.0000000000000000E+000, 6.3335766792297363E+000, 3.1667882204055786E-001, 5.8982882648706436E-002, 5.8982882648706436E-002, 3.3176341652870178E-001,-1.5339714050292969E+001,-1.3586357116699219E+001, 1.2302617542445660E-003, 3.2241449225693941E-003, 3.2294301781803370E-003, 1.2302616378292441E-003, 1.4470686912536621E+000, 6.4505473710596561E-004, 1.6893278807401657E-002, 5.9642144478857517E-003,-2.2933618545532227E+001,-3.0037701926471927E-013,-7.5094254725627252E-007, 4.5953416824340820E+000, 7.6589030027389526E-001, 2.8604736328125000E+002, 2.8604736328125000E+002, 5.9999995864927769E-003, 5.3033046722412109E+000, 6.0827627182006836E+000, 2.8509205579757690E-001, 6.7055993713438511E-004, 4.0419088327325881E-004, 6.4008915796875954E-004, 3.7546857492998242E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0095627441406250E+003, 1.0000000149011612E-001
clipped_stable_land,1,1, 3.0000000000000000E+003, 1.0000000000000000E+000, 0.0000000000000000E+000, 1.2000000476837158E+000, 4.0000000596046448E-001, 2.9500000000000000E+002, 4.9999998882412910E-003, 9.9200000000000000E+004, 1.1681410074234009E+000, 4.0000000000000000E+001, 2.0000000000000000E+000, 6.9999998807907104E-001, 6.0000000000000000E+001, 1.0000000000000000E+005, 2.7800000000000000E+002, 1.8000000000000000E+002, 4.0000000596046448E-001,-1.5000000000000000E+001,-8.0000000934887794E-007, 1.0000000149011612E-001, 4.9751242622733116E-003, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 1.0000000000000000E+000, 2.0000000000000000E+001, 1.0000000000000000E+000, 9.3343742191791534E-003, 9.3343742191791534E-003, 2.8807267546653748E-001,-2.1944866180419922E+001,-1.9029552459716797E+001, 1.5165182412602007E-004, 3.3782672835513949E-004, 3.3819320378825068E-004, 1.5165180957410485E-004, 1.7869526147842407E-001, 7.0863869041204453E-005, 1.6858296468853951E-002, 4.9751242622733116E-003,-3.1589329242706299E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.8495334386825562E-001, 3.2831779122352600E-001, 2.8593560791015625E+002, 2.8593560791015625E+002, 4.9999998882412910E-003, 5.3033046722412109E+000, 1.2649110555648804E+000, 2.0000000000000000E+000, 3.5460022627376020E-004, 2.3851024161558598E-004, 3.1987219699658453E-004, 2.1549900702666491E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0087188720703125E+003, 1.0000000149011612E-001
damped_stable_land,1,1, 3.0000000000000000E+003, 1.0000000000000000E+000, 0.0000000000000000E+000, 5.0000000000000000E+000, 1.0000000000000000E+000, 2.9300000000000000E+002, 7.0000002160668373E-003, 9.9500000000000000E+004, 1.1782591342926025E+000, 4.0000000000000000E+001, 6.5000000000000000E+000, 1.2999999523162842E+000, 6.0000000000000000E+001, 1.0000000000000000E+005, 2.9100000000000000E+002, 4.0000000000000000E+002, 5.5000001192092896E-001,-1.0000000000000000E+001,-4.9999999873762135E-007, 1.0000000149011612E-001, 6.9513409398496151E-003, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 2.0000000000000000E+000, 4.2563539743423462E-001, 2.1281769499182701E-002, 1.3323371112346649E-001, 1.3323371112346649E-001, 1.1261259019374847E-001,-2.3538167476654053E+000,-3.0408904552459717E+000, 6.1740311793982983E-003, 1.4423228800296783E-002, 1.4470128342509270E-002, 6.1740311793982983E-003, 7.3503112792968750E+000, 4.0016127750277519E-003, 1.4812489040195942E-002, 6.9513409398496151E-003,-1.7787179946899414E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.8085076808929443E+000, 7.6170152425765991E-001, 2.9203588867187500E+002, 2.9203588867187500E+002, 7.0000002160668373E-003, 5.3033046722412109E+000, 5.0990195274353027E+000, 6.2498316168785095E-002, 4.1601262055337429E-003, 2.4210950359702110E-003, 4.7034793533384800E-003, 2.7289080899208784E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0104064331054688E+003, 1.0000000149011612E-001
neutral_land,1,1, 3.0000000000000000E+003, 1.0000000000000000E+000, 0.0000000000000000E+000, 4.0000000000000000E+000, 0.0000000000000000E+000, 2.9500000000000000E+002, 8.0000003799796104E-003, 1.0000000000000000E+005, 1.1754503250122070E+000, 4.0000000000000000E+001, 5.0000000000000000E+000, 0.0000000000000000E+000, 6.0000000000000000E+001, 1.0000000000000000E+005, 2.9500000000000000E+002, 6.0000000000000000E+002, 5.5000001192092896E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000149011612E-001, 7.9365083947777748E-003, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 3.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.5089933574199677E-001, 1.5089933574199677E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0795899666845798E-002, 1.8114056438207626E-002, 1.8179392442107201E-002, 1.0795899666845798E-002, 1.2832808494567871E+001, 6.9810780696570873E-003, 1.6719803214073181E-002, 7.9365083947777748E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.4809393882751465E+000, 0.0000000000000000E+000, 2.9500000000000000E+002, 2.9500000000000000E+002, 8.0000003799796104E-003, 5.3033046722412109E+000, 4.0000000000000000E+000, 0.0000000000000000E+000, 7.0747667923569679E-003, 5.3973631002008915E-003, 7.5119710527360439E-003, 5.6888810358941555E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0112501831054688E+003, 1.0000000149011612E-001
free_convective_land,1,1, 3.0000000000000000E+003, 1.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+000, 1.0000000000000000E+000, 2.9900000000000000E+002, 1.2000000104308128E-002, 9.8500000000000000E+004, 1.1396236419677734E+000, 4.4000000000000000E+001, 4.0000000000000000E+000, 1.3999999761581421E+000, 6.6000000000000000E+001, 1.0000000000000000E+005, 3.0900000000000000E+002, 1.5000000000000000E+003, 7.5000000000000000E-001, 2.4000000000000000E+002, 1.4000000373926014E-004, 1.1999999731779099E-001, 1.1857707984745502E-002, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 4.0000000000000000E+000,-1.4269053936004639E+000,-6.4859338104724884E-002, 2.2752001881599426E-001, 2.2752001881599426E-001,-1.0277682542800903E+000, 1.2852759361267090E+000, 2.0916507244110107E+000, 2.6666847988963127E-002, 3.5662803798913956E-002, 3.5863094031810760E-002, 2.6666847988963127E-002, 3.0834636688232422E+001, 2.2801695391535759E-002, 2.1766735240817070E-002, 1.1857707984745502E-002, 2.6844802856445312E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7133619785308838E+000, 9.0445405244827271E-001, 3.0249005126953125E+002, 3.0249005126953125E+002, 1.2000000104308128E-002, 5.2167458534240723E+000, 4.4714579582214355E+000,-3.1520274281501770E-001, 1.4061621390283108E-002, 1.1929708532989025E-002, 1.2654270045459270E-002, 1.0351661592721939E-002, 3.1613187789916992E+000, 0.0000000000000000E+000, 1.0146253662109375E+003, 1.1999999731779099E-001
land_qsfc_unset,1,1, 3.0000000000000000E+003, 1.0000000000000000E+000, 0.0000000000000000E+000, 5.0000000000000000E+000, 2.0000000000000000E+000, 2.9700000000000000E+002, 8.9999996125698090E-003, 9.9000000000000000E+004, 1.1551717519760132E+000, 4.0000000000000000E+001, 6.5000000000000000E+000, 2.5999999046325684E+000, 6.0000000000000000E+001, 1.0000000000000000E+005, 3.0200000000000000E+002, 9.0000000000000000E+002, 5.0000000000000000E-001, 1.5000000000000000E+002, 7.9999997979030013E-005, 1.0000000149011612E-001, 0.0000000000000000E+000, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 4.0000000000000000E+000,-6.6138267517089844E-001,-3.3069133758544922E-002, 2.6589399576187134E-001, 2.6589399576187134E-001,-7.0968401432037354E-001, 9.0180450677871704E-001, 1.5683554410934448E+000, 2.6439804583787918E-002, 3.6070376634597778E-002, 3.6217477172613144E-002, 2.6439806446433067E-002, 3.0911899566650391E+001, 1.5275985933840275E-002, 1.9138988107442856E-002, 2.5077208876609802E-002, 1.2815872192382812E+002, 2.5544888922013342E-004, 6.3862225341796875E+002, 4.5406541824340820E+000, 1.8162616491317749E+000, 2.9896099853515625E+002, 2.9896099853515625E+002, 9.4499988481402397E-003, 5.3033046722412109E+000, 5.8505616188049316E+000,-1.3734588027000427E-001, 1.0561723262071609E-002, 9.0394802391529083E-003, 1.0014325380325317E-002, 8.2588298246264458E-003, 2.2867164611816406E+000,-1.6066583395004272E+000, 1.0120940551757812E+003, 1.0000000149011612E-001
thin_land_level2_wind,1,1, 3.0000000000000000E+003, 1.0000000000000000E+000, 0.0000000000000000E+000, 2.5000000000000000E+000, 8.0000001192092896E-001, 2.9400000000000000E+002, 6.5000001341104507E-003, 9.9800000000000000E+004, 1.1781440973281860E+000, 6.0000000000000000E+000, 3.2000000476837158E+000, 1.0000000000000000E+000, 1.0000000000000000E+001, 1.0000000000000000E+005, 2.9000000000000000E+002, 3.0000000000000000E+002, 5.0000000000000000E-001,-1.8000000000000000E+001,-6.9999998686398612E-007, 5.0000000745058060E-002, 6.4580230973660946E-003, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 2.0000000000000000E+000, 3.0958470702171326E-001, 1.0319489985704422E-001, 8.9798949658870697E-002, 8.9798949658870697E-002, 2.4812583625316620E-001,-1.7385118007659912E+000,-2.3473775386810303E+000, 5.3246272727847099E-003, 6.3619250431656837E-003, 6.3688238151371479E-003, 5.3246272727847099E-003, 6.3358135223388672E+000, 3.1384998001158237E-003, 1.5732189640402794E-002, 6.4580230973660946E-003,-2.6409019470214844E+001, 1.4614778571370168E-012, 3.6536946481646737E-006, 3.2000000476837158E+000, 1.0000000000000000E+000, 2.9348858642578125E+002, 2.9348858642578125E+002, 6.5000001341104507E-003, 4.1108736991882324E+000, 2.6248810291290283E+000, 6.0761619359254837E-002, 1.3425538782030344E-003, 4.0572537109255791E-003, 1.4334607403725386E-003, 4.6762693673372269E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0099846191406250E+003, 5.0000000745058060E-002
thin_land_log10_wind,1,1, 3.0000000000000000E+003, 1.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000000000000E+000, 5.0000000000000000E-001, 2.9600000000000000E+002, 7.4999998323619366E-003, 9.9850000000000000E+004, 1.1700706481933594E+000, 3.0000000000000000E+000, 2.5999999046325684E+000, 6.9999998807907104E-001, 4.0000000000000000E+001, 1.0000000000000000E+005, 2.9100000000000000E+002, 2.6000000000000000E+002, 5.0000000000000000E-001,-1.4000000000000000E+001,-6.0000002122251317E-007, 1.9999999552965164E-002, 7.4441679753363132E-003, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 2.0000000000000000E+000, 3.2335355877876282E-001, 2.1556903421878815E-001, 6.7164935171604156E-002, 6.7164935171604156E-002, 2.9211506247520447E-001,-1.8126170635223389E+000,-2.4338846206665039E+000, 3.8095335476100445E-003, 3.3732824958860874E-003, 3.3743323292583227E-003, 3.8095335476100445E-003, 4.5056896209716797E+000, 2.2297534160315990E-003, 1.7826853320002556E-002, 7.4441679753363132E-003,-2.3100597381591797E+001,-2.0766196921762070E-012,-5.1915490075771231E-006, 2.8788073062896729E+000, 7.1970182657241821E-001, 2.9783596801757812E+002, 2.9783596801757812E+002, 7.4999998323619366E-003, 4.3307332992553711E+000, 2.0615527629852295E+000, 6.0216855257749557E-002, 6.9086166331544518E-004, 3.6947652697563171E-003, 6.8487273529171944E-004, 4.2394488118588924E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0108283081054688E+003, 1.9999999552965164E-002
midres_water,1,1, 3.0000000000000000E+003, 2.0000000000000000E+000, 0.0000000000000000E+000, 9.0000000000000000E+000, 3.0000000000000000E+000, 2.9200000000000000E+002, 8.5000004619359970E-003, 9.9000000000000000E+004, 1.1753014326095581E+000, 1.8000000000000000E+001, 1.1000000000000000E+001, 3.5999999046325684E+000, 3.4000000000000000E+001, 1.0000000000000000E+005, 2.8900000000000000E+002, 4.2000000000000000E+002, 1.0000000000000000E+000,-1.0000000000000000E+001, 1.9999999494757503E-005, 1.9999999494757503E-004, 0.0000000000000000E+000, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 2.0000000000000000E+000, 1.6010636091232300E-001, 1.7789594829082489E-002, 1.4113870263099670E-001, 1.4113870263099670E-001, 1.0569173097610474E-001,-9.2738926410675049E-001,-1.3107964992523193E+000, 4.4388943351805210E-003, 5.5316574871540070E-003, 5.5316393263638020E-003, 4.4388943351805210E-003, 5.2779331207275391E+000, 5.2170362323522568E-003, 1.3969942927360535E-002, 1.1265649460256100E-002,-2.0265632629394531E+001, 1.5098156836756971E-005, 3.7745391845703125E+001, 9.0757350921630859E+000, 3.0252449512481689E+000, 2.9208117675781250E+002, 2.9208117675781250E+002, 8.9250002056360245E-003, 1.2520649909973145E+001, 9.4868326187133789E+000, 1.1257746256887913E-002, 9.0454128803685308E-004, 9.3546923017129302E-004, 8.5844646673649549E-004, 8.8471238268539310E-004, 0.0000000000000000E+000,-8.9234426617622375E-002, 1.0116721801757812E+003, 3.2854502933332697E-005
coarse_water,1,1, 3.0000000000000000E+003, 2.0000000000000000E+000, 0.0000000000000000E+000, 1.1000000000000000E+001, 2.0000000000000000E+000, 2.9900000000000000E+002, 1.3000000268220901E-002, 9.8500000000000000E+004, 1.1389527320861816E+000, 6.0000000000000000E+001, 1.3000000000000000E+001, 2.4000000953674316E+000, 9.0000000000000000E+001, 1.0000000000000000E+005, 3.0400000000000000E+002, 1.2000000000000000E+003, 1.0000000000000000E+000, 1.3000000000000000E+002, 9.0000001364387572E-005, 1.9999999494757503E-004, 0.0000000000000000E+000, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 4.0000000000000000E+000,-7.3505789041519165E-001,-2.4501929059624672E-002, 1.7896673083305359E-001, 1.7582689225673676E-001,-2.4009823799133301E-001, 9.6153759956359863E-001, 1.6573126316070557E+000, 6.5350751392543316E-003, 7.4622360989451408E-003, 7.4622100219130516E-003, 6.5350756049156189E-003, 7.5582814216613770E+000, 7.4431407265365124E-003, 2.1766735240817070E-002, 2.8190687298774719E-002, 2.8011404037475586E+001, 1.1915319919353351E-004, 2.9788299560546875E+002, 1.0428844451904297E+001, 1.8961534500122070E+000, 3.0075442504882812E+002, 3.0075442504882812E+002, 1.3650000095367432E-002, 1.3682594299316406E+001, 1.1380049705505371E+001,-4.9758363515138626E-002, 1.2565358774736524E-003, 1.1481932597234845E-003, 1.0999847436323762E-003, 9.8872056696563959E-004, 2.1226236820220947E+000,-5.6078875064849854E-001, 1.0154691772460938E+003, 3.4264685382368043E-005
