leaf,sample,ustar,wsp10,visc,zu,ren,z0_in,landsea,z0_out,zt_out,zq_out
charnock_1955,1, 9.9999997473787516E-005, 5.0000000745058060E-002, 1.3259999832371250E-005, 9.0000000000000000E+000, 1.0000000149011612E-001, 1.2700000695531344E-007, 2.0000000000000000E+000, 2.9172009817557409E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
edson_etal_2013,1, 9.9999997473787516E-005, 5.0000000745058060E-002, 1.3259999832371250E-005, 9.0000000000000000E+000, 1.0000000149011612E-001, 1.2700000695531344E-007, 2.0000000000000000E+000, 2.0837142074014992E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
davis_etal_2008,1, 9.9999997473787516E-005, 5.0000000745058060E-002, 1.3259999832371250E-005, 9.0000000000000000E+000, 1.0000000149011612E-001, 1.2700000695531344E-007, 2.0000000000000000E+000, 2.5144559913314879E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
taylor_yelland_2001,1, 9.9999997473787516E-005, 5.0000000745058060E-002, 1.3259999832371250E-005, 9.0000000000000000E+000, 1.0000000149011612E-001, 1.2700000695531344E-007, 2.0000000000000000E+000, 1.2700000695531344E-007, 0.0000000000000000E+000, 0.0000000000000000E+000
fairall_etal_2003,1, 9.9999997473787516E-005, 5.0000000745058060E-002, 1.3259999832371250E-005, 9.0000000000000000E+000, 1.0000000149011612E-001, 1.2700000695531344E-007, 2.0000000000000000E+000, 0.0000000000000000E+000, 9.9999997473787516E-005, 9.9999997473787516E-005
fairall_etal_2014,1, 9.9999997473787516E-005, 5.0000000745058060E-002, 1.3259999832371250E-005, 9.0000000000000000E+000, 1.0000000149011612E-001, 1.2700000695531344E-007, 2.0000000000000000E+000, 0.0000000000000000E+000, 1.5999999595806003E-004, 1.5999999595806003E-004
garratt_1992,1, 9.9999997473787516E-005, 5.0000000745058060E-002, 1.3259999832371250E-005, 9.0000000000000000E+000, 1.0000000149011612E-001, 1.2700000695531344E-007, 2.0000000000000000E+000, 0.0000000000000000E+000, 2.3266058235549281E-007, 2.6035573341687268E-007
garratt_1992,1, 9.9999997473787516E-005, 5.0000000745058060E-002, 1.3259999832371250E-005, 9.0000000000000000E+000, 1.0000000149011612E-001, 1.2700000695531344E-007, 1.5000000000000000E+000, 0.0000000000000000E+000, 1.7187582912470134E-008, 1.7187582912470134E-008
garratt_1992,1, 9.9999997473787516E-005, 5.0000000745058060E-002, 1.3259999832371250E-005, 9.0000000000000000E+000, 1.0000000149011612E-001, 1.2700000695531344E-007, 1.0000000000000000E+000, 0.0000000000000000E+000, 1.7187582912470134E-008, 1.7187582912470134E-008
charnock_1955,2, 1.0000000474974513E-003, 1.0000000149011612E-001, 1.2999999853491317E-005, 1.0000000000000000E+001, 2.0000000298023224E-001, 1.5899999198154546E-005, 2.0000000000000000E+000, 2.8601119993254542E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
edson_etal_2013,2, 1.0000000474974513E-003, 1.0000000149011612E-001, 1.2999999853491317E-005, 1.0000000000000000E+001, 2.0000000298023224E-001, 1.5899999198154546E-005, 2.0000000000000000E+000, 2.0428571588126943E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
davis_etal_2008,2, 1.0000000474974513E-003, 1.0000000149011612E-001, 1.2999999853491317E-005, 1.0000000000000000E+001, 2.0000000298023224E-001, 1.5899999198154546E-005, 2.0000000000000000E+000, 3.4346285247011110E-005, 0.0000000000000000E+000, 0.0000000000000000E+000
taylor_yelland_2001,2, 1.0000000474974513E-003, 1.0000000149011612E-001, 1.2999999853491317E-005, 1.0000000000000000E+001, 2.0000000298023224E-001, 1.5899999198154546E-005, 2.0000000000000000E+000, 1.2700000695531344E-007, 0.0000000000000000E+000, 0.0000000000000000E+000
fairall_etal_2003,2, 1.0000000474974513E-003, 1.0000000149011612E-001, 1.2999999853491317E-005, 1.0000000000000000E+001, 2.0000000298023224E-001, 1.5899999198154546E-005, 2.0000000000000000E+000, 0.0000000000000000E+000, 9.9999997473787516E-005, 9.9999997473787516E-005
fairall_etal_2014,2, 1.0000000474974513E-003, 1.0000000149011612E-001, 1.2999999853491317E-005, 1.0000000000000000E+001, 2.0000000298023224E-001, 1.5899999198154546E-005, 2.0000000000000000E+000, 0.0000000000000000E+000, 1.5999999595806003E-004, 1.5999999595806003E-004
garratt_1992,2, 1.0000000474974513E-003, 1.0000000149011612E-001, 1.2999999853491317E-005, 1.0000000000000000E+001, 2.0000000298023224E-001, 1.5899999198154546E-005, 2.0000000000000000E+000, 0.0000000000000000E+000, 2.2372736566467211E-005, 2.5574381652404554E-005
