case,isftcflx,itimestep,isfflx,dx,xland,snowh,u1,v1,t1,qv1,p1,rho1,dz1,u2,v2,dz2,psfc,tsk,pblh,mavail,hfx_input,qfx_input,znt_input,qsfc_input,ust_input,mol_input,ustm_input,regime,zol,rmol,ust,ustm,mol,psim,psih,chs,chs2,cqs2,ch,flhc,flqc,qgh,qsfc,hfx,qfx,lh,u10,v10,th2,t2,q2,gz1oz0,wspd,br,ck,cka,cd,cda,wstar,qstar,cpm,znt
calm_water,0,1,1, 3.0000000000000000E+003, 2.0000000000000000E+000, 0.0000000000000000E+000, 5.0000000745058060E-002, 0.0000000000000000E+000, 2.9200000000000000E+002, 6.0000000521540642E-003, 9.9000000000000000E+004, 1.1770570278167725E+000, 1.8000000000000000E+001, 1.0000000149011612E-001, 0.0000000000000000E+000, 2.8000000000000000E+001, 1.0000000000000000E+005, 2.8900000000000000E+002, 2.0000000000000000E+002, 1.0000000000000000E+000,-8.0000000000000000E+000,-4.9999999873762135E-007, 1.9999999494757503E-004, 5.9642144478857517E-003, 9.9999997764825821E-003, 0.0000000000000000E+000, 9.9999997764825821E-003, 1.0000000000000000E+000, 2.0000000000000000E+001, 2.2222223281860352E+000, 5.5711073800921440E-003, 5.5711073800921440E-003, 3.7642400711774826E-002,-2.2502426147460938E+001,-1.9637626647949219E+001, 7.1780603320803493E-005, 1.0163294791709632E-004, 1.0163279512198642E-004, 7.1780603320803493E-005, 8.5297815501689911E-002, 8.4489853179547936E-005, 1.3969942927360535E-002, 1.1265649460256100E-002,-3.2751727104187012E-001, 4.5573918328045693E-007, 1.1393479108810425E+000, 5.0420865416526794E-002, 0.0000000000000000E+000, 2.9171188354492188E+002, 2.9171188354492188E+002, 6.2999995425343513E-003, 1.2517243385314941E+001, 1.0000000149011612E-001, 2.0000000000000000E+000, 1.4111165364738554E-004, 1.4716802979819477E-004, 1.2506655184552073E-004, 1.3046557432971895E-004, 0.0000000000000000E+000,-6.8306028842926025E-002, 1.0095627441406250E+003, 3.2966621802188456E-005
light_water,0,1,1, 3.0000000000000000E+003, 2.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+000, 1.0000000000000000E+000, 2.9200000000000000E+002, 7.4999998323619366E-003, 9.9200000000000000E+004, 1.1783777475357056E+000, 2.0000000000000000E+001, 3.9000000953674316E+000, 1.2999999523162842E+000, 3.2000000000000000E+001, 1.0000000000000000E+005, 2.9300000000000000E+002, 4.0000000000000000E+002, 1.0000000000000000E+000, 2.0000000000000000E+001, 9.9999997473787516E-006, 1.9999999494757503E-004, 7.4441679753363132E-003, 5.0000000745058060E-002, 0.0000000000000000E+000, 5.0000000745058060E-002, 4.0000000000000000E+000,-6.8459981679916382E-001,-6.8459980189800262E-002, 8.1110201776027679E-002, 7.9446658492088318E-002,-6.4303688704967499E-002, 9.2807424068450928E-001, 1.6075769662857056E+000, 3.2754093408584595E-003, 3.5115978680551052E-003, 3.5115855280309916E-003, 3.2754093408584595E-003, 3.9014632701873779E+000, 3.8596668746322393E-003, 1.3941146433353424E-002, 1.4522654935717583E-002, 1.2840967178344727E+000, 2.7931140721193515E-005, 6.9827850341796875E+001, 3.0000000000000000E+000, 1.0000000000000000E+000, 2.9269299316406250E+002, 2.9269299316406250E+002, 7.8749991953372955E-003, 1.2544132232666016E+001, 3.2588968276977539E+000,-5.0256717950105667E-002, 1.3905689120292664E-003, 1.3905641390010715E-003, 1.1857753852382302E-003, 1.1857753852382302E-003, 7.8766077756881714E-001,-2.8584498167037964E-001, 1.0108283081054688E+003, 3.5657754779094830E-005
moderate_water,0,1,1, 3.0000000000000000E+003, 2.0000000000000000E+000, 0.0000000000000000E+000, 8.0000000000000000E+000, 2.0000000000000000E+000, 2.9300000000000000E+002, 8.9999996125698090E-003, 9.9400000000000000E+004, 1.1756731271743774E+000, 2.4000000000000000E+001, 1.0000000000000000E+001, 2.5999999046325684E+000, 3.8000000000000000E+001, 1.0000000000000000E+005, 2.9500000000000000E+002, 7.0000000000000000E+002, 1.0000000000000000E+000, 6.0000000000000000E+001, 2.9999999242136255E-005, 1.9999999494757503E-004, 8.9197224006056786E-003, 3.0000001192092896E-001, 0.0000000000000000E+000, 3.0000001192092896E-001, 4.0000000000000000E+000,-1.7220211029052734E-001,-1.4350175857543945E-002, 2.9902547597885132E-001, 2.9704004526138306E-001,-9.5351457595825195E-002, 4.1669005155563354E-001, 7.7113193273544312E-001, 9.9889673292636871E-003, 1.1120273731648922E-002, 1.1120310053229332E-002, 9.9889673292636871E-003, 1.1885789871215820E+001, 1.1743765324354172E-002, 1.4827745966613293E-002, 1.6444846987724304E-002, 1.7778629302978516E+001, 9.0659559646155685E-005, 2.2664889526367188E+002, 7.8746170997619629E+000, 1.9686542749404907E+000, 2.9365637207031250E+002, 2.9365637207031250E+002, 9.4499988481402397E-003, 1.1632970809936523E+001, 8.3575572967529297E+000,-1.6390498727560043E-002, 1.2154503492638469E-003, 1.1913070920854807E-003, 1.3026105007156730E-003, 1.2718100333586335E-003, 1.3596935272216797E+000,-2.5137731432914734E-001, 1.0120940551757812E+003, 1.0642653069226071E-004
breezy_water,0,1,1, 3.0000000000000000E+003, 2.0000000000000000E+000, 0.0000000000000000E+000, 1.2000000000000000E+001, 3.0000000000000000E+000, 2.9100000000000000E+002, 8.5000004619359970E-003, 9.9100000000000000E+004, 1.1805316209793091E+000, 3.0000000000000000E+001, 1.5000000000000000E+001, 3.9000000953674316E+000, 4.6000000000000000E+001, 1.0000000000000000E+005, 2.9200000000000000E+002, 9.0000000000000000E+002, 1.0000000000000000E+000, 1.2000000000000000E+002, 5.9999998484272510E-005, 1.9999999494757503E-004, 8.4283594042062759E-003, 6.0000002384185791E-001, 0.0000000000000000E+000, 6.0000002384185791E-001, 4.0000000000000000E+000,-2.8314357623457909E-002,-1.8876238027587533E-003, 5.4373294115066528E-001, 5.4102295637130737E-001,-3.3329788595438004E-002, 9.9907830357551575E-002, 1.9521230459213257E-001, 1.5433990396559238E-002, 1.7763523384928703E-002, 1.7763860523700714E-002, 1.5433989465236664E-002, 1.8432983398437500E+001, 1.8220353871583939E-002, 1.3088825158774853E-002, 1.3638554140925407E-002, 4.5598683357238770E+000, 9.7062307759188116E-005, 2.4265577697753906E+002, 1.1561941146850586E+001, 2.8904852867126465E+000, 2.9178506469726562E+002, 2.9178506469726562E+002, 8.9250002056360245E-003, 1.0363923072814941E+001, 1.2508392333984375E+001,-3.7851450033485889E-003, 1.1770396959036589E-003, 1.1062066769227386E-003, 1.6360116424039006E-003, 1.5187469543889165E-003, 1.8600764274597168E+000,-1.4789262413978577E-001, 1.0116721801757812E+003, 4.7327167703770101E-004
windy_water,0,1,1, 3.0000000000000000E+003, 2.0000000000000000E+000, 0.0000000000000000E+000, 1.7000000000000000E+001, 4.0000000000000000E+000, 2.9000000000000000E+002, 8.0000003799796104E-003, 9.8900000000000000E+004, 1.1825637817382812E+000, 3.6000000000000000E+001, 2.1000000000000000E+001, 5.0000000000000000E+000, 5.4000000000000000E+001, 1.0000000000000000E+005, 2.9100000000000000E+002, 1.1000000000000000E+003, 1.0000000000000000E+000, 1.8000000000000000E+002, 9.0000001364387572E-005, 1.9999999494757503E-004, 7.9365083947777748E-003, 1.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 4.0000000000000000E+000,-1.0130645707249641E-002,-5.6281365687027574E-004, 8.8227438926696777E-001, 8.7907719612121582E-001,-2.4393113330006599E-002, 3.8601364940404892E-002, 7.6484844088554382E-002, 2.2798845544457436E-002, 2.6433603838086128E-002, 2.6435310021042824E-002, 2.2798845544457436E-002, 2.7264404296875000E+001, 2.6961253955960274E-002, 1.2296259403228760E-002, 1.2802538461983204E-002, 2.2381973266601562E+000, 1.3395884889177978E-004, 3.3489712524414062E+002, 1.5947283744812012E+001, 3.7523019313812256E+000, 2.9092919921875000E+002, 2.9092919921875000E+002, 8.3999997004866600E-003, 9.2526865005493164E+000, 1.7611545562744141E+001,-1.8472863594070077E-003, 1.2402397114783525E-003, 1.1218107538297772E-003, 2.1416076924651861E-003, 1.8845839658752084E-003, 2.2729988098144531E+000,-1.2574304640293121E-001, 1.0112501831054688E+003, 1.7255335114896297E-003
gale_water,0,1,1, 3.0000000000000000E+003, 2.0000000000000000E+000, 0.0000000000000000E+000, 2.2000000000000000E+001, 5.0000000000000000E+000, 2.8900000000000000E+002, 7.7999997884035110E-003, 9.8600000000000000E+004, 1.1831970214843750E+000, 4.0000000000000000E+001, 2.7000000000000000E+001, 6.1999998092651367E+000, 6.0000000000000000E+001, 1.0000000000000000E+005, 2.9000000000000000E+002, 1.3000000000000000E+003, 1.0000000000000000E+000, 2.4000000000000000E+002, 1.1999999696854502E-004, 1.9999999494757503E-004, 7.7396309934556484E-003, 1.5000000000000000E+000, 0.0000000000000000E+000, 1.5000000000000000E+000, 4.0000000000000000E+000,-3.7128757685422897E-003,-1.8564378842711449E-004, 1.2637970447540283E+000, 1.2603065967559814E+000,-1.4498035423457623E-002, 1.4162912964820862E-002, 2.8069294989109039E-002, 3.1241239979863167E-002, 3.6354932934045792E-002, 3.6358654499053955E-002, 3.1241239979863167E-002, 3.7374164581298828E+001, 3.6964867264032364E-002, 1.1558799073100090E-002, 1.2012305669486523E-002,-6.2240848541259766E+000, 1.6110604337882251E-004, 4.0276510620117188E+002, 2.0293367385864258E+001, 4.6121292114257812E+000, 2.9014309692382812E+002, 2.9014309692382812E+002, 8.1899994984269142E-003, 8.8563108444213867E+000, 2.2715343475341797E+001,-7.6854857616126537E-004, 1.2654537567868829E-003, 1.1182965245097876E-003, 2.4051468353718519E-003, 2.0464654080569744E-003, 2.6432681083679199E+000,-1.0562110692262650E-001, 1.0110814819335938E+003, 2.8500000480562449E-003
hurricane_water,0,1,1, 3.0000000000000000E+003, 2.0000000000000000E+000, 0.0000000000000000E+000, 3.4000000000000000E+001, 8.0000000000000000E+000, 2.9900000000000000E+002, 1.4999999664723873E-002, 9.6500000000000000E+004, 1.1145180463790894E+000, 5.0000000000000000E+001, 4.1000000000000000E+001, 1.0000000000000000E+001, 7.6000000000000000E+001, 1.0000000000000000E+005, 3.0300000000000000E+002, 2.2000000000000000E+003, 1.0000000000000000E+000, 6.0000000000000000E+002, 3.9999998989515007E-004, 1.9999999494757503E-004, 1.4778325334191322E-002, 3.5000000000000000E+000, 0.0000000000000000E+000, 3.5000000000000000E+000, 4.0000000000000000E+000,-9.9519463256001472E-003,-3.9807785651646554E-004, 2.5285255908966064E+000, 2.5226292610168457E+000,-7.4329167604446411E-002, 3.7962093949317932E-002, 7.5234450399875641E-002, 6.0098394751548767E-002, 7.0363678038120270E-002, 7.0370644330978394E-002, 6.0098398476839066E-002, 6.8129913330078125E+001, 6.6981188952922821E-002, 2.2233992815017700E-002, 2.6593381538987160E-002, 6.4102577209472656E+001, 8.2520226715132594E-004, 2.0630056152343750E+003, 3.0640628814697266E+001, 7.2095599174499512E+000, 3.0219638061523438E+002, 3.0219638061523438E+002, 1.5749998390674591E-002, 9.0794258117675781E+000, 3.5195053100585938E+001,-2.0498288795351982E-003, 1.2305083218961954E-003, 1.0515251196920872E-003, 2.4099329020828009E-003, 1.9572328310459852E-003, 4.3234281539916992E+000,-2.8082209825515747E-001, 1.0171566162109375E+003, 2.8500000480562449E-003
cold_water,0,1,1, 3.0000000000000000E+003, 2.0000000000000000E+000, 0.0000000000000000E+000, 6.0000000000000000E+000, 1.5000000000000000E+000, 2.6800000000000000E+002, 2.4999999441206455E-003, 9.9700000000000000E+004, 1.2942557334899902E+000, 1.6000000000000000E+001, 7.5000000000000000E+000, 2.0000000000000000E+000, 2.6000000000000000E+001, 1.0000000000000000E+005, 2.7100000000000000E+002, 3.0000000000000000E+002, 1.0000000000000000E+000,-3.0000000000000000E+001,-8.0000000934887794E-007, 1.9999999494757503E-004, 2.4937654379755259E-003, 2.0000000298023224E-001, 0.0000000000000000E+000, 2.0000000298023224E-001, 4.0000000000000000E+000,-2.6659354567527771E-001,-3.3324193209409714E-002, 2.0855775475502014E-001, 2.0855775475502014E-001,-1.0737946629524231E-001, 5.5139231681823730E-001, 1.0024616718292236E+000, 7.7540278434753418E-003, 8.3596808835864067E-003, 8.3596771582961082E-003, 7.7540283091366291E-003, 1.0102025985717773E+001, 1.0035693645477295E-002, 2.4846438318490982E-003, 3.1857562717050314E-003, 2.7980958938598633E+001, 6.9842185439483728E-006, 1.7460546493530273E+001, 6.1120800971984863E+000, 1.5280200242996216E+000, 2.6843084716796875E+002, 2.6843084716796875E+002, 2.5504198856651783E-003, 1.1945618629455566E+001, 6.1846585273742676E+000,-2.2092260420322418E-002, 1.2779368553310633E-003, 1.3051972491666675E-003, 1.2016663094982505E-003, 1.2323961127549410E-003, 0.0000000000000000E+000,-2.5727724656462669E-002, 1.0066094360351562E+003, 5.1901090046158060E-005
extreme_water,0,1,1, 3.0000000000000000E+003, 2.0000000000000000E+000, 0.0000000000000000E+000, 2.6000000000000000E+001, 6.0000000000000000E+000, 2.9500000000000000E+002, 1.0999999940395355E-002, 9.8800000000000000E+004, 1.1592786312103271E+000, 4.4000000000000000E+001, 3.2000000000000000E+001, 7.5000000000000000E+000, 6.6000000000000000E+001, 1.0000000000000000E+005, 2.9800000000000000E+002, 1.6000000000000000E+003, 1.0000000000000000E+000, 3.5000000000000000E+002, 1.9999999494757503E-004, 1.9999999494757503E-004, 1.0880315676331520E-002, 9.0000000000000000E+000, 0.0000000000000000E+000, 9.0000000000000000E+000, 4.0000000000000000E+000,-1.6651621088385582E-002,-7.5689185177907348E-004, 5.1046237945556641E+000, 5.1002840995788574E+000,-8.3594068884849548E-002, 6.1375249177217484E-002, 1.2087290734052658E-001, 1.1845880001783371E-001, 1.3658203184604645E-001, 1.3659505546092987E-001, 1.1845879256725311E-001, 1.3921932983398438E+002, 1.3732779026031494E-001, 1.6928406432271004E-002, 1.9752437248826027E-002, 2.7574926757812500E+002, 1.2566120130941272E-003, 3.1415300292968750E+003, 2.3789623260498047E+001, 5.4899134635925293E+000, 2.9628213500976562E+002, 2.9628213500976562E+002, 1.1549999006092548E-002, 8.9516086578369141E+000, 2.6876237869262695E+001,-3.6358558572828770E-003, 1.1912323534488678E-003, 1.0441278573125601E-003, 2.4180496111512184E-003, 2.0243877079337835E-003, 3.2143712043762207E+000,-2.0588801801204681E-001, 1.0137816162109375E+003, 2.8500000480562449E-003
xland_exactly_1p5,0,1,1, 3.0000000000000000E+003, 1.5000000000000000E+000, 0.0000000000000000E+000, 7.0000000000000000E+000, 2.0000000000000000E+000, 2.9400000000000000E+002, 9.4999996945261955E-003, 9.9150000000000000E+004, 1.1683803796768188E+000, 2.2000000000000000E+001, 9.0000000000000000E+000, 2.5999999046325684E+000, 3.4000000000000000E+001, 1.0000000000000000E+005, 2.9700000000000000E+002, 8.0000000000000000E+002, 8.0000001192092896E-001, 7.7000000000000000E+001, 3.9999998989515007E-005, 1.9999999494757503E-004, 9.4105983152985573E-003, 4.0000000596046448E-001, 0.0000000000000000E+000, 4.0000000596046448E-001, 4.0000000000000000E+000,-1.3587349653244019E-001,-1.2352135963737965E-002, 3.4071907401084900E-001, 3.3675527572631836E-001,-7.3483996093273163E-002, 3.5393375158309937E-001, 6.6098755598068237E-001, 1.0908751748502254E-002, 1.2085537426173687E-002, 1.2085624039173126E-002, 1.0908751748502254E-002, 1.2905093193054199E+001, 1.0196470655500889E-002, 1.5837952494621277E-002, 9.4105983152985573E-003, 7.7000000000000000E+001,-9.4962033028722637E-012,-2.3740507458569482E-005, 6.9393525123596191E+000, 1.9826722145080566E+000, 2.9494012451171875E+002, 2.9494012451171875E+002, 9.4999996945261955E-003, 1.1000849723815918E+001, 7.4911203384399414E+000,-1.4975306577980518E-002, 1.2163287028670311E-003, 1.2028606142848730E-003, 1.4307805104181170E-003, 1.4114720979705453E-003, 1.7654695510864258E+000, 0.0000000000000000E+000, 1.0125158691406250E+003, 1.8356564396526664E-004
