case,itimestep,xland,snowh,u1,v1,t1,qv1,p1,rho1,dz1,u2,v2,dz2,psfc,tsk,pblh,mavail,hfx_input,qfx_input,znt_input,qsfc_input,ust_input,mol_input,ustm_input,regime,zol,rmol,ust,ustm,mol,psim,psih,chs,chs2,cqs2,ch,flhc,flqc,qgh,qsfc,hfx,qfx,lh,u10,v10,th2,t2,q2,gz1oz0,wspd,br,ck,cka,cd,cda,cpm,znt
strong_stable_land,1, 1.0000000000000000E+000, 0.0000000000000000E+000, 6.0000000000000000E+000, 1.0000000000000000E+000, 2.9500000000000000E+002, 6.0000000521540642E-003, 9.9000000000000000E+004, 1.1650869846343994E+000, 4.0000000000000000E+001, 8.0000000000000000E+000, 1.3999999761581421E+000, 6.0000000000000000E+001, 1.0000000000000000E+005, 2.8000000000000000E+002, 2.5000000000000000E+002, 4.4999998807907104E-001,-2.5000000000000000E+001,-9.9999999747524271E-007, 1.0000000149011612E-001, 5.9642144478857517E-003, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 1.0000000000000000E+000, 5.7781152725219727E+000, 2.8890576958656311E-001, 1.8217216432094574E-001, 1.8217216432094574E-001, 3.1917652487754822E-001,-1.4799384117126465E+001,-1.3270325660705566E+001, 3.6555775441229343E-003, 8.9501524344086647E-003, 8.9899459853768349E-003, 3.6555775441229343E-003, 4.2997941970825195E+000, 1.9169356673955917E-003, 1.6893278807401657E-002, 5.9642144478857517E-003,-6.8144546508789062E+001,-8.9264273056555155E-013,-2.2316069134831196E-006, 4.5615687370300293E+000, 7.6026141643524170E-001, 2.8647305297851562E+002, 2.8647305297851562E+002, 5.9999995864927769E-003, 5.3033046722412109E+000, 6.0827627182006836E+000, 2.8509205579757690E-001, 6.6435168264433742E-004, 3.9935632958076894E-004, 6.8499246845021844E-004, 3.9592391112819314E-004, 1.0095627441406250E+003, 1.0000000149011612E-001
clipped_stable_land,1, 1.0000000000000000E+000, 0.0000000000000000E+000, 1.2000000476837158E+000, 4.0000000596046448E-001, 2.9500000000000000E+002, 4.9999998882412910E-003, 9.9200000000000000E+004, 1.1681410074234009E+000, 4.0000000000000000E+001, 2.0000000000000000E+000, 6.9999998807907104E-001, 6.0000000000000000E+001, 1.0000000000000000E+005, 2.7800000000000000E+002, 1.8000000000000000E+002, 4.0000000596046448E-001,-1.5000000000000000E+001,-8.0000000934887794E-007, 1.0000000149011612E-001, 4.9751242622733116E-003, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 1.0000000000000000E+000, 2.0000000000000000E+001, 1.0000000000000000E+000, 3.4582596272230148E-002, 3.4582596272230148E-002, 2.8221982717514038E-001,-2.1944866180419922E+001,-1.9207658767700195E+001, 5.5043428437784314E-004, 1.2150495313107967E-003, 1.2174290604889393E-003, 5.5043428437784314E-004, 6.4859098196029663E-001, 2.5721749989315867E-004, 1.6858296468853951E-002, 4.9751242622733116E-003,-1.1465639114379883E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 9.8495334386825562E-001, 3.2831779122352600E-001, 2.8600827026367188E+002, 2.8600827026367188E+002, 4.9999998882412910E-003, 5.3033046722412109E+000, 1.2649110555648804E+000, 2.0000000000000000E+000, 3.4888685331679881E-004, 2.3367395624518394E-004, 3.1987219699658453E-004, 2.1549900702666491E-004, 1.0087188720703125E+003, 1.0000000149011612E-001
damped_stable_land,1, 1.0000000000000000E+000, 0.0000000000000000E+000, 5.0000000000000000E+000, 1.0000000000000000E+000, 2.9300000000000000E+002, 7.0000002160668373E-003, 9.9500000000000000E+004, 1.1782591342926025E+000, 4.0000000000000000E+001, 6.5000000000000000E+000, 1.2999999523162842E+000, 6.0000000000000000E+001, 1.0000000000000000E+005, 2.9100000000000000E+002, 4.0000000000000000E+002, 5.5000001192092896E-001,-1.0000000000000000E+001,-4.9999999873762135E-007, 1.0000000149011612E-001, 6.9513409398496151E-003, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 2.0000000000000000E+000, 3.6464852094650269E-001, 1.8232425674796104E-002, 2.4097517132759094E-001, 2.4097517132759094E-001, 1.0509105026721954E-001,-2.0336894989013672E+000,-2.6936686038970947E+000, 1.0420912876725197E-002, 2.0918983966112137E-002, 2.1077275276184082E-002, 1.0420913808047771E-002, 1.2406312942504883E+001, 6.7557953298091888E-003, 1.4812489040195942E-002, 6.9513409398496151E-003,-3.0022308349609375E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.8604710102081299E+000, 7.7209419012069702E-001, 2.9220550537109375E+002, 2.9220550537109375E+002, 7.0000002160668373E-003, 5.3033046722412109E+000, 5.0990195274353027E+000, 6.2498316168785095E-002, 3.8505129050463438E-003, 2.3585355374962091E-003, 4.9858945421874523E-003, 2.9722382314503193E-003, 1.0104064331054688E+003, 1.0000000149011612E-001
neutral_land,1, 1.0000000000000000E+000, 0.0000000000000000E+000, 4.0000000000000000E+000, 0.0000000000000000E+000, 2.9500000000000000E+002, 8.0000003799796104E-003, 1.0000000000000000E+005, 1.1754503250122070E+000, 4.0000000000000000E+001, 5.0000000000000000E+000, 0.0000000000000000E+000, 6.0000000000000000E+001, 1.0000000000000000E+005, 2.9500000000000000E+002, 6.0000000000000000E+002, 5.5000001192092896E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000149011612E-001, 7.9365083947777748E-003, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 3.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3084934055805206E-001, 2.3084934055805206E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.4414241537451744E-002, 2.2264685481786728E-002, 2.2439610213041306E-002, 1.4414243400096893E-002, 1.7133840560913086E+001, 9.3236193060874939E-003, 1.6719803214073181E-002, 7.9365083947777748E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.4809393882751465E+000, 0.0000000000000000E+000, 2.9500000000000000E+002, 2.9500000000000000E+002, 8.0000003799796104E-003, 5.3033046722412109E+000, 4.0000000000000000E+000, 0.0000000000000000E+000, 6.0701593756675720E-003, 4.7119678929448128E-003, 7.5119710527360439E-003, 5.6888810358941555E-003, 1.0112501831054688E+003, 1.0000000149011612E-001
free_convective_land,1, 1.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+000, 1.0000000000000000E+000, 2.9900000000000000E+002, 1.2000000104308128E-002, 9.8500000000000000E+004, 1.1396236419677734E+000, 4.4000000000000000E+001, 4.0000000000000000E+000, 1.3999999761581421E+000, 6.6000000000000000E+001, 1.0000000000000000E+005, 3.0900000000000000E+002, 1.5000000000000000E+003, 7.5000000000000000E-001, 2.4000000000000000E+002, 1.4000000373926014E-004, 1.1999999731779099E-001, 1.1857707984745502E-002, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 4.0000000000000000E+000,-1.1926354169845581E+000,-5.4210700094699860E-002, 2.8524672985076904E-001, 2.8524672985076904E-001,-8.1776928901672363E-001, 1.1884262561798096E+000, 1.9890056848526001E+000, 2.6601634919643402E-002, 3.3632893115282059E-002, 3.4011088311672211E-002, 2.6601634919643402E-002, 3.0759231567382812E+001, 2.2755747660994530E-002, 2.1766735240817070E-002, 1.1857707984745502E-002, 2.6779156494140625E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7040379047393799E+000, 9.0134590864181519E-001, 3.0211401367187500E+002, 3.0211401367187500E+002, 1.2000000104308128E-002, 5.2167458534240723E+000, 4.4714579582214355E+000,-3.1520274281501770E-001, 1.0794903151690960E-002, 9.2679532244801521E-003, 1.2136381119489670E-002, 9.8598934710025787E-003, 1.0146253662109375E+003, 1.1999999731779099E-001
land_qsfc_unset,1, 1.0000000000000000E+000, 0.0000000000000000E+000, 5.0000000000000000E+000, 2.0000000000000000E+000, 2.9700000000000000E+002, 8.9999996125698090E-003, 9.9000000000000000E+004, 1.1551717519760132E+000, 4.0000000000000000E+001, 6.5000000000000000E+000, 2.5999999046325684E+000, 6.0000000000000000E+001, 1.0000000000000000E+005, 3.0200000000000000E+002, 9.0000000000000000E+002, 5.0000000000000000E-001, 1.5000000000000000E+002, 7.9999997979030013E-005, 1.0000000149011612E-001, 0.0000000000000000E+000, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 4.0000000000000000E+000,-3.2295697927474976E-001,-1.6147848218679428E-002, 3.5722061991691589E-001, 3.5722061991691589E-001,-3.0533933639526367E-001, 6.1400866508483887E-001, 1.1145706176757812E+000, 2.6166589930653572E-002, 3.4844499081373215E-002, 3.5143364220857620E-002, 2.6166589930653572E-002, 3.0592472076416016E+001, 1.5123388729989529E-002, 1.9138988107442856E-002, 8.9197224006056786E-003, 1.2683440399169922E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.4992046356201172E+000, 1.7996819019317627E+000, 2.9888659667968750E+002, 2.9888659667968750E+002, 8.9999996125698090E-003, 5.3033046722412109E+000, 5.8503022193908691E+000,-8.0225236713886261E-002, 7.3666488751769066E-003, 6.2524233944714069E-003, 8.9861424639821053E-003, 7.2762016206979752E-003, 1.0120940551757812E+003, 1.0000000149011612E-001
thin_land_level2_wind,1, 1.0000000000000000E+000, 0.0000000000000000E+000, 2.5000000000000000E+000, 8.0000001192092896E-001, 2.9400000000000000E+002, 6.5000001341104507E-003, 9.9800000000000000E+004, 1.1781440973281860E+000, 6.0000000000000000E+000, 3.2000000476837158E+000, 1.0000000000000000E+000, 1.0000000000000000E+001, 1.0000000000000000E+005, 2.9000000000000000E+002, 3.0000000000000000E+002, 5.0000000000000000E-001,-1.8000000000000000E+001,-6.9999998686398612E-007, 5.0000000745058060E-002, 6.4580230973660946E-003, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 2.0000000000000000E+000, 2.8836026787757874E-001, 9.6120089292526245E-002, 1.4402148127555847E-001, 1.4402148127555847E-001, 2.4033519625663757E-001,-1.6250751018524170E+000,-2.2201104164123535E+000, 8.2716206088662148E-003, 9.7791953012347221E-003, 9.7983460873365402E-003, 8.2716206088662148E-003, 9.8424634933471680E+000, 4.8779905773699284E-003, 1.5732189640402794E-002, 6.4580230973660946E-003,-4.1025482177734375E+001, 2.2714913717331031E-012, 5.6787284847814590E-006, 3.2000000476837158E+000, 1.0000000000000000E+000, 2.9352563476562500E+002, 2.9352563476562500E+002, 6.5000001341104507E-003, 4.1108736991882324E+000, 2.6248810291290283E+000, 6.0761619359254837E-002, 1.3714300002902746E-003, 4.0095900185406208E-003, 1.5208437107503414E-003, 4.8630582168698311E-003, 1.0099846191406250E+003, 5.0000000745058060E-002
thin_land_log10_wind,1, 1.0000000000000000E+000, 0.0000000000000000E+000, 2.0000000000000000E+000, 5.0000000000000000E-001, 2.9600000000000000E+002, 7.4999998323619366E-003, 9.9850000000000000E+004, 1.1700706481933594E+000, 3.0000000000000000E+000, 2.5999999046325684E+000, 6.9999998807907104E-001, 4.0000000000000000E+001, 1.0000000000000000E+005, 2.9100000000000000E+002, 2.6000000000000000E+002, 5.0000000000000000E-001,-1.4000000000000000E+001,-6.0000002122251317E-007, 1.9999999552965164E-002, 7.4441679753363132E-003, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 2.0000000000000000E+000, 3.1917184591293335E-001, 2.1278123557567596E-001, 1.0859002172946930E-001, 1.0859002172946930E-001, 2.9043400287628174E-001,-1.7903609275817871E+000,-2.4093728065490723E+000, 6.1236820183694363E-003, 5.4304348304867744E-003, 5.4324381053447723E-003, 6.1236820183694363E-003, 7.2427263259887695E+000, 3.5845518577843904E-003, 1.7826853320002556E-002, 7.4441679753363132E-003,-3.7133338928222656E+001,-3.3383740650344551E-012,-8.3459353845682926E-006, 2.8788073062896729E+000, 7.1970182657241821E-001, 2.9783596801757812E+002, 2.9783596801757812E+002, 7.4999998323619366E-003, 4.3307332992553711E+000, 2.0615527629852295E+000, 6.0216855257749557E-002, 6.9381145294755697E-004, 3.6871752236038446E-003, 6.9153512595221400E-004, 4.2703337967395782E-003, 1.0108283081054688E+003, 1.9999999552965164E-002
midres_water,1, 2.0000000000000000E+000, 0.0000000000000000E+000, 9.0000000000000000E+000, 3.0000000000000000E+000, 2.9200000000000000E+002, 8.5000004619359970E-003, 9.9000000000000000E+004, 1.1753014326095581E+000, 1.8000000000000000E+001, 1.1000000000000000E+001, 3.5999999046325684E+000, 3.4000000000000000E+001, 1.0000000000000000E+005, 2.8900000000000000E+002, 4.2000000000000000E+002, 1.0000000000000000E+000,-1.0000000000000000E+001, 1.9999999494757503E-005, 1.9999999494757503E-004, 0.0000000000000000E+000, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 2.0000000000000000E+000, 1.0884860157966614E-001, 1.2094289064407349E-002, 3.5414138436317444E-001, 1.6445472836494446E-001, 9.7545564174652100E-002,-6.3883626461029053E-001,-9.1217774152755737E-001, 1.0279498063027859E-002, 1.2244733981788158E-002, 1.2244808487594128E-002, 1.0279497131705284E-002, 1.2222525596618652E+001, 1.2081521563231945E-002, 1.3969942927360535E-002, 1.1265649460256100E-002,-4.6930725097656250E+001, 3.4964050428243354E-005, 8.7410125732421875E+001, 9.0869798660278320E+000, 3.0289933681488037E+000, 2.9222344970703125E+002, 2.9222344970703125E+002, 8.9250002056360245E-003, 1.0901990890502930E+001, 9.4868326187133789E+000, 1.1257746256887913E-002, 9.7681873012334108E-004, 1.0060480562970042E-003, 1.1658658040687442E-003, 1.2012851657345891E-003, 1.0116721801757812E+003, 1.6579682414885610E-004
coarse_water,1, 2.0000000000000000E+000, 0.0000000000000000E+000, 1.1000000000000000E+001, 2.0000000000000000E+000, 2.9900000000000000E+002, 1.3000000268220901E-002, 9.8500000000000000E+004, 1.1389527320861816E+000, 6.0000000000000000E+001, 1.3000000000000000E+001, 2.4000000953674316E+000, 9.0000000000000000E+001, 1.0000000000000000E+005, 3.0400000000000000E+002, 1.2000000000000000E+003, 1.0000000000000000E+000, 1.3000000000000000E+002, 9.0000001364387572E-005, 1.9999999494757503E-004, 0.0000000000000000E+000, 9.9999997473787516E-005, 0.0000000000000000E+000, 9.9999997473787516E-005, 4.0000000000000000E+000,-4.6264272928237915E-001,-1.5421424061059952E-002, 4.3051439523696899E-001, 2.0332653820514679E-001,-2.0210947096347809E-001, 7.5689131021499634E-001, 1.3417767286300659E+000, 1.3233162462711334E-002, 1.5057463198900223E-002, 1.5057606622576714E-002, 1.3233162462711334E-002, 1.5305097579956055E+001, 1.5071955509483814E-002, 2.1766735240817070E-002, 2.8190687298774719E-002, 5.6721527099609375E+001, 2.4127875803969800E-004, 6.0319689941406250E+002, 1.0271739006042480E+001, 1.8675888776779175E+000, 3.0074295043945312E+002, 3.0074295043945312E+002, 1.3650000095367432E-002, 1.1757019042968750E+001, 1.1380049705505371E+001,-4.9758363515138626E-002, 1.2423550942912698E-003, 1.1177340056747198E-003, 1.5164287760853767E-003, 1.3222832931205630E-003, 1.0154691772460938E+003, 2.3502610565628856E-004
