case,k,delt,psfc,ust,wspd,uoce,voce,flt,flq,flqv,flqc,dz,rho,u,v,th,tk,qv,qc,qi,qs,qnc,qni,p,exner,thl_before,sqv_before,sqc_before,sqi_before,sqs_before,sqw_before,qnwfa,qnifa,qnbca,ozone,tsq,qsq,cov,tcd,qcd,dfm,dfh,dfq,cldfra_bl1d,diss_heat,s_aw,s_aw_next,s_awthl,s_awthl_next,s_awqt,s_awqt_next,s_awqv,s_awqv_next,s_awqc,s_awqc_next,s_awu,s_awu_next,s_awv,s_awv_next,s_awqnc,s_awqnc_next,s_awqni,s_awqni_next,s_awqnwfa,s_awqnwfa_next,s_awqnifa,s_awqnifa_next,s_awqnbca,s_awqnbca_next,sd_aw,sd_aw_next,sd_awthl,sd_awthl_next,sd_awqt,sd_awqt_next,sd_awqv,sd_awqv_next,sd_awqc,sd_awqc_next,sd_awu,sd_awu_next,sd_awv,sd_awv_next,sub_thl,sub_sqv,sub_u,sub_v,det_thl,det_sqv,det_sqc,det_u,det_v,du,dv,dth,dqv,dqc,dqi,dqs,dqnc,dqni,dqnwfa,dqnifa,dqnbca,dozone,thl_after,k_m,k_h
stable,1,60.0000000,100000.000,0.280000001,5.09901953,0.00000000,0.00000000,-0.149999997E-1,-0.999999975E-5,-0.999999975E-5,0.00000000,60.0000000,1.17999995,5.00000000,1.00000000,291.128754,290.816986,0.786653720E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,99625.7031,0.998929143,291.128754,0.786653720E-2,0.00000000,0.00000000,0.00000000,0.786653720E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.100000005E-2,0.200000002E-6,-0.799999998E-5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.187027290E-4,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.197370842E-3,-0.436293078E-3,0.330607108E-4,-0.120435530E-6,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,291.130737,0.00000000,0.00000000
stable,2,60.0000000,100000.000,0.280000001,5.09901953,0.00000000,0.00000000,-0.149999997E-1,-0.999999975E-5,-0.999999975E-5,0.00000000,68.0000000,1.17118311,5.80000019,0.879999995,291.403259,290.426605,0.773692876E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,98831.8750,0.996648490,291.403259,0.773692876E-2,0.00000000,0.00000000,0.00000000,0.773692876E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.818730798E-3,0.163746151E-6,-0.654984615E-5,0.00000000,0.00000000,0.113958523,0.590133145E-1,0.113958523,0.00000000,0.746111982E-5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.852187441E-4,-0.470538944E-4,0.162760425E-4,-0.821116064E-8,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,291.404236,7.29334545,3.77685213
stable,3,60.0000000,100000.000,0.280000001,5.09901953,0.00000000,0.00000000,-0.149999997E-1,-0.999999975E-5,-0.999999975E-5,0.00000000,76.0000000,1.16127026,6.59999990,0.759999990,291.711731,289.987396,0.759299006E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,97946.3828,0.994088948,291.711731,0.759299006E-2,0.00000000,0.00000000,0.00000000,0.759299006E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.670320063E-3,0.134064010E-6,-0.536256039E-5,0.00000000,0.00000000,0.120012671,0.546318963E-1,0.120012671,0.00000000,0.467012842E-5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.214966145E-3,-0.349650763E-4,0.289916989E-4,-0.100117177E-7,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,291.713470,8.64091206,3.93349648
stable,4,60.0000000,100000.000,0.280000001,5.09901953,0.00000000,0.00000000,-0.149999997E-1,-0.999999975E-5,-0.999999975E-5,0.00000000,84.0000000,1.15029037,7.40000010,0.639999986,292.054047,289.499390,0.743538188E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,96971.7969,0.991252780,292.054047,0.743538188E-2,0.00000000,0.00000000,0.00000000,0.743538188E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.548811629E-3,0.109762325E-6,-0.439049290E-5,0.00000000,0.00000000,0.144544393,0.555867963E-1,0.144544393,0.00000000,0.286878685E-5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.530640282E-4,-0.819563866E-5,-0.813802126E-5,0.670552236E-8,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,292.053558,11.5635509,4.44694376
stable,5,60.0000000,100000.000,0.280000001,5.09901953,0.00000000,0.00000000,-0.149999997E-1,-0.999999975E-5,-0.999999975E-5,0.00000000,92.0000000,1.13827550,8.19999981,0.519999981,292.430145,288.962585,0.726481620E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,95910.9531,0.988142312,292.430145,0.726481620E-2,0.00000000,0.00000000,0.00000000,0.726481620E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.449328974E-3,0.898657930E-7,-0.359463161E-5,0.00000000,0.00000000,0.151182741,0.483368747E-1,0.151182741,0.00000000,0.198408861E-5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.668366774E-4,0.100056332E-4,-0.233968094E-4,0.128755344E-7,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,292.428741,13.3040810,4.25364494
stable,6,60.0000000,100000.000,0.280000001,5.09901953,0.00000000,0.00000000,-0.149999997E-1,-0.999999975E-5,-0.999999975E-5,0.00000000,100.000000,1.12526035,9.00000000,0.400000036,292.839844,288.377014,0.708207488E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,94766.8984,0.984760165,292.839844,0.708207488E-2,0.00000000,0.00000000,0.00000000,0.708207488E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.367879460E-3,0.735758903E-7,-0.294303550E-5,0.00000000,0.00000000,0.144568905,0.389777236E-1,0.144568905,0.00000000,0.162314166E-5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.142224628E-3,0.213349867E-4,-0.218709301E-4,0.113310916E-7,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,292.838531,13.8786144,3.74186134
stable,7,60.0000000,100000.000,0.280000001,5.09901953,0.00000000,0.00000000,-0.149999997E-1,-0.999999975E-5,-0.999999975E-5,0.00000000,108.000000,1.11128211,9.80000019,0.280000031,293.282959,287.742615,0.688795699E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,93542.9062,0.981109262,293.282959,0.688795699E-2,0.00000000,0.00000000,0.00000000,0.688795699E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.301194203E-3,0.602388397E-7,-0.240955342E-5,0.00000000,0.00000000,0.127532944,0.312661156E-1,0.127532944,0.00000000,0.147549679E-5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.135294598E-3,0.202948850E-4,-0.188191734E-4,0.977888703E-8,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,293.281830,13.2634258,3.25167608
stable,8,60.0000000,100000.000,0.280000001,5.09901953,0.00000000,0.00000000,-0.149999997E-1,-0.999999975E-5,-0.999999975E-5,0.00000000,116.000000,1.09638059,10.6000004,0.160000026,293.759247,287.059387,0.668334449E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,92242.4219,0.977192640,293.759247,0.668334449E-2,0.00000000,0.00000000,0.00000000,0.668334449E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.246596988E-3,0.493193966E-7,-0.197277586E-5,0.00000000,0.00000000,0.110800624,0.248649307E-1,0.110800624,0.00000000,0.134066374E-5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.125249222E-3,0.187856458E-4,-0.162760425E-4,0.842846948E-8,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,293.758270,12.4096699,2.78487229
stable,9,60.0000000,100000.000,0.280000001,5.09901953,0.00000000,0.00000000,-0.149999997E-1,-0.999999975E-5,-0.999999975E-5,0.00000000,124.000000,1.08059776,11.3999996,0.400000215E-1,294.268616,286.327393,0.646918966E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,90869.1172,0.973013699,294.268616,0.646918966E-2,0.00000000,0.00000000,0.00000000,0.646918966E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.201896532E-3,0.403793052E-7,-0.161517210E-5,0.00000000,0.00000000,0.941933468E-1,0.194979403E-1,0.941933468E-1,0.00000000,0.120937693E-5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.129938126E-3,0.194917739E-4,-0.142415365E-4,0.711685688E-8,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,294.267761,11.3032017,2.33975291
stable,10,60.0000000,100000.000,0.280000001,5.09901953,0.00000000,0.00000000,-0.149999997E-1,-0.999999975E-5,-0.999999975E-5,0.00000000,132.000000,1.06397760,12.2000008,-0.799999237E-1,294.810791,285.546600,0.624644989E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,89426.7812,0.968575776,294.810791,0.624644989E-2,0.00000000,0.00000000,0.00000000,0.624644989E-2,0.00000000,0.00000000,0.00000000,0.00000000,0.165298901E-3,0.330597807E-7,-0.132239120E-5,0.00000000,0.00000000,0.752102435E-1,0.150420479E-1,0.752102435E-1,0.00000000,0.106135076E-5,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.115791954E-3,0.173685457E-4,-0.116984047E-4,0.581300519E-8,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,294.810089,9.62691116,1.92538214
