case,k,dz,zw,zw_next,u,v,thl,thetav,ql,qw,qke,tsq,qsq,cov,vt,vq,theta,cldfra,edmf_w,edmf_a,tkeprodtd,xland,dx,rmo,flt,fltv,flq,zi,psig_bl,psig_shcu,dfm,dfh,dfq,tcd,qcd,pdk,pdt,pdq,pdc,el,qkw_unused,sm,sh
stable,1, 7.0000000000000000E+001, 0.0000000000000000E+000, 7.0000000000000000E+001, 5.0000000000000000E+000, 1.0000000000000000E+000, 2.9000000000000000E+002, 2.9159207153320312E+002, 0.0000000000000000E+000, 8.9999996125698090E-003, 1.7000000476837158E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 4.0000000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
stable,2, 7.6000000000000000E+001, 7.0000000000000000E+001, 1.4600000000000000E+002, 5.8000001907348633E+000, 8.7999999523162842E-001, 2.9054998779296875E+002, 2.9204763793945312E+002, 0.0000000000000000E+000, 8.4499996155500412E-003, 1.5900000333786011E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9054998779296875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 4.0000000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.0604136437177658E-001, 3.6957576870918274E-002, 1.0604136437177658E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0723886922933161E-004, 1.5313932090066373E-004, 1.5314610690708719E-010,-1.5314272161504050E-007, 9.3924503326416016E+000, 0.0000000000000000E+000, 6.4215242862701416E-001, 2.2380320727825165E-001
stable,3, 8.2000000000000000E+001, 1.4600000000000000E+002, 2.2800000000000000E+002, 6.5999999046325684E+000, 7.5999999046325684E-001, 2.9110000610351562E+002, 2.9250283813476562E+002, 0.0000000000000000E+000, 7.8999996185302734E-003, 1.4800000190734863E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9110000610351562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 4.0000000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.2251850217580795E-001, 3.9502613246440887E-002, 1.2251850217580795E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.3407283374108374E-004, 1.5127006918191910E-004, 1.5125999064391493E-010,-1.5126502717066614E-007, 1.2805842399597168E+001, 0.0000000000000000E+000, 6.0963678359985352E-001, 1.9656006991863251E-001
stable,4, 8.8000000000000000E+001, 2.2800000000000000E+002, 3.1600000000000000E+002, 7.4000000953674316E+000, 6.3999998569488525E-001, 2.9164999389648438E+002, 2.9295758056640625E+002, 0.0000000000000000E+000, 7.3499996215105057E-003, 1.3700001239776611E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9164999389648438E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 4.0000000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.4707317948341370E-001, 4.2105693370103836E-002, 1.4707317948341370E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.1324540982022882E-004, 1.4984008157625794E-004, 1.4984673224471834E-010,-1.4984340168666677E-007, 1.9613182067871094E+001, 0.0000000000000000E+000, 5.3358215093612671E-001, 1.5275964140892029E-001
stable,5, 9.4000000000000000E+001, 3.1600000000000000E+002, 4.1000000000000000E+002, 8.1999998092651367E+000, 5.1999998092651367E-001, 2.9220001220703125E+002, 2.9341204833984375E+002, 0.0000000000000000E+000, 6.7999996244907379E-003, 1.2599999904632568E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9220001220703125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 4.0000000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.5297941863536835E-001, 3.8605242967605591E-002, 1.5297941863536835E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.3248641779646277E-004, 1.2833917571697384E-004, 1.2833062390527061E-010,-1.2833490359298594E-007, 2.6386804580688477E+001, 0.0000000000000000E+000, 4.5975399017333984E-001, 1.1602158844470978E-001
stable,6, 1.0000000000000000E+002, 4.1000000000000000E+002, 5.1000000000000000E+002, 9.0000000000000000E+000, 4.0000003576278687E-001, 2.9275000000000000E+002, 2.9386611938476562E+002, 0.0000000000000000E+000, 6.2499996274709702E-003, 1.1500000953674316E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9275000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 4.0000000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.3956584036350250E-001, 3.3614378422498703E-002, 1.3956584036350250E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.4736164272762835E-004, 1.0482368816155940E-004, 1.0482834045255629E-010,-1.0482601453531970E-007, 2.6695848464965820E+001, 0.0000000000000000E+000, 4.6164411306381226E-001, 1.1118680983781815E-001
stable,7, 1.0600000000000000E+002, 5.1000000000000000E+002, 6.1600000000000000E+002, 9.8000001907348633E+000, 2.8000003099441528E-001, 2.9329998779296875E+002, 2.9431979370117188E+002, 0.0000000000000000E+000, 5.6999996304512024E-003, 1.0400000810623169E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9329998779296875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 4.0000000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.2495981901884079E-001, 2.9066976159811020E-002, 1.2495981901884079E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.6657176679000258E-004, 8.5362815298140049E-005, 8.5366609614556666E-011,-8.5364703750201443E-008, 2.6041925430297852E+001, 0.0000000000000000E+000, 4.7196519374847412E-001, 1.0978410392999649E-001
stable,8, 1.1200000000000000E+002, 6.1600000000000000E+002, 7.2800000000000000E+002, 1.0600000381469727E+001, 1.6000002622604370E-001, 2.9385000610351562E+002, 2.9477313232421875E+002, 0.0000000000000000E+000, 5.1499996334314346E-003, 9.3000006675720215E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9385000610351562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 4.0000000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.1000734567642212E-001, 2.4877287447452545E-002, 1.1000734567642212E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9467284912243485E-004, 6.9044770498294383E-005, 6.9040183292568003E-011,-6.9042478401115659E-008, 2.4835180282592773E+001, 0.0000000000000000E+000, 4.8610410094261169E-001, 1.0992857813835144E-001
stable,9, 1.1800000000000000E+002, 7.2800000000000000E+002, 8.4600000000000000E+002, 1.1399999618530273E+001, 4.0000021457672119E-002, 2.9439999389648438E+002, 2.9522607421875000E+002, 0.0000000000000000E+000, 4.5999996364116669E-003, 8.2000005245208740E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9439999389648438E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 4.0000000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 9.4470165669918060E-002, 2.0945733413100243E-002, 9.4470165669918060E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.2962734510656446E-004, 5.5093940318329260E-005, 5.5096389256492628E-011,-5.5095163986607076E-008, 2.2942893981933594E+001, 0.0000000000000000E+000, 5.0580662488937378E-001, 1.1214642226696014E-001
stable,10, 1.2400000000000000E+002, 8.4600000000000000E+002, 9.7000000000000000E+002, 1.2200000762939453E+001,-7.9999923706054688E-002, 2.9495001220703125E+002, 2.9567868041992188E+002, 0.0000000000000000E+000, 4.0499996393918991E-003, 7.1000003814697266E-001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.9495001220703125E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000000000000E+000, 3.0000000000000000E+003, 8.0000003799796104E-003, 0.0000000000000000E+000,-1.9999999552965164E-002, 0.0000000000000000E+000, 4.0000000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 7.9938262701034546E-002, 1.7340146005153656E-002, 7.9938262701034546E-002, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.7737325106281787E-004, 4.3353247747290879E-005, 4.3350361494942646E-011,-4.3351803924451815E-008, 2.1165277481079102E+001, 0.0000000000000000E+000, 5.2203381061553955E-001, 1.1323916167020798E-001
