bits,x,atanf_bits,atanf
00000000,0,00000000,0
80000000,-0,80000000,-0
00000001,1.40129846e-45,00000001,1.40129846e-45
80000001,-1.40129846e-45,80000001,-1.40129846e-45
00800000,1.17549435e-38,00800000,1.17549435e-38
80800000,-1.17549435e-38,80800000,-1.17549435e-38
30FFFFFF,1.86264504e-09,30FFFFFF,1.86264504e-09
B0FFFFFF,-1.86264504e-09,B0FFFFFF,-1.86264504e-09
31000000,1.86264515e-09,31000000,1.86264515e-09
B1000000,-1.86264515e-09,B1000000,-1.86264515e-09
31000001,1.86264537e-09,31000001,1.86264537e-09
B1000001,-1.86264537e-09,B1000001,-1.86264537e-09
3EDFFFFF,0.43749997,3ED32775,0.412410408
BEDFFFFF,-0.43749997,BED32775,-0.412410408
3EE00000,0.4375,3ED32776,0.412410438
BEE00000,-0.4375,BED32776,-0.412410438
3EE00001,0.43750003,3ED32777,0.412410468
BEE00001,-0.43750003,BED32777,-0.412410468
3F2FFFFF,0.68749994,3F1A2F80,0.602287292
BF2FFFFF,-0.68749994,BF1A2F80,-0.602287292
3F300000,0.6875,3F1A2F81,0.602287352
BF300000,-0.6875,BF1A2F81,-0.602287352
3F300001,0.68750006,3F1A2F82,0.602287412
BF300001,-0.68750006,BF1A2F82,-0.602287412
3F7FFFFF,0.99999994,3F490FDA,0.785398126
BF7FFFFF,-0.99999994,BF490FDA,-0.785398126
3F800000,1,3F490FDB,0.785398185
BF800000,-1,BF490FDB,-0.785398185
3F800001,1.00000012,3F490FDC,0.785398245
BF800001,-1.00000012,BF490FDC,-0.785398245
3F97FFFF,1.18749988,3F5EF386,0.870903373
BF97FFFF,-1.18749988,BF5EF386,-0.870903373
3F980000,1.1875,3F5EF387,0.870903432
BF980000,-1.1875,BF5EF387,-0.870903432
3F980001,1.18750012,3F5EF388,0.870903492
BF980001,-1.18750012,BF5EF388,-0.870903492
401BFFFF,2.43749976,3F973AB9,1.18147957
C01BFFFF,-2.43749976,BF973AB9,-1.18147957
401C0000,2.4375,3F973AB9,1.18147957
C01C0000,-2.4375,BF973AB9,-1.18147957
401C0001,2.43750024,3F973ABA,1.18147969
C01C0001,-2.43750024,BF973ABA,-1.18147969
4BFFFFFF,33554430,3FC90FDA,1.57079625
CBFFFFFF,-33554430,BFC90FDA,-1.57079625
4C000000,33554432,3FC90FDB,1.57079637
CC000000,-33554432,BFC90FDB,-1.57079637
4C000001,33554436,3FC90FDB,1.57079637
CC000001,-33554436,BFC90FDB,-1.57079637
50800000,1.71798692e+10,3FC90FDB,1.57079637
D0800000,-1.71798692e+10,BFC90FDB,-1.57079637
5F000000,9.22337204e+18,3FC90FDB,1.57079637
DF000000,-9.22337204e+18,BFC90FDB,-1.57079637
7F7FFFFF,3.40282347e+38,3FC90FDB,1.57079637
FF7FFFFF,-3.40282347e+38,BFC90FDB,-1.57079637
7F800000,inf,3FC90FDB,1.57079637
FF800000,-inf,BFC90FDB,-1.57079637
16757710,1.98285119e-25,16757710,1.98285119e-25
96757710,-1.98285119e-25,96757710,-1.98285119e-25
24403AA6,4.16830406e-17,24403AA6,4.16830406e-17
A4403AA6,-4.16830406e-17,A4403AA6,-4.16830406e-17
28E24825,2.51223281e-14,28E24825,2.51223281e-14
A8E24825,-2.51223281e-14,A8E24825,-2.51223281e-14
2D34E7A1,1.02832473e-11,2D34E7A1,1.02832473e-11
AD34E7A1,-1.02832473e-11,AD34E7A1,-1.02832473e-11
1BBD97EA,3.13655993e-22,1BBD97EA,3.13655993e-22
9BBD97EA,-3.13655993e-22,9BBD97EA,-3.13655993e-22
016C0AEF,4.33541987e-38,016C0AEF,4.33541987e-38
816C0AEF,-4.33541987e-38,816C0AEF,-4.33541987e-38
19370806,9.46249858e-24,19370806,9.46249858e-24
99370806,-9.46249858e-24,99370806,-9.46249858e-24
0834F352,5.44528013e-34,0834F352,5.44528013e-34
8834F352,-5.44528013e-34,8834F352,-5.44528013e-34
0CF48148,3.76719608e-31,0CF48148,3.76719608e-31
8CF48148,-3.76719608e-31,8CF48148,-3.76719608e-31
03480DD7,5.87906049e-37,03480DD7,5.87906049e-37
83480DD7,-5.87906049e-37,83480DD7,-5.87906049e-37
176553E1,7.40997608e-25,176553E1,7.40997608e-25
976553E1,-7.40997608e-25,976553E1,-7.40997608e-25
2D2AED90,9.71613068e-12,2D2AED90,9.71613068e-12
AD2AED90,-9.71613068e-12,AD2AED90,-9.71613068e-12
2644600A,6.81313175e-16,2644600A,6.81313175e-16
A644600A,-6.81313175e-16,A644600A,-6.81313175e-16
1F60D64D,4.76111105e-20,1F60D64D,4.76111105e-20
9F60D64D,-4.76111105e-20,9F60D64D,-4.76111105e-20
1E2E3BF3,9.22388051e-21,1E2E3BF3,9.22388051e-21
9E2E3BF3,-9.22388051e-21,9E2E3BF3,-9.22388051e-21
1BF41B39,4.03840061e-22,1BF41B39,4.03840061e-22
9BF41B39,-4.03840061e-22,9BF41B39,-4.03840061e-22
1A07EF1F,2.81105062e-23,1A07EF1F,2.81105062e-23
9A07EF1F,-2.81105062e-23,9A07EF1F,-2.81105062e-23
0803B504,3.96341614e-34,0803B504,3.96341614e-34
8803B504,-3.96341614e-34,8803B504,-3.96341614e-34
185265B7,2.71932167e-24,185265B7,2.71932167e-24
985265B7,-2.71932167e-24,985265B7,-2.71932167e-24
18A0AABF,4.15314401e-24,18A0AABF,4.15314401e-24
98A0AABF,-4.15314401e-24,98A0AABF,-4.15314401e-24
2142D4D7,6.60114479e-19,2142D4D7,6.60114479e-19
A142D4D7,-6.60114479e-19,A142D4D7,-6.60114479e-19
1626CAEE,1.34734065e-25,1626CAEE,1.34734065e-25
9626CAEE,-1.34734065e-25,9626CAEE,-1.34734065e-25
0CCB6D70,3.13429676e-31,0CCB6D70,3.13429676e-31
8CCB6D70,-3.13429676e-31,8CCB6D70,-3.13429676e-31
0AF990DF,2.40323223e-32,0AF990DF,2.40323223e-32
8AF990DF,-2.40323223e-32,8AF990DF,-2.40323223e-32
0DFB27E7,1.54786755e-30,0DFB27E7,1.54786755e-30
8DFB27E7,-1.54786755e-30,8DFB27E7,-1.54786755e-30
19229D53,8.40697508e-24,19229D53,8.40697508e-24
99229D53,-8.40697508e-24,99229D53,-8.40697508e-24
180C8F7D,1.8167019e-24,180C8F7D,1.8167019e-24
980C8F7D,-1.8167019e-24,980C8F7D,-1.8167019e-24
0AC4ACC2,1.89390977e-32,0AC4ACC2,1.89390977e-32
8AC4ACC2,-1.89390977e-32,8AC4ACC2,-1.89390977e-32
0328C69C,4.95987551e-37,0328C69C,4.95987551e-37
8328C69C,-4.95987551e-37,8328C69C,-4.95987551e-37
243EBF21,4.1361575e-17,243EBF21,4.1361575e-17
A43EBF21,-4.1361575e-17,A43EBF21,-4.1361575e-17
05939A88,1.38805794e-35,05939A88,1.38805794e-35
85939A88,-1.38805794e-35,85939A88,-1.38805794e-35
09C60A37,4.76763721e-33,09C60A37,4.76763721e-33
89C60A37,-4.76763721e-33,89C60A37,-4.76763721e-33
2B880685,9.66519074e-13,2B880685,9.66519074e-13
AB880685,-9.66519074e-13,AB880685,-9.66519074e-13
15D8D809,8.75825486e-26,15D8D809,8.75825486e-26
