call,a,b,result
logf,35EDFD69,,C153E249
log10f,35EDFD69,,C0B80A40
logf,3609A1EB,,C1518E4B
log10f,3609A1EB,,C0B60494
logf,3EB14333,,BF87C4C9
log10f,3EB14333,,BEEBDABA
logf,4132B968,,401A72C7
log10f,4132B968,,3F8626F2
logf,400D834D,,3F4B2353
log10f,400D834D,,3EB07184
logf,3D0C3CD7,,C057F69F
log10f,3D0C3CD7,,BFBB955A
logf,4288284C,,40870FAF
log10f,4288284C,,3FEAA01D
logf,37FC8EC4,,C126926A
log10f,37FC8EC4,,C090AEBB
logf,3A907568,,C0D9EFB1
log10f,3A907568,,C03D4C0C
logf,449404E6,,40E27502
log10f,449404E6,,4044B2B7
logf,39035CE6,,C10FC27A
log10f,39035CE6,,C079BC74
logf,388E862B,,C1198B97
log10f,388E862B,,C0855E24
logf,3E505B87,,BFCBCDBF
log10f,3E505B87,,BF31058A
logf,37ABA11A,,C12CC0B6
log10f,37ABA11A,,C0960D18
logf,45381267,,40FF9D00
log10f,45381267,,405E05DB
logf,3E55D37D,,BFC87CCD
log10f,3E55D37D,,BF2E2428
logf,3FC6FAD5,,3EE1E171
log10f,3FC6FAD5,,3E44328B
logf,3F8B9BDE,,3DB1CBBB
log10f,3F8B9BDE,,3D1A6E76
logf,3B9D660B,,C0AAD463
log10f,3B9D660B,,C0146178
logf,3B25FD45,,C0BF4F4F
log10f,3B25FD45,,C0262B6A
logf,3F154985,,BF0A0FEE
log10f,3F154985,,BE6FD6B2
logf,3F121480,,BF0F9F2C
log10f,3F121480,,BE797F1F
logf,37A3F3B5,,C12D7C28
log10f,37A3F3B5,,C096AFE9
logf,35A21EBD,,C15A06B4
log10f,35A21EBD,,C0BD6009
logf,3F857768,,3D2B4B29
log10f,3F857768,,3C94C8A2
logf,44461731,,40D599C1
log10f,44461731,,403987F8
logf,3AE30A4D,,C0CB77CE
log10f,3AE30A4D,,C030BAE5
logf,42A8E343,,408DF46D
log10f,42A8E343,,3FF699C9
logf,410D8A5B,,400B8511
log10f,410D8A5B,,3F725EE7
logf,3A4A234A,,C0E55DCB
log10f,3A4A234A,,C04739A1
logf,3F82A118,,3CA69188
log10f,3F82A118,,3C10ADF7
logf,417AF969,,40302D3F
log10f,417AF969,,3F990672
logf,3ACF47D8,,C0CE61B8
log10f,3ACF47D8,,C03342C9
logf,38143240,,C12402DE
log10f,38143240,,C08E7555
logf,3C8F895E,,C0816B19
log10f,3C8F895E,,BFE0D29C
logf,455A8C08,,41028DAE
log10f,455A8C08,,4062CB68
logf,3F9AD7DC,,3E42F3B1
log10f,3F9AD7DC,,3DA95545
logf,38FA2861,,C1108B43
log10f,38FA2861,,C07B193F
logf,3730A056,,C137624A
log10f,3730A056,,C09F4907
logf,44A6A867,,40E64097
log10f,44A6A867,,4047FE9E
logf,376CFAE3,,C132AE50
log10f,376CFAE3,,C09B3344
logf,3AACDE93,,C0D430DF
log10f,3AACDE93,,C0384E82
logf,37180483,,C139C8DA
log10f,37180483,,C0A15ED5
logf,4037F12B,,3F87226A
log10f,4037F12B,,3EEAC0A7
logf,3CDD0E00,,C0673341
log10f,3CDD0E00,,BFC8D165
logf,363315FD,,C14D57E8
log10f,363315FD,,C0B25BE7
logf,387BB8ED,,C11B88DA
log10f,387BB8ED,,C087187A
logf,368CC0DC,,C1461B52
log10f,368CC0DC,,C0AC12C5
logf,403A477C,,3F88C025
log10f,403A477C,,3EED8F60
logf,3E93994A,,BF9F35B9
log10f,3E93994A,,BF0A49B5
logf,3C2E1272,,C0916D4B
log10f,3C2E1272,,BFFCA1E7
logf,3931FA6E,,C10AE688
log10f,3931FA6E,,C0714B7F
logf,3789FDF1,,C1303E38
log10f,3789FDF1,,C0991530
logf,3E54A2B3,,BFC933C3
log10f,3E54A2B3,,BF2EC313
logf,3956FA59,,C107E0E8
log10f,3956FA59,,C06C0B91
logf,41893834,,4035E5A2
log10f,41893834,,3F9DFE65
logf,3C86C99B,,C0836E4B
log10f,3C86C99B,,BFE4519A
logf,3EB5D38B,,BF8483D0
log10f,3EB5D38B,,BEE633B2
logf,3E14516D,,BFF74F78
log10f,3E14516D,,BF56CFA5
logf,3774326A,,C132336F
log10f,3774326A,,C09AC88A
logf,4388EB55,,40B399EB
log10f,4388EB55,,401BFFE9
logf,3777FEF4,,C131F434
log10f,3777FEF4,,C09A919E
logf,43644FFA,,40ADC86B
log10f,43644FFA,,4016F226
logf,3835A2F6,,C120C174
log10f,3835A2F6,,C08BA170
logf,3A08E983,,C0F1D57B
log10f,3A08E983,,C0520DE4
logf,39D1BC50,,C0FA5DCA
log10f,39D1BC50,,C0597728
logf,377E0E22,,C1319154
log10f,377E0E22,,C09A3BBC
logf,441DF3A1,,40CE5ACC
log10f,441DF3A1,,40333CC6
logf,3D437469,,C042B74B
log10f,3D437469,,BFA920CF
logf,39272A12,,C10BE749
log10f,39272A12,,C0730986
logf,42A8790D,,408DE047
log10f,42A8790D,,3FF676C8
logf,3F2C8D1D,,BEC9F9B7
log10f,3F2C8D1D,,BE2F6F04
logf,3E574DCD,,BFC79B1E
log10f,3E574DCD,,BF2D6021
logf,443ED0CE,,40D4673D
