# WRF v4.6.1 Noah-MP ESAT bitwise oracle (module_sf_noahmplsm.F:4952-5001)
#   tree     <wrf-4.6.1-checkout> (WSL)
#   commit   d66e442fccc04111067e29274c9f9eaccc3cef28
#   sha256   bd592a5b7db29000e715250e3a7c779ffb5e0dcc356f6b5a7d9e1c9f69c55282
#   compiler gfortran 13.3.0, WRF FCOPTIM -O2 -ftree-vectorize -funroll-loops
#   produced by tools/noahmp_wrf461_oracle/run_bareflux.F90 in 'esat' mode,
#   which calls the module procedure directly through the visibility patch.
# ESAT is pure float32 polynomial arithmetic -- no libm -- so this sweep
# also serves as the ptxas constant-folding check for the CUDA half:
# a mis-folded coefficient table cannot survive 12007 points.
# T is degrees C; every column is an IEEE-754 binary32 bit pattern.
t,esw,esi,desw,desi
00000000,4418B1EC,4418BABD,42318624,42493654
0DA24260,4418B1EC,4418BABD,42318624,42493654
1E3CE508,4418B1EC,4418BABD,42318624,42493654
33D6BF95,4418B1EC,4418BABD,42318624,42493654
3C4CCCCD,4418D56D,4418E309,4231AAB9,424966A4
3C4D09DB,4418D578,4418E315,4231AAC4,424966B4
3CCCCCCD,4418F8F6,44190B5F,4231CF55,42499700
3D035DA9,44190D14,44192235,4231E40E,4249B262
3D19999A,44191C86,441933BE,4231F3F7,4249C767
3D4CCCCD,4419401E,44195C27,423218A0,4249F7D8
3D6D46FB,441956B5,441975CE,42322FE4,424A1697
3D800000,441963BD,4419849A,42323D4F,424A2853
3D9931D1,441986D3,4419AC72,42326170,424A5813
3D99999A,44198763,4419AD16,42326205,424A58D8
3DB1EC9D,4419A949,4419D397,423284EC,424A86FC
3DB33333,4419AB11,4419D59C,423286C1,424A8968
3DCCCCCD,4419CEC6,4419FE2C,4232AB84,424ABA03
3DE449E8,4419EF90,441A236C,4232CD43,424AE6A4
3DE66666,4419F283,441A26C5,4232D04D,424AEAA8
3E000000,441A1646,441A4F68,4232F51C,424B1B56
3E0CCCCD,441A3A11,441A7815,423319F3,424B4C10
3E19999A,441A5DE4,441AA0CC,42333ECF,424B7CD4
3E21F427,441A7549,441ABB63,423356E2,424B9CAD
3E266666,441A81BE,441AC98C,423363B3,424BADA3
3E333333,441AA59F,441AF256,4233889D,424BDE7C
3E400000,441AC987,441B1B2A,4233AD8D,424C0F60
3E441190,441AD4F3,441B2827,4233B94C,424C1EEB
3E4B84C4,441AE9DE,441B3FF0,4233CED1,424C3B68
3E4CCCCD,441AED77,441B4408,4233D285,424C404E
3E59999A,441B116F,441B6CEF,4233F782,424C7146
3E666666,441B356E,441B95E0,42341C87,424CA249
3E6A8E6E,441B4120,441BA32E,4234288D,424CB236
3E733333,441B5974,441BBEDC,42344192,424CD357
3E7FAF96,441B7C9F,441BE6DF,423465BA,424D033A
3E800000,441B7D81,441BE7E1,423466A3,424D0470
3E866666,441BA196,441C10F0,42348BBB,424D3592
3E891C4E,441BB0E1,441C2256,42349B72,424D4A65
3E8CCCCD,441BC5B3,441C3A08,4234B0D9,424D66BF
3E933333,441BE9D7,441C632A,4234D5FE,424D97F7
3E983D0B,441C064F,441C8393,4234F341,424DBEBD
3E99999A,441C0E02,441C8C56,4234FB2A,424DC93A
3E9F0DA3,441C2CDA,441CAF73,42351ADB,424DF33B
3EA00000,441C3235,441CB58C,4235205C,424DFA86
3EA66666,441C566F,441CDECC,42354595,424E2BDF
3EA919F1,441C65BC,441CF038,4235554D,424E40B5
3EACCCCD,441C7AB1,441D0816,42356AD4,424E5D41
3EB33333,441C9EFA,441D316A,4235901A,424E8EAD
3EB629C9,441CAFC9,441D4490,4235A15F,424EA593
3EB9999A,441CC34A,441D5AC7,4235B567,424EC025
3EBDC2FA,441CDAEB,441D75B3,4235CDAC,424EE055
3EC00000,441CE7A3,441D842F,4235DABA,424EF1A6
3EC138B6,441CEE93,441D8C17,4235E1DB,424EFB1A
3EC66666,441D0C02,441DADA0,42360015,424F2332
3EC7CB07,441D13EE,441DB6A7,42360837,424F2DFD
3ECCCCCD,441D3069,441DD71C,42362575,424F54CA
3ED27F72,441D50D8,441DFC12,423646C1,424F80FA
3ED33333,441D54D8,441E00A0,42364ADC,424F866C
3ED9999A,441D794D,441E2A30,4236704A,424FB819
3EDAB690,441D7FA6,441E316B,423676CD,424FC0BE
3EDD5B15,441D8EB7,441E4298,42368644,424FD544
3EE00000,441D9DCB,441E53C9,423695BE,424FE9D0
3EE66666,441DC250,441E7D6B,4236BB39,42501B91
3EECCCCD,441DE6DC,441EA719,4236E0BB,42504D5E
3EF33333,441E0B70,441ED0D0,42370643,42507F35
3EF9999A,441E300C,441EFA90,42372BD2,4250B117
3EFAD68E,441E3722,441F02A6,42373317,4250BABF
3EFBD7F3,441E3CE3,441F0936,423738FE,4250C296
3F000000,441E54AE,441F245B,42375168,4250E303
3F033333,441E7959,441F4E30,42377704,425114FB
3F066666,441E9E0B,441F780F,42379CA7,425146FD
3F09999A,441EC2C4,441FA1F8,4237C251,42517909
3F0BE1BB,441EDCF9,441FBFE0,4237DD30,42519CC0
3F0CCCCD,441EE786,441FCBEB,4237E801,4251AB21
3F100000,441F0C4E,441FF5E7,42380DB8,4251DD43
3F132ABF,441F30BE,44201F7F,42383312,42520EEA
3F133333,441F311E,44201FEE,42383376,42520F6F
3F166666,441F55F6,442049FE,4238593A,425241A7
3F19999A,441F7AD6,44207419,42387F05,425273E9
3F1CCCCD,441F9FBC,44209E3E,4238A4D6,4252A635
3F1E1E10,441FAEF0,4420AF9C,4238B46A,4252BAEE
3F200000,441FC4AB,4420C86E,4238CAAF,4252D88E
3F2100F7,441FD042,4420D5AB,4238D68F,4252E85A
3F2297C8,441FE29E,4420EAA3,4238E95E,42530160
3F233333,441FE9A1,4420F2A7,4238F08D,42530AF1
3F23CE41,441FF0A1,4420FAA6,4238F7B9,4253147B
3F266666,44200E9E,44211CEA,42391673,42533D5E
3F29999A,442033A4,44214737,42393C60,42536FD7
3F2CCCCD,442058B1,4421718E,42396252,4253A258
3F300000,44207DC5,44219BF0,4239884C,4253D4E6
3F333333,4420A2E1,4421C65B,4239AE4D,42540780
3F366666,4420C805,4421F0D1,4239D454,42543A22
3F39999A,4420ED30,44221B50,4239FA63,42546CD1
3F3C2B4E,44210B0C,44223D76,423A18F4,42549588
3F3CCCCD,44211262,442245DA,423A2077,42549F89
3F400000,4421379D,4422706E,423A4692,4254D24E
3F433333,44215CDF,44229B0C,423A6CB4,4255051D
3F43A404,44216201,4422A0EC,423A71F6,42550C1D
3F466666,44218228,4422C5B5,423A92DE,425537F6
3F4832E1,44219722,4422DDB4,423AA854,42555490
3F49999A,4421A77A,4422F067,423AB90D,42556ADA
3F4CCCCD,4421CCD3,44231B24,423ADF44,42559DCA
3F500000,4421F233,442345EB,423B0581,4255D0C4
3F533333,4422179C,442370BC,423B2BC5,425603C9
3F566666,44223D0B,44239B97,423B520F,425636D9
3F59999A,44226284,4423C67C,423B7860,425669F4
