# glibc 2.39 logf / atanf / powf(x,0.25f) reference points
#   libc     Ubuntu GLIBC 2.39-0ubuntu8.7, x86-64 with FMA+AVX2
#            (logf and powf are ifunc-dispatched to their -mfma builds;
#             atanf is a plain FUNC, so no contraction)
#   produced by running the live libm through
#   tools/noahmp_wrf461_oracle/libm_ref_dump.c
# These are the functions gfortran calls for LOG, ATAN and **0.25 on a
# REAL(4); none of them is correctly rounded, so both the CPU and the
# CUDA transcriptions are checked against these bits, not against each
# other and not against a correctly-rounded library.
# Every column is an IEEE-754 binary32 bit pattern.
x,logf,atanf,powf025
01082626,C2AD29D2,01082626,2FDA9DE9
0162F458,C2AC2430,0162F458,2FF86850
018732B3,C2ABCA84,018732B3,3001C344
019F3BA8,C2AB76BD,019F3BA8,30072E58
01BD431E,C2AB1E49,01BD431E,300D25C8
01D49472,C2AAE2CC,01D49472,30114EB8
01F8A269,C2AA9296,01F8A269,30171C91
0211DB33,C2AA40C6,0211DB33,301D4527
021478CF,C2AA37AC,021478CF,301DF874
02470EA9,C2A9A18F,02470EA9,3029FC0C
024E91C9,C2A98E97,024E91C9,302B90ED
0288413C,C2A900BF,0288413C,3037DEAC
02A9451D,C2A891A9,02A9451D,30421E66
02BA1D00,C2A86117,02BA1D00,3046C6FE
02C95112,C2A838E3,02C95112,304AB7D2
02D0996C,C2A826B1,02D0996C,304C86EB
02F6CF4A,C2A7D093,02F6CF4A,30554F97
032062BF,C2A74A5F,032062BF,3063C1BF
033FE1BE,C2A6EE92,033FE1BE,306E32BB
03547069,C2A6BA76,03547069,3074562E
0357C10A,C2A6B289,0357C10A,307548C7
03807CFE,C2A65903,03807CFE,30801F34
043F182D,C2A42AE5,043F182D,30A8422C
0484F00A,C2A381CD,0484F00A,30B6BD88
048CA302,C2A364FA,048CA302,30B954A4
04976C39,C2A33F24,04976C39,30BCC945
04A2A291,C2A31A91,04A2A291,30C03019
04B1772E,C2A2EDE3,04B1772E,30C46D4A
04FEEB17,C2A23475,04FEEB17,30D70AAF
0501E622,C2A22AC0,0501E622,30D81041
052CB0A9,C2A198F6,052CB0A9,30E80135
057ACF2B,C2A0D9E3,057ACF2B,30FEB13C
05898FFA,C2A0AA82,05898FFA,3102538F
058C1A71,C2A0A123,058C1A71,3102EC91
0615DD06,C29F1BC4,0615DD06,311E56DF
061BB8F1,C29F0822,061BB8F1,311FDD62
064987A0,C29E841B,064987A0,312A828E
0671D20C,C29E26CA,0671D20C,3132757C
06D615AE,C29D0246,06D615AE,314DDBC9
06EA6FE5,C29CD3C6,06EA6FE5,315295F6
06FB05CB,C29CB0C7,06FB05CB,31563725
0702653C,C29C9D3B,0702653C,31584508
0761ED45,C29B83D1,0761ED45,31782035
07F24BEC,C299FD1C,07F24BEC,319623A7
080FCD47,C299A557,080FCD47,319CB6A1
081F2DA5,C2997154,081F2DA5,31A0BE93
0829E2AF,C2994FFF,0829E2AF,31A361C7
0865A88B,C298B5A5,0865A88B,31B02BE5
087C4016,C298859B,087C4016,31B45A52
088BA936,C2985169,088BA936,31B90221
088D7502,C2984ADE,088D7502,31B999AC
08A8557B,C297F1CD,08A8557B,31C1D98D
08B0CF33,C297D8A7,08B0CF33,31C43EBE
08DB8A74,C29769D2,08DB8A74,31CF2866
08EDA070,C297414A,08EDA070,31D34C66
092E9CC6,C2967C2A,092E9CC6,31E8A5CF
09642C9E,C295F32E,09642C9E,31F8BD97
097B529C,C295C1B5,097B529C,31FED294
09815C81,C295B2DA,09815C81,320056C8
0981AB78,C295B1A1,0981AB78,32006A59
09C47AFF,C294DCDC,09C47AFF,320E797D
09EF1A6D,C2947856,09EF1A6D,3215A462
0A149207,C2940913,0A149207,321DFF29
0A53A05B,C29353F2,0A53A05B,322C9B4B
0A6451BB,C2932D13,0A6451BB,322FEA01
0A85FC34,C292DB16,0A85FC34,3237196B
0AFE1A06,C2919367,0AFE1A06,3256DE8A
0AFFB5E0,C291902C,0AFFB5E0,32573566
0B05C077,C2917916,0B05C077,3259A5EA
0B404575,C290BF45,0B404575,326E51A8
0B928CCF,C28FE769,0B928CCF,328467A6
0BCFD76A,C28F3483,0BCFD76A,32907DAC
0C08FEDC,C28EA709,0C08FEDC,329AD33F
0C0ACA22,C28EA060,0C0ACA22,329B5460
0C21DFB9,C28E5199,0C21DFB9,32A16BB2
0C2ED7B6,C28E2A24,0C2ED7B6,32A48F9B
0C3067E2,C28E2595,0C3067E2,32A4ED73
0C458C86,C28DEBA0,0C458C86,32A9A961
0D203B83,C28B9109,0D203B83,32E3B3D0
0D447B87,C28B289D,0D447B87,32EF9D03
0D62E358,C28ADEF2,0D62E358,32F863A9
0D95A87E,C28A5119,0D95A87E,330519F5
0E216C13,C288C777,0E216C13,33214ED6
0E638F0F,C28817A7,0E638F0F,332FC476
0E680D3F,C2880DA4,0E680D3F,3330A0F0
0E9CA798,C28773EC,0E9CA798,333E656E
0EB99536,C2871D29,0EB99536,3346A2B2
0EF89BFF,C2868776,0EF89BFF,3355B2DD
0F35392F,C285C670,0F35392F,336AD1B4
0F854A71,C28500D5,0F854A71,33814D7C
0FCFD9FE,C2841D5B,0FCFD9FE,33907E1F
100085FF,C283B097,100085FF,33985FB7
101BD05B,C2834E01,101BD05B,339FE364
104E74C0,C282BDEA,104E74C0,33AB8AE5
10EE36A0,C28111C4,10EE36A0,33D36DC2
11413798,C2801A10,11413798,33EE9C8C
1177ADA7,C27F35D9,1177ADA7,33FDE4CC
11B82F95,C27D9F5C,11B82F95,340C3103
1215BA76,C27BADAC,1215BA76,341E4DBE
121CC333,C27B7EA9,121CC333,3420218C
12395A80,C27AD31B,12395A80,3426FAF4
1261E598,C27A088C,1261E598,342F7214
128F0DAA,C2791697,128F0DAA,343A1F27
13066A18,C2769097,13066A18,3459EACC
131D0D14,C275F136,131D0D14,3462904B
133AA6B1,C2754066,133AA6B1,346C8ED9
1352BE0B,C274C417,1352BE0B,3473D8E8
137910F5,C27418FF,137910F5,347E3FA9
14009B03,C2713243,14009B03,349865F1
145DBEC4,C26F0469,145DBEC4,34AEA246
147A7FB0,C26E878F,147A7FB0,34B409F6
152BF054,C26A7D57,152BF054,34E7C081
15326177,C26A57AD,15326177,34E9E492
15B3DF13,C267895F,15B3DF13,350B5CF8
15BA22BA,C2676651,15BA22BA,350C8F9E
16320A31,C264CE12,16320A31,35254EE3
16B2198E,C26207F1,16B2198E,35449A29
17295756,C25F75CC,17295756,3566DF24
173F327B,C25EF97E,173F327B,356DFC44
17CB9B61,C25BF351,17CB9B61,358FBFD0
17FEE6A7,C25B0D3D,17FEE6A7,35980E0C
18B25F25,C256EF40,18B25F25,35C4AD5B
18CF92FE,C25653FD,18CF92FE,35CC4679
18D3ECA4,C2563EC0,18D3ECA4,35CD5655
18F2004F,C255B6DA,18F2004F,35D443A6
196AEAB5,C2530F7F,196AEAB5,35FA8EE2
19834DE0,C2529D63,19834DE0,3600D174
1998719B,C2520487,1998719B,3605B76A
19CC9F13,C250D719,19CC9F13,360FED90
1A056132,C24FC78C,1A056132,3619CB15
1A879547,C24CF0FC,1A879547,3637A48E
1AAA5B5A,C24C0732,1AAA5B5A,36426DFA
1AFF1A8F,C24A69BB,1AFF1A8F,365714B1
1B0A3AFA,C24A1767,1B0A3AFA,365B7296
1B0E99B4,C249F788,1B0E99B4,365D296D
1B190DA9,C249AF17,1B190DA9,36611B9E
1B6AD469,C247F8BE,1B6AD469,367A88F0
1B8D296A,C2473C21,1B8D296A,36832BB1
1BC950F3,C245D0A4,1BC950F3,368F57DD
1C0E734F,C2446D0B,1C0E734F,369C5809
1C23BD8D,C243DE69,1C23BD8D,36A1E24F
1C3F1352,C2434052,1C3F1352,36A8411B
1C4BB61D,C242FEBF,1C4BB61D,36AAF835
1C69B618,C2427211,1C69B618,36B0F191
1C9371FF,C24183F8,1C9371FF,36BB88BA
1CD7F264,C23FFD3C,1CD7F264,36CE4E03
1D239CBE,C23E53A6,1D239CBE,36E4E4CD
1D44818D,C23D980E,1D44818D,36EF9ED9
1D53E364,C23D4AE2,1D53E364,36F42D97
1D6439D7,C23CFED2,1D6439D7,36F8C131
1DA207BC,C23B97D0,1DA207BC,3707C555
1DB5C67F,C23B2211,1DB5C67F,370BBB03
1DB98C68,C23B0D07,1DB98C68,370C7335
1DBC2D2C,C23AFEA0,1DBC2D2C,370CF1D9
1E033407,C239AA22,1E033407,3719297B
1E421BB6,C2381910,1E421BB6,3728EB03
1E49B36A,C237F1C6,1E49B36A,372A8BD0
1E5F0BA2,C2378AC5,1E5F0BA2,372EE3AB
1E6DD902,C23748F9,1E6DD902,3731B8AD
1E8766CB,C236C418,1E8766CB,373794CE
1ED8F56E,C234E151,1ED8F56E,374E8BC5
1EE2C535,C234B407,1EE2C535,3750D7B3
1EF8588A,C23456F6,1EF8588A,3755A45C
1F1ECD01,C2335B15,1F1ECD01,3763312B
1F3A5B80,C232B73A,1F3A5B80,376C7702
1F8AE36E,C2311E7E,1F8AE36E,3782A3AC
1F9C15A6,C230A6F7,1F9C15A6,378681FF
1FDBAD80,C22F4900,1FDBAD80,3792816A
1FF911FB,C22EC869,1FF911FB,37972D82
2011A2A1,C22E2823,2011A2A1,379D35E5
202E6355,C22D6FA3,202E6355,37A47432
205B98B8,C22C8398,205B98B8,37AE3595
21017FA4,C22914D4,21017FA4,37D7E596
21DBBBAC,C224319C,21DBBBAC,381283C7
2232668D,C2224136,2232668D,3825644F
229E2151,C21FF6F0,229E2151,383ED7CC
22FDC123,C21E12A3,22FDC123,3856CBBD
23652ADF,C21BB537,23652ADF,387902C5
23BA9409,C219C1F8,23BA9409,388CA4FE
23C73870,C2197ED5,23C73870,388EF7FD
23CFDD8D,C2195356,23CFDD8D,38907EBD
23FAC71D,C2189327,23FAC71D,38976FAC
2454E6B6,C216750A,2454E6B6,38ACDDB0
245FCA36,C21641F7,245FCA36,38AF08FB
246FCD79,C215FB32,246FCD79,38B215E1
248C0112,C2155C79,248C0112,38B91F33
24C9C242,C213E64D,24C9C242,38CAD44A
24D03AC1,C213C5FA,24D03AC1,38CC6FB2
24E66679,C2135E5F,24E66679,38D1AC60
24ED4FE4,C213401B,24ED4FE4,38D33A7C
24F09A65,C2133200,24F09A65,38D3F4FF
251A4BEE,C2123327,251A4BEE,38E1904A
25655842,C2109D4A,25655842,38F90F18
25A66E6D,C20F1FD9,25A66E6D,3908AEFD
25AF8E47,C20EE931,25AF8E47,390A8505
26931DA1,C20A129B,26931DA1,393B6DE0
26AEE866,C209616A,26AEE866,3943B71E
26E19DD3,C2085CBA,26E19DD3,39509390
273E0519,C20646C6,273E0519,396D9E44
279E5807,C2043BBA,279E5807,3986FDEF
27AF1F11,C203D499,27AF1F11,398A6F10
27B73ECB,C203A62A,27B73ECB,398C031B
281945F1,C2019745,281945F1,399F3B81
2837C47A,C200DD78,2837C47A,39A69F36
28532C4A,C2004F20,28532C4A,39AC839C
28B54E33,C1FC4AFE,28B54E33,39C57B1F
28B5804B,C1FC48C8,28B5804B,39C588C2
28CA0182,C1FB6D93,28CA0182,39CAE42E
28CC3F15,C1FB56FC,28CC3F15,39CB739B
28D0E783,C1FB28CE,28D0E783,39CC9A0C
290F122A,C1F8A47B,290F122A,39DD5813
2984C39D,C1F3B20A,2984C39D,3A012CBD
29A4A6F6,C1F1F92F,29A4A6F6,3A085119
29ADA351,C1F18C5B,29ADA351,3A0A23C6
29B40B71,C1F14227,29B40B71,3A0B6590
29CA511A,C1F0534C,29CA511A,3A0F8561
2A1FA2F3,C1ECACF9,2A1FA2F3,3A20DC28
2A44EE0F,C1EAFF00,2A44EE0F,3A298750
2A56BC5F,C1EA4DB9,2A56BC5F,3A2D3CB8
2A787FDD,C1E922A6,2A787FDD,3A33ADB8
2AD353C3,C1E4E2ED,2AD353C3,3A4D3143
2B26EAD8,C1E13A81,2B26EAD8,3A660A83
2B81347F,C1DDBB6D,2B81347F,3A804CDA
2BDF90B5,C1D95881,2BDF90B5,3A932640
2C1345D6,C1D723CE,2C1345D6,3A9DA68D
2C9310D6,C1D19B1F,2C9310D6,3ABB69CD
2C985AB6,C1D152C5,2C985AB6,3ABD136E
2CBF7F57,C1CF7E76,2CBF7F57,3AC83319
2CCDB27A,C1CEEBF7,2CCDB27A,3ACBCFD9
2CEC4680,C1CDD021,2CEC4680,3AD2FF55
2D2B981A,C1CAD3A6,2D2B981A,3AE7A2C1
2D2C2807,C1CACCF3,2D2C2807,3AE7D344
2D62FBC5,C1C896BB,2D62FBC5,3AF86A58
2DF86219,C1C252A6,2DF86219,3B1712CB
2DFCFB03,C1C22D17,2DFCFB03,3B17C486
2E098556,C1C181DB,2E098556,3B1AF92F
2E180EEA,C1C0B40E,2E180EEA,3B1EEA7B
2E251CC1,C1C00B61,2E251CC1,3B2238D7
2E50929C,C1BE2CD7,2E50929C,3B2BFB05
2E8FF9C6,C1BB985A,2E8FF9C6,3B3A6BC5
2EDB345E,C1B83B74,2EDB345E,3B4F1414
2F090B4C,C1B671D6,2F090B4C,3B5AF9AC
2F1E91B2,C1B5470F,2F1E91B2,3B631BF1
2F257B41,C1B4EFAC,2F257B41,3B658B73
2F544CE8,C1B2F16E,2F544CE8,3B744BF8
2FE641EB,C1ACBF93,2FE641EB,3B943D0C
302E82CD,C1A96BBC,302E82CD,3BA47B9D
30B1F7A5,C1A3B801,30B1F7A5,3BC490CD
31000000,C1A0CF66,31000000,3BD744FD
3103AF9F,C1A09541,3103AF9F,3BD8CD84
310912E3,C1A04322,310912E3,3BDAFCB4
318E52D5,C19A6A98,318E52D5,3C037093
31AD003F,C198DAD6,31AD003F,3C0A034C
