# WRF v4.6.1 Noah-MP BARE_FLUX bitwise oracle
#   tree     <wrf-4.6.1-checkout> (WSL)
#   commit   d66e442fccc04111067e29274c9f9eaccc3cef28
#   file     phys/module_sf_noahmplsm.F
#   sha256   bd592a5b7db29000e715250e3a7c779ffb5e0dcc356f6b5a7d9e1c9f69c55282
#   patch    private:: -> public:: only, 50 lines, 300 bytes; see
#            tools/noahmp_wrf461_oracle/visibility_patch_bareflux.py --check
#   pristine every row below is bit-identical to the row produced by a
#            driver linked against the UNPATCHED object, reached with
#            objcopy --globalize-symbol (which leaves .text byte-identical).
#            Reproduce: build_bareflux.sh <tree> <work> noopt pristine
#   optlevel every row is also bit-identical between the -O0 build and
#            WRF's own -O2 build, so no row depends on the optimiser.
#   compiler gfortran 13.3.0 (Ubuntu 13.3.0-6ubuntu2~24.04.1)
#   flags    -w -ffree-form -ffree-line-length-none
#            -fconvert=big-endian -frecord-marker=4
#            -O2 -ftree-vectorize -funroll-loops  (WRF's own FCOPTIM)
#   libc     Ubuntu GLIBC 2.39-0ubuntu8.7 (logf/atanf/powf)
#   options  dveg=4 opt_crs=1 opt_btr=1 opt_run=3 opt_sfc=1 opt_frz=1
#            opt_inf=1 opt_rad=3 opt_alb=2 opt_snf=1 opt_tbot=2
#            opt_stc=1 opt_rsf=1 opt_soil=1 opt_pedo=1 opt_crop=0
#            opt_irr=0 opt_irrm=0 opt_infdv=0 opt_tdrn=0
#            (Registry.EM_COMMON defaults)
#   NITERB   5 (DATA NITERB /5/, line 4329 -- not an option)
#   layers   NSNOW=3 NSOIL=4; array columns run -2..4
# Every REAL is the IEEE-754 binary32 bit pattern, so no decimal
# round-trip sits between the fixture and the compiled routine.
case,opt_sfc,opt_stc,isnow,ivgtyp,iloc,jloc,iurban,dt,sag,lwdn,ur,uu,vv,sfctmp,thair,qair,eair,rhoair,snowh,zlvl,zpd,z0m,fsno,emg,rsurf,lathea,gamma,rhsur,q2,pahb,dx,dz8w,qc,psfc,sfcprs,tgb,cm,ch,qsfc,dzsnso-2,dzsnso-1,dzsnso0,dzsnso1,dzsnso2,dzsnso3,dzsnso4,stc-2,stc-1,stc0,stc1,stc2,stc3,stc4,df-2,df-1,df0,df1,df2,df3,df4,tgb_out,cm_out,ch_out,qsfc_out,tauxb,tauyb,irb,shb,evb,ghb,t2mb,q2b,ehb2,note
bf01_unstable_day,1,1,0,16,3,7,0,42B40000,43C80000,43AF0000,40A00000,40800000,40400000,43938000,43940000,3C03126F,44960000,3F933333,00000000,41A00000,00000000,3D4CCCCD,00000000,3F733333,42A00000,4A193900,42840000,3F333333,3C03126F,00000000,447A0000,42200000,00000000,47BF6800,47BF6800,43950000,3C23D70A,3C23D70A,3C0B4396,3D4CCCCD,3DCCCCCD,3E19999A,3DCCCCCD,3E99999A,3F19999A,3F800000,43848000,43860000,43878000,438D8000,438E8000,438F8000,43908000,3E99999A,3EB33333,3ECCCCCD,3F99999A,3FA66666,3FB33333,3FC00000,4393255C,3B75D687,3C99A614,3C37AA83,BDB0B230,BD8485A4,428F1236,C1758575,42919C29,43878095,439359AB,3C09E61F,3D05204F,SFCDIF1 MOZ<0 unstable branch (logf+atanf+powf); ESAT water (T>0); RAMB/RAHB take the 1/(CM*UR) side of MAX; T2MB/Q2B normal branch; no snow reset; urban_flag false
bf02_stable_night,1,1,0,16,3,7,0,42B40000,00000000,438C0000,40A00000,40800000,40400000,43938000,43940000,3C03126F,44BB8000,3F933333,00000000,41A00000,00000000,3D4CCCCD,00000000,3F733333,42A00000,4A193900,42840000,3F666666,3C03126F,00000000,447A0000,42200000,00000000,47BF6800,47BF6800,43908000,3C23D70A,3C23D70A,3C0B4396,3D4CCCCD,3DCCCCCD,3E19999A,3DCCCCCD,3E99999A,3F19999A,3F800000,43848000,43860000,43878000,438D8000,438E8000,438F8000,43908000,3E99999A,3EB33333,3ECCCCCD,3F99999A,3FA66666,3FB33333,3FC00000,438E149C,3AB7E54F,3BE5DEA3,3BF6AC38,BD042CD0,BCC64338,42AA6A47,C2AFB1E0,C1C9CB60,41DEE9C4,43909C37,3C105056,3C763AEE,SFCDIF1 MOZ>=0 stable branch (FMNEW=-5*MOZ); ESAT water
bf03_ice_branch,1,1,0,16,3,7,0,42B40000,42700000,43660000,40A00000,40800000,40400000,43810000,43940000,3A6BEDFA,42F00000,3FACCCCD,00000000,41A00000,00000000,3D4CCCCD,00000000,3F733333,42A00000,4A2D9580,42940000,3F333333,3C03126F,00000000,447A0000,42200000,00000000,47BF6800,47BF6800,43800000,3C23D70A,3C23D70A,3C0B4396,3D4CCCCD,3DCCCCCD,3E19999A,3DCCCCCD,3E99999A,3F19999A,3F800000,43780000,437A0000,437C0000,43808000,43818000,43828000,43838000,3E99999A,3EB33333,3ECCCCCD,3F99999A,3FA66666,3FB33333,3FC00000,438122A4,3B99C164,3CC4F450,3A4264E3,BE01BB2D,BDC298C4,41A95436,410D303F,BEF87520,41F3F57F,43810C4A,3A45EF14,3D18A03B,ESAT ice branch (T<=0 -> ESATI/DSATI) at both ESAT call sites
bf04_snow_reset,1,1,-2,16,3,7,0,42B40000,442F0000,43A50000,40A00000,40800000,40400000,438B0000,43940000,3C03126F,44960000,3F933333,3F0CCCCD,41A00000,00000000,3D4CCCCD,3F666666,3F7AE148,42480000,4A193900,42840000,3F800000,3C03126F,00000000,447A0000,42200000,00000000,47BF6800,47BF6800,43890000,3C23D70A,3C23D70A,3C0B4396,3D4CCCCD,3DCCCCCD,3E19999A,3DCCCCCD,3E99999A,3F19999A,3F800000,43860000,43870000,43880000,43890000,438A0000,438B0000,438C0000,3E99999A,3EB33333,3ECCCCCD,3F99999A,3FA66666,3FB33333,3FC00000,4388947B,3BEAC3F1,3D317D92,3C239FB9,BE28BCD5,BDFD1B40,C1607C80,C3724EF5,42AE6218,4459496C,438A7482,3C0208D1,3D65114A,OPT_STC==1 snow reset: SNOWH>0.05 .AND. TGB>TFRZ -> TGB=TFRZ and GHB recomputed from the residual; ISNOW=-2 so DF/DZSNSO/STC are indexed at -1
bf05_lowwind,1,1,0,16,3,7,0,42B40000,43C80000,43AF0000,358637BD,3556BF95,35210FB0,43938000,43940000,3C03126F,44960000,3F933333,00000000,41A00000,00000000,3D4CCCCD,00000000,3F733333,42A00000,4A193900,42840000,3F333333,3C03126F,00000000,447A0000,42200000,00000000,47BF6800,47BF6800,43950000,3C23D70A,3C23D70A,3C0B4396,3D4CCCCD,3DCCCCCD,3E19999A,3DCCCCCD,3E99999A,3F19999A,3F800000,43848000,43860000,43878000,438D8000,438E8000,438F8000,43908000,3E99999A,3EB33333,3ECCCCCD,3F99999A,3FA66666,3FB33333,3FC00000,43941E41,3EE43457,34EF4A2C,3C4EF410,AAE6D723,AAAD215A,42A4A40D,3A26E5E5,3BC621FB,439ED622,43941E41,3C4EF410,354108D9,UR->0: SFCDIF1 |TMP1|<=MPE guard fires; RAMB/RAHB huge; EHB2<1.0E-5 so T2MB=TGB and Q2B=QSFC
bf06_highwind_ramb_floor,1,1,0,16,3,7,0,42B40000,43C80000,43AF0000,42480000,42200000,41F00000,43938000,43940000,3C03126F,44960000,3F933333,00000000,41A00000,00000000,3FC00000,00000000,3F733333,42A00000,4A193900,42840000,3F333333,3C03126F,00000000,447A0000,42200000,00000000,47BF6800,47BF6800,43950000,3C23D70A,3C23D70A,3C0B4396,3D4CCCCD,3DCCCCCD,3E19999A,3DCCCCCD,3E99999A,3F19999A,3F800000,43848000,43860000,43878000,438D8000,438E8000,438F8000,43908000,3E99999A,3EB33333,3ECCCCCD,3F99999A,3FA66666,3FB33333,3FC00000,43937569,3CC35218,3F800000,3C3EE3CF,C25B5AB1,C2248405,4295F64F,C2BF2C05,4306972E,438F01D7,43937851,3C019307,406941A4,CM*UR>1 and CH*UR>1 so RAMB/RAHB take the 1.0 side of MAX
bf07_urban,1,1,0,13,3,7,1,42B40000,43C80000,43AF0000,40A00000,40800000,40400000,43938000,43940000,3C03126F,44960000,3F933333,00000000,41A00000,00000000,3F4CCCCD,00000000,3F7851EC,42A00000,4A193900,42840000,3F333333,3C03126F,00000000,447A0000,42200000,00000000,47BF6800,47BF6800,43950000,3C23D70A,3C23D70A,3C0B4396,3D4CCCCD,3DCCCCCD,3E19999A,3DCCCCCD,3E99999A,3F19999A,3F800000,43848000,43860000,43878000,438D8000,438E8000,438F8000,43908000,3E99999A,3EB33333,3ECCCCCD,3F99999A,3FA66666,3FB33333,3FC00000,43932DAC,3C592BBE,3D87BB57,3C3867A1,BE9C1770,BE6A2328,4292CFE6,C244FEA6,42CE8ED9,43884824,43934C34,3C3867A1,3E36FD86,parameters%urban_flag TRUE -> Q2B forced to QSFC
bf08_tdc_clamp_high,1,1,0,16,3,7,0,42B40000,44610000,43E10000,40A00000,40800000,40400000,43A00000,43940000,3CA3D70A,457A0000,3F866666,00000000,41A00000,00000000,3D4CCCCD,00000000,3F733333,42A00000,4A193900,42840000,3ECCCCCD,3C03126F,00000000,447A0000,42200000,00000000,47BF6800,47BF6800,43AA0000,3C23D70A,3C23D70A,3C0B4396,3D4CCCCD,3DCCCCCD,3E19999A,3DCCCCCD,3E99999A,3F19999A,3F800000,43960000,43970000,43980000,43A50000,43A40000,43A30000,43A20000,3E99999A,3EB33333,3ECCCCCD,3F99999A,3FA66666,3FB33333,3FC00000,43A5DCED,3BF5B430,3D3CF5F6,3D02D208,BE213E3F,BDF1DD5E,4360BD16,440EA8DB,427CCC1E,4225B1E0,43A14725,3CF29929,3D71A061,TDC upper clamp: TGB-TFRZ>50 so T saturates at +50 C
bf09_tdc_clamp_low,1,1,0,16,3,7,0,42B40000,40A00000,42B40000,40A00000,40800000,40400000,43520000,43940000,3727C5AC,3F800000,3FCCCCCD,00000000,41A00000,00000000,3D4CCCCD,00000000,3F733333,42A00000,4A2D9580,42940000,3F7D70A4,3C03126F,00000000,447A0000,42200000,00000000,47BF6800,47BF6800,43480000,3C23D70A,3C23D70A,3C0B4396,3D4CCCCD,3DCCCCCD,3E19999A,3DCCCCCD,3E99999A,3F19999A,3F800000,43430000,43450000,43470000,434D0000,434F0000,43510000,43530000,3E99999A,3EB33333,3ECCCCCD,3F99999A,3FA66666,3FB33333,3FC00000,434E7815,3AC64E96,3BF7E23C,37D0E368,BD464E96,BD14BAF0,41463114,C22BBE1A,3E9504C3,420D07CC,434FE9C6,3788F4BD,3C9785FA,TDC lower clamp: TGB-TFRZ<-50 so T saturates at -50 C; ice
bf10_degenerate_cmfm,1,1,0,16,3,7,0,42B40000,43C80000,43AF0000,40A00000,40800000,40400000,43938000,43940000,3C03126F,44960000,3F933333,00000000,41200000,00000000,411FFFF6,00000000,3F733333,42A00000,4A193900,42840000,3F333333,3C03126F,00000000,447A0000,42200000,00000000,47BF6800,47BF6800,43950000,3C23D70A,3C23D70A,3C0B4396,3D4CCCCD,3DCCCCCD,3E19999A,3DCCCCCD,3E99999A,3F19999A,3F800000,43848000,43860000,43878000,438D8000,438E8000,438F8000,43908000,3E99999A,3EB33333,3ECCCCCD,3F99999A,3FA66666,3FB33333,3FC00000,43937569,521502FA,3F800000,3C3EE3CF,D4563448,D420A736,4295F64F,C2BF2C05,4306972E,438F01D7,43937569,3C01C8AE,4A85E812,"Degenerate roughness: (ZLVL-ZPD)/Z0M ~ 1 so TMPCM,TMPCH ~ 0 and the |CMFM|<=MPE / |CHFH|<=MPE guards fire"
