leaf,case,stage,field,index,dtype,value,bits
snow_init,si_bare_zero_a,input,nsnow,0,int,3,
snow_init,si_bare_zero_a,input,nsoil,0,int,4,
snow_init,si_bare_zero_a,input,swe,0,real,0.000000000E+00,00000000
snow_init,si_bare_zero_a,input,tgxy,0,real,2.813699951E+02,438CAF5C
snow_init,si_bare_zero_a,input,snodep,0,real,0.000000000E+00,00000000
snow_init,si_bare_zero_a,input,isnowxy,0,int,-8,
snow_init,si_bare_zero_a,input,zsoil,1,real,-1.000000015E-01,BDCCCCCD
snow_init,si_bare_zero_a,input,zsoil,2,real,-4.000000060E-01,BECCCCCD
snow_init,si_bare_zero_a,input,zsoil,3,real,-1.000000000E+00,BF800000
snow_init,si_bare_zero_a,input,zsoil,4,real,-2.000000000E+00,C0000000
snow_init,si_bare_zero_a,input,zsnsoxy,-2,real,-4.125000000E+00,C0840000
snow_init,si_bare_zero_a,input,zsnsoxy,-1,real,-3.875000000E+00,C0780000
snow_init,si_bare_zero_a,input,zsnsoxy,0,real,-3.625000000E+00,C0680000
snow_init,si_bare_zero_a,input,zsnsoxy,1,real,-3.375000000E+00,C0580000
snow_init,si_bare_zero_a,input,zsnsoxy,2,real,-3.125000000E+00,C0480000
snow_init,si_bare_zero_a,input,zsnsoxy,3,real,-2.875000000E+00,C0380000
snow_init,si_bare_zero_a,input,zsnsoxy,4,real,-2.625000000E+00,C0280000
snow_init,si_bare_zero_a,input,tsnoxy,-2,real,2.417500000E+02,4371C000
snow_init,si_bare_zero_a,input,snicexy,-2,real,2.025000000E+01,41A20000
snow_init,si_bare_zero_a,input,snliqxy,-2,real,4.125000000E+00,40840000
snow_init,si_bare_zero_a,input,tsnoxy,-1,real,2.395000000E+02,436F8000
snow_init,si_bare_zero_a,input,snicexy,-1,real,1.975000000E+01,419E0000
snow_init,si_bare_zero_a,input,snliqxy,-1,real,3.750000000E+00,40700000
snow_init,si_bare_zero_a,input,tsnoxy,0,real,2.372500000E+02,436D4000
snow_init,si_bare_zero_a,input,snicexy,0,real,1.925000000E+01,419A0000
snow_init,si_bare_zero_a,input,snliqxy,0,real,3.375000000E+00,40580000
snow_init,si_bare_thin_a,input,nsnow,0,int,3,
snow_init,si_bare_thin_a,input,nsoil,0,int,4,
snow_init,si_bare_thin_a,input,swe,0,real,4.309999943E+00,4089EB85
snow_init,si_bare_thin_a,input,tgxy,0,real,2.721099854E+02,43880E14
snow_init,si_bare_thin_a,input,snodep,0,real,2.490000054E-02,3CCBFB16
snow_init,si_bare_thin_a,input,isnowxy,0,int,-9,
snow_init,si_bare_thin_a,input,zsoil,1,real,-1.000000015E-01,BDCCCCCD
snow_init,si_bare_thin_a,input,zsoil,2,real,-4.000000060E-01,BECCCCCD
snow_init,si_bare_thin_a,input,zsoil,3,real,-1.000000000E+00,BF800000
snow_init,si_bare_thin_a,input,zsoil,4,real,-2.000000000E+00,C0000000
snow_init,si_bare_thin_a,input,zsnsoxy,-2,real,-4.625000000E+00,C0940000
snow_init,si_bare_thin_a,input,zsnsoxy,-1,real,-4.375000000E+00,C08C0000
snow_init,si_bare_thin_a,input,zsnsoxy,0,real,-4.125000000E+00,C0840000
snow_init,si_bare_thin_a,input,zsnsoxy,1,real,-3.875000000E+00,C0780000
snow_init,si_bare_thin_a,input,zsnsoxy,2,real,-3.625000000E+00,C0680000
snow_init,si_bare_thin_a,input,zsnsoxy,3,real,-3.375000000E+00,C0580000
snow_init,si_bare_thin_a,input,zsnsoxy,4,real,-3.125000000E+00,C0480000
snow_init,si_bare_thin_a,input,tsnoxy,-2,real,2.452500000E+02,43754000
snow_init,si_bare_thin_a,input,snicexy,-2,real,2.200000000E+01,41B00000
snow_init,si_bare_thin_a,input,snliqxy,-2,real,4.250000000E+00,40880000
snow_init,si_bare_thin_a,input,tsnoxy,-1,real,2.430000000E+02,43730000
snow_init,si_bare_thin_a,input,snicexy,-1,real,2.150000000E+01,41AC0000
snow_init,si_bare_thin_a,input,snliqxy,-1,real,3.875000000E+00,40780000
snow_init,si_bare_thin_a,input,tsnoxy,0,real,2.407500000E+02,4370C000
snow_init,si_bare_thin_a,input,snicexy,0,real,2.100000000E+01,41A80000
snow_init,si_bare_thin_a,input,snliqxy,0,real,3.500000000E+00,40600000
snow_init,si_one_layer_low_a,input,nsnow,0,int,3,
snow_init,si_one_layer_low_a,input,nsoil,0,int,4,
snow_init,si_one_layer_low_a,input,swe,0,real,4.900000095E+00,409CCCCD
snow_init,si_one_layer_low_a,input,tgxy,0,real,2.716300049E+02,4387D0A4
snow_init,si_one_layer_low_a,input,snodep,0,real,2.500000037E-02,3CCCCCCD
snow_init,si_one_layer_low_a,input,isnowxy,0,int,-10,
snow_init,si_one_layer_low_a,input,zsoil,1,real,-1.000000015E-01,BDCCCCCD
snow_init,si_one_layer_low_a,input,zsoil,2,real,-4.000000060E-01,BECCCCCD
snow_init,si_one_layer_low_a,input,zsoil,3,real,-1.000000000E+00,BF800000
snow_init,si_one_layer_low_a,input,zsoil,4,real,-2.000000000E+00,C0000000
snow_init,si_one_layer_low_a,input,zsnsoxy,-2,real,-5.125000000E+00,C0A40000
snow_init,si_one_layer_low_a,input,zsnsoxy,-1,real,-4.875000000E+00,C09C0000
snow_init,si_one_layer_low_a,input,zsnsoxy,0,real,-4.625000000E+00,C0940000
snow_init,si_one_layer_low_a,input,zsnsoxy,1,real,-4.375000000E+00,C08C0000
snow_init,si_one_layer_low_a,input,zsnsoxy,2,real,-4.125000000E+00,C0840000
snow_init,si_one_layer_low_a,input,zsnsoxy,3,real,-3.875000000E+00,C0780000
snow_init,si_one_layer_low_a,input,zsnsoxy,4,real,-3.625000000E+00,C0680000
snow_init,si_one_layer_low_a,input,tsnoxy,-2,real,2.487500000E+02,4378C000
snow_init,si_one_layer_low_a,input,snicexy,-2,real,2.375000000E+01,41BE0000
snow_init,si_one_layer_low_a,input,snliqxy,-2,real,4.375000000E+00,408C0000
snow_init,si_one_layer_low_a,input,tsnoxy,-1,real,2.465000000E+02,43768000
snow_init,si_one_layer_low_a,input,snicexy,-1,real,2.325000000E+01,41BA0000
snow_init,si_one_layer_low_a,input,snliqxy,-1,real,4.000000000E+00,40800000
snow_init,si_one_layer_low_a,input,tsnoxy,0,real,2.442500000E+02,43744000
snow_init,si_one_layer_low_a,input,snicexy,0,real,2.275000000E+01,41B60000
snow_init,si_one_layer_low_a,input,snliqxy,0,real,3.625000000E+00,40680000
snow_init,si_one_layer_high_a,input,nsnow,0,int,3,
snow_init,si_one_layer_high_a,input,nsoil,0,int,4,
snow_init,si_one_layer_high_a,input,swe,0,real,1.069999981E+01,412B3333
snow_init,si_one_layer_high_a,input,tgxy,0,real,2.698399963E+02,4386EB85
snow_init,si_one_layer_high_a,input,snodep,0,real,5.000000075E-02,3D4CCCCD
snow_init,si_one_layer_high_a,input,isnowxy,0,int,-11,
snow_init,si_one_layer_high_a,input,zsoil,1,real,-1.000000015E-01,BDCCCCCD
snow_init,si_one_layer_high_a,input,zsoil,2,real,-4.000000060E-01,BECCCCCD
snow_init,si_one_layer_high_a,input,zsoil,3,real,-1.000000000E+00,BF800000
snow_init,si_one_layer_high_a,input,zsoil,4,real,-2.000000000E+00,C0000000
snow_init,si_one_layer_high_a,input,zsnsoxy,-2,real,-5.625000000E+00,C0B40000
snow_init,si_one_layer_high_a,input,zsnsoxy,-1,real,-5.375000000E+00,C0AC0000
snow_init,si_one_layer_high_a,input,zsnsoxy,0,real,-5.125000000E+00,C0A40000
snow_init,si_one_layer_high_a,input,zsnsoxy,1,real,-4.875000000E+00,C09C0000
snow_init,si_one_layer_high_a,input,zsnsoxy,2,real,-4.625000000E+00,C0940000
snow_init,si_one_layer_high_a,input,zsnsoxy,3,real,-4.375000000E+00,C08C0000
snow_init,si_one_layer_high_a,input,zsnsoxy,4,real,-4.125000000E+00,C0840000
