case,role,name,hex,value
veg_warm_day_dry,opt,DVEG,00000004,                4
veg_warm_day_dry,opt,OPT_CRS,00000001,                1
veg_warm_day_dry,opt,OPT_BTR,00000001,                1
veg_warm_day_dry,opt,OPT_RUN,00000003,                3
veg_warm_day_dry,opt,OPT_SFC,00000001,                1
veg_warm_day_dry,opt,OPT_FRZ,00000001,                1
veg_warm_day_dry,opt,OPT_INF,00000001,                1
veg_warm_day_dry,opt,OPT_RAD,00000003,                3
veg_warm_day_dry,opt,OPT_ALB,00000002,                2
veg_warm_day_dry,opt,OPT_SNF,00000001,                1
veg_warm_day_dry,opt,OPT_TBOT,00000002,                2
veg_warm_day_dry,opt,OPT_STC,00000001,                1
veg_warm_day_dry,opt,OPT_RSF,00000001,                1
veg_warm_day_dry,opt,OPT_SOIL,00000001,                1
veg_warm_day_dry,opt,OPT_PEDO,00000001,                1
veg_warm_day_dry,opt,OPT_CROP,00000000,                0
veg_warm_day_dry,opt,OPT_IRR,00000000,                0
veg_warm_day_dry,opt,OPT_IRRM,00000000,                0
veg_warm_day_dry,opt,OPT_INFDV,00000000,                0
veg_warm_day_dry,opt,OPT_TDRN,00000000,                0
veg_warm_day_dry,opt,SOIL_UPDATE_STEPS,00000001,                1
veg_warm_day_dry,opt,CALCULATE_SOIL,00000001,                1
veg_warm_day_dry,cfg,VEGTYP,0000000A,               10
veg_warm_day_dry,cfg,SOILTYPE,00000003,                3
veg_warm_day_dry,cfg,SLOPETYPE,00000001,                1
veg_warm_day_dry,cfg,SOILCOLOR,00000004,                4
veg_warm_day_dry,cfg,CROPTYPE,00000000,                0
veg_warm_day_dry,cfg,YEARLEN,0000016D,              365
veg_warm_day_dry,par,URBAN_FLAG,00000000,                0
veg_warm_day_dry,par,NROOT,00000003,                3
veg_warm_day_dry,par,ISBARREN,00000010,               16
veg_warm_day_dry,par,MFSNO,40000000,  2.000000000E+00
veg_warm_day_dry,par,SCFFAC,3CA3D70A,  1.999999955E-02
veg_warm_day_dry,par,Z0SNO,3B03126F,  2.000000095E-03
veg_warm_day_dry,par,Z0MVT,3DF5C28F,  1.199999973E-01
veg_warm_day_dry,par,HVT,3F800000,  1.000000000E+00
veg_warm_day_dry,par,CWPVT,40A00000,  5.000000000E+00
veg_warm_day_dry,par,SNOW_EMIS,3F733333,  9.499999881E-01
veg_warm_day_dry,par,RSURF_EXP,40A00000,  5.000000000E+00
veg_warm_day_dry,par,RSURF_SNOW,42480000,  5.000000000E+01
veg_warm_day_dry,par,EG_+1,3F7851EC,  9.700000286E-01
veg_warm_day_dry,par,EG_+2,3F7AE148,  9.800000191E-01
veg_warm_day_dry,par,SMCMAX_+1,3EDE353F,  4.339999855E-01
veg_warm_day_dry,par,SMCREF_+1,3E9FBE77,  3.120000064E-01
veg_warm_day_dry,par,SMCWLT_+1,3D408312,  4.699999839E-02
veg_warm_day_dry,par,PSISAT_+1,3E10624E,  1.410000026E-01
veg_warm_day_dry,par,BEXP_+1,4097AE14,  4.739999771E+00
veg_warm_day_dry,par,SMCMAX_+2,3EDE353F,  4.339999855E-01
veg_warm_day_dry,par,SMCREF_+2,3E9FBE77,  3.120000064E-01
veg_warm_day_dry,par,SMCWLT_+2,3D408312,  4.699999839E-02
veg_warm_day_dry,par,PSISAT_+2,3E10624E,  1.410000026E-01
veg_warm_day_dry,par,BEXP_+2,4097AE14,  4.739999771E+00
veg_warm_day_dry,par,SMCMAX_+3,3EDE353F,  4.339999855E-01
veg_warm_day_dry,par,SMCREF_+3,3E9FBE77,  3.120000064E-01
veg_warm_day_dry,par,SMCWLT_+3,3D408312,  4.699999839E-02
veg_warm_day_dry,par,PSISAT_+3,3E10624E,  1.410000026E-01
veg_warm_day_dry,par,BEXP_+3,4097AE14,  4.739999771E+00
veg_warm_day_dry,par,SMCMAX_+4,3EDE353F,  4.339999855E-01
veg_warm_day_dry,par,SMCREF_+4,3E9FBE77,  3.120000064E-01
