leaf,case,slot,name,index,baseline_bits,probe_bits,already_at_probe,noutputs_changed,max_abs_delta
ragrb,neutral_forest,1,vai,0,40833333,00000000,0,3,24.0548458
ragrb,neutral_forest,2,rhoair,0,3F970A3D,00000000,0,0,0.00000000
ragrb,neutral_forest,3,hg,0,42340000,00000000,0,0,0.00000000
ragrb,neutral_forest,4,tv,0,4391C000,00000000,0,0,0.00000000
ragrb,neutral_forest,5,tah,0,4391199A,00000000,0,0,0.00000000
ragrb,neutral_forest,6,zpd,0,41500000,00000000,0,2,220.638870
ragrb,neutral_forest,7,z0mg,0,3C23D70A,00000000,0,0,0.00000000
ragrb,neutral_forest,8,z0hg,0,3C449BA6,00000000,0,2,0.586868286
ragrb,neutral_forest,9,hcan,0,41A00000,00000000,0,3,24.0548458
ragrb,neutral_forest,10,uc,0,4019999A,00000000,0,1,20.9451542
ragrb,neutral_forest,11,z0h,0,3F8B851F,00000000,0,2,3.96362305
ragrb,neutral_forest,12,fv,0,3EAE147B,00000000,0,2,225896896.
ragrb,neutral_forest,13,cwp,0,3E3851EC,00000000,0,3,24.0548458
ragrb,neutral_forest,14,mpe,0,358637BD,00000000,0,0,0.00000000
ragrb,neutral_forest,15,mozg,0,BE800000,00000000,0,0,0.00000000
ragrb,neutral_forest,16,fhg,0,3FA00000,00000000,0,0,0.00000000
ragrb,neutral_forest,17,dleaf,0,3D23D70A,00000000,0,1,24.0548458
ragrb,unstable_forest,1,vai,0,40666666,00000000,0,3,30.8256187
ragrb,unstable_forest,2,rhoair,0,3F933333,00000000,0,5,70.8014297
ragrb,unstable_forest,3,hg,0,43340000,00000000,0,5,45.5852661
ragrb,unstable_forest,4,tv,0,43950000,00000000,0,0,0.00000000
ragrb,unstable_forest,5,tah,0,4393C000,00000000,0,5,70.8014297
ragrb,unstable_forest,6,zpd,0,411C0000,00000000,0,5,160.451797
ragrb,unstable_forest,7,z0mg,0,3C03126F,00000000,0,5,0.137786865E-1
ragrb,unstable_forest,8,z0hg,0,3C1374BC,00000000,0,2,0.426986694
ragrb,unstable_forest,9,hcan,0,41700000,00000000,0,3,30.8256187
ragrb,unstable_forest,10,uc,0,3FF33333,00000000,0,1,14.1743813
ragrb,unstable_forest,11,z0h,0,3F51EB85,00000000,0,2,3.11018372
ragrb,unstable_forest,12,fv,0,3ED6D5D0,00000000,0,5,93252768.0
ragrb,unstable_forest,13,cwp,0,3E800000,00000000,0,3,30.8256187
ragrb,unstable_forest,14,mpe,0,358637BD,00000000,0,0,0.00000000
ragrb,unstable_forest,15,mozg,0,3ECCCCCD,00000000,0,0,0.00000000
ragrb,unstable_forest,16,fhg,0,3FB33333,00000000,0,4,124.843384
