leaf,case,role,name,index,slot,live,bits,value
ragrb,neutral_forest,int,iter,0,1,1,3F800000,1.00000000
ragrb,neutral_forest,int,vegtyp,0,2,1,3F800000,1.00000000
ragrb,neutral_forest,int,iloc,0,3,1,41300000,11.0000000
ragrb,neutral_forest,int,jloc,0,4,1,41A80000,21.0000000
ragrb,neutral_forest,in,vai,0,1,1,40833333,4.09999990
ragrb,neutral_forest,in,rhoair,0,2,1,3F970A3D,1.17999995
ragrb,neutral_forest,in,hg,0,3,1,42340000,45.0000000
ragrb,neutral_forest,in,tv,0,4,1,4391C000,291.500000
ragrb,neutral_forest,in,tah,0,5,1,4391199A,290.200012
ragrb,neutral_forest,in,zpd,0,6,1,41500000,13.0000000
ragrb,neutral_forest,in,z0mg,0,7,1,3C23D70A,0.999999978E-2
ragrb,neutral_forest,in,z0hg,0,8,1,3C449BA6,0.120000001E-1
ragrb,neutral_forest,in,hcan,0,9,1,41A00000,20.0000000
ragrb,neutral_forest,in,uc,0,10,1,4019999A,2.40000010
ragrb,neutral_forest,in,z0h,0,11,1,3F8B851F,1.09000003
ragrb,neutral_forest,in,fv,0,12,1,3EAE147B,0.340000004
ragrb,neutral_forest,in,cwp,0,13,1,3E3851EC,0.180000007
ragrb,neutral_forest,in,mpe,0,14,1,358637BD,0.999999997E-6
ragrb,neutral_forest,in,mozg,0,15,1,BE800000,-0.250000000
ragrb,neutral_forest,in,fhg,0,16,1,3FA00000,1.25000000
ragrb,neutral_forest,in,dleaf,0,17,1,3D23D70A,0.399999991E-1
ragrb,neutral_forest,out,mozg,0,1,1,00000000,0.00000000
ragrb,neutral_forest,out,fhg,0,2,1,3F800000,1.00000000
ragrb,neutral_forest,out,ramg,0,3,1,00000000,0.00000000
ragrb,neutral_forest,out,rahg,0,4,1,436D4973,237.286911
ragrb,neutral_forest,out,rawg,0,5,1,436D4973,237.286911
ragrb,neutral_forest,out,rb,0,6,1,41E87053,29.0548458
ragrb,unstable_forest,int,iter,0,1,1,40400000,3.00000000
ragrb,unstable_forest,int,vegtyp,0,2,1,40000000,2.00000000
ragrb,unstable_forest,int,iloc,0,3,1,41400000,12.0000000
ragrb,unstable_forest,int,jloc,0,4,1,41B00000,22.0000000
ragrb,unstable_forest,in,vai,0,1,1,40666666,3.59999990
ragrb,unstable_forest,in,rhoair,0,2,1,3F933333,1.14999998
ragrb,unstable_forest,in,hg,0,3,1,43340000,180.000000
ragrb,unstable_forest,in,tv,0,4,1,43950000,298.000000
ragrb,unstable_forest,in,tah,0,5,1,4393C000,295.500000
ragrb,unstable_forest,in,zpd,0,6,1,411C0000,9.75000000
ragrb,unstable_forest,in,z0mg,0,7,1,3C03126F,0.800000038E-2
ragrb,unstable_forest,in,z0hg,0,8,1,3C1374BC,0.899999961E-2
ragrb,unstable_forest,in,hcan,0,9,1,41700000,15.0000000
ragrb,unstable_forest,in,uc,0,10,1,3FF33333,1.89999998
ragrb,unstable_forest,in,z0h,0,11,1,3F51EB85,0.819999993
ragrb,unstable_forest,in,fv,0,12,1,3ED6D5D0,0.419600010
ragrb,unstable_forest,in,cwp,0,13,1,3E800000,0.250000000
ragrb,unstable_forest,in,mpe,0,14,1,358637BD,0.999999997E-6
ragrb,unstable_forest,in,mozg,0,15,1,3ECCCCCD,0.400000006
ragrb,unstable_forest,in,fhg,0,16,1,3FB33333,1.39999998
ragrb,unstable_forest,in,dleaf,0,17,1,3D4CCCCD,0.500000007E-1
ragrb,unstable_forest,out,mozg,0,1,1,BE8BA12A,-0.272713959
ragrb,unstable_forest,out,fhg,0,2,1,3F84351A,1.03287053
ragrb,unstable_forest,out,ramg,0,3,1,00000000,0.00000000
ragrb,unstable_forest,out,rahg,0,4,1,4330A195,176.631180
ragrb,unstable_forest,out,rawg,0,5,1,4330A195,176.631180
ragrb,unstable_forest,out,rb,0,6,1,420F4D6F,35.8256187
ragrb,stable_grass,int,iter,0,1,1,40000000,2.00000000
ragrb,stable_grass,int,vegtyp,0,2,1,41200000,10.0000000
ragrb,stable_grass,int,iloc,0,3,1,41500000,13.0000000
ragrb,stable_grass,int,jloc,0,4,1,41B80000,23.0000000
ragrb,stable_grass,in,vai,0,1,1,400CCCCD,2.20000005
ragrb,stable_grass,in,rhoair,0,2,1,3F99999A,1.20000005
ragrb,stable_grass,in,hg,0,3,1,C1F00000,-30.0000000
ragrb,stable_grass,in,tv,0,4,1,438B8000,279.000000
ragrb,stable_grass,in,tah,0,5,1,438C0000,280.000000
ragrb,stable_grass,in,zpd,0,6,1,3F266666,0.649999976
ragrb,stable_grass,in,z0mg,0,7,1,3C23D70A,0.999999978E-2
ragrb,stable_grass,in,z0hg,0,8,1,3C343958,0.109999999E-1
ragrb,stable_grass,in,hcan,0,9,1,3F800000,1.00000000
ragrb,stable_grass,in,uc,0,10,1,3F99999A,1.20000005
ragrb,stable_grass,in,z0h,0,11,1,3DF5C28F,0.119999997
ragrb,stable_grass,in,fv,0,12,1,3E19999A,0.150000006
ragrb,stable_grass,in,cwp,0,13,1,40A00000,5.00000000
ragrb,stable_grass,in,mpe,0,14,1,358637BD,0.999999997E-6
ragrb,stable_grass,in,mozg,0,15,1,3DCCCCCD,0.100000001
ragrb,stable_grass,in,fhg,0,16,1,3F8CCCCD,1.10000002
ragrb,stable_grass,in,dleaf,0,17,1,3CF5C28F,0.299999993E-1
ragrb,stable_grass,out,mozg,0,1,1,3D87623D,0.661053434E-1
ragrb,stable_grass,out,fhg,0,2,1,3F9A48D4,1.20534754
ragrb,stable_grass,out,ramg,0,3,1,00000000,0.00000000
ragrb,stable_grass,out,rahg,0,4,1,43E07DA0,448.981445
ragrb,stable_grass,out,rawg,0,5,1,43E07DA0,448.981445
ragrb,stable_grass,out,rb,0,6,1,420964F0,34.3485718
ragrb,stable_clamp_mozg,int,iter,0,1,1,40800000,4.00000000
ragrb,stable_clamp_mozg,int,vegtyp,0,2,1,40A00000,5.00000000
ragrb,stable_clamp_mozg,int,iloc,0,3,1,41600000,14.0000000
ragrb,stable_clamp_mozg,int,jloc,0,4,1,41C00000,24.0000000
ragrb,stable_clamp_mozg,in,vai,0,1,1,40A66666,5.19999981
ragrb,stable_clamp_mozg,in,rhoair,0,2,1,3FA66666,1.29999995
ragrb,stable_clamp_mozg,in,hg,0,3,1,C2A00000,-80.0000000
ragrb,stable_clamp_mozg,in,tv,0,4,1,43850000,266.000000
ragrb,stable_clamp_mozg,in,tah,0,5,1,43848000,265.000000
ragrb,stable_clamp_mozg,in,zpd,0,6,1,41500000,13.0000000
ragrb,stable_clamp_mozg,in,z0mg,0,7,1,3C23D70A,0.999999978E-2
ragrb,stable_clamp_mozg,in,z0hg,0,8,1,3C656042,0.140000004E-1
ragrb,stable_clamp_mozg,in,hcan,0,9,1,41A00000,20.0000000
ragrb,stable_clamp_mozg,in,uc,0,10,1,40C00000,6.00000000
ragrb,stable_clamp_mozg,in,z0h,0,11,1,3F800000,1.00000000
ragrb,stable_clamp_mozg,in,fv,0,12,1,3D4CCCCD,0.500000007E-1
ragrb,stable_clamp_mozg,in,cwp,0,13,1,3E4CCCCD,0.200000003
ragrb,stable_clamp_mozg,in,mpe,0,14,1,358637BD,0.999999997E-6
ragrb,stable_clamp_mozg,in,mozg,0,15,1,BD4CCCCD,-0.500000007E-1
ragrb,stable_clamp_mozg,in,fhg,0,16,1,40000000,2.00000000
