leaf,case,slot,name,index,baseline_bits,already_zero,noutputs_changed,max_abs_delta
atm,warm_dry_noon,1,sfcprs,0,47BC7A00,0,3,1572.72717
atm,warm_dry_noon,2,sfctmp,0,43951333,0,4,298.149994
atm,warm_dry_noon,3,q2,0,3C271DE7,0,3,1572.72717
atm,warm_dry_noon,4,prcpconv,0,00000000,1,0,0.00000000
atm,warm_dry_noon,5,prcpnonc,0,00000000,1,0,0.00000000
atm,warm_dry_noon,6,prcpshcv,0,00000000,1,0,0.00000000
atm,warm_dry_noon,7,prcpsnow,0,00000000,1,0,0.00000000
atm,warm_dry_noon,8,prcpgrpl,0,00000000,1,0,0.00000000
atm,warm_dry_noon,9,prcphail,0,00000000,1,0,0.00000000
atm,warm_dry_noon,10,soldn,0,44430000,0,5,780.000000
atm,warm_dry_noon,11,cosz,0,3F5EB852,0,5,780.000000
atm,warm_rain_afternoon,1,sfcprs,0,47B9F000,0,3,1838.44275
atm,warm_rain_afternoon,2,sfctmp,0,43918000,0,6,291.000000
atm,warm_rain_afternoon,3,q2,0,3C463F14,0,3,1838.44275
atm,warm_rain_afternoon,4,prcpconv,0,3A83126F,0,5,0.100000016E-2
atm,warm_rain_afternoon,5,prcpnonc,0,3B23D70A,0,4,0.249999994E-2
atm,warm_rain_afternoon,6,prcpshcv,0,00000000,1,0,0.00000000
atm,warm_rain_afternoon,7,prcpsnow,0,00000000,1,0,0.00000000
atm,warm_rain_afternoon,8,prcpgrpl,0,00000000,1,0,0.00000000
atm,warm_rain_afternoon,9,prcphail,0,00000000,1,0,0.00000000
atm,warm_rain_afternoon,10,soldn,0,43700000,0,5,240.000000
atm,warm_rain_afternoon,11,cosz,0,3ED1EB85,0,5,240.000000
atm,mixed_phase_lower,1,sfcprs,0,47BE0A00,0,3,593.067749
atm,mixed_phase_lower,2,sfctmp,0,43890000,0,6,274.000000
atm,mixed_phase_lower,3,q2,0,3B79096C,0,3,593.067749
atm,mixed_phase_lower,4,prcpconv,0,00000000,1,0,0.00000000
atm,mixed_phase_lower,5,prcpnonc,0,3AB78034,0,6,0.526315749
atm,mixed_phase_lower,6,prcpshcv,0,00000000,1,0,0.00000000
atm,mixed_phase_lower,7,prcpsnow,0,00000000,1,0,0.00000000
atm,mixed_phase_lower,8,prcpgrpl,0,00000000,1,0,0.00000000
atm,mixed_phase_lower,9,prcphail,0,00000000,1,0,0.00000000
atm,mixed_phase_lower,10,soldn,0,42F00000,0,5,120.000000
atm,mixed_phase_lower,11,cosz,0,3E6147AE,0,5,120.000000
atm,mixed_phase_upper,1,sfcprs,0,47BE0A00,0,3,686.460266
atm,mixed_phase_upper,2,sfctmp,0,4389C000,0,6,275.500000
atm,mixed_phase_upper,3,q2,0,3B902DE0,0,3,686.460266
atm,mixed_phase_upper,4,prcpconv,0,399D4952,0,5,0.300000072E-3
atm,mixed_phase_upper,5,prcpnonc,0,3A6BEDFA,0,6,0.900000043E-3
atm,mixed_phase_upper,6,prcpshcv,0,3951B717,0,6,0.200000009E-3
atm,mixed_phase_upper,7,prcpsnow,0,39D1B717,0,0,0.00000000
atm,mixed_phase_upper,8,prcpgrpl,0,3951B717,0,0,0.00000000
atm,mixed_phase_upper,9,prcphail,0,38D1B717,0,0,0.00000000
atm,mixed_phase_upper,10,soldn,0,43200000,0,5,160.000000
atm,mixed_phase_upper,11,cosz,0,3E9EB852,0,5,160.000000
atm,cold_all_snow,1,sfcprs,0,47ACA800,0,3,156.229965
atm,cold_all_snow,2,sfctmp,0,4382A666,0,3,261.299988
atm,cold_all_snow,3,q2,0,3A902DE0,0,3,156.229965
atm,cold_all_snow,4,prcpconv,0,00000000,1,0,0.00000000
atm,cold_all_snow,5,prcpnonc,0,3A51B717,0,5,0.526315749
atm,cold_all_snow,6,prcpshcv,0,00000000,1,0,0.00000000
atm,cold_all_snow,7,prcpsnow,0,3A449BA6,0,0,0.00000000
atm,cold_all_snow,8,prcpgrpl,0,3851B717,0,0,0.00000000
atm,cold_all_snow,9,prcphail,0,37FBA882,0,0,0.00000000
atm,cold_all_snow,10,soldn,0,42BE0000,0,5,95.0000000
atm,cold_all_snow,11,cosz,0,3E3851EC,0,5,95.0000000
atm,near_freezing_snow,1,sfcprs,0,47C18E00,0,3,651.607971
atm,near_freezing_snow,2,sfctmp,0,4388C000,0,3,273.500000
atm,near_freezing_snow,3,q2,0,3B86594B,0,3,651.607971
atm,near_freezing_snow,4,prcpconv,0,00000000,1,0,0.00000000
atm,near_freezing_snow,5,prcpnonc,0,3B4B295F,0,5,0.526315808
atm,near_freezing_snow,6,prcpshcv,0,00000000,1,0,0.00000000
atm,near_freezing_snow,7,prcpsnow,0,3B2A64C3,0,0,0.00000000
atm,near_freezing_snow,8,prcpgrpl,0,39D1B717,0,0,0.00000000
atm,near_freezing_snow,9,prcphail,0,38D1B717,0,0,0.00000000
atm,near_freezing_snow,10,soldn,0,42700000,0,5,60.0000000
atm,near_freezing_snow,11,cosz,0,3DF5C28F,0,5,60.0000000
atm,nocturnal_dark,1,sfcprs,0,47BD1000,0,3,1161.90686
atm,nocturnal_dark,2,sfctmp,0,438E599A,0,6,284.700012
atm,nocturnal_dark,3,q2,0,3BF5C28F,0,3,1161.90686
atm,nocturnal_dark,4,prcpconv,0,00000000,1,0,0.00000000
atm,nocturnal_dark,5,prcpnonc,0,3A1D4952,0,5,0.526315808
atm,nocturnal_dark,6,prcpshcv,0,00000000,1,0,0.00000000
atm,nocturnal_dark,7,prcpsnow,0,38D1B717,0,0,0.00000000
atm,nocturnal_dark,8,prcpgrpl,0,37A7C5AC,0,0,0.00000000
atm,nocturnal_dark,9,prcphail,0,3727C5AC,0,0,0.00000000
atm,nocturnal_dark,10,soldn,0,42340000,0,0,0.00000000
atm,nocturnal_dark,11,cosz,0,BEAE147B,0,0,0.00000000
atm,hot_bright_convective,1,sfcprs,0,47C57600,0,3,2830.43384
atm,hot_bright_convective,2,sfctmp,0,4398F333,0,6,305.899994
atm,hot_bright_convective,3,q2,0,3C902DE0,0,3,2830.43384
atm,hot_bright_convective,4,prcpconv,0,3B102DE0,0,4,0.219999999E-2
atm,hot_bright_convective,5,prcpnonc,0,39D1B717,0,5,0.400000019E-3
atm,hot_bright_convective,6,prcpshcv,0,3A378034,0,4,0.699999975E-3
atm,hot_bright_convective,7,prcpsnow,0,00000000,1,0,0.00000000
atm,hot_bright_convective,8,prcpgrpl,0,00000000,1,0,0.00000000
atm,hot_bright_convective,9,prcphail,0,00000000,1,0,0.00000000
atm,hot_bright_convective,10,soldn,0,446B0000,0,5,940.000000
atm,hot_bright_convective,11,cosz,0,3F75C28F,0,5,940.000000
esat,clamp_low_minus50,1,tc,0,C2480000,0,4,606.954834
esat,deep_cold_minus28,1,tc,0,C1E33333,0,4,566.119385
esat,frost_minus7,1,tc,0,C0E4CCCD,0,4,277.394073
esat,freezing_zero,1,tc,0,00000000,1,0,0.00000000
esat,cool_plus6,1,tc,0,40CB3333,0,4,407.443481
esat,warm_plus27,1,tc,0,41DE6666,0,4,4191.22510
esat,clamp_high_plus50,1,tc,0,42480000,0,4,17892.5527
rosr12,soil_only_isnow0,1,a,-2,BE9EB852,0,0,0.00000000
