leaf,case,role,name,index,slot,live,bits,value
atm,warm_dry_noon,in,sfcprs,0,1,1,47BC7A00,96500.0000
atm,warm_dry_noon,in,sfctmp,0,2,1,43951333,298.149994
atm,warm_dry_noon,in,q2,0,3,1,3C271DE7,0.102000004E-1
atm,warm_dry_noon,in,prcpconv,0,4,1,00000000,0.00000000
atm,warm_dry_noon,in,prcpnonc,0,5,1,00000000,0.00000000
atm,warm_dry_noon,in,prcpshcv,0,6,1,00000000,0.00000000
atm,warm_dry_noon,in,prcpsnow,0,7,1,00000000,0.00000000
atm,warm_dry_noon,in,prcpgrpl,0,8,1,00000000,0.00000000
atm,warm_dry_noon,in,prcphail,0,9,1,00000000,0.00000000
atm,warm_dry_noon,in,soldn,0,10,1,44430000,780.000000
atm,warm_dry_noon,in,cosz,0,11,1,3F5EB852,0.870000005
atm,warm_dry_noon,out,thair,0,1,1,43951333,298.149994
atm,warm_dry_noon,out,qair,0,2,1,3C271DE7,0.102000004E-1
atm,warm_dry_noon,out,eair,0,3,1,44C49745,1572.72717
atm,warm_dry_noon,out,rhoair,0,4,1,3F8F7126,1.12064052
atm,warm_dry_noon,out,qprecc,0,5,1,00000000,0.00000000
atm,warm_dry_noon,out,qprecl,0,6,1,00000000,0.00000000
atm,warm_dry_noon,out,solad,1,7,1,43888000,273.000000
atm,warm_dry_noon,out,solad,2,8,1,43888000,273.000000
atm,warm_dry_noon,out,solai,1,9,1,42EA0001,117.000008
atm,warm_dry_noon,out,solai,2,10,1,42EA0001,117.000008
atm,warm_dry_noon,out,swdown,0,11,1,44430000,780.000000
atm,warm_dry_noon,out,bdfall,0,12,1,42F00000,120.000000
atm,warm_dry_noon,out,rain,0,13,1,00000000,0.00000000
atm,warm_dry_noon,out,snow,0,14,1,00000000,0.00000000
atm,warm_dry_noon,out,fp,0,15,1,00000000,0.00000000
atm,warm_dry_noon,out,fpice,0,16,1,00000000,0.00000000
atm,warm_dry_noon,out,prcp,0,17,1,00000000,0.00000000
atm,warm_rain_afternoon,in,sfcprs,0,1,1,47B9F000,95200.0000
atm,warm_rain_afternoon,in,sfctmp,0,2,1,43918000,291.000000
atm,warm_rain_afternoon,in,q2,0,3,1,3C463F14,0.120999999E-1
atm,warm_rain_afternoon,in,prcpconv,0,4,1,3A83126F,0.100000005E-2
atm,warm_rain_afternoon,in,prcpnonc,0,5,1,3B23D70A,0.249999994E-2
atm,warm_rain_afternoon,in,prcpshcv,0,6,1,00000000,0.00000000
atm,warm_rain_afternoon,in,prcpsnow,0,7,1,00000000,0.00000000
atm,warm_rain_afternoon,in,prcpgrpl,0,8,1,00000000,0.00000000
atm,warm_rain_afternoon,in,prcphail,0,9,1,00000000,0.00000000
atm,warm_rain_afternoon,in,soldn,0,10,1,43700000,240.000000
atm,warm_rain_afternoon,in,cosz,0,11,1,3ED1EB85,0.409999996
atm,warm_rain_afternoon,out,thair,0,1,1,43918000,291.000000
atm,warm_rain_afternoon,out,qair,0,2,1,3C463F14,0.120999999E-1
atm,warm_rain_afternoon,out,eair,0,3,1,44E5CE2B,1838.44275
atm,warm_rain_afternoon,out,rhoair,0,4,1,3F90D204,1.13140917
atm,warm_rain_afternoon,out,qprecc,0,5,1,39B78035,0.350000017E-3
atm,warm_rain_afternoon,out,qprecl,0,6,1,3B4E703B,0.315000000E-2
atm,warm_rain_afternoon,out,solad,1,7,1,42A80000,84.0000000
atm,warm_rain_afternoon,out,solad,2,8,1,42A80000,84.0000000
atm,warm_rain_afternoon,out,solai,1,9,1,42100000,36.0000000
atm,warm_rain_afternoon,out,solai,2,10,1,42100000,36.0000000
atm,warm_rain_afternoon,out,swdown,0,11,1,43700000,240.000000
atm,warm_rain_afternoon,out,bdfall,0,12,1,42F00000,120.000000
atm,warm_rain_afternoon,out,rain,0,13,1,3B656042,0.350000011E-2
atm,warm_rain_afternoon,out,snow,0,14,1,00000000,0.00000000
atm,warm_rain_afternoon,out,fp,0,15,1,3F06BCA2,0.526315808
atm,warm_rain_afternoon,out,fpice,0,16,1,00000000,0.00000000
atm,warm_rain_afternoon,out,prcp,0,17,1,3B656042,0.350000011E-2
atm,mixed_phase_lower,in,sfcprs,0,1,1,47BE0A00,97300.0000
atm,mixed_phase_lower,in,sfctmp,0,2,1,43890000,274.000000
atm,mixed_phase_lower,in,q2,0,3,1,3B79096C,0.380000006E-2
atm,mixed_phase_lower,in,prcpconv,0,4,1,00000000,0.00000000
