case,vegtype,soiltype,slopetype,soilcolor,field,index,value
evergreen_needleleaf,1,6,1,4,ISWATER,0,17
evergreen_needleleaf,1,6,1,4,ISBARREN,0,16
evergreen_needleleaf,1,6,1,4,ISICE,0,15
evergreen_needleleaf,1,6,1,4,ISCROP,0,12
evergreen_needleleaf,1,6,1,4,EBLFOREST,0,2
evergreen_needleleaf,1,6,1,4,URBAN_FLAG,0,0
evergreen_needleleaf,1,6,1,4,CH2OP,0,0.100000001
evergreen_needleleaf,1,6,1,4,DLEAF,0,0.399999991E-1
evergreen_needleleaf,1,6,1,4,Z0MVT,0,1.09000003
evergreen_needleleaf,1,6,1,4,HVT,0,20.0000000
evergreen_needleleaf,1,6,1,4,HVB,0,8.50000000
evergreen_needleleaf,1,6,1,4,DEN,0,0.280000001
evergreen_needleleaf,1,6,1,4,RC,0,1.20000005
evergreen_needleleaf,1,6,1,4,MFSNO,0,1.00000000
evergreen_needleleaf,1,6,1,4,SCFFAC,0,0.800000038E-2
evergreen_needleleaf,1,6,1,4,CBIOM,0,0.199999996E-1
evergreen_needleleaf,1,6,1,4,SAIM,1,0.400000006
evergreen_needleleaf,1,6,1,4,SAIM,2,0.400000006
evergreen_needleleaf,1,6,1,4,SAIM,3,0.400000006
evergreen_needleleaf,1,6,1,4,SAIM,4,0.300000012
evergreen_needleleaf,1,6,1,4,SAIM,5,0.400000006
evergreen_needleleaf,1,6,1,4,SAIM,6,0.500000000
evergreen_needleleaf,1,6,1,4,SAIM,7,0.500000000
evergreen_needleleaf,1,6,1,4,SAIM,8,0.600000024
evergreen_needleleaf,1,6,1,4,SAIM,9,0.600000024
evergreen_needleleaf,1,6,1,4,SAIM,10,0.699999988
evergreen_needleleaf,1,6,1,4,SAIM,11,0.600000024
evergreen_needleleaf,1,6,1,4,SAIM,12,0.500000000
evergreen_needleleaf,1,6,1,4,LAIM,1,4.00000000
evergreen_needleleaf,1,6,1,4,LAIM,2,4.00000000
evergreen_needleleaf,1,6,1,4,LAIM,3,4.00000000
evergreen_needleleaf,1,6,1,4,LAIM,4,4.00000000
evergreen_needleleaf,1,6,1,4,LAIM,5,4.00000000
evergreen_needleleaf,1,6,1,4,LAIM,6,4.00000000
evergreen_needleleaf,1,6,1,4,LAIM,7,4.00000000
evergreen_needleleaf,1,6,1,4,LAIM,8,4.00000000
evergreen_needleleaf,1,6,1,4,LAIM,9,4.00000000
evergreen_needleleaf,1,6,1,4,LAIM,10,4.00000000
evergreen_needleleaf,1,6,1,4,LAIM,11,4.00000000
evergreen_needleleaf,1,6,1,4,LAIM,12,4.00000000
evergreen_needleleaf,1,6,1,4,SLA,0,80.0000000
evergreen_needleleaf,1,6,1,4,DILEFC,0,1.20000005
evergreen_needleleaf,1,6,1,4,DILEFW,0,0.200000003
evergreen_needleleaf,1,6,1,4,FRAGR,0,0.100000001
evergreen_needleleaf,1,6,1,4,LTOVRC,0,0.500000000
evergreen_needleleaf,1,6,1,4,C3PSN,0,1.00000000
evergreen_needleleaf,1,6,1,4,KC25,0,30.0000000
evergreen_needleleaf,1,6,1,4,AKC,0,2.09999990
evergreen_needleleaf,1,6,1,4,KO25,0,30000.0000
evergreen_needleleaf,1,6,1,4,AKO,0,1.20000005
evergreen_needleleaf,1,6,1,4,VCMX25,0,50.0000000
evergreen_needleleaf,1,6,1,4,AVCMX,0,2.40000010
evergreen_needleleaf,1,6,1,4,BP,0,2000.00000
evergreen_needleleaf,1,6,1,4,MP,0,6.00000000
evergreen_needleleaf,1,6,1,4,QE25,0,0.599999987E-1
evergreen_needleleaf,1,6,1,4,AQE,0,1.00000000
evergreen_needleleaf,1,6,1,4,RMF25,0,3.00000000
evergreen_needleleaf,1,6,1,4,RMS25,0,0.899999976
evergreen_needleleaf,1,6,1,4,RMR25,0,0.360000014
evergreen_needleleaf,1,6,1,4,ARM,0,2.00000000
evergreen_needleleaf,1,6,1,4,FOLNMX,0,1.50000000
evergreen_needleleaf,1,6,1,4,TMIN,0,265.000000
evergreen_needleleaf,1,6,1,4,XL,0,0.999999978E-2
evergreen_needleleaf,1,6,1,4,RHOL,1,0.700000003E-1
evergreen_needleleaf,1,6,1,4,RHOL,2,0.349999994
evergreen_needleleaf,1,6,1,4,RHOS,1,0.159999996
evergreen_needleleaf,1,6,1,4,RHOS,2,0.389999986
evergreen_needleleaf,1,6,1,4,TAUL,1,0.500000007E-1
evergreen_needleleaf,1,6,1,4,TAUL,2,0.100000001
evergreen_needleleaf,1,6,1,4,TAUS,1,0.100000005E-2
evergreen_needleleaf,1,6,1,4,TAUS,2,0.100000005E-2
evergreen_needleleaf,1,6,1,4,MRP,0,0.370000005
evergreen_needleleaf,1,6,1,4,CWPVT,0,0.180000007
evergreen_needleleaf,1,6,1,4,WRRAT,0,30.0000000
evergreen_needleleaf,1,6,1,4,WDPOOL,0,1.00000000
evergreen_needleleaf,1,6,1,4,TDLEF,0,278.000000
evergreen_needleleaf,1,6,1,4,NROOT,0,4
evergreen_needleleaf,1,6,1,4,RGL,0,30.0000000
evergreen_needleleaf,1,6,1,4,RSMIN,0,125.000000
evergreen_needleleaf,1,6,1,4,HS,0,47.3499985
evergreen_needleleaf,1,6,1,4,TOPT,0,298.000000
evergreen_needleleaf,1,6,1,4,RSMAX,0,5000.00000
evergreen_needleleaf,1,6,1,4,ALBSAT,1,0.900000036E-1
evergreen_needleleaf,1,6,1,4,ALBSAT,2,0.180000007
evergreen_needleleaf,1,6,1,4,ALBDRY,1,0.180000007
evergreen_needleleaf,1,6,1,4,ALBDRY,2,0.360000014
evergreen_needleleaf,1,6,1,4,ALBICE,1,0.800000012
evergreen_needleleaf,1,6,1,4,ALBICE,2,0.550000012
evergreen_needleleaf,1,6,1,4,ALBLAK,1,0.600000024
evergreen_needleleaf,1,6,1,4,ALBLAK,2,0.400000006
evergreen_needleleaf,1,6,1,4,OMEGAS,1,0.800000012
evergreen_needleleaf,1,6,1,4,OMEGAS,2,0.400000006
evergreen_needleleaf,1,6,1,4,BETADS,0,0.500000000
evergreen_needleleaf,1,6,1,4,BETAIS,0,0.500000000
evergreen_needleleaf,1,6,1,4,EG,1,0.970000029
evergreen_needleleaf,1,6,1,4,EG,2,0.980000019
evergreen_needleleaf,1,6,1,4,CO2,0,0.395000010E-3
evergreen_needleleaf,1,6,1,4,O2,0,0.209000006
evergreen_needleleaf,1,6,1,4,TIMEAN,0,10.5000000
evergreen_needleleaf,1,6,1,4,FSATMX,0,0.379999995
evergreen_needleleaf,1,6,1,4,Z0SNO,0,0.200000009E-2
evergreen_needleleaf,1,6,1,4,SSI,0,0.299999993E-1
evergreen_needleleaf,1,6,1,4,SNOW_RET_FAC,0,0.499999987E-4
evergreen_needleleaf,1,6,1,4,SNOW_EMIS,0,0.949999988
evergreen_needleleaf,1,6,1,4,SWEMX,0,1.00000000
evergreen_needleleaf,1,6,1,4,TAU0,0,1000000.00
evergreen_needleleaf,1,6,1,4,GRAIN_GROWTH,0,5000.00000
evergreen_needleleaf,1,6,1,4,EXTRA_GROWTH,0,10.0000000
evergreen_needleleaf,1,6,1,4,DIRT_SOOT,0,0.300000012
evergreen_needleleaf,1,6,1,4,BATS_COSZ,0,2.00000000
evergreen_needleleaf,1,6,1,4,BATS_VIS_NEW,0,0.949999988
evergreen_needleleaf,1,6,1,4,BATS_NIR_NEW,0,0.649999976
evergreen_needleleaf,1,6,1,4,BATS_VIS_AGE,0,0.200000003
evergreen_needleleaf,1,6,1,4,BATS_NIR_AGE,0,0.500000000
evergreen_needleleaf,1,6,1,4,BATS_VIS_DIR,0,0.400000006
evergreen_needleleaf,1,6,1,4,BATS_NIR_DIR,0,0.400000006
evergreen_needleleaf,1,6,1,4,RSURF_SNOW,0,50.0000000
evergreen_needleleaf,1,6,1,4,RSURF_EXP,0,5.00000000
evergreen_needleleaf,1,6,1,4,KLAT_FAC,0,2.50000000
evergreen_needleleaf,1,6,1,4,TDSMC_FAC,0,1.25000000
evergreen_needleleaf,1,6,1,4,TD_DC,0,20.0000000
evergreen_needleleaf,1,6,1,4,TD_DCOEF,0,0.700000003E-1
evergreen_needleleaf,1,6,1,4,TD_RADI,0,0.700000003E-1
evergreen_needleleaf,1,6,1,4,TD_SPAC,0,30.0000000
evergreen_needleleaf,1,6,1,4,TD_DDRAIN,0,1.20000005
evergreen_needleleaf,1,6,1,4,TD_DEPTH,0,4
evergreen_needleleaf,1,6,1,4,TD_ADEPTH,0,2.00000000
evergreen_needleleaf,1,6,1,4,DRAIN_LAYER_OPT,0,4
evergreen_needleleaf,1,6,1,4,TD_D,0,1.00000000
evergreen_needleleaf,1,6,1,4,BEXP,1,5.25000000
evergreen_needleleaf,1,6,1,4,BEXP,2,5.25000000
evergreen_needleleaf,1,6,1,4,BEXP,3,5.25000000
evergreen_needleleaf,1,6,1,4,BEXP,4,5.25000000
evergreen_needleleaf,1,6,1,4,DKSAT,1,0.337999995E-5
evergreen_needleleaf,1,6,1,4,DKSAT,2,0.337999995E-5
evergreen_needleleaf,1,6,1,4,DKSAT,3,0.337999995E-5
evergreen_needleleaf,1,6,1,4,DKSAT,4,0.337999995E-5
evergreen_needleleaf,1,6,1,4,DWSAT,1,0.142999997E-4
evergreen_needleleaf,1,6,1,4,DWSAT,2,0.142999997E-4
evergreen_needleleaf,1,6,1,4,DWSAT,3,0.142999997E-4
evergreen_needleleaf,1,6,1,4,DWSAT,4,0.142999997E-4
evergreen_needleleaf,1,6,1,4,PSISAT,1,0.354999989
evergreen_needleleaf,1,6,1,4,PSISAT,2,0.354999989
