case,vegtyp,ist,ice,nsoil,iloc,jloc,tau0,grain_growth,extra_growth,dirt_soot,swemx,albsat1,albsat2,albdry1,albdry2,alblak1,alblak2,rhol1,rhol2,rhos1,rhos2,taul1,taul2,taus1,taus2,xl,omegas1,omegas2,betads,betais,dt,cosz,elai,esai,tg,tv,snowh,fsno,fwet,sneqvo,sneqv,qsnow,fveg,smc1,smc2,smc3,smc4,albold_in,tauss_in,fage_in,frevd_in1,frevd_in2,frevi_in1,frevi_in2,fregd_in1,fregd_in2,fregi_in1,fregi_in2,fage,albold,tauss,fsun,bgap,wgap,albgrd1,albgrd2,albgri1,albgri2,albd1,albd2,albi1,albi2,fabd1,fabd2,fabi1,fabi2,ftdd1,ftdd2,ftid1,ftid2,ftii1,ftii2,frevd1,frevd2,frevi1,frevi2,fregd1,fregd2,fregi1,fregi2,albsnd1,albsnd2,albsni1,albsni2
ab_night_cosz_zero,11,1,0,4,3,7,0x49742400,0x459C4000,0x41200000,0x3E99999A,0x3F800000,0x3E19999A,0x3E99999A,0x3E8A3D71,0x3F0A3D71,0x3F19999A,0x3ECCCCCD,0x3DE147AE,0x3F147AE1,0x3EB851EC,0x3F147AE1,0x3D8F5C29,0x3E800000,0x3E6147AE,0x3EC28F5C,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x42B40000,0x00000000,0x4059999A,0x3F000000,0x438C8000,0x438D0000,0x00000000,0x00000000,0x3D4CCCCD,0x00000000,0x00000000,0x00000000,0x3F47AE14,0x3E8F5C29,0x3E99999A,0x3EA3D70A,0x3EAE147B,0x3F0CCCCD,0x00000000,0xC46B4000,0xC2CC0000,0xC2D00000,0xC2D40000,0xC2D80000,0xC2DC0000,0xC2E00000,0xC2E40000,0xC2E80000,0xC46B4000,0x3F0CCCCD,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xC2CC0000,0xC2D00000,0xC2D40000,0xC2D80000,0xC2DC0000,0xC2E00000,0xC2E40000,0xC2E80000,0x00000000,0x00000000,0x00000000,0x00000000
ab_night_cosz_neg,11,1,0,4,3,7,0x495BBA00,0x45960000,0x41300000,0x3E8F5C29,0x3F8CCCCD,0x3DE147AE,0x3E6147AE,0x3E6147AE,0x3EE147AE,0x3F0CCCCD,0x3EB33333,0x3DCCCCCD,0x3EE66666,0x3E23D70A,0x3EC7AE14,0x3D4CCCCD,0x3E800000,0x3A83126F,0x3A83126F,0x3E800000,0x3F400000,0x3EE66666,0x3F051EB8,0x3EF5C28F,0x42B40000,0xBDF5C28F,0x4059999A,0x3F000000,0x438C8000,0x438D0000,0x00000000,0x00000000,0x3D4CCCCD,0x00000000,0x00000000,0x00000000,0x3F47AE14,0x3E8F5C29,0x3E99999A,0x3EA3D70A,0x3EAE147B,0x3F0CCCCD,0x00000000,0xC47A0000,0xC2CE0000,0xC2D40000,0xC2DA0000,0xC2E00000,0xC2E60000,0xC2EC0000,0xC2F20000,0xC2F80000,0xC47A0000,0x3F0CCCCD,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0xC2CE0000,0xC2D40000,0xC2DA0000,0xC2E00000,0xC2E60000,0xC2EC0000,0xC2F20000,0xC2F80000,0x00000000,0x00000000,0x00000000,0x00000000
ab_day_forest_warm,11,1,0,4,3,7,0x49864700,0x45A28000,0x41100000,0x3EA3D70A,0x3F666666,0x3DCCCCCD,0x3E4CCCCD,0x3E4CCCCD,0x3ECCCCCD,0x3F147AE1,0x3EC28F5C,0x3DE147AE,0x3F147AE1,0x3EB851EC,0x3F147AE1,0x3D8F5C29,0x3E800000,0x3E6147AE,0x3EC28F5C,0xBE99999A,0x3F51EB85,0x3ED70A3D,0x3F028F5C,0x3EFAE148,0x42B40000,0x3F1EB852,0x4059999A,0x3F000000,0x43908000,0x43910000,0x00000000,0x00000000,0x3D4CCCCD,0x00000000,0x00000000,0x00000000,0x3F47AE14,0x3E8F5C29,0x3E99999A,0x3EA3D70A,0x3EAE147B,0x3F0CCCCD,0x00000000,0xC47A4000,0xC2D00000,0xC2D80000,0xC2E00000,0xC2E80000,0xC2F00000,0xC2F80000,0xC3000000,0xC3040000,0x00000000,0x3F0CCCCD,0x00000000,0x3EB1EE6A,0x00000000,0x00000000,0x3DCCCCCD,0x3E4CCCCD,0x3DCCCCCD,0x3E4CCCCD,0x3D8321C4,0x3EAE928E,0x3D989A6B,0x3EC357EC,0x3F311754,0x3EA44F94,0x3F32C740,0x3E9FC06D,0x3E836BD5,0x3E836BD5,0x3C70340F,0x3E29F300,0x3E8136C6,0x3EC42191,0x3D2C26DA,0x3E980B63,0x3D989A6B,0x3EC357EC,0x3CB4395A,0x3D34395A,0x00000000,0x00000000,0x3F0CCCCD,0x3F0CCCCD,0x3F0CCCCD,0x3F0CCCCD
ab_day_forest_cold,11,1,0,4,3,7,0x494F8500,0x45A8C000,0x41400000,0x3E8A3D71,0x3F933333,0x3DB851EC,0x3E3851EC,0x3E3851EC,0x3EB851EC,0x3F1EB852,0x3ED70A3D,0x3DD70A3D,0x3F03D70A,0x3E851EB8,0x3EF851EC,0x3D75C28F,0x3E800000,0x3DE24DD3,0x3E43126F,0xBCCCCCCD,0x3F47AE14,0x3EC28F5C,0x3EF0A3D7,0x3F07AE14,0x42B40000,0x3EF5C28F,0x4059999A,0x3F000000,0x43848000,0x43850000,0x42F00000,0x3F0CCCCD,0x3F2147AE,0x42200000,0x42200000,0x00000000,0x3F47AE14,0x3E8F5C29,0x3E99999A,0x3EA3D70A,0x3EAE147B,0x3ED70A3D,0x42740000,0xC47A8000,0xC2D20000,0xC2DC0000,0xC2E60000,0xC2F00000,0xC2FA0000,0xC3020000,0xC3070000,0xC30C0000,0x3F7BDEF8,0x3ED70E80,0x42740017,0x3E87E9D9,0x00000000,0x00000000,0x3E8B0464,0x3E9FC0CF,0x3E8B0464,0x3E9FC0CF,0x3E5C55AB,0x3E51A7B7,0x3E668F54,0x3E5E1D0C,0x3F1527EC,0x3F1BCD89,0x3F127F65,0x3F18A9BC,0x3E6EBFF5,0x3E6EBFF5,0x3D35D6B2,0x3D1C4524,0x3E8E6284,0x3E8AFB6E,0x3E1F2AC6,0x3E0B5D1E,0x3E668F54,0x3E5E1D0C,0x3D74AB93,0x3D8C9532,0x00000000,0x00000000,0x3ED70E80,0x3ED70E80,0x3ED70E80,0x3ED70E80
ab_day_snowpack,11,1,0,4,3,7,0x49927C00,0x458FC000,0x41000000,0x3EB33333,0x3F4CCCCD,0x3DA3D70A,0x3E23D70A,0x3E23D70A,0x3EA3D70A,0x3F0F5C29,0x3EB851EC,0x3DCCCCCD,0x3EE66666,0x3E23D70A,0x3EC7AE14,0x3D4CCCCD,0x3DCCCCCD,0x3A83126F,0x3A83126F,0x3C23D70A,0x3F59999A,0x3EB33333,0x3F0CCCCD,0x3EE66666,0x44E10000,0x3EB33333,0x3F666666,0x3ECCCCCD,0x43810000,0x43818000,0x44610000,0x3F800000,0x00000000,0x43520000,0x43520000,0x00000000,0x3F0CCCCD,0x3E99999A,0x3E9EB852,0x3EA3D70A,0x3EA8F5C3,0x3EC28F5C,0x43700000,0xC47AC000,0xC2D40000,0xC2E00000,0xC2EC0000,0xC2F80000,0xC3020000,0xC3080000,0xC30E0000,0xC3140000,0x3F7EF011,0x3EC2FE7E,0x43700047,0x3EF61F0A,0x00000000,0x00000000,0x3EC2FE7E,0x3EC2FE7E,0x3EC2FE7E,0x3EC2FE7E,0x3E53525C,0x3E91D8AE,0x3E5AD05A,0x3E962FC0,0x3EE588E3,0x3EA888CC,0x3ECF42E9,0x3E964BEF,0x3F096207,0x3F096207,0x3CACB085,0x3DB1A533,0x3F1DBDC5,0x3F2ACFCC,0x3D0F4EE0,0x3DE86570,0x3E5AD05A,0x3E962FC0,0x3E2F7EA4,0x3E2F7EA4,0x00000000,0x00000000,0x3EC2FE7E,0x3EC2FE7E,0x3EC2FE7E,0x3EC2FE7E
ab_day_fresh_snowfall,11,1,0,4,3,7,0x4967EF00,0x459F6000,0x41280000,0x3E9EB852,0x3FA00000,0x3D8F5C29,0x3E0F5C29,0x3E0F5C29,0x3E8F5C29,0x3F170A3D,0x3EC7AE14,0x3D8F5C29,0x3EB33333,0x3E23D70A,0x3EC7AE14,0x3D4CCCCD,0x3DCCCCCD,0x3A83126F,0x3A83126F,0x3C23D70A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x42B40000,0x3F028F5C,0x3FCCCCCD,0x3ECCCCCD,0x43860000,0x43868000,0x42340000,0x3F3851EC,0x3ECCCCCD,0x41400000,0x41680000,0x3B83126F,0x3F1EB852,0x3E947AE1,0x3E99999A,0x3E9EB852,0x3EA3D70A,0x3EF0A3D7,0x41000000,0xC47B0000,0xC2D60000,0xC2E40000,0xC2F20000,0xC3000000,0xC3070000,0xC30E0000,0xC3150000,0xC31C0000,0x00000000,0x3F139A5E,0x00000000,0x3EEB0A3E,0x00000000,0x00000000,0x3EDE9562,0x3EE89E65,0x3EDE9562,0x3EE89E65,0x3E8035B4,0x3E867A02,0x3E8187A0,0x3E8B8CEC,0x3EE913DF,0x3EE5FE54,0x3EE95ECC,0x3EE3FE4D,0x3EEF5B55,0x3EEF5B55,0x3D5A1F92,0x3D7813D0,0x3F03E276,0x3F045DE0,0x3DAE831E,0x3DB8536D,0x3E8187A0,0x3E8B8CEC,0x3E2929DA,0x3E30CA4D,0x00000000,0x00000000,0x3F139A5E,0x3F139A5E,0x3F139A5E,0x3F139A5E
ab_day_bare_lowvai,11,1,0,4,3,7,0x49802C80,0x45992000,0x41180000,0x3E947AE1,0x3F866666,0x3D75C28F,0x3DF5C28F,0x3DF5C28F,0x3E23D70A,0x3F11EB85,0x3EBD70A4,0x3DCCCCCD,0x3EE66666,0x3E23D70A,0x3EC7AE14,0x3D4CCCCD,0x3E800000,0x3A83126F,0x3A83126F,0x3E800000,0x3F451EB8,0x3EDC28F6,0x3F07AE14,0x3EF0A3D7,0x42B40000,0x3F3D70A4,0x3CA3D70A,0x3C23D70A,0x43948000,0x43950000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x3D4CCCCD,0x3D75C28F,0x3DA3D70A,0x3DCCCCCD,0x3DF5C28F,0x3F0CCCCD,0x00000000,0xC47B4000,0xC2D80000,0xC2E80000,0xC2F80000,0xC3040000,0xC30C0000,0xC3140000,0xC31C0000,0xC3240000,0x00000000,0x3F0CCCCD,0x00000000,0x3F7D607C,0x00000000,0x00000000,0x3DF5C28F,0x3E23D70A,0x3DF5C28F,0x3E23D70A,0x3DF553FA,0x3E23DBEC,0x3DF55B0A,0x3E24061E,0x3A8F5C48,0x3A100A62,0x3ABE4400,0x3A3CF400,0x3F7FB751,0x3F7FB751,0x38DDFF43,0x39E2E00A,0x3F7FA29A,0x3F7FB9BF,0x3BBDB25F,0x3C036095,0x3DF55B0A,0x3E24061E,0x3DE978D4,0x3E1BA5E3,0x00000000,0x00000000,0x3F0CCCCD,0x3F0CCCCD,0x3F0CCCCD,0x3F0CCCCD
ab_day_lake_unfrozen,11,2,0,4,3,7,0x49742400,0x459C4000,0x41200000,0x3E99999A,0x3F800000,0x3D4CCCCD,0x3DCCCCCD,0x3DCCCCCD,0x3E4CCCCD,0x3F19999A,0x3ECCCCCD,0x3DE147AE,0x3F147AE1,0x3EB851EC,0x3F147AE1,0x3D8F5C29,0x3E800000,0x3E6147AE,0x3EC28F5C,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x42B40000,0x3F28F5C3,0x3F000000,0x3E4CCCCD,0x43918000,0x43920000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x3E4CCCCD,0x3ED1EB85,0x3ED1EB85,0x3ED1EB85,0x3ED1EB85,0x3F0CCCCD,0x00000000,0xC47B8000,0xC2DA0000,0xC2EC0000,0xC2FE0000,0xC3080000,0xC3110000,0xC31A0000,0xC3230000,0xC32C0000,0x00000000,0x3F0CCCCD,0x00000000,0x3F50BF6A,0x00000000,0x00000000,0x3DBEFA0D,0x3DBEFA0D,0x3D75C28F,0x3D75C28F,0x3DB8819E,0x3DEC4A0E,0x3D82CB4D,0x3DC4AC0A,0x3D848FBC,0x3C5F56D8,0x3D9AF0A8,0x3C8CC380,0x3F6BBECC,0x3F6BBECC,0x3C3154F4,0x3D1CCDAA,0x3F6A5807,0x3F7181F2,0x3C7DCC95,0x3D270406,0x3D82CB4D,0x3DC4AC0A,0x3D98C80B,0x3D98C80B,0x00000000,0x00000000,0x3F0CCCCD,0x3F0CCCCD,0x3F0CCCCD,0x3F0CCCCD
ab_day_lake_frozen,11,2,0,4,3,7,0x49435000,0x45A5A000,0x41380000,0x3EA8F5C3,0x3FACCCCD,0x3E19999A,0x3E99999A,0x3E8A3D71,0x3F0A3D71,0x3F051EB8,0x3EA3D70A,0x3DCCCCCD,0x3EE66666,0x3E23D70A,0x3EC7AE14,0x3D4CCCCD,0x3E800000,0x3A83126F,0x3A83126F,0x3E800000,0x3F4A3D71,0x3ED1EB85,0x3EFAE148,0x3F028F5C,0x44E10000,0x3EE147AE,0x3F000000,0x3E4CCCCD,0x43887333,0x43830000,0x42700000,0x3F666666,0x00000000,0x41F00000,0x41F00000,0x00000000,0x3E4CCCCD,0x3ED1EB85,0x3ED1EB85,0x3ED1EB85,0x3ED1EB85,0x3F000000,0x3F000000,0xC47BC000,0xC2DC0000,0xC2F00000,0xC3020000,0xC30C0000,0xC3160000,0xC3200000,0xC32A0000,0xC3340000,0x3EABBFAE,0x3F001058,0x3F0138A2,0x3F3A6290,0x00000000,0x00000000,0x3F0091C8,0x3EF6E61F,0x3F0091C8,0x3EF6E61F,0x3EDE3C21,0x3EE71A04,0x3EDEE478,0x3EE8F5BA,0x3DED3768,0x3D84B747,0x3DEBB800,0x3D82AC40,0x3F657619,0x3F657619,0x3C01E4B5,0x3D1C0F44,0x3F6734DB,0x3F6DE9F1,0x3D04309E,0x3D865476,0x3EDEE478,0x3EE8F5BA,0x3ECDB60D,0x3EC584E6,0x00000000,0x00000000,0x3F001058,0x3F001058,0x3F001058,0x3F001058
ab_lowsun_fsun_clamp,11,1,0,4,3,7,0x498C6180,0x4592E000,0x41233333,0x3E851EB8,0x3F733333,0x3DE147AE,0x3E6147AE,0x3E6147AE,0x3EE147AE,0x3F1C28F6,0x3ED1EB85,0x3DE147AE,0x3F147AE1,0x3EB851EC,0x3F147AE1,0x3D8F5C29,0x3E800000,0x3E6147AE,0x3EC28F5C,0xBE99999A,0x3F547AE1,0x3EBD70A4,0x3F0A3D71,0x3EEB851F,0x42B40000,0x3A6BEDFA,0x40C00000,0x3F99999A,0x438D8000,0x438E0000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x3F733333,0x3E8F5C29,0x3E99999A,0x3EA3D70A,0x3EAE147B,0x3F0CCCCD,0x00000000,0xC47C0000,0xC2DE0000,0xC2F40000,0xC3050000,0xC3100000,0xC31B0000,0xC3260000,0xC3310000,0xC33C0000,0x00000000,0x3F0CCCCD,0x00000000,0x00000000,0x00000000,0x00000000,0x3DE147AE,0x3E6147AE,0x3DE147AE,0x3E6147AE,0x3E05930C,0x3F18A397,0x3D982769,0x3EE09F88,0x3F53226F,0x3EB04DA8,0x3F60F1F9,0x3EF306F0,0x3D4CCCD0,0x3D4CCCD0,0x39B7D595,0x3CD65F13,0x3D585E9C,0x3DE36F3D,0x3DFFE282,0x3F15D2B2,0x3D982769,0x3EE09F88,0x3BB4395B,0x3C34395B,0x00000000,0x00000000,0x3F0CCCCD,0x3F0CCCCD,0x3F0CCCCD,0x3F0CCCCD
