case,nsoil,nband,ice,ist,iloc,jloc,albsat1,albsat2,albdry1,albdry2,alblak1,alblak2,fsno,smc1,albsnd1,albsnd2,albsni1,albsni2,cosz,tg,albgrd1,albgrd2,albgri1,albgri2
ga_soil_wet_inc_zero,4,2,0,1,3,7,0x3E19999A,0x3E99999A,0x3E8A3D71,0x3F0A3D71,0x3F19999A,0x3ECCCCCD,0x3EB33333,0x3ECCCCCD,0x3F3851EC,0x3F2E147B,0x3F333333,0x3F28F5C3,0x3F1EB852,0x43848000,0x3EB2F1AA,0x3EDDB22E,0x3EAF5C29,0x3EDA1CAC
ga_soil_dry_inc_pos,4,2,0,1,3,7,0x3E19999A,0x3E99999A,0x3E8A3D71,0x3F0A3D71,0x3F19999A,0x3ECCCCCD,0x00000000,0x3DA3D70A,0x00000000,0x00000000,0x00000000,0x00000000,0x3F1EB852,0x43910000,0x3E6978D5,0x3EC18938,0x3E6978D5,0x3EC18938
ga_soil_inc_hits_dry,4,2,0,1,3,7,0x3E19999A,0x3E99999A,0x3E8A3D71,0x3F0A3D71,0x3F19999A,0x3ECCCCCD,0x3DCCCCCD,0x3BA3D70A,0x3F4CCCCD,0x3F400000,0x3F47AE14,0x3F3AE148,0x3ECCCCCD,0x438C0000,0x3E9FD8AE,0x3EE2680A,0x3E9ED289,0x3EE161E6
ga_soil_full_snow,4,2,0,1,3,7,0x3E19999A,0x3E99999A,0x3E8A3D71,0x3F0A3D71,0x3F19999A,0x3ECCCCCD,0x3F800000,0x3E800000,0x3F266666,0x3F1C28F6,0x3F2147AE,0x3F170A3D,0x3F666666,0x43820000,0x3F266666,0x3F1C28F6,0x3F2147AE,0x3F170A3D
ga_soil_no_snow,4,2,0,1,3,7,0x3E19999A,0x3E99999A,0x3E8A3D71,0x3F0A3D71,0x3F19999A,0x3ECCCCCD,0x00000000,0x3EA3D70A,0x00000000,0x00000000,0x00000000,0x00000000,0x3E19999A,0x43938000,0x3E19999A,0x3E99999A,0x3E19999A,0x3E99999A
ga_lake_warm_highsun,4,2,0,2,3,7,0x3E19999A,0x3E99999A,0x3E8A3D71,0x3F0A3D71,0x3F19999A,0x3ECCCCCD,0x00000000,0x3ED1EB85,0x00000000,0x00000000,0x00000000,0x00000000,0x3F733333,0x43920000,0x3D666FE4,0x3D666FE4,0x3D75C28F,0x3D75C28F
ga_lake_warm_lowsun,4,2,0,2,3,7,0x3E19999A,0x3E99999A,0x3E8A3D71,0x3F0A3D71,0x3F19999A,0x3ECCCCCD,0x3E4CCCCD,0x3ED1EB85,0x3F0CCCCD,0x3F051EB8,0x3F0A3D71,0x3F028F5C,0x3D4CCCCD,0x438E8000,0x3ED5B74F,0x3ED2A4E0,0x3E1FBE77,0x3E19999A
ga_lake_warm_cosz_clamp,4,2,0,2,3,7,0x3E19999A,0x3E99999A,0x3E8A3D71,0x3F0A3D71,0x3F19999A,0x3ECCCCCD,0x00000000,0x3ED1EB85,0x00000000,0x00000000,0x00000000,0x00000000,0x3B449BA6,0x438D8000,0x3ECC4204,0x3ECC4204,0x3D75C28F,0x3D75C28F
ga_lake_frozen,4,2,0,2,3,7,0x3E19999A,0x3E99999A,0x3E8A3D71,0x3F0A3D71,0x3F0CCCCD,0x3EB33333,0x3EE66666,0x3ED1EB85,0x3F333333,0x3F28F5C3,0x3F2E147B,0x3F23D70A,0x3F000000,0x43830000,0x3F1E147B,0x3EFA9FBE,0x3F1BC6A8,0x3EF60418
ga_lake_at_tfrz,4,2,0,2,3,7,0x3E19999A,0x3E99999A,0x3E8A3D71,0x3F0A3D71,0x3F1EB852,0x3ED70A3D,0x00000000,0x3ED1EB85,0x00000000,0x00000000,0x00000000,0x00000000,0x3F000000,0x4388947B,0x3F1EB852,0x3ED70A3D,0x3F1EB852,0x3ED70A3D
ga_soil_col8_min_albdry,4,2,0,1,3,7,0x3D4CCCCD,0x3DCCCCCD,0x3DCCCCCD,0x3E4CCCCD,0x3F19999A,0x3ECCCCCD,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x00000000,0x3F0CCCCD,0x43900000,0x3DCCCCCD,0x3E4CCCCD,0x3DCCCCCD,0x3E4CCCCD
ga_soil_col5_min_albsat,4,2,0,1,3,7,0x3DA3D70A,0x3E23D70A,0x3E23D70A,0x3EA3D70A,0x3F19999A,0x3ECCCCCD,0x3E19999A,0x3DCCCCCD,0x3F35C28F,0x3F2B851F,0x3F30A3D7,0x3F266666,0x3F0CCCCD,0x43878000,0x3E6F9DB2,0x3E978D50,0x3E6C8B44,0x3E960419
ga_lake_powf_discrim,4,2,0,2,3,7,0x3E19999A,0x3E99999A,0x3E8A3D71,0x3F0A3D71,0x3F19999A,0x3ECCCCCD,0x00000000,0x3ED1EB85,0x00000000,0x00000000,0x00000000,0x00000000,0x3E9999BE,0x43908000,0x3E5C17E4,0x3E5C17E4,0x3D75C28F,0x3D75C28F
