case,tau0,grain_growth,extra_growth,dirt_soot,swemx,dt,tg,sneqvo,sneqv,tauss_in,tauss_out,fage
sa_nosnow_zero,0x49742400,0x459C4000,0x41200000,0x3E99999A,0x3F800000,0x42B40000,0x43861333,0x41200000,0x00000000,0x40600000,0x00000000,0x00000000
sa_nosnow_negsneqv,0x495BBA00,0x45960000,0x41300000,0x3E8F5C29,0x3F8CCCCD,0x42B40000,0x43861333,0x41200000,0xBF800000,0x40600000,0x00000000,0x00000000
sa_cold_accum,0x49864700,0x45A28000,0x41100000,0x3EA3D70A,0x3F666666,0x42B40000,0x43811333,0x41200000,0x41266666,0x40600000,0x3FF8E491,0x3F290EBA
sa_cold_noaccum,0x494F8500,0x45A8C000,0x41400000,0x3E8A3D71,0x3F933333,0x42B40000,0x43811333,0x4129999A,0x41200000,0x40600000,0x40600105,0x3F471CA6
sa_warm_arg_pos,0x49927C00,0x458FC000,0x41000000,0x3EB33333,0x3F4CCCCD,0x42B40000,0x438B1333,0x40000000,0x40000000,0x3E800000,0x3E801A92,0x3E4CEECF
sa_at_tfrz_arg_zero,0x4967EF00,0x459F6000,0x41280000,0x3E9EB852,0x3FA00000,0x42B40000,0x4388947B,0x40000000,0x40000000,0x3E800000,0x3E801CAF,0x3E4CF182
sa_deep_cold,0x49802C80,0x45992000,0x41180000,0x3E947AE1,0x3F866666,0x43340000,0x43692666,0x42F00000,0x42F00000,0x425C0000,0x425C000F,0x3F7B6DB7
sa_bigdump_sge_neg,0x49435000,0x45A5A000,0x41380000,0x3EA8F5C3,0x3FACCCCD,0x42B40000,0x43839333,0x3F800000,0x41100000,0x40000000,0x00000000,0x00000000
sa_bigdump_sge_zero,0x498C6180,0x4592E000,0x41233333,0x3E851EB8,0x3F733333,0x42B40000,0x43839333,0x3F800000,0x40000000,0x00000000,0x00000000,0x00000000
sa_old_snow_large_tau,0x49989680,0x459DD000,0x411CCCCD,0x3EAE147B,0x3F866666,0x45610000,0x43878000,0x43960000,0x43960000,0x44610000,0x44610044,0x3F7FB743
sa_tiny_dt,0x4956D800,0x45A0F000,0x412B3333,0x3E75C28F,0x3F970A3D,0x3F800000,0x437A0000,0x40A00000,0x40A00000,0x3E000000,0x3E000020,0x3DE38E6B
sa_hot_ground,0x49790600,0x459AB000,0x4114CCCD,0x3EB851EC,0x3F6B851F,0x42B40000,0x43960000,0x3F000000,0x3F000000,0x3F800000,0x3F80128F,0x3F000946
sa_near_tfrz_age2_live,0x49742400,0x459C4000,0x41580000,0x3E99999A,0x3F800000,0x44E10000,0x43887333,0x40800000,0x40800000,0x3F000000,0x3F00F489,0x3EAB837E
