case,ib,ic,vegtyp,ist,iloc,jloc,xl,omegas1,omegas2,betads,betais,cosz,vai,fwet,t,fveg,albgrd1,albgrd2,albgri1,albgri2,rho1,rho2,tau1,tau2,fab_in1,fab_in2,fre_in1,fre_in2,ftd_in1,ftd_in2,fti_in1,fti_in2,gdir_in,frev_in1,frev_in2,freg_in1,freg_in2,bgap_in,wgap_in,fab1,fab2,fre1,fre2,ftd1,ftd2,fti1,fti2,gdir,frev1,frev2,freg1,freg2,bgap,wgap
ts_vis_dir_forest_nosnow,1,0,11,1,3,7,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F1EB852,0x4079999A,0x3D4CCCCD,0x438E8000,0x3F47AE14,0x3E2F1AA0,0x3EA4DD2F,0x3E2D0E56,0x3EA2D0E5,0x3E02A993,0x3F0DF3B6,0x3DB53F7D,0x3E808312,0xC1200000,0xC1400000,0xC1600000,0xC1800000,0xC1400000,0xC1600000,0xC1500000,0xC1500000,0xC1200000,0xC1500000,0xC1500000,0xC1500000,0xC1500000,0x3EC51EB8,0x3F1D70A4,0x3F32FFF9,0xC1400000,0x3D9CEBE2,0xC1800000,0x3E836BD5,0xC1600000,0x3C602E3E,0xC1500000,0x3EF8D31E,0x3D1FC056,0xC1500000,0x3D1A176F,0xC1500000,0x3EC51EB8,0x3F1D70A4
ts_vis_dif_forest_nosnow,1,1,11,1,3,7,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F1EB852,0x4079999A,0x3D4CCCCD,0x438E8000,0x3F47AE14,0x3E2F1AA0,0x3EA4DD2F,0x3E2D0E56,0x3EA2D0E5,0x3E02A993,0x3F0DF3B6,0x3DB53F7D,0x3E808312,0xC1300000,0xC1600000,0xC1880000,0xC1A00000,0xC1880000,0xC1A00000,0xC1A00000,0xC1A80000,0xC1300000,0xC1B00000,0xC1B80000,0xC1C00000,0xC1C80000,0x3ECA3D71,0x3F1AE148,0x3F348BCD,0xC1600000,0x3DAF7030,0xC1A00000,0x00000000,0xC1A00000,0x3E80D18F,0xC1A80000,0x3EF8D31E,0x3DAF7030,0xC1B80000,0x00000000,0xC1C80000,0x3ECA3D71,0x3F1AE148
ts_nir_dir_forest_nosnow,2,0,11,1,3,7,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F1EB852,0x4079999A,0x3D4CCCCD,0x438E8000,0x3F47AE14,0x3E2F1AA0,0x3EA4DD2F,0x3E2D0E56,0x3EA2D0E5,0x3E02A993,0x3F0DF3B6,0x3DB53F7D,0x3E808312,0xC1400000,0xC1800000,0xC1A00000,0xC1C00000,0xC1B00000,0xC1D00000,0xC1D80000,0xC1E80000,0xC1400000,0xC1F80000,0xC2040000,0xC20C0000,0xC2140000,0x3ECF5C29,0x3F1851EC,0xC1400000,0x3EC4A24A,0xC1A00000,0x3EAD9150,0xC1B00000,0x3E836BD5,0xC1D80000,0x3E1A87C4,0x3EF8D31E,0xC1F80000,0x3E894C2C,0xC20C0000,0x3D911491,0x3ECF5C29,0x3F1851EC
ts_nir_dif_forest_nosnow,2,1,11,1,3,7,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F1EB852,0x4079999A,0x3D4CCCCD,0x438E8000,0x3F47AE14,0x3E2F1AA0,0x3EA4DD2F,0x3E2D0E56,0x3EA2D0E5,0x3E02A993,0x3F0DF3B6,0x3DB53F7D,0x3E808312,0xC1500000,0xC1900000,0xC1B80000,0xC1E00000,0xC1D80000,0xC2000000,0xC2080000,0xC2140000,0xC1500000,0xC2200000,0xC22C0000,0xC2380000,0xC2440000,0x3ED47AE1,0x3F15C28F,0xC1500000,0x3EBEC094,0xC1B80000,0x3EC0A8AF,0xC1D80000,0x00000000,0xC2080000,0x3EBC8BEF,0x3EF8D31E,0xC2200000,0x3EC0A8AF,0xC2380000,0x00000000,0x3ED47AE1,0x3F15C28F
ts_vis_dir_snow_wet,1,0,11,1,3,7,0xBE99999A,0x3F3851EC,0x3EEB851F,0x3F0CCCCD,0x3EE147AE,0x3ED1EB85,0x40233333,0x3F547AE1,0x43850000,0x3F1EB852,0x3F1C28F6,0x3F051EB8,0x3F19999A,0x3F028F5C,0x3E23F141,0x3F10B0F2,0x3DE24DD3,0x3E8ED917,0xC1600000,0xC1A00000,0xC1D00000,0xC2000000,0xC2000000,0xC2180000,0xC2240000,0xC2340000,0xC1600000,0xC2440000,0xC2540000,0xC2640000,0xC2740000,0x3ED9999A,0x3F133333,0x3EC29BE4,0xC1A00000,0x3EDAA798,0xC2000000,0x3ECD43CB,0xC2180000,0x3DBAD4C3,0xC2340000,0x3F0B84B7,0x3E47F236,0xC2540000,0x3E6D5CFB,0xC2740000,0x3ED9999A,0x3F133333
ts_vis_dif_snow_wet,1,1,11,1,3,7,0xBE99999A,0x3F3851EC,0x3EEB851F,0x3F0CCCCD,0x3EE147AE,0x3ED1EB85,0x40233333,0x3F547AE1,0x43850000,0x3F1EB852,0x3F1C28F6,0x3F051EB8,0x3F19999A,0x3F028F5C,0x3E23F141,0x3F10B0F2,0x3DE24DD3,0x3E8ED917,0xC1700000,0xC1B00000,0xC1E80000,0xC2100000,0xC2140000,0xC2300000,0xC2400000,0xC2540000,0xC1700000,0xC2680000,0xC27C0000,0xC2880000,0xC2920000,0x3EDEB852,0x3F10A3D7,0x3EC6F878,0xC1B00000,0x3EC7AC44,0xC2100000,0x00000000,0xC2300000,0x3F0DB216,0xC2540000,0x3F0B84B7,0x3EC7AC44,0xC27C0000,0x00000000,0xC2920000,0x3EDEB852,0x3F10A3D7
ts_nir_dir_snow_lowfwet,2,0,11,1,3,7,0x3E800000,0x3F5C28F6,0x3EA8F5C3,0x3EF0A3D7,0x3F147AE1,0x3F6147AE,0x3F933333,0x3E3851EC,0x43830000,0x3EB33333,0x3EF5C28F,0x3EDC28F6,0x3EF0A3D7,0x3ED70A3D,0x3DD1B717,0x3EE7EF9E,0x3D50E560,0x3DD81062,0xC1800000,0xC1C00000,0xC2000000,0xC2200000,0xC2280000,0xC2480000,0xC25C0000,0xC2740000,0xC1800000,0xC2860000,0xC2920000,0xC29E0000,0xC2AA0000,0x3EE3D70A,0x3F0E147B,0xC1800000,0x3E1F2312,0xC2000000,0x3EB4B6D2,0xC2280000,0x3F4F744A,0xC25C0000,0x3D51EC9F,0x3F18E38D,0xC2860000,0x3D9670CA,0xC29E0000,0x3E8F1AA0,0x3EE3D70A,0x3F0E147B
ts_nir_dif_snow_fwet0,2,1,11,1,3,7,0x3E800000,0x3F5C28F6,0x3EA8F5C3,0x3EF0A3D7,0x3F147AE1,0x3F6147AE,0x3F933333,0x00000000,0x43830000,0x3EB33333,0x3EF5C28F,0x3EDC28F6,0x3EF0A3D7,0x3ED70A3D,0x3DD1B717,0x3EE7EF9E,0x3D50E560,0x3DD81062,0xC1880000,0xC1D00000,0xC20C0000,0xC2300000,0xC23C0000,0xC2600000,0xC2780000,0xC28A0000,0xC1880000,0xC2980000,0xC2A60000,0xC2B40000,0xC2C20000,0x3EE8F5C2,0x3F0B851F,0xC1880000,0x3E2991DA,0xC20C0000,0x3EBBCC65,0xC23C0000,0x00000000,0xC2780000,0x3F4E64CB,0x3F18E38D,0xC2980000,0x3EBBCC65,0xC2B40000,0x00000000,0x3EE8F5C2,0x3F0B851F
ts_vai_zero_dir,1,0,11,1,3,7,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F0CCCCD,0x00000000,0x00000000,0x43910000,0x3DCCCCCD,0x3E428F5C,0x3EB851EC,0x3E408312,0x3EB645A2,0x358637BD,0x358637BD,0x358637BD,0x358637BD,0xC1900000,0xC1E00000,0xC2180000,0xC2400000,0xC2500000,0xC2780000,0xC28A0000,0xC29A0000,0xC1900000,0xC2AA0000,0xC2BA0000,0xC2CA0000,0xC2DA0000,0x3EEE147B,0x3F08F5C3,0x00000000,0xC1E00000,0x3E428F5C,0xC2400000,0x3F800000,0xC2780000,0x00000000,0xC29A0000,0x3F01729C,0x00000000,0xC2BA0000,0x3E428F5C,0xC2DA0000,0x3EEE147B,0x3F08F5C3
ts_vai_zero_dif,1,1,11,1,3,7,0xBE99999A,0x3F4CCCCD,0x3ECCCCCD,0x3F000000,0x3F000000,0x3F0CCCCD,0x00000000,0x00000000,0x43910000,0x3DCCCCCD,0x3E428F5C,0x3EB851EC,0x3E408312,0x3EB645A2,0x358637BD,0x358637BD,0x358637BD,0x358637BD,0xC1980000,0xC1F00000,0xC2240000,0xC2500000,0xC2640000,0xC2880000,0xC2980000,0xC2AA0000,0xC1980000,0xC2BC0000,0xC2CE0000,0xC2E00000,0xC2F20000,0x3EF33333,0x3F066666,0x00000000,0xC1F00000,0x3E408312,0xC2500000,0x00000000,0xC2880000,0x3F800000,0xC2AA0000,0x3F01729C,0x3E408312,0xC2CE0000,0x00000000,0xC2F20000,0x3EF33333,0x3F066666
