leaf,case,stage,field,index,dtype,value,bits
sflx_error,err_balanced,input,ist,0,int,1,
sflx_error,err_balanced,input,nsoil,0,int,4,
sflx_error,err_balanced,input,nsnow,0,int,3,
sflx_error,err_balanced,input,calculate_soil,0,int,1,
sflx_error,err_balanced,input,swdown,0,real,8.000000000E+02,44480000
sflx_error,err_balanced,input,fsa,0,real,6.000000000E+02,44160000
sflx_error,err_balanced,input,fsr,0,real,2.000000000E+02,43480000
sflx_error,err_balanced,input,fira,0,real,1.000000000E+02,42C80000
sflx_error,err_balanced,input,fsh,0,real,2.000000000E+02,43480000
sflx_error,err_balanced,input,fcev,0,real,5.000000000E+01,42480000
sflx_error,err_balanced,input,fgev,0,real,1.500000000E+02,43160000
sflx_error,err_balanced,input,fctr,0,real,6.000000000E+01,42700000
sflx_error,err_balanced,input,ssoil,0,real,4.000000000E+01,42200000
sflx_error,err_balanced,input,sav,0,real,4.000000000E+02,43C80000
sflx_error,err_balanced,input,sag,0,real,2.000000000E+02,43480000
sflx_error,err_balanced,input,firr,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,canhs,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,pah,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,beg_wb,0,real,5.000000000E+02,43FA0000
sflx_error,err_balanced,input,canliq,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,canice,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,sneqv,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,wa,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,prcp,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,ecan,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,etran,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,edir,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,runsrf,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,runsub,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,qtldrn,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,dt,0,real,6.000000000E+01,42700000
sflx_error,err_balanced,input,irmirate,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,irfirate,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,acc_dwater,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,acc_prcp,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,acc_ecan,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,acc_etran,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,acc_edir,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,smc,1,real,2.500000000E-01,3E800000
sflx_error,err_balanced,input,dzsnso,1,real,1.000000015E-01,3DCCCCCD
sflx_error,err_balanced,input,smc,2,real,2.500000000E-01,3E800000
sflx_error,err_balanced,input,dzsnso,2,real,3.000000119E-01,3E99999A
sflx_error,err_balanced,input,smc,3,real,2.500000000E-01,3E800000
sflx_error,err_balanced,input,dzsnso,3,real,6.000000238E-01,3F19999A
sflx_error,err_balanced,input,smc,4,real,2.500000000E-01,3E800000
sflx_error,err_balanced,input,dzsnso,4,real,1.000000000E+00,3F800000
sflx_error,err_balanced,input,fveg,0,real,8.000000119E-01,3F4CCCCD
sflx_error,err_balanced,input,fsrv,0,real,4.000000000E+01,42200000
sflx_error,err_balanced,input,fsrg,0,real,1.600000000E+02,43200000
sflx_error,err_balanced,input,zwt,0,real,2.500000000E+00,40200000
sflx_error,err_balanced,input,pahv,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,pahg,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,input,pahb,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,output,errwat,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,output,acc_dwater,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,output,acc_prcp,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,output,acc_ecan,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,output,acc_etran,0,real,0.000000000E+00,00000000
sflx_error,err_balanced,output,acc_edir,0,real,0.000000000E+00,00000000
sflx_error,err_gaining_inside,input,ist,0,int,1,
sflx_error,err_gaining_inside,input,nsoil,0,int,4,
sflx_error,err_gaining_inside,input,nsnow,0,int,3,
sflx_error,err_gaining_inside,input,calculate_soil,0,int,1,
sflx_error,err_gaining_inside,input,swdown,0,real,8.000000000E+02,44480000
sflx_error,err_gaining_inside,input,fsa,0,real,6.000000000E+02,44160000
sflx_error,err_gaining_inside,input,fsr,0,real,2.000000000E+02,43480000
sflx_error,err_gaining_inside,input,fira,0,real,1.000000000E+02,42C80000
sflx_error,err_gaining_inside,input,fsh,0,real,2.000000000E+02,43480000
sflx_error,err_gaining_inside,input,fcev,0,real,5.000000000E+01,42480000
sflx_error,err_gaining_inside,input,fgev,0,real,1.500000000E+02,43160000
sflx_error,err_gaining_inside,input,fctr,0,real,6.000000000E+01,42700000
sflx_error,err_gaining_inside,input,ssoil,0,real,4.000000000E+01,42200000
sflx_error,err_gaining_inside,input,sav,0,real,4.000000000E+02,43C80000
sflx_error,err_gaining_inside,input,sag,0,real,2.000000000E+02,43480000
