case,stage,field,index,value
veg_warm_day_dry,input,vegtyp,0,10
veg_warm_day_dry,input,soiltype,0,3
veg_warm_day_dry,input,slopetype,0,1
veg_warm_day_dry,input,soilcolor,0,4
veg_warm_day_dry,input,croptype,0,0
veg_warm_day_dry,input,ice,0,0
veg_warm_day_dry,input,ist,0,1
veg_warm_day_dry,input,isnow,0,0
veg_warm_day_dry,input,yearlen,0,365
veg_warm_day_dry,input,pgs,0,0
veg_warm_day_dry,input,dt,0,60.0000000
veg_warm_day_dry,input,dx,0,3000.00000
veg_warm_day_dry,input,dz8w,0,40.0000000
veg_warm_day_dry,input,zlvl,0,20.0000000
veg_warm_day_dry,input,lat,0,0.663200021
veg_warm_day_dry,input,julian,0,200.500000
veg_warm_day_dry,input,cosz,0,0.819999993
veg_warm_day_dry,input,shdfac,0,0.720000029
veg_warm_day_dry,input,shdmax,0,0.800000012
veg_warm_day_dry,input,sfctmp,0,296.000000
veg_warm_day_dry,input,sfcprs,0,96500.0000
veg_warm_day_dry,input,psfc,0,96500.0000
veg_warm_day_dry,input,uu,0,3.50000000
veg_warm_day_dry,input,vv,0,-1.20000005
veg_warm_day_dry,input,q2,0,0.104999999E-1
veg_warm_day_dry,input,qc,0,0.00000000
veg_warm_day_dry,input,soldn,0,820.000000
veg_warm_day_dry,input,lwdn,0,350.000000
veg_warm_day_dry,input,prcpconv,0,0.00000000
veg_warm_day_dry,input,prcpnonc,0,0.00000000
veg_warm_day_dry,input,prcpshcv,0,0.00000000
veg_warm_day_dry,input,prcpsnow,0,0.00000000
veg_warm_day_dry,input,prcpgrpl,0,0.00000000
veg_warm_day_dry,input,prcphail,0,0.00000000
veg_warm_day_dry,input,tbot,0,288.000000
veg_warm_day_dry,input,co2air,0,40.0000000
veg_warm_day_dry,input,o2air,0,21200.0000
veg_warm_day_dry,input,foln,0,1.00000000
veg_warm_day_dry,input,albold,0,0.649999976
veg_warm_day_dry,input,sneqvo,0,0.00000000
veg_warm_day_dry,input,tah,0,296.200012
veg_warm_day_dry,input,eah,0,1500.00000
veg_warm_day_dry,input,fwet,0,0.00000000
veg_warm_day_dry,input,canliq,0,0.150000006
veg_warm_day_dry,input,canice,0,0.00000000
veg_warm_day_dry,input,tv,0,296.500000
veg_warm_day_dry,input,tg,0,297.500000
veg_warm_day_dry,input,qsfc,0,0.104999999E-1
veg_warm_day_dry,input,qsnow,0,0.00000000
veg_warm_day_dry,input,qrain,0,0.00000000
veg_warm_day_dry,input,snowh,0,0.00000000
veg_warm_day_dry,input,sneqv,0,0.00000000
veg_warm_day_dry,input,zwt,0,2.50000000
veg_warm_day_dry,input,wa,0,4900.00000
veg_warm_day_dry,input,wt,0,4900.00000
veg_warm_day_dry,input,wslake,0,0.00000000
veg_warm_day_dry,input,lfmass,0,120.000000
veg_warm_day_dry,input,rtmass,0,250.000000
veg_warm_day_dry,input,stmass,0,90.0000000
veg_warm_day_dry,input,wood,0,10.0000000
veg_warm_day_dry,input,stblcp,0,1000.00000
veg_warm_day_dry,input,fastcp,0,1000.00000
veg_warm_day_dry,input,lai,0,2.20000005
veg_warm_day_dry,input,sai,0,0.500000000
veg_warm_day_dry,input,cm,0,0.999999978E-2
veg_warm_day_dry,input,ch,0,0.999999978E-2
veg_warm_day_dry,input,tauss,0,0.00000000
