band,i,x_bits,y_bits,x,y
coarse,0,C2340000,1F072DBA,-4.500000000E+01,2.862518610E-20
coarse,1,C233FE14,1F076EBC,-4.499812317E+01,2.867895930E-20
coarse,2,C233FC29,1F07AFBC,-4.499625015E+01,2.873272604E-20
coarse,3,C233FA3D,1F07F0FE,-4.499437332E+01,2.878670604E-20
coarse,4,C233F852,1F08323C,-4.499250031E+01,2.884067311E-20
coarse,5,C233F666,1F0873BC,-4.499062347E+01,2.889485344E-20
coarse,6,C233F47B,1F08B539,-4.498875046E+01,2.894902407E-20
coarse,7,C233F28F,1F08F6F8,-4.498687363E+01,2.900340797E-20
coarse,8,C233F0A4,1F0938B4,-4.498500061E+01,2.905778217E-20
coarse,9,C233EEB8,1F097AB2,-4.498312378E+01,2.911236963E-20
coarse,10,C233ECCD,1F09BCAE,-4.498125076E+01,2.916695062E-20
coarse,11,C233EAE1,1F09FEEB,-4.497937393E+01,2.922174165E-20
coarse,12,C233E8F6,1F0A4126,-4.497750092E+01,2.927652620E-20
coarse,13,C233E70A,1F0A83A3,-4.497562408E+01,2.933152402E-20
coarse,14,C233E51F,1F0AC61E,-4.497375107E+01,2.938651538E-20
coarse,15,C233E333,1F0B08DB,-4.497187424E+01,2.944171999E-20
coarse,16,C233E148,1F0B4B95,-4.497000122E+01,2.949691491E-20
coarse,17,C233DF5C,1F0B8E93,-4.496812439E+01,2.955232955E-20
coarse,18,C233DD71,1F0BD18E,-4.496625137E+01,2.960773449E-20
coarse,19,C233DB85,1F0C14CB,-4.496437454E+01,2.966335269E-20
coarse,20,C233D99A,1F0C5806,-4.496250153E+01,2.971896443E-20
coarse,21,C233D7AE,1F0C9B85,-4.496062469E+01,2.977479590E-20
coarse,22,C233D5C3,1F0CDF01,-4.495875168E+01,2.983061766E-20
coarse,23,C233D3D7,1F0D22C0,-4.495687485E+01,2.988665592E-20
coarse,24,C233D1EC,1F0D667D,-4.495500183E+01,2.994268771E-20
coarse,25,C233D000,1F0DAA7D,-4.495312500E+01,2.999893599E-20
coarse,26,C233CE14,1F0DEE9F,-4.495124817E+01,3.005529413E-20
coarse,27,C233CC29,1F0E32BD,-4.494937515E+01,3.011163935E-20
coarse,28,C233CA3D,1F0E7720,-4.494749832E+01,3.016820752E-20
coarse,29,C233C852,1F0EBB80,-4.494562531E+01,3.022476599E-20
coarse,30,C233C666,1F0F0025,-4.494374847E+01,3.028154742E-20
coarse,31,C233C47B,1F0F44C6,-4.494187546E+01,3.033831592E-20
coarse,32,C233C28F,1F0F89AD,-4.493999863E+01,3.039531060E-20
