leaf,case,stage,field,index,dtype,value,bits
combo,combo_cold_dry,input,dz,0,real,5.000000075E-02,3D4CCCCD
combo,combo_cold_dry,input,wliq,0,real,0.000000000E+00,00000000
combo,combo_cold_dry,input,wice,0,real,2.000000000E+01,41A00000
combo,combo_cold_dry,input,t,0,real,2.630000000E+02,43838000
combo,combo_cold_dry,input,dz2,0,real,2.999999933E-02,3CF5C28F
combo,combo_cold_dry,input,wliq2,0,real,0.000000000E+00,00000000
combo,combo_cold_dry,input,wice2,0,real,1.200000000E+01,41400000
combo,combo_cold_dry,input,t2,0,real,2.580000000E+02,43810000
combo,combo_cold_dry,output,dz,0,real,7.999999821E-02,3DA3D70A
combo,combo_cold_dry,output,wliq,0,real,0.000000000E+00,00000000
combo,combo_cold_dry,output,wice,0,real,3.200000000E+01,42000000
combo,combo_cold_dry,output,t,0,real,2.611250000E+02,43829000
combo,combo_cold_wet,input,dz,0,real,5.000000075E-02,3D4CCCCD
combo,combo_cold_wet,input,wliq,0,real,5.000000000E-01,3F000000
combo,combo_cold_wet,input,wice,0,real,2.000000000E+01,41A00000
combo,combo_cold_wet,input,t,0,real,2.650000000E+02,43848000
combo,combo_cold_wet,input,dz2,0,real,2.999999933E-02,3CF5C28F
combo,combo_cold_wet,input,wliq2,0,real,2.000000030E-01,3E4CCCCD
combo,combo_cold_wet,input,wice2,0,real,1.200000000E+01,41400000
combo,combo_cold_wet,input,t2,0,real,2.600000000E+02,43820000
combo,combo_cold_wet,output,dz,0,real,7.999999821E-02,3DA3D70A
combo,combo_cold_wet,output,wliq,0,real,6.999999881E-01,3F333333
combo,combo_cold_wet,output,wice,0,real,3.200000000E+01,42000000
combo,combo_cold_wet,output,t,0,real,2.631470642E+02,438392D3
combo,combo_isothermal_wet,input,dz,0,real,5.999999866E-02,3D75C28F
combo,combo_isothermal_wet,input,wliq,0,real,1.500000000E+00,3FC00000
combo,combo_isothermal_wet,input,wice,0,real,2.500000000E+01,41C80000
combo,combo_isothermal_wet,input,t,0,real,2.731600037E+02,4388947B
combo,combo_isothermal_wet,input,dz2,0,real,3.999999911E-02,3D23D70A
combo,combo_isothermal_wet,input,wliq2,0,real,8.000000119E-01,3F4CCCCD
combo,combo_isothermal_wet,input,wice2,0,real,1.800000000E+01,41900000
combo,combo_isothermal_wet,input,t2,0,real,2.731600037E+02,4388947B
combo,combo_isothermal_wet,output,dz,0,real,9.999999404E-02,3DCCCCCC
combo,combo_isothermal_wet,output,wliq,0,real,2.299999952E+00,40133333
combo,combo_isothermal_wet,output,wice,0,real,4.300000000E+01,422C0000
combo,combo_isothermal_wet,output,t,0,real,2.731600037E+02,4388947B
combo,combo_isothermal_dry,input,dz,0,real,5.999999866E-02,3D75C28F
combo,combo_isothermal_dry,input,wliq,0,real,0.000000000E+00,00000000
combo,combo_isothermal_dry,input,wice,0,real,2.500000000E+01,41C80000
combo,combo_isothermal_dry,input,t,0,real,2.731600037E+02,4388947B
combo,combo_isothermal_dry,input,dz2,0,real,3.999999911E-02,3D23D70A
combo,combo_isothermal_dry,input,wliq2,0,real,0.000000000E+00,00000000
combo,combo_isothermal_dry,input,wice2,0,real,1.800000000E+01,41900000
combo,combo_isothermal_dry,input,t2,0,real,2.731600037E+02,4388947B
combo,combo_isothermal_dry,output,dz,0,real,9.999999404E-02,3DCCCCCC
combo,combo_isothermal_dry,output,wliq,0,real,0.000000000E+00,00000000
combo,combo_isothermal_dry,output,wice,0,real,4.300000000E+01,422C0000
combo,combo_isothermal_dry,output,t,0,real,2.731600037E+02,4388947B
combo,combo_warm_wet,input,dz,0,real,5.000000075E-02,3D4CCCCD
combo,combo_warm_wet,input,wliq,0,real,2.000000000E+00,40000000
combo,combo_warm_wet,input,wice,0,real,1.500000000E+01,41700000
combo,combo_warm_wet,input,t,0,real,2.745000000E+02,43894000
combo,combo_warm_wet,input,dz2,0,real,5.000000075E-02,3D4CCCCD
combo,combo_warm_wet,input,wliq2,0,real,1.000000000E+00,3F800000
combo,combo_warm_wet,input,wice2,0,real,1.000000000E+01,41200000
combo,combo_warm_wet,input,t2,0,real,2.750000000E+02,43898000
combo,combo_warm_wet,output,dz,0,real,1.000000015E-01,3DCCCCCD
combo,combo_warm_wet,output,wliq,0,real,3.000000000E+00,40400000
combo,combo_warm_wet,output,wice,0,real,2.500000000E+01,41C80000
combo,combo_warm_wet,output,t,0,real,2.746935425E+02,438958C6
combo,combo_warm_dry,input,dz,0,real,5.000000075E-02,3D4CCCCD
combo,combo_warm_dry,input,wliq,0,real,0.000000000E+00,00000000
combo,combo_warm_dry,input,wice,0,real,1.500000000E+01,41700000
combo,combo_warm_dry,input,t,0,real,2.745000000E+02,43894000
combo,combo_warm_dry,input,dz2,0,real,5.000000075E-02,3D4CCCCD
combo,combo_warm_dry,input,wliq2,0,real,0.000000000E+00,00000000
combo,combo_warm_dry,input,wice2,0,real,1.000000000E+01,41200000
combo,combo_warm_dry,input,t2,0,real,2.760000000E+02,438A0000
combo,combo_warm_dry,output,dz,0,real,1.000000015E-01,3DCCCCCD
combo,combo_warm_dry,output,wliq,0,real,0.000000000E+00,00000000
combo,combo_warm_dry,output,wice,0,real,2.500000000E+01,41C80000
combo,combo_warm_dry,output,t,0,real,2.751000061E+02,43898CCD
snowfall,snowfall_shallow_accum,input,nsnow,0,int,3,
snowfall,snowfall_shallow_accum,input,nsoil,0,int,4,
snowfall,snowfall_shallow_accum,input,dt,0,real,1.800000000E+03,44E10000
snowfall,snowfall_shallow_accum,input,qsnow,0,real,9.999999747E-05,38D1B717
snowfall,snowfall_shallow_accum,input,snowhin,0,real,9.999999975E-07,358637BD
snowfall,snowfall_shallow_accum,input,sfctmp,0,real,2.650000000E+02,43848000
snowfall,snowfall_shallow_accum,input,isnow,0,int,0,
snowfall,snowfall_shallow_accum,input,snowh,0,real,9.999999776E-03,3C23D70A
snowfall,snowfall_shallow_accum,input,sneqv,0,real,2.000000000E+00,40000000
snowfall,snowfall_shallow_accum,input,snice,-2,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,input,snice,-1,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,input,snice,0,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,input,snliq,-2,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,input,snliq,-1,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,input,snliq,0,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,input,stc,-2,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,input,stc,-1,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,input,stc,0,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,input,stc,1,real,2.710000000E+02,43878000
snowfall,snowfall_shallow_accum,input,stc,2,real,2.725000000E+02,43884000
snowfall,snowfall_shallow_accum,input,stc,3,real,2.750000000E+02,43898000
snowfall,snowfall_shallow_accum,input,stc,4,real,2.800000000E+02,438C0000
snowfall,snowfall_shallow_accum,input,zsnso,-2,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,input,zsnso,-1,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,input,zsnso,0,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,input,zsnso,1,real,-1.000000015E-01,BDCCCCCD
snowfall,snowfall_shallow_accum,input,zsnso,2,real,-4.000000060E-01,BECCCCCD
snowfall,snowfall_shallow_accum,input,zsnso,3,real,-1.000000000E+00,BF800000
snowfall,snowfall_shallow_accum,input,zsnso,4,real,-2.000000000E+00,C0000000
snowfall,snowfall_shallow_accum,input,dzsnso,-2,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,input,dzsnso,-1,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,input,dzsnso,0,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,input,dzsnso,1,real,1.000000015E-01,3DCCCCCD
snowfall,snowfall_shallow_accum,input,dzsnso,2,real,3.000000119E-01,3E99999A
snowfall,snowfall_shallow_accum,input,dzsnso,3,real,6.000000238E-01,3F19999A
snowfall,snowfall_shallow_accum,input,dzsnso,4,real,1.000000000E+00,3F800000
snowfall,snowfall_shallow_accum,input,sh2o,1,real,2.000000030E-01,3E4CCCCD
snowfall,snowfall_shallow_accum,input,sh2o,2,real,2.199999988E-01,3E6147AE
snowfall,snowfall_shallow_accum,input,sh2o,3,real,2.500000000E-01,3E800000
snowfall,snowfall_shallow_accum,input,sh2o,4,real,2.800000012E-01,3E8F5C29
snowfall,snowfall_shallow_accum,input,sice,1,real,5.000000075E-02,3D4CCCCD
snowfall,snowfall_shallow_accum,input,sice,2,real,2.999999933E-02,3CF5C28F
snowfall,snowfall_shallow_accum,input,sice,3,real,1.999999955E-02,3CA3D70A
snowfall,snowfall_shallow_accum,input,sice,4,real,9.999999776E-03,3C23D70A
snowfall,snowfall_shallow_accum,output,isnow,0,int,0,
snowfall,snowfall_shallow_accum,output,snowh,0,real,1.179999951E-02,3C4154C9
snowfall,snowfall_shallow_accum,output,sneqv,0,real,2.180000067E+00,400B851F
snowfall,snowfall_shallow_accum,output,snice,-2,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,output,snice,-1,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,output,snice,0,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,output,snliq,-2,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,output,snliq,-1,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,output,snliq,0,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,output,stc,-2,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,output,stc,-1,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,output,stc,0,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,output,stc,1,real,2.710000000E+02,43878000
snowfall,snowfall_shallow_accum,output,stc,2,real,2.725000000E+02,43884000
snowfall,snowfall_shallow_accum,output,stc,3,real,2.750000000E+02,43898000
snowfall,snowfall_shallow_accum,output,stc,4,real,2.800000000E+02,438C0000
snowfall,snowfall_shallow_accum,output,zsnso,-2,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,output,zsnso,-1,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,output,zsnso,0,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,output,zsnso,1,real,-1.000000015E-01,BDCCCCCD
snowfall,snowfall_shallow_accum,output,zsnso,2,real,-4.000000060E-01,BECCCCCD
snowfall,snowfall_shallow_accum,output,zsnso,3,real,-1.000000000E+00,BF800000
snowfall,snowfall_shallow_accum,output,zsnso,4,real,-2.000000000E+00,C0000000
snowfall,snowfall_shallow_accum,output,dzsnso,-2,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,output,dzsnso,-1,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,output,dzsnso,0,real,0.000000000E+00,00000000
snowfall,snowfall_shallow_accum,output,dzsnso,1,real,1.000000015E-01,3DCCCCCD
snowfall,snowfall_shallow_accum,output,dzsnso,2,real,3.000000119E-01,3E99999A
snowfall,snowfall_shallow_accum,output,dzsnso,3,real,6.000000238E-01,3F19999A
snowfall,snowfall_shallow_accum,output,dzsnso,4,real,1.000000000E+00,3F800000
snowfall,snowfall_shallow_accum,output,sh2o,1,real,2.000000030E-01,3E4CCCCD
snowfall,snowfall_shallow_accum,output,sh2o,2,real,2.199999988E-01,3E6147AE
snowfall,snowfall_shallow_accum,output,sh2o,3,real,2.500000000E-01,3E800000
snowfall,snowfall_shallow_accum,output,sh2o,4,real,2.800000012E-01,3E8F5C29
snowfall,snowfall_shallow_accum,output,sice,1,real,5.000000075E-02,3D4CCCCD
snowfall,snowfall_shallow_accum,output,sice,2,real,2.999999933E-02,3CF5C28F
