name,value,bits
tfrz            ,2.731600037E+02,4388947B
hvap            ,2.510400000E+06,4A193900
hsub            ,2.844000000E+06,4A2D9580
hfus            ,3.336000000E+05,48A2E400
cwat            ,4.188000000E+06,4A7F9D80
cice            ,2.094000000E+06,49FF9D80
denh2o          ,1.000000000E+03,447A0000
denice          ,9.170000000E+02,44654000
exp_neg_a_folded,1.831563935E-02,3C960AAE
exp_neg_a_runtim,1.831563935E-02,3C960AAE
one_minus_expnega,9.816843867E-01,3F7B4FAB
expf_fcr_0,1.831563935E-02,3C960AAE
expf_fcr_1,1.860406809E-02,3C98678F
expf_fcr_2,1.889703982E-02,3C9ACDF7
expf_fcr_3,1.919462532E-02,3C9D3E0C
expf_fcr_4,1.949689537E-02,3C9FB7F4
expf_fcr_5,1.980392821E-02,3CA23BD9
expf_fcr_6,2.011579461E-02,3CA4C9E1
expf_fcr_7,2.043257095E-02,3CA76235
expf_fcr_8,2.075433731E-02,3CAA0500
expf_fcr_9,2.108117193E-02,3CACB26C
expf_fcr_10,2.141315117E-02,3CAF6AA2
expf_fcr_11,2.175035886E-02,3CB22DCF
expf_fcr_12,2.209287696E-02,3CB4FC1F
expf_fcr_13,2.244078927E-02,3CB7D5BF
expf_fcr_14,2.279418148E-02,3CBABADD
expf_fcr_15,2.315313742E-02,3CBDABA6
expf_fcr_16,2.351774648E-02,3CC0A84A
expf_fcr_17,2.388809621E-02,3CC3B0F8
expf_fcr_18,2.426427975E-02,3CC6C5E2
expf_fcr_19,2.464638650E-02,3CC9E738
expf_fcr_20,2.503450960E-02,3CCD152C
expf_fcr_21,2.542874590E-02,3CD04FF2
expf_fcr_22,2.582919039E-02,3CD397BD
expf_fcr_23,2.623594180E-02,3CD6ECC2
expf_fcr_24,2.664909698E-02,3CDA4F35
expf_fcr_25,2.706876025E-02,3CDDBF4E
expf_fcr_26,2.749503031E-02,3CE13D42
expf_fcr_27,2.792801335E-02,3CE4C94A
expf_fcr_28,2.836781554E-02,3CE8639F
expf_fcr_29,2.881454490E-02,3CEC0C7B
expf_fcr_30,2.926830761E-02,3CEFC417
expf_fcr_31,2.972921729E-02,3CF38AB0
expf_fcr_32,3.019738384E-02,3CF76081
expf_fcr_33,3.067292273E-02,3CFB45C8
expf_fcr_34,3.115595132E-02,3CFF3AC4
expf_fcr_35,3.164658695E-02,3D019FDA
expf_fcr_36,3.214494884E-02,3D03AA6C
expf_fcr_37,3.265115619E-02,3D05BD38
expf_fcr_38,3.316533566E-02,3D07D860
expf_fcr_39,3.368761390E-02,3D09FC06
