leaf,case,stage,field,index,dtype,value,bits
canwater,canw_unfrozen_evap,param,smcmax,1,real,4.339999855E-01,3EDE353F
canwater,canw_unfrozen_evap,param,smcmax,2,real,4.390000105E-01,3EE0C49C
canwater,canw_unfrozen_evap,param,smcmax,3,real,4.449999928E-01,3EE3D70A
canwater,canw_unfrozen_evap,param,smcmax,4,real,4.510000050E-01,3EE6E979
canwater,canw_unfrozen_evap,param,smcwlt,1,real,4.699999839E-02,3D408312
canwater,canw_unfrozen_evap,param,smcwlt,2,real,5.099999905E-02,3D50E560
canwater,canw_unfrozen_evap,param,smcwlt,3,real,5.499999970E-02,3D6147AE
canwater,canw_unfrozen_evap,param,smcwlt,4,real,5.900000036E-02,3D71A9FC
canwater,canw_unfrozen_evap,param,bexp,1,real,4.739999771E+00,4097AE14
canwater,canw_unfrozen_evap,param,bexp,2,real,4.900000095E+00,409CCCCD
canwater,canw_unfrozen_evap,param,bexp,3,real,5.050000191E+00,40A1999A
canwater,canw_unfrozen_evap,param,bexp,4,real,5.199999809E+00,40A66666
canwater,canw_unfrozen_evap,param,dksat,1,real,5.230000170E-06,36AF7D5C
canwater,canw_unfrozen_evap,param,dksat,2,real,4.900000022E-06,36A46AAE
canwater,canw_unfrozen_evap,param,dksat,3,real,4.550000085E-06,3698AC34
canwater,canw_unfrozen_evap,param,dksat,4,real,4.200000149E-06,368CEDBA
canwater,canw_unfrozen_evap,param,dwsat,1,real,3.579999975E-05,381627F5
canwater,canw_unfrozen_evap,param,dwsat,2,real,3.400000060E-05,380E9B39
canwater,canw_unfrozen_evap,param,dwsat,3,real,3.199999992E-05,380637BD
canwater,canw_unfrozen_evap,param,dwsat,4,real,3.049999941E-05,37FFDA40
canwater,canw_unfrozen_evap,param,kdt,0,real,3.137000084E+00,4048C49C
canwater,canw_unfrozen_evap,param,frzx,0,real,1.518999934E-01,3E1B8BAC
canwater,canw_unfrozen_evap,param,slope,0,real,1.000000015E-01,3DCCCCCD
canwater,canw_unfrozen_evap,param,ch2op,0,real,1.000000015E-01,3DCCCCCD
canwater,canw_unfrozen_evap,param,timean,0,real,1.050000000E+01,41280000
canwater,canw_unfrozen_evap,param,fsatmx,0,real,3.799999952E-01,3EC28F5C
canwater,canw_unfrozen_evap,param,urban_flag,0,int,0,
canwater,canw_unfrozen_evap,input,vegtyp,0,int,11,
canwater,canw_unfrozen_evap,input,iloc,0,int,3,
canwater,canw_unfrozen_evap,input,jloc,0,int,5,
canwater,canw_unfrozen_evap,input,frozen_canopy,0,int,0,
canwater,canw_unfrozen_evap,input,dt,0,real,1.800000000E+03,44E10000
canwater,canw_unfrozen_evap,input,fcev,0,real,4.500000000E+01,42340000
