leaf,case,slot,name,index,baseline_bits,already_zero,noutputs_changed,max_abs_delta
hrt,soil_only_isnow0,1,zsnso,-2,C61C3C00,0,0,0.00000000
hrt,soil_only_isnow0,2,zsnso,-1,C61C3C00,0,0,0.00000000
hrt,soil_only_isnow0,3,zsnso,0,C61C3C00,0,0,0.00000000
hrt,soil_only_isnow0,4,zsnso,1,BDCCCCCD,0,10,0.403309059E-5
hrt,soil_only_isnow0,5,zsnso,2,BECCCCCD,0,14,0.197935660E-4
hrt,soil_only_isnow0,6,zsnso,3,BF800000,0,11,0.127913356E-1
hrt,soil_only_isnow0,7,zsnso,4,C0000000,0,7,0.238771886E-1
hrt,soil_only_isnow0,8,stc,-2,C61C3C00,0,0,0.00000000
hrt,soil_only_isnow0,9,stc,-1,C61C3C00,0,0,0.00000000
hrt,soil_only_isnow0,10,stc,0,C61C3C00,0,0,0.00000000
hrt,soil_only_isnow0,11,stc,1,438CB333,0,2,0.864909030E-2
hrt,soil_only_isnow0,12,stc,2,438D8CCD,0,3,0.870134216E-2
hrt,soil_only_isnow0,13,stc,3,438E7333,0,3,0.140979665E-2
hrt,soil_only_isnow0,14,stc,4,438F199A,0,3,85.4196930
hrt,soil_only_isnow0,15,df,-2,C61C3C00,0,0,0.00000000
hrt,soil_only_isnow0,16,df,-1,C61C3C00,0,0,0.00000000
hrt,soil_only_isnow0,17,df,0,C61C3C00,0,0,0.00000000
hrt,soil_only_isnow0,18,df,1,3FB5C28F,0,6,0.522514601E-4
hrt,soil_only_isnow0,19,df,2,3FD0A3D7,0,6,0.890704359E-5
hrt,soil_only_isnow0,20,df,3,3FECCCCD,0,6,0.194960580E-5
hrt,soil_only_isnow0,21,df,4,3FF851EC,0,2,0.179078758
hrt,soil_only_isnow0,22,hcpct,-2,C61C3C00,0,0,0.00000000
hrt,soil_only_isnow0,23,hcpct,-1,C61C3C00,0,0,0.00000000
hrt,soil_only_isnow0,24,hcpct,0,C61C3C00,0,0,0.00000000
hrt,soil_only_isnow0,25,hcpct,1,4A0CFDC0,0,3,0.00000000
hrt,soil_only_isnow0,26,hcpct,2,4A14ED00,0,4,0.00000000
hrt,soil_only_isnow0,27,hcpct,3,4A1CDC40,0,4,0.00000000
hrt,soil_only_isnow0,28,hcpct,4,4A225A80,0,3,0.00000000
hrt,soil_only_isnow0,29,phi,-2,C61C3C00,0,0,0.00000000
hrt,soil_only_isnow0,30,phi,-1,C61C3C00,0,0,0.00000000
hrt,soil_only_isnow0,31,phi,0,C61C3C00,0,0,0.00000000
hrt,soil_only_isnow0,32,phi,1,40966666,0,1,0.203463278E-4
hrt,soil_only_isnow0,33,phi,2,40066666,0,1,0.286885233E-5
hrt,soil_only_isnow0,34,phi,3,3F4CCCCD,0,1,0.518806701E-6
hrt,soil_only_isnow0,35,phi,4,3E99999A,0,1,0.112781890E-6
hrt,soil_only_isnow0,36,tbot,0,438ECCCD,0,2,85.2406158
hrt,soil_only_isnow0,37,zbot,0,C1000000,0,2,0.955086648
hrt,soil_only_isnow0,38,dt,0,44E10000,0,0,0.00000000
hrt,soil_only_isnow0,39,ssoil,0,C215999A,0,1,0.161904754E-3
hrt,one_snow_layer,1,zsnso,-2,C61C3C00,0,0,0.00000000
hrt,one_snow_layer,2,zsnso,-1,C61C3C00,0,0,0.00000000
hrt,one_snow_layer,3,zsnso,0,BDB851EC,0,10,0.286838076E-4
hrt,one_snow_layer,4,zsnso,1,BE428F5C,0,14,0.638888887E-4
hrt,one_snow_layer,5,zsnso,2,BEFAE148,0,14,0.313054567E-3
hrt,one_snow_layer,6,zsnso,3,BF8B851F,0,11,0.137938738
hrt,one_snow_layer,7,zsnso,4,C005C28F,0,7,0.246960521
hrt,one_snow_layer,8,stc,-2,C61C3C00,0,0,0.00000000
hrt,one_snow_layer,9,stc,-1,C61C3C00,0,0,0.00000000
hrt,one_snow_layer,10,stc,0,43862666,0,2,0.189996809E-1
hrt,one_snow_layer,11,stc,1,43874000,0,3,0.191554725E-1
hrt,one_snow_layer,12,stc,2,43883333,0,3,0.824368466E-2
hrt,one_snow_layer,13,stc,3,43896666,0,3,0.134295993E-2
hrt,one_snow_layer,14,stc,4,438A8CCD,0,3,80.9984589
hrt,one_snow_layer,15,df,-2,C61C3C00,0,0,0.00000000
hrt,one_snow_layer,16,df,-1,C61C3C00,0,0,0.00000000
hrt,one_snow_layer,17,df,0,3E9EB852,0,6,0.155794027E-3
hrt,one_snow_layer,18,df,1,3FB0A3D7,0,6,0.574998157E-4
hrt,one_snow_layer,19,df,2,3FCB851F,0,6,0.117288782E-4
hrt,one_snow_layer,20,df,3,3FE7AE14,0,6,0.341456166E-5
hrt,one_snow_layer,21,df,4,3FF33333,0,2,1.78307867
hrt,one_snow_layer,22,hcpct,-2,C61C3C00,0,0,0.00000000
hrt,one_snow_layer,23,hcpct,-1,C61C3C00,0,0,0.00000000
hrt,one_snow_layer,24,hcpct,0,48FA0000,0,3,0.00000000
hrt,one_snow_layer,25,hcpct,1,4A0B2900,0,4,0.00000000
hrt,one_snow_layer,26,hcpct,2,4A131840,0,4,0.00000000
hrt,one_snow_layer,27,hcpct,3,4A1B0780,0,4,0.00000000
hrt,one_snow_layer,28,hcpct,4,4A2085C0,0,3,0.00000000
hrt,one_snow_layer,29,phi,-2,C61C3C00,0,0,0.00000000
hrt,one_snow_layer,30,phi,-1,C61C3C00,0,0,0.00000000
hrt,one_snow_layer,31,phi,0,41166666,0,1,0.203993055E-3
hrt,one_snow_layer,32,phi,1,40A66666,0,1,0.228070166E-4
hrt,one_snow_layer,33,phi,2,40266666,0,1,0.359612727E-5
hrt,one_snow_layer,34,phi,3,3F8CCCCD,0,1,0.721784772E-6
hrt,one_snow_layer,35,phi,4,3ECCCCCD,0,1,0.152091275E-6
hrt,one_snow_layer,36,tbot,0,438D999A,0,2,82.7815475
hrt,one_snow_layer,37,zbot,0,C10170A4,0,2,9.07239437
hrt,one_snow_layer,38,dt,0,44610000,0,0,0.00000000
hrt,one_snow_layer,39,ssoil,0,41B66666,0,1,0.494791660E-3
hrt,two_snow_layers,1,zsnso,-2,C61C3C00,0,0,0.00000000
hrt,two_snow_layers,2,zsnso,-1,BD75C28F,0,10,0.803130024E-4
hrt,two_snow_layers,3,zsnso,0,BE19999A,0,14,0.160697906E-3
hrt,two_snow_layers,4,zsnso,1,BE851EB8,0,14,0.103060401E-2
hrt,two_snow_layers,5,zsnso,2,BF0F5C29,0,14,0.246857002E-3
hrt,two_snow_layers,6,zsnso,3,BF947AE1,0,11,0.139038920
hrt,two_snow_layers,7,zsnso,4,C00A3D71,0,7,0.241822124
hrt,two_snow_layers,8,stc,-2,C61C3C00,0,0,0.00000000
hrt,two_snow_layers,9,stc,-1,4382999A,0,2,0.353570171E-1
hrt,two_snow_layers,10,stc,0,4384D99A,0,3,0.359661616E-1
hrt,two_snow_layers,11,stc,1,4386B333,0,3,0.173168033E-1
hrt,two_snow_layers,12,stc,2,4387E666,0,3,0.748838112E-2
hrt,two_snow_layers,13,stc,3,4388F333,0,3,0.136622752E-2
hrt,two_snow_layers,14,stc,4,438A2666,0,3,83.7401428
hrt,two_snow_layers,15,df,-2,C61C3C00,0,0,0.00000000
hrt,two_snow_layers,16,df,-1,3E75C28F,0,6,0.609137118E-3
hrt,two_snow_layers,17,df,0,3EB33333,0,6,0.237831700E-3
hrt,two_snow_layers,18,df,1,3FBAE148,0,6,0.661224040E-4
hrt,two_snow_layers,19,df,2,3FD5C28F,0,6,0.104749406E-4
hrt,two_snow_layers,20,df,3,3FF0A3D7,0,6,0.360152330E-5
hrt,two_snow_layers,21,df,4,3FFC28F6,0,2,1.69723272
