leaf,case,role,name,index,slot,live,bits,value
hrt,soil_only_isnow0,int,isnow,0,1,1,00000000,0.00000000
hrt,soil_only_isnow0,in,zsnso,-2,1,1,C61C3C00,-9999.00000
hrt,soil_only_isnow0,in,zsnso,-1,2,1,C61C3C00,-9999.00000
hrt,soil_only_isnow0,in,zsnso,0,3,1,C61C3C00,-9999.00000
hrt,soil_only_isnow0,in,zsnso,1,4,1,BDCCCCCD,-0.100000001
hrt,soil_only_isnow0,in,zsnso,2,5,1,BECCCCCD,-0.400000006
hrt,soil_only_isnow0,in,zsnso,3,6,1,BF800000,-1.00000000
hrt,soil_only_isnow0,in,zsnso,4,7,1,C0000000,-2.00000000
hrt,soil_only_isnow0,in,stc,-2,8,1,C61C3C00,-9999.00000
hrt,soil_only_isnow0,in,stc,-1,9,1,C61C3C00,-9999.00000
hrt,soil_only_isnow0,in,stc,0,10,1,C61C3C00,-9999.00000
hrt,soil_only_isnow0,in,stc,1,11,1,438CB333,281.399994
hrt,soil_only_isnow0,in,stc,2,12,1,438D8CCD,283.100006
hrt,soil_only_isnow0,in,stc,3,13,1,438E7333,284.899994
hrt,soil_only_isnow0,in,stc,4,14,1,438F199A,286.200012
hrt,soil_only_isnow0,in,df,-2,15,1,C61C3C00,-9999.00000
hrt,soil_only_isnow0,in,df,-1,16,1,C61C3C00,-9999.00000
hrt,soil_only_isnow0,in,df,0,17,1,C61C3C00,-9999.00000
hrt,soil_only_isnow0,in,df,1,18,1,3FB5C28F,1.41999996
hrt,soil_only_isnow0,in,df,2,19,1,3FD0A3D7,1.63000000
hrt,soil_only_isnow0,in,df,3,20,1,3FECCCCD,1.85000002
hrt,soil_only_isnow0,in,df,4,21,1,3FF851EC,1.94000006
hrt,soil_only_isnow0,in,hcpct,-2,22,1,C61C3C00,-9999.00000
hrt,soil_only_isnow0,in,hcpct,-1,23,1,C61C3C00,-9999.00000
hrt,soil_only_isnow0,in,hcpct,0,24,1,C61C3C00,-9999.00000
hrt,soil_only_isnow0,in,hcpct,1,25,1,4A0CFDC0,2310000.00
hrt,soil_only_isnow0,in,hcpct,2,26,1,4A14ED00,2440000.00
hrt,soil_only_isnow0,in,hcpct,3,27,1,4A1CDC40,2570000.00
