leaf,case,role,name,hex,value
options,registry,opt,DVEG,00000004,                4
options,registry,opt,OPT_CRS,00000001,                1
options,registry,opt,OPT_BTR,00000001,                1
options,registry,opt,OPT_RUN,00000003,                3
options,registry,opt,OPT_SFC,00000001,                1
options,registry,opt,OPT_STC,00000001,                1
options,registry,opt,OPT_CROP,00000000,                0
options,registry,opt,OPT_IRR,00000000,                0
options,registry,opt,OPT_TDRN,00000000,                0
options,registry,opt,OPT_ALB,00000002,                2
options,registry,opt,OPT_RAD,00000003,                3
esat,esat01,in,T,C2480000, -5.000000000E+01
esat,esat01,out,ESW,40CACDF8,  6.337642670E+00
esat,esat01,out,ESI,407DA0E8,  3.962945938E+00
esat,esat01,out,DESW,3F38001A,  7.187515497E-01
esat,esat01,out,DESI,3EF997B4,  4.874855280E-01
esat,esat02,in,T,C2200000, -4.000000000E+01
esat,esat02,out,ESW,41975199,  1.891484261E+01
esat,esat02,out,ESI,414D4632,  1.282963753E+01
esat,esat02,out,DESW,3FFB6FDF,  1.964351535E+00
esat,esat02,out,DESI,3FB9C297,  1.451250911E+00
esat,esat03,in,T,C1CB0000, -2.537500000E+01
esat,esat03,out,ESW,429BDB90,  7.792883301E+01
esat,esat03,out,ESI,42739A28,  6.090054321E+01
esat,esat03,out,DESW,40E19043,  7.048860073E+00
esat,esat03,out,DESI,40C34787,  6.102481365E+00
esat,esat04,in,T,C1200000, -1.000000000E+01
esat,esat04,out,ESW,438F2CD4,  2.863502197E+02
esat,esat04,out,ESI,4381D2B8,  2.596462402E+02
esat,esat04,out,DESW,41B51227,  2.263386345E+01
esat,esat04,out,DESI,41B86BB5,  2.305259132E+01
esat,esat05,in,T,BF000000, -5.000000000E-01
esat,esat05,out,ESW,44133CE3,  5.889513550E+02
esat,esat05,out,ESI,44128D7B,  5.862106323E+02
esat,esat05,out,DESW,422BE386,  4.297219086E+01
esat,esat05,out,DESI,4241CA91,  4.844781876E+01
esat,esat06,in,T,00000000,  0.000000000E+00
esat,esat06,out,ESW,4418B1EC,  6.107800293E+02
esat,esat06,out,ESI,4418BABD,  6.109177856E+02
esat,esat06,out,DESW,42318624,  4.438099670E+01
esat,esat06,out,DESI,42493654,  5.030305481E+01
esat,esat07,in,T,3F000000,  5.000000000E-01
esat,esat07,out,ESW,441E54AE,  6.333231201E+02
esat,esat07,out,ESI,441F245B,  6.365680542E+02
esat,esat07,out,DESW,42375168,  4.582949829E+01
esat,esat07,out,DESI,4250E303,  5.222169113E+01
esat,esat08,in,T,41440000,  1.225000000E+01
esat,esat08,out,ESW,44B21A30,  1.424818359E+03
esat,esat08,out,ESI,44C83F19,  1.601971802E+03
esat,esat08,out,DESW,42BB8949,  9.376813507E+01
esat,esat08,out,DESI,42F1B168,  1.208464966E+02
esat,esat09,in,T,41DA8693,  2.731571007E+01
esat,esat09,out,ESW,4562F56A,  3.631338379E+03
esat,esat09,out,ESI,459150EC,  4.650115234E+03
esat,esat09,out,DESW,4354B2C5,  2.126983185E+02
esat,esat09,out,DESI,439F6577,  3.187926941E+02
esat,esat10,in,T,42200000,  4.000000000E+01
esat,esat10,out,ESW,45E68C53,  7.377540527E+03
esat,esat10,out,ESI,46222491,  1.037714160E+04
esat,esat10,out,DESW,43C4A73A,  3.933064575E+02
esat,esat10,out,DESI,44262962,  6.646466064E+02
esat,esat11,in,T,42480000,  5.000000000E+01
esat,esat11,out,ESW,4640D31E,  1.234077930E+04
esat,esat11,out,ESI,46908EF1,  1.850347070E+04
esat,esat11,out,DESW,4419133A,  6.123004150E+02
esat,esat11,out,DESI,448D839A,  1.132112549E+03
ragrb,ragrb01,in,ITER,00000001,                1
ragrb,ragrb01,in,VAI,40600000,  3.500000000E+00
ragrb,ragrb01,in,RHOAIR,3F970A3D,  1.179999948E+00
ragrb,ragrb01,in,HG,00000000,  0.000000000E+00
ragrb,ragrb01,in,TAH,43938000,  2.950000000E+02
ragrb,ragrb01,in,ZPD,40D66666,  6.699999809E+00
ragrb,ragrb01,in,Z0MG,3C23D70A,  9.999999776E-03
ragrb,ragrb01,in,Z0HG,3C23D70A,  9.999999776E-03
