case,dveg,croptype,vegtyp,yearlen,pgs,iswater,isbarren,isice,urban_flag,veg_row,snowh,tv,lat,julian,troot,lai_in,sai_in,hvt,hvb,tmin,laim01,laim02,laim03,laim04,laim05,laim06,laim07,laim08,laim09,laim10,laim11,laim12,saim01,saim02,saim03,saim04,saim05,saim06,saim07,saim08,saim09,saim10,saim11,saim12,lai,sai,elai,esai,igs,fb,binds
PH01_NH_MIDYEAR,4,0,11,365,1,16,19,24,0,USGS11_DECID_BROADLEAF,3CA3D70A,43910000,3F333333,43358000,438C0000,411FD70A,410E147B,41800000,41380000,43888000,00000000,00000000,3E99999A,3F99999A,40400000,40966666,40900000,4059999A,3F99999A,3E99999A,00000000,00000000,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3F666666,3F99999A,3FCCCCCD,3FB33333,3F19999A,3ECCCCCD,40936910,3F22311A,40936910,3F22311A,3F800000,00000000,"LAT>=0; interior IT1/IT2; MAX(SNOWH-HVB,0)=0; HVT>1 so no EXP; TV>TMIN"
PH02_SH_WRAP,4,0,11,365,1,16,19,24,0,USGS11_DECID_BROADLEAF,3CA3D70A,43910000,BF333333,43358000,438C0000,411FD70A,410E147B,41800000,41380000,43888000,00000000,00000000,3E99999A,3F99999A,40400000,40966666,40900000,4059999A,3F99999A,3E99999A,00000000,00000000,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3F666666,3F99999A,3FCCCCCD,3FB33333,3F19999A,3ECCCCCD,00000000,3ECCCCCD,00000000,3ECCCCCD,3F800000,00000000,"LAT<0 so DAY=MOD(JULIAN+YEARLEN/2,YEARLEN); IT2>12 wraps to 1"
PH03_IT1_UNDERFLOW,4,0,7,365,1,16,19,24,0,USGS07_GRASSLAND,3D4CCCCD,438C0000,3F333333,00000000,438C0000,411FD70A,410E147B,3F800000,3D4CCCCD,43888000,3ECCCCCD,3F000000,3F19999A,3F333333,3F99999A,40400000,40600000,3FC00000,3F333333,3F19999A,3F000000,3ECCCCCD,3E99999A,3E99999A,3E99999A,3E99999A,3E99999A,3ECCCCCD,3F4CCCCD,3FA66666,3F8CCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3EB33334,3EBFA6CE,3EA7B1F5,3F800000,3D837BF5,JULIAN=0 so IT1=0 wraps to 12; HVT==1.0 exactly so the EXP branch is live with SNOWH<SNOWHC
PH04_SNOW_OVER_SNOWHC,4,0,7,365,1,16,19,24,0,USGS07_GRASSLAND,40000000,438C0000,3F333333,43480000,438C0000,411FD70A,410E147B,3F800000,3D4CCCCD,43888000,3ECCCCCD,3F000000,3F19999A,3F333333,3F99999A,40400000,40600000,3FC00000,3F333333,3F19999A,3F000000,3ECCCCCD,3E99999A,3E99999A,3E99999A,3E99999A,3E99999A,3ECCCCCD,3F4CCCCD,3FA66666,3F8CCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,40565B2C,3F5671A1,00000000,00000000,3F800000,3F800000,EXP branch with SNOWH>SNOWHC so MIN picks SNOWHC and FB=1; ESAI<0.05 then ELAI forced to 0
PH05_WATER,4,0,16,365,1,16,19,24,0,USGS16_WATER,3F000000,43878000,3F333333,42C80000,438C0000,411FD70A,410E147B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,3F800000,00000000,"VEGTYP==ISWATER; HVT==0 so the EXP branch is off and MAX(1e-6,HVT-HVB) takes the floor"
PH06_BARREN,4,0,19,365,1,16,19,24,0,USGS19_BARREN,3F000000,43878000,3F333333,42C80000,438C0000,411FD70A,410E147B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,3F800000,00000000,VEGTYP==ISBARREN
PH07_ICE,4,0,24,365,1,16,19,24,0,USGS24_SNOW_ICE,3F000000,43878000,3F333333,42C80000,438C0000,411FD70A,410E147B,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,3F800000,00000000,VEGTYP==ISICE
PH08_URBAN,4,0,1,365,1,16,19,24,1,USGS01_URBAN,3F000000,43878000,3F333333,42C80000,438C0000,411FD70A,410E147B,41700000,3F800000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,3F800000,00000000,parameters%urban_flag
PH09_IGS_OFF,4,0,11,365,1,16,19,24,0,USGS11_DECID_BROADLEAF,3CA3D70A,43820000,3F333333,43358000,438C0000,411FD70A,410E147B,41800000,41380000,43888000,00000000,00000000,3E99999A,3F99999A,40400000,40966666,40900000,4059999A,3F99999A,3E99999A,00000000,00000000,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3ECCCCCD,3F666666,3F99999A,3FCCCCCD,3FB33333,3F19999A,3ECCCCCD,40936910,3F22311A,40936910,3F22311A,00000000,00000000,TV<TMIN so IGS=0
PH10_LEAP_YEAR,4,0,12,366,1,16,19,24,0,USGS12_DECID_NEEDLE,3DCCCCCD,43898000,3F333333,43B6F333,438C0000,411FD70A,410E147B,41900000,40E00000,43860000,00000000,00000000,00000000,3F19999A,3F99999A,40000000,40266666,3FD9999A,3F800000,3F000000,3E4CCCCD,00000000,3E99999A,3E99999A,3E99999A,3ECCCCCD,3ECCCCCD,3F333333,3FA66666,3F99999A,3F800000,3F4CCCCD,3F19999A,3F000000,00000000,3ECD22C6,00000000,3ECD22C6,3F800000,00000000,YEARLEN=366; IT1=12 and IT2 wraps
