case,iloc,jloc,vegtyp,ist,dt,uu,vv,elai,esai,fveg,bdfall,rain,snow,fp,canliq_in,canice_in,tv,sfctmp,tg,ch2op,canliq,canice,qintr,qdripr,qthror,qints,qdrips,qthros,pahv,pahg,pahb,qrain,qsnow,snowhin,fwet,cmc,binds
PR01_CAP_LIMITED,3,5,11,1,42B40000,40000000,3F800000,40400000,3F000000,3F4CCCCD,42C80000,3A03126F,00000000,3F800000,3DCCCCCD,00000000,438C0000,438C8000,438B8000,3DCCCCCD,3E01C3D8,00000000,399BAD31,38D8279C,38D1B717,00000000,00000000,00000000,3F9F2C55,3F0A2190,40860419,3954EF5A,00000000,00000000,3F16DDB7,3E01C3D8,LSAI>0; rain MIN picks the capacity side; CANICE==0 so FWET comes from liquid; 0<FVEG<1
PR02_RATE_LIMITED,3,5,11,1,42B40000,40000000,3F800000,40400000,3F000000,3F4CCCCD,42C80000,38D1B717,00000000,3F800000,00000000,00000000,438C0000,438C8000,438B8000,3DCCCCCD,3BEBEDFA,00000000,38A7C5AC,00000000,37A7C5AB,00000000,00000000,00000000,3EAB8A5D,00000000,3F566CF4,37A7C5AB,00000000,00000000,3DB2341A,3BEBEDFA,rain MIN picks FVEG*RAIN*FP
PR03_OVERFULL_CANOPY,3,5,11,1,42B40000,40000000,3F800000,40400000,3F000000,3F4CCCCD,42C80000,3A03126F,00000000,3F800000,3F000000,00000000,438C0000,438C8000,438B8000,3DCCCCCD,3F000000,00000000,00000000,39D1B718,38D1B717,00000000,00000000,00000000,00000000,40060419,40860419,3A03126F,00000000,00000000,3F800000,3F000000,"CANLIQ>MAXLIQ makes the capacity negative so MAX(QINTR,0) binds"
PR04_BURIED_WITH_STORE,3,5,11,1,42B40000,40000000,3F800000,00000000,00000000,00000000,42C80000,39D1B717,3951B717,3F800000,3E4CCCCD,3E99999A,43898000,438A0000,43890000,3DCCCCCD,00000000,00000000,00000000,3B11A2B4,39D1B717,00000000,3B5A740E,3951B717,00000000,00000000,41A00000,3B2BD997,3B678F7F,381432E1,00000000,00000000,"LSAI==0 with CANLIQ>0 and CANICE>0: both buried-canopy dumps; FVEG<=0 so PAHB absorbs PAHG; FWET base is 0 so powf(0,0.667) is exercised"
PR05_FVEG_ONE,3,5,11,1,42B40000,40000000,3F800000,40000000,3ECCCCCD,3F800000,42C80000,3951B717,38D1B717,3F800000,3D4CCCCD,3CA3D70A,43880000,43890000,43878000,3DCCCCCD,3D828436,3CED0DC2,391FF38E,38470E24,00000000,38D144C2,353B3BA1,00000000,3FF2677D,3E4D0595,00000000,38470E24,353B3BA1,31EFA87C,3C96B2CA,3DBDC7A6,FVEG>=1 so PAHB:=0; CANICE>0 so FWET comes from snow; TV>270.15 so FT>0
PR06_BURIED_EMPTY,3,5,11,1,42B40000,40000000,3F800000,00000000,00000000,3F000000,42C80000,399D4952,3951B717,3F800000,00000000,00000000,43898000,438A0000,43890000,3DCCCCCD,00000000,00000000,00000000,00000000,399D4952,00000000,00000000,3951B717,3F566CF5,00000000,40D66CF5,399D4952,3951B717,360637BD,00000000,00000000,LSAI==0 with empty stores: the CANLIQ>0 and CANICE>0 tests both fail
PR07_FT_FLOOR,3,5,11,1,42B40000,40400000,40800000,40000000,3ECCCCCD,3F4CCCCD,42C80000,00000000,38D1B717,3F800000,00000000,3F000000,43848000,43850000,43840000,3DCCCCCD,00000000,3F017956,00000000,00000000,00000000,38A7C5AC,37866ECD,37A7C5AB,3E092D6A,3D2BD0BC,3ED66CF4,00000000,38171A3C,34C16943,3E135D8A,3F017956,"TV<270.15 so MAX(0,(TV-270.15)/1.87e5) takes the floor; RAIN==0"
PR08_ICEDRIP_MIN_STORE,3,5,11,1,45610000,42200000,41F00000,40000000,3ECCCCCD,3F4CCCCD,42C80000,00000000,38D1B717,3F800000,00000000,3F800000,43960000,43958000,43950000,3DCCCCCD,00000000,00000000,00000000,00000000,00000000,38A7C5AC,39BB941F,37A7C5AB,BFD53BFF,3FEFBD60,3E566CF4,00000000,39C6107A,367D85BB,00000000,00000000,ICEDRIP MIN picks CANICE/DT+QINTS
PR09_ICEDRIP_MIN_RATE,3,5,11,1,42B40000,42200000,41F00000,40400000,3F000000,3F4CCCCD,42C80000,00000000,38D1B717,3F800000,00000000,41A00000,43960000,43958000,43950000,3DCCCCCD,00000000,41991604,00000000,00000000,00000000,00000000,3C1EA47B,37A7C5AB,C1A00000,41A00000,3E566CF4,00000000,3C1EF85E,38CB7B5A,3F800000,41991604,"ICEDRIP MIN picks CANICE*(FV+FT); CANICE>MAXSNO so MAX(QINTS,0) binds and FWET>1 so MIN(FWET,1) binds"
PR10_TINY_CANOPY,3,5,11,1,42B40000,40000000,3F800000,358637BD,00000000,3F4CCCCD,42C80000,3A03126F,00000000,3F800000,00000000,00000000,438C0000,438C8000,438B8000,3DCCCCCD,33ABCC78,00000000,30745600,39D1B6F9,38D1B717,00000000,00000000,00000000,36800000,40060405,40860419,3A03125F,00000000,00000000,3E3DF5A1,33ABCC78,"MAXLIQ<1e-6 so MAX(MAXLIQ,1e-6) takes the floor in FWET"
PR11_LAKE_ABOVE_FREEZING,3,5,11,2,42B40000,40000000,3F800000,40000000,3ECCCCCD,3F4CCCCD,42C80000,3951B717,399D4952,3F800000,3D4CCCCD,3CA3D70A,43898000,438A0000,438C0000,3DCCCCCD,3D806CCE,3D2A18C2,39140DB0,379DBFE0,3827C5AB,397BA883,35583229,387BA882,3FC994CD,BF00B554,C0BB9F55,3876A59B,00000000,00000000,3CDE8756,3DD5792F,IST==2 and TG>TFRZ so QSNOW and SNOWHIN are zeroed
PR12_LAKE_BELOW_FREEZING,3,5,11,2,42B40000,40000000,3F800000,40000000,3ECCCCCD,3F4CCCCD,42C80000,3951B717,399D4952,3F800000,3D4CCCCD,3CA3D70A,43878000,43880000,43870000,3DCCCCCD,3D806CCE,3D2A4121,39140DB0,379DBFE0,3827C5AB,397BA883,34CAB6E7,387BA882,3F8BEA7A,3DCBA3D6,403B9F55,3876A59B,387D3DF0,35221329,3CDEAA8F,3DD58D5E,IST==2 with TG<TFRZ: the lake test fails on its second conjunct
PR13_PAH_CLIP_MIXED,3,5,11,1,42B40000,40000000,3F800000,40400000,3F000000,3F4CCCCD,42C80000,3C23D70A,3BA3D70A,3F800000,3D4CCCCD,3D4CCCCD,43898000,438C0000,438E8000,3DCCCCCD,3E8AA0C1,3ED1D3C5,3B20C038,3BB5C4C2,3B03126E,3B83126F,36071F5A,3A83126E,41A00000,C1A00000,C1A00000,3BF74DF9,3A8355FE,37281C26,3DC728F8,3F2E3A43,"PAHV clipped at +20, PAHG and PAHB clipped at -20"
PR14_PAH_CLIP_REVERSED,3,5,11,1,42B40000,40000000,3F800000,40400000,3F000000,3F4CCCCD,42C80000,3C23D70A,3BA3D70A,3F800000,3D4CCCCD,3D4CCCCD,438E8000,43898000,43870000,3DCCCCCD,3E8AA0C1,3ED1B43B,3B20C038,3BB5C4C2,3B03126E,3B83126F,369D476A,3A83126E,C1A00000,41A00000,41A00000,3BF74DF9,3A83AFB5,37288EFC,3DC714FF,3F2E2A7E,"PAHV clipped at -20, PAHG and PAHB clipped at +20"
PR15_LAKE_AT_FREEZING,3,5,11,2,42B40000,40000000,3F800000,40000000,3ECCCCCD,3F4CCCCD,42C80000,3951B717,399D4952,3F800000,3D4CCCCD,3CA3D70A,43878000,43880000,4388947B,3DCCCCCD,3D806CCE,3D2A4121,39140DB0,379DBFE0,3827C5AB,397BA883,34CAB6E7,387BA882,3FAC1752,BE5BEE7B,BFD9A486,3876A59B,387D3DF0,35221329,3CDEAA8F,3DD58D5E,IST==2 with TG exactly TFRZ: strict > must not fire
PR16_QINTS_RATE_LIMITED,3,5,11,1,42B40000,40000000,3F800000,40000000,3ECCCCCD,3F000000,42C80000,00000000,3951B717,3F000000,00000000,3C23D70A,43898000,438A0000,43890000,3DCCCCCD,00000000,3C6CF965,00000000,00000000,00000000,3851B717,3853677B,38D1B717,3DD4B2DA,3E58270E,3F566CF4,00000000,391DB56A,35C9DDF8,3C96AA28,3C6CF965,snow MIN picks FVEG*SNOW*FP; FP<1
PR17_DENSE_SNOWFALL,3,5,11,1,42B40000,40000000,3F800000,40000000,3ECCCCCD,3F4CCCCD,437A0000,38D1B717,39D1B717,3F800000,3CA3D70A,3CF5C28F,43890000,43898000,43880000,3DCCCCCD,3CDED288,3D707566,38A7C5AC,00000000,37A7C5AB,39A7C5AC,358C9D5C,38A7C5AB,3F801800,3BB3B75E,40713A93,37A7C5AB,38A9F820,34AE0C6A,3D40679D,3DAFEF55,a different BDFALL exercises the 0.27+46/BDFALL factor and SNOWHIN
PR18_NO_PRECIP,3,5,11,1,42B40000,00000000,00000000,40000000,3ECCCCCD,3F4CCCCD,42C80000,00000000,00000000,3F800000,3CF5C28F,00000000,43898000,438A0000,43890000,3DCCCCCD,3CF5C28F,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,00000000,3E94705F,3CF5C28F,"RAIN==SNOW==0 and UU==VV==0: SQRT(0), and every rate collapses"
PR19_CAP_EXACTLY_FULL,3,5,11,1,42B40000,40000000,3F800000,40400000,3F000000,3F4CCCCD,42C80000,3A03126F,00000000,3F800000,3E8F5C29,00000000,438C0000,438C8000,438B8000,3DCCCCCD,3E8F5C29,00000000,2E5837A5,39D1B716,38D1B717,00000000,00000000,00000000,34800000,40060418,40860419,3A03126E,00000000,00000000,3F7FFFFF,3E8F5C29,"CANLIQ==MAXLIQ exactly, so the capacity term is a signed zero and the MIN/MAX tie-breaking rule is observable"
