leaf,case,stage,field,index,dtype,value,bits
water,wat_bare_rain,param,smcmax,1,real,4.339999855E-01,3EDE353F
water,wat_bare_rain,param,smcmax,2,real,4.390000105E-01,3EE0C49C
water,wat_bare_rain,param,smcmax,3,real,4.449999928E-01,3EE3D70A
water,wat_bare_rain,param,smcmax,4,real,4.510000050E-01,3EE6E979
water,wat_bare_rain,param,smcwlt,1,real,4.699999839E-02,3D408312
water,wat_bare_rain,param,smcwlt,2,real,5.099999905E-02,3D50E560
water,wat_bare_rain,param,smcwlt,3,real,5.499999970E-02,3D6147AE
water,wat_bare_rain,param,smcwlt,4,real,5.900000036E-02,3D71A9FC
water,wat_bare_rain,param,bexp,1,real,4.739999771E+00,4097AE14
water,wat_bare_rain,param,bexp,2,real,4.900000095E+00,409CCCCD
water,wat_bare_rain,param,bexp,3,real,5.050000191E+00,40A1999A
water,wat_bare_rain,param,bexp,4,real,5.199999809E+00,40A66666
water,wat_bare_rain,param,dksat,1,real,5.230000170E-06,36AF7D5C
water,wat_bare_rain,param,dksat,2,real,4.900000022E-06,36A46AAE
water,wat_bare_rain,param,dksat,3,real,4.550000085E-06,3698AC34
water,wat_bare_rain,param,dksat,4,real,4.200000149E-06,368CEDBA
water,wat_bare_rain,param,dwsat,1,real,3.579999975E-05,381627F5
water,wat_bare_rain,param,dwsat,2,real,3.400000060E-05,380E9B39
water,wat_bare_rain,param,dwsat,3,real,3.199999992E-05,380637BD
water,wat_bare_rain,param,dwsat,4,real,3.049999941E-05,37FFDA40
water,wat_bare_rain,param,kdt,0,real,3.137000084E+00,4048C49C
water,wat_bare_rain,param,frzx,0,real,1.518999934E-01,3E1B8BAC
water,wat_bare_rain,param,slope,0,real,1.000000015E-01,3DCCCCCD
water,wat_bare_rain,param,ch2op,0,real,1.000000015E-01,3DCCCCCD
water,wat_bare_rain,param,ssi,0,real,2.999999933E-02,3CF5C28F
water,wat_bare_rain,param,snow_ret_fac,0,real,4.999999874E-05,3851B717
water,wat_bare_rain,param,timean,0,real,1.050000000E+01,41280000
water,wat_bare_rain,param,fsatmx,0,real,3.799999952E-01,3EC28F5C
water,wat_bare_rain,param,nroot,0,int,3,
water,wat_bare_rain,param,urban_flag,0,int,0,
water,wat_bare_rain,input,nsnow,0,int,3,
water,wat_bare_rain,input,nsoil,0,int,4,
water,wat_bare_rain,input,vegtyp,0,int,11,
water,wat_bare_rain,input,ist,0,int,1,
water,wat_bare_rain,input,iloc,0,int,3,
water,wat_bare_rain,input,jloc,0,int,5,
water,wat_bare_rain,input,imelt,-2,int,2,
water,wat_bare_rain,input,imelt,-1,int,2,
water,wat_bare_rain,input,imelt,0,int,2,
water,wat_bare_rain,input,dt,0,real,1.800000000E+03,44E10000
water,wat_bare_rain,input,uu,0,real,3.500000000E+00,40600000
water,wat_bare_rain,input,vv,0,real,-2.250000000E+00,C0100000
water,wat_bare_rain,input,fcev,0,real,4.500000000E+01,42340000
water,wat_bare_rain,input,fctr,0,real,3.000000000E+01,41F00000
water,wat_bare_rain,input,qprecc,0,real,1.499999962E-05,377BA882
water,wat_bare_rain,input,qprecl,0,real,4.500000068E-05,383CBE62
water,wat_bare_rain,input,elai,0,real,3.000000000E+00,40400000
water,wat_bare_rain,input,esai,0,real,5.000000000E-01,3F000000
water,wat_bare_rain,input,sfctmp,0,real,2.850000000E+02,438E8000
water,wat_bare_rain,input,qvap,0,real,1.200000042E-05,3749539C
water,wat_bare_rain,input,qdew,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,tg,0,real,2.850000000E+02,438E8000
water,wat_bare_rain,input,fveg,0,real,8.000000119E-01,3F4CCCCD
water,wat_bare_rain,input,bdfall,0,real,1.200000000E+02,42F00000
water,wat_bare_rain,input,fp,0,real,6.499999762E-01,3F266666
water,wat_bare_rain,input,rain,0,real,5.500000043E-05,3866AFCD
water,wat_bare_rain,input,snow,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,qsnow,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,qrain,0,real,3.999999899E-05,3827C5AC
water,wat_bare_rain,input,snowhin,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,latheav,0,real,2.510400000E+06,4A193900
water,wat_bare_rain,input,latheag,0,real,2.510400000E+06,4A193900
water,wat_bare_rain,input,dx,0,real,3.000000000E+03,453B8000
water,wat_bare_rain,input,tdfracmp,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,frozen_canopy,0,int,0,
water,wat_bare_rain,input,frozen_ground,0,int,0,
water,wat_bare_rain,input,croplu,0,int,0,
water,wat_bare_rain,input,irrfra,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,mifac,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,fifac,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,zsoil,1,real,-1.000000015E-01,BDCCCCCD
water,wat_bare_rain,input,zsoil,2,real,-4.000000060E-01,BECCCCCD
water,wat_bare_rain,input,zsoil,3,real,-1.000000000E+00,BF800000
water,wat_bare_rain,input,zsoil,4,real,-2.000000000E+00,C0000000
water,wat_bare_rain,input,btrani,1,real,5.500000119E-01,3F0CCCCD
water,wat_bare_rain,input,btrani,2,real,3.000000119E-01,3E99999A
water,wat_bare_rain,input,btrani,3,real,1.500000060E-01,3E19999A
water,wat_bare_rain,input,btrani,4,real,0.000000000E+00,00000000
water,wat_bare_rain,input,smceq,1,real,2.099999934E-01,3E570A3D
water,wat_bare_rain,input,smceq,2,real,2.300000042E-01,3E6B851F
water,wat_bare_rain,input,smceq,3,real,2.500000000E-01,3E800000
water,wat_bare_rain,input,smceq,4,real,2.700000107E-01,3E8A3D71
water,wat_bare_rain,input,ficeold,-2,real,0.000000000E+00,00000000
water,wat_bare_rain,input,ficeold,-1,real,0.000000000E+00,00000000
water,wat_bare_rain,input,ficeold,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,isnow,0,int,0,
water,wat_bare_rain,input,ponding,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,canliq,0,real,4.000000060E-01,3ECCCCCD
water,wat_bare_rain,input,canice,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,tv,0,real,2.855000000E+02,438EC000
water,wat_bare_rain,input,snowh,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,sneqv,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,snice,-2,real,0.000000000E+00,00000000
water,wat_bare_rain,input,snice,-1,real,0.000000000E+00,00000000
water,wat_bare_rain,input,snice,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,snliq,-2,real,0.000000000E+00,00000000
water,wat_bare_rain,input,snliq,-1,real,0.000000000E+00,00000000
water,wat_bare_rain,input,snliq,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,stc,-2,real,0.000000000E+00,00000000
water,wat_bare_rain,input,stc,-1,real,0.000000000E+00,00000000
water,wat_bare_rain,input,stc,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,stc,1,real,2.850000000E+02,438E8000
water,wat_bare_rain,input,stc,2,real,2.840000000E+02,438E0000
water,wat_bare_rain,input,stc,3,real,2.830000000E+02,438D8000
water,wat_bare_rain,input,stc,4,real,2.820000000E+02,438D0000
water,wat_bare_rain,input,zsnso,-2,real,0.000000000E+00,00000000
water,wat_bare_rain,input,zsnso,-1,real,0.000000000E+00,00000000
water,wat_bare_rain,input,zsnso,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,zsnso,1,real,-1.000000015E-01,BDCCCCCD
water,wat_bare_rain,input,zsnso,2,real,-4.000000060E-01,BECCCCCD
water,wat_bare_rain,input,zsnso,3,real,-1.000000000E+00,BF800000
water,wat_bare_rain,input,zsnso,4,real,-2.000000000E+00,C0000000
water,wat_bare_rain,input,dzsnso,-2,real,0.000000000E+00,00000000
water,wat_bare_rain,input,dzsnso,-1,real,0.000000000E+00,00000000
water,wat_bare_rain,input,dzsnso,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,dzsnso,1,real,1.000000015E-01,3DCCCCCD
water,wat_bare_rain,input,dzsnso,2,real,3.000000119E-01,3E99999A
water,wat_bare_rain,input,dzsnso,3,real,6.000000238E-01,3F19999A
water,wat_bare_rain,input,dzsnso,4,real,1.000000000E+00,3F800000
water,wat_bare_rain,input,sh2o,1,real,1.800000072E-01,3E3851EC
water,wat_bare_rain,input,sh2o,2,real,2.099999934E-01,3E570A3D
water,wat_bare_rain,input,sh2o,3,real,2.399999946E-01,3E75C28F
water,wat_bare_rain,input,sh2o,4,real,2.599999905E-01,3E851EB8
water,wat_bare_rain,input,sice,1,real,0.000000000E+00,00000000
water,wat_bare_rain,input,sice,2,real,0.000000000E+00,00000000
water,wat_bare_rain,input,sice,3,real,0.000000000E+00,00000000
water,wat_bare_rain,input,sice,4,real,0.000000000E+00,00000000
water,wat_bare_rain,input,smc,1,real,1.800000072E-01,3E3851EC
water,wat_bare_rain,input,smc,2,real,2.099999934E-01,3E570A3D
water,wat_bare_rain,input,smc,3,real,2.399999946E-01,3E75C28F
water,wat_bare_rain,input,smc,4,real,2.599999905E-01,3E851EB8
water,wat_bare_rain,input,zwt,0,real,-2.500000000E+00,C0200000
water,wat_bare_rain,input,wa,0,real,4.900000000E+03,45992000
water,wat_bare_rain,input,wt,0,real,4.900000000E+03,45992000
water,wat_bare_rain,input,wslake,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,smcwtd,0,real,3.000000119E-01,3E99999A
water,wat_bare_rain,input,deeprech,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,rech,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,qtldrn,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,iramtfi,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,iramtmi,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,irfirate,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,irmirate,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,acc_qinsur,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,acc_qseva,0,real,0.000000000E+00,00000000
water,wat_bare_rain,input,acc_etrani,1,real,0.000000000E+00,00000000
water,wat_bare_rain,input,acc_etrani,2,real,0.000000000E+00,00000000
water,wat_bare_rain,input,acc_etrani,3,real,0.000000000E+00,00000000
water,wat_bare_rain,input,acc_etrani,4,real,0.000000000E+00,00000000
water,wat_bare_rain,input,cmc,0,real,-9.990000000E+02,C479C000
water,wat_bare_rain,input,ecan,0,real,-9.990000000E+02,C479C000
water,wat_bare_rain,input,etran,0,real,-9.990000000E+02,C479C000
water,wat_bare_rain,input,fwet,0,real,-9.990000000E+02,C479C000
water,wat_bare_rain,input,runsrf,0,real,1.150000000E+01,41380000
water,wat_bare_rain,input,runsub,0,real,7.500000000E+00,40F00000
water,wat_bare_rain,input,qin,0,real,-3.125000000E+01,C1FA0000
water,wat_bare_rain,input,qdis,0,real,1.775000000E+01,418E0000
water,wat_bare_rain,input,ponding1,0,real,-9.990000000E+02,C479C000
water,wat_bare_rain,input,ponding2,0,real,-9.990000000E+02,C479C000
water,wat_bare_rain,input,qsnbot,0,real,-9.990000000E+02,C479C000
water,wat_bare_rain,input,qsnsub,0,real,-3.500000000E+00,C0600000
water,wat_bare_rain,input,qsnfro,0,real,-6.250000000E+00,C0C80000
water,wat_bare_rain,input,qsubc,0,real,-9.990000000E+02,C479C000
water,wat_bare_rain,input,qfroc,0,real,-9.990000000E+02,C479C000
water,wat_bare_rain,input,qfrzc,0,real,-9.990000000E+02,C479C000
water,wat_bare_rain,input,qmeltc,0,real,-9.990000000E+02,C479C000
water,wat_bare_rain,input,qevac,0,real,-9.990000000E+02,C479C000
water,wat_bare_rain,input,qdewc,0,real,-9.990000000E+02,C479C000
water,wat_bare_rain,probe,qsnsub,0,real,0.000000000E+00,00000000
water,wat_bare_rain,probe,qseva,0,real,1.200000042E-05,3749539C
water,wat_bare_rain,probe,qsnfro,0,real,0.000000000E+00,00000000
water,wat_bare_rain,probe,qsdew,0,real,0.000000000E+00,00000000
water,wat_bare_rain,probe,ponding1_in,0,real,0.000000000E+00,00000000
water,wat_bare_rain,probe,ponding2_in,0,real,0.000000000E+00,00000000
water,wat_bare_rain,probe,isnow_post_snow,0,int,0,
water,wat_bare_rain,probe,sneqv_post_snow,0,real,0.000000000E+00,00000000
water,wat_bare_rain,probe,snoflow,0,real,0.000000000E+00,00000000
water,wat_bare_rain,probe,qsnbot,0,real,0.000000000E+00,00000000
water,wat_bare_rain,probe,ponding1,0,real,0.000000000E+00,00000000
water,wat_bare_rain,probe,ponding2,0,real,0.000000000E+00,00000000
water,wat_bare_rain,output,nsnow,0,int,3,
water,wat_bare_rain,output,nsoil,0,int,4,
water,wat_bare_rain,output,vegtyp,0,int,11,
water,wat_bare_rain,output,ist,0,int,1,
water,wat_bare_rain,output,iloc,0,int,3,
water,wat_bare_rain,output,jloc,0,int,5,
water,wat_bare_rain,output,imelt,-2,int,2,
water,wat_bare_rain,output,imelt,-1,int,2,
water,wat_bare_rain,output,imelt,0,int,2,
water,wat_bare_rain,output,dt,0,real,1.800000000E+03,44E10000
water,wat_bare_rain,output,uu,0,real,3.500000000E+00,40600000
water,wat_bare_rain,output,vv,0,real,-2.250000000E+00,C0100000
water,wat_bare_rain,output,fcev,0,real,4.500000000E+01,42340000
water,wat_bare_rain,output,fctr,0,real,3.000000000E+01,41F00000
water,wat_bare_rain,output,qprecc,0,real,1.499999962E-05,377BA882
water,wat_bare_rain,output,qprecl,0,real,4.500000068E-05,383CBE62
water,wat_bare_rain,output,elai,0,real,3.000000000E+00,40400000
water,wat_bare_rain,output,esai,0,real,5.000000000E-01,3F000000
water,wat_bare_rain,output,sfctmp,0,real,2.850000000E+02,438E8000
water,wat_bare_rain,output,qvap,0,real,1.200000042E-05,3749539C
water,wat_bare_rain,output,qdew,0,real,0.000000000E+00,00000000
water,wat_bare_rain,output,tg,0,real,2.850000000E+02,438E8000
water,wat_bare_rain,output,fveg,0,real,8.000000119E-01,3F4CCCCD
water,wat_bare_rain,output,bdfall,0,real,1.200000000E+02,42F00000
water,wat_bare_rain,output,fp,0,real,6.499999762E-01,3F266666
water,wat_bare_rain,output,rain,0,real,5.500000043E-05,3866AFCD
water,wat_bare_rain,output,snow,0,real,0.000000000E+00,00000000
water,wat_bare_rain,output,qsnow,0,real,0.000000000E+00,00000000
water,wat_bare_rain,output,qrain,0,real,3.999999899E-05,3827C5AC
water,wat_bare_rain,output,snowhin,0,real,0.000000000E+00,00000000
water,wat_bare_rain,output,latheav,0,real,2.510400000E+06,4A193900
water,wat_bare_rain,output,latheag,0,real,2.510400000E+06,4A193900
water,wat_bare_rain,output,dx,0,real,3.000000000E+03,453B8000
water,wat_bare_rain,output,tdfracmp,0,real,0.000000000E+00,00000000
water,wat_bare_rain,output,frozen_canopy,0,int,0,
water,wat_bare_rain,output,frozen_ground,0,int,0,
water,wat_bare_rain,output,croplu,0,int,0,
water,wat_bare_rain,output,irrfra,0,real,0.000000000E+00,00000000
water,wat_bare_rain,output,mifac,0,real,0.000000000E+00,00000000
water,wat_bare_rain,output,fifac,0,real,0.000000000E+00,00000000
water,wat_bare_rain,output,zsoil,1,real,-1.000000015E-01,BDCCCCCD
water,wat_bare_rain,output,zsoil,2,real,-4.000000060E-01,BECCCCCD
water,wat_bare_rain,output,zsoil,3,real,-1.000000000E+00,BF800000
water,wat_bare_rain,output,zsoil,4,real,-2.000000000E+00,C0000000
water,wat_bare_rain,output,btrani,1,real,5.500000119E-01,3F0CCCCD
water,wat_bare_rain,output,btrani,2,real,3.000000119E-01,3E99999A
water,wat_bare_rain,output,btrani,3,real,1.500000060E-01,3E19999A
water,wat_bare_rain,output,btrani,4,real,0.000000000E+00,00000000
water,wat_bare_rain,output,smceq,1,real,2.099999934E-01,3E570A3D
water,wat_bare_rain,output,smceq,2,real,2.300000042E-01,3E6B851F
water,wat_bare_rain,output,smceq,3,real,2.500000000E-01,3E800000
water,wat_bare_rain,output,smceq,4,real,2.700000107E-01,3E8A3D71
water,wat_bare_rain,output,ficeold,-2,real,0.000000000E+00,00000000
water,wat_bare_rain,output,ficeold,-1,real,0.000000000E+00,00000000
water,wat_bare_rain,output,ficeold,0,real,0.000000000E+00,00000000
water,wat_bare_rain,output,isnow,0,int,0,
water,wat_bare_rain,output,ponding,0,real,0.000000000E+00,00000000
water,wat_bare_rain,output,canliq,0,real,3.677342236E-01,3EBC47A9
