phase,run,case,column,k,first_step,cu_used,dt_s,rho_kg_m3,dz_m,temperature_k,qrcuten,qscuten,qicuten,qccuten,qv,qc,qr,qi,qs,qg,qh,qndrop_per_kg,qnr_per_kg,qni_per_kg,qns_per_kg,qng_per_kg,qnh_per_kg,qnn_per_kg,qvolg_m3_per_kg,qvolh_m3_per_kg,rainnc,rainncv,snownc,snowncv,graupelnc,graupelncv,hailnc,hailncv,sr,ice_surface_export
before,1,1,1,1,1,0, 5.0000000000000000E-001, 1.2599999904632568E+000, 2.5500000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.0500002950429916E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1000000834465027E-001,-9.0000000000000000E+000, 1.0999999940395355E-001,-9.0000000000000000E+000, 6.0000002384185791E-002,-9.0000000000000000E+000, 3.9999999105930328E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,2,2,1,1,0, 5.0000000000000000E-001, 1.2660000324249268E+000, 2.5700000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.0500002950429916E-003, 2.2162240043144266E-008, 4.4324480086288531E-008, 1.7729790968701309E-008, 3.5459581937402618E-008, 4.7279442583203490E-008, 3.1027134639316500E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1999999880790710E-001,-9.0000000000000000E+000, 1.2000000476837158E-001,-9.0000000000000000E+000, 7.0000000298023224E-002,-9.0000000000000000E+000, 4.9999997019767761E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,3,3,1,1,0, 5.0000000000000000E-001, 1.2719999551773071E+000, 2.5900000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.0500002950429916E-003, 1.4774825807251091E-008, 8.8648960172577063E-008, 2.2162240043144266E-008, 5.9099303229004363E-008, 1.0342377976257922E-007, 1.1819860645800873E-007, 2.4772851467132568E+000, 2.4565367698669434E+000, 4.1288089752197266E+000, 1.6376911163330078E+001, 1.0127065658569336E+001, 5.2238950729370117E+000, 4.5000000000000000E+008, 3.6545505510687804E-010, 1.8851452343593422E-010, 2.3000000417232513E-001,-9.0000000000000000E+000, 1.2999999523162842E-001,-9.0000000000000000E+000, 7.9999998211860657E-002,-9.0000000000000000E+000, 5.9999998658895493E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,4,4,1,1,0, 5.0000000000000000E-001, 1.2779999971389771E+000, 2.6100000000000000E+002, 2.6000000000000000E+002, 3.6000590625917539E-005, 2.8000295060337521E-005, 1.8000295312958770E-005, 2.2000294848112389E-005, 8.0500002950429916E-003, 2.0000738004455343E-005, 4.0002953028306365E-005, 3.0001034247106872E-005, 5.0002214265987277E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+007, 8.0000000000000000E+004, 1.5000000000000000E+005, 6.0000000000000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4000000953674316E-001,-9.0000000000000000E+000, 1.4000000059604645E-001,-9.0000000000000000E+000, 9.0000003576278687E-002,-9.0000000000000000E+000, 7.0000000298023224E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,5,5,1,1,0, 5.0000000000000000E-001, 1.2840000391006470E+000, 2.6300000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.0500002950429916E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5000000000000000E-001,-9.0000000000000000E+000, 1.5000000596046448E-001,-9.0000000000000000E+000, 9.9999994039535522E-002,-9.0000000000000000E+000, 7.9999998211860657E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,6,6,1,1,0, 5.0000000000000000E-001, 1.2899999618530273E+000, 2.6500000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.0500002950429916E-003, 0.0000000000000000E+000, 9.9999997473787516E-006, 3.0000001061125658E-006, 6.9999996412661858E-006, 7.9999999798019417E-006, 6.0000002122251317E-006, 0.0000000000000000E+000, 1.2223092041015625E+003, 4.0743640136718750E+002, 8.5561640625000000E+003, 1.8804757080078125E+003, 8.6280651855468750E+002, 4.5000000000000000E+008, 1.5384614471258828E-008, 7.0588237477409166E-009, 2.5999999046325684E-001,-9.0000000000000000E+000, 1.5999999642372131E-001,-9.0000000000000000E+000, 1.0999999940395355E-001,-9.0000000000000000E+000, 8.9999996125698090E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,1,1,2,1,0, 5.0000000000000000E-001, 1.2250000238418579E+000, 2.6800000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.1000002101063728E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1000000834465027E-001,-9.0000000000000000E+000, 1.0999999940395355E-001,-9.0000000000000000E+000, 6.0000002384185791E-002,-9.0000000000000000E+000, 3.9999999105930328E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,2,2,2,1,0, 5.0000000000000000E-001, 1.2310000658035278E+000, 2.7000000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.1000002101063728E-003, 2.3007150673493015E-007, 4.6014301346986031E-007, 1.8405718549274752E-007, 3.6811437098549504E-007, 4.9081916131399339E-007, 3.2210007816502184E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.1999999880790710E-001,-9.0000000000000000E+000, 1.2000000476837158E-001,-9.0000000000000000E+000, 7.0000000298023224E-002,-9.0000000000000000E+000, 4.9999997019767761E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,3,3,2,1,0, 5.0000000000000000E-001, 1.2369999885559082E+000, 2.7200000000000000E+002, 2.6000000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 8.1000002101063728E-003, 1.5338099501605029E-007, 9.2028602693972061E-007, 2.3007150673493015E-007, 6.1352398006420117E-007, 1.0736669082689332E-006, 1.2270479601284023E-006, 1.8747905731201172E+001, 1.6928968429565430E+001, 3.1246511459350586E+001, 1.1285977935791016E+002, 6.4543991088867188E+001, 3.5049621582031250E+001, 4.5000000000000000E+008, 3.5087153182900011E-009, 1.9053538746760523E-009, 2.3000000417232513E-001,-9.0000000000000000E+000, 1.2999999523162842E-001,-9.0000000000000000E+000, 7.9999998211860657E-002,-9.0000000000000000E+000, 5.9999998658895493E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
before,1,4,4,2,1,0, 5.0000000000000000E-001, 1.2430000305175781E+000, 2.7400000000000000E+002, 2.6000000000000000E+002, 3.6006134905619547E-005, 2.8003067200188525E-005, 1.8003067452809773E-005, 2.2003066987963393E-005, 8.1000002101063728E-003, 2.0007668354082853E-005, 4.0030674426816404E-005, 3.0010736736585386E-005, 5.0023005314869806E-005, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.0000000000000000E+007, 8.0000000000000000E+004, 1.5000000000000000E+005, 6.0000000000000000E+004, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.5000000000000000E+008, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4000000953674316E-001,-9.0000000000000000E+000, 1.4000000059604645E-001,-9.0000000000000000E+000, 9.0000003576278687E-002,-9.0000000000000000E+000, 7.0000000298023224E-002,-9.0000000000000000E+000,-9.0000000000000000E+000, 0.0000000000000000E+000
