schema_version,case,case_family,repetition,k,record,field,value
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,3,BIGG_ACTIVE,temperature_c,-30.0000000
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,3,BIGG_ACTIVE,qrain_kg_kg,0.499999998E-11
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,3,BIGG_ACTIVE,nrain_m3,0.516290072E-6
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,3,BIGG_ACTIVE,rain_diameter_m,0.149999990E-2
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,3,BIGG_ACTIVE,bigg_diameter_m,0.124713217E-3
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,3,BIGG_ACTIVE,qrfrz_total_rate_s-1,0.499977837E-11
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,3,BIGG_ACTIVE,qrfrz_snow_rate_s-1,0.311816545E-15
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,3,BIGG_ACTIVE,qrfrz_dense_rate_s-1,0.499946655E-11
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,3,BIGG_ACTIVE,crfrz_total_rate_m-3_s-1,0.478309744E-6
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,3,BIGG_ACTIVE,crfrz_snow_rate_m-3_s-1,0.533820526E-7
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,3,BIGG_ACTIVE,crfrz_dense_rate_m-3_s-1,0.424927691E-6
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,3,BIGG_ACTIVE,vrfrz_dense_rate_m3_m-3_s-1,0.608175247E-14
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,4,BIGG_ACTIVE,temperature_c,-40.0000000
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,4,BIGG_ACTIVE,qrain_kg_kg,0.999999994E-8
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,4,BIGG_ACTIVE,nrain_m3,0.929020229E-3
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,4,BIGG_ACTIVE,rain_diameter_m,0.149999990E-2
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,4,BIGG_ACTIVE,bigg_diameter_m,0.444901843E-5
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,4,BIGG_ACTIVE,qrfrz_total_rate_s-1,0.999998395E-8
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,4,BIGG_ACTIVE,qrfrz_snow_rate_s-1,0.105071507E-11
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,4,BIGG_ACTIVE,qrfrz_dense_rate_s-1,0.999893324E-8
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,4,BIGG_ACTIVE,crfrz_total_rate_m-3_s-1,0.926582143E-3
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,4,BIGG_ACTIVE,crfrz_snow_rate_m-3_s-1,0.161960779E-3
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,4,BIGG_ACTIVE,crfrz_dense_rate_m-3_s-1,0.764621363E-3
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,4,BIGG_ACTIVE,vrfrz_dense_rate_m3_m-3_s-1,0.109435993E-10
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,2,FROZEN_DEP_PRE,combined_rate_s-1,0.00000000
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,2,FROZEN_DEP_PRE,shared_limit_s-1,0.00000000
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,2,FROZEN_SUB_PRE,combined_rate_s-1,-0.417579620E-15
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,2,FROZEN_SUB_PRE,shared_limit_s-1,0.199999999E-11
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,3,FROZEN_DEP_PRE,combined_rate_s-1,0.00000000
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,3,FROZEN_DEP_PRE,shared_limit_s-1,0.00000000
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,3,FROZEN_SUB_PRE,combined_rate_s-1,-0.674517429E-15
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,3,FROZEN_SUB_PRE,shared_limit_s-1,0.199999999E-10
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,4,FROZEN_DEP_PRE,combined_rate_s-1,0.00000000
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,4,FROZEN_DEP_PRE,shared_limit_s-1,0.00000000
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,4,FROZEN_SUB_PRE,combined_rate_s-1,-0.524160413E-12
gpuwm.nssl2.fused-gs.diagnostics.v1,threshold_cleanup_dt1,zero_threshold,0,4,FROZEN_SUB_PRE,shared_limit_s-1,0.399999998E-7
