case,i,k,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,target_rain_diameter_m,theta_before_k,qv_before,qr_before,qnr_before_per_kg,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,theta_after_k,qv_after,qr_after,qnr_after_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg
0,1,1, 1.0000000000000000E+000, 1.3388134241104126E+000, 1.0000000000000000E+005, 1.0000000000000000E+000, 2.6000000000000000E+002, 1.0000000474974513E-003, 2.6000000000000000E+002, 1.3796490384265780E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6000000000000000E+002, 1.3796490384265780E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,1, 1.0000000000000000E+000, 1.3341237306594849E+000, 9.9650000000000000E+004, 9.9899810552597046E-001, 2.6000000000000000E+002, 1.0000000474974513E-003, 2.6026074218750000E+002, 1.3844947097823024E-003, 9.9999998245167004E-014, 1.9098580139598198E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6026074218750000E+002, 1.3844947097823024E-003, 9.9999998245167004E-014, 1.9098580139598198E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,3,1, 1.0000000000000000E+000, 1.2789182662963867E+000, 9.9300000000000000E+004, 9.9799370765686035E-001, 2.7000000000000000E+002, 5.0000002374872565E-004, 2.7054278564453125E+002, 3.0334256589412689E-003, 3.1622774258721620E-005, 4.8316009521484375E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7054278564453125E+002, 3.0334256589412689E-003, 3.1622774258721620E-005, 4.8316006469726562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,4,1, 1.0000000149011612E-001, 1.2835081815719604E+000, 9.8950000000000000E+004, 9.9698674678802490E-001, 2.6814898681640625E+002, 3.0000001424923539E-004, 2.6895944213867188E+002, 2.6476844213902950E-003, 3.1622774258721620E-005, 2.2368525390625000E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6895944213867188E+002, 2.6476844213902950E-003, 3.1622774258721620E-005, 2.2368525390625000E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,1,2, 5.0000000000000000E-001, 1.2846386432647705E+000, 9.8600000000000000E+004, 9.9597728252410889E-001, 2.6700000000000000E+002, 3.0000001424923539E-004, 2.6807839965820312E+002, 2.4341789539903402E-003, 6.3245548517443240E-005, 4.4737050781250000E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6807839965820312E+002, 2.4341789539903402E-003, 6.3245548517443240E-005, 4.4737050781250000E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2,2, 1.0000000000000000E+000, 1.2900068759918213E+000, 9.8250000000000000E+004, 9.9496525526046753E-001, 2.6500000000000000E+002, 5.0000002374872565E-004, 2.6634097290039062E+002, 2.0926322322338820E-003, 1.2649109703488648E-004, 1.9326403808593750E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6634097290039062E+002, 2.0926322322338820E-003, 1.2649109703488648E-004, 1.9326403808593750E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,3,2, 5.0000000000000000E+000, 1.3106749057769775E+000, 9.7900000000000000E+004, 9.9395060539245605E-001, 2.6000000000000000E+002, 1.0000000474974513E-003, 2.6158242797851562E+002, 1.4092432102188468E-003, 1.8973666010424495E-004, 3.6237008666992188E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6158242797851562E+002, 1.4092432102188468E-003, 1.8973666010424495E-004, 3.6237008666992188E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,4,2, 1.5000000000000000E+001, 1.3319829702377319E+000, 9.7550000000000000E+004, 9.9293339252471924E-001, 2.5500000000000000E+002, 2.0000000949949026E-003, 2.5681481933593750E+002, 9.3191920313984156E-004, 2.5298219406977296E-004, 6.0395011901855469E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5682690429687500E+002, 9.3191920313984156E-004, 2.1196225134190172E-004, 6.0225715637207031E+001, 4.1019942727871239E-005, 2.0891278982162476E-001, 4.5577710494626444E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,1,3, 3.0000000000000000E+001, 1.3540173768997192E+000, 9.7200000000000000E+004, 9.9191355705261230E-001, 2.5000000000000000E+002, 4.0000001899898052E-003, 2.5203808593750000E+002, 6.0438853688538074E-004, 3.1622778624296188E-004, 9.4367218017578125E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5212641906738281E+002, 6.0438853688538074E-004, 3.2760435715317726E-006, 1.6553855895996094E+001, 3.1295174267143011E-004, 1.3270851135253906E+001, 3.4772418189277232E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
9,2,3, 6.0000000000000000E+001, 1.4056694507598877E+000, 9.6850000000000000E+004, 9.9089109897613525E-001, 2.4000000000000000E+002, 6.0000000521540642E-003, 2.4220623779296875E+002, 2.3755821166560054E-004, 3.1622778624296188E-004, 2.7960660457611084E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4228724670410156E+002, 2.3755821166560054E-004, 4.8894435167312622E-009, 7.6777029037475586E-001, 3.1622289679944515E-004, 2.9056936264038086E+001, 3.5135880693815125E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
10,3,3, 3.0000000000000000E+002, 1.4304707050323486E+000, 9.6500000000000000E+004, 9.8986601829528809E-001, 2.3500000000000000E+002, 7.9999997979030013E-005, 2.3740586853027344E+002, 1.4403011300601065E-004, 6.3245548517443240E-005, 2.3591807812500000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3742120361328125E+002, 1.4403011300601065E-004, 6.3155312091112137E-009, 2.3558149337768555E+001, 6.3239232986234128E-005, 8.9465166015625000E+003, 7.0265819829273823E-008, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,4,3, 1.0000000000000000E+003, 1.4563190937042236E+000, 9.6150000000000000E+004, 9.8883825540542603E-001, 2.3000000000000000E+002, 3.0000000260770321E-003, 2.3259617614746094E+002, 8.5087827756069601E-005, 3.1622778624296188E-004, 2.2368528366088867E+001, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3266835021972656E+002, 8.5087827756069601E-005, 1.7462298274040222E-010, 2.7385935187339783E-002, 3.1622761161997914E-004, 2.9797319412231445E+001, 3.5136403653268644E-007, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
0,1,4, 1.0000000000000000E+000, 1.2183957099914551E+000, 9.1000000000000000E+004, 9.7339719533920288E-001, 2.5996301269531250E+002, 1.0000000474974513E-003, 2.6706774902343750E+002, 1.5116503927856684E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 2.2468918457031250E+003, 1.1764705050154589E-006, 2.6706774902343750E+002, 1.5116503927856684E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 2.2468918457031250E+003, 1.1764705050154589E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
