case,i,k,dt_s,pressure_pa,exner,rho_kg_m3,temperature_k,supersaturation_percent,vertical_velocity_m_s,qv_before,theta_before_k,qc_before,nc_before_per_kg,qnn_before_per_kg,qv_after,theta_after_k,qc_after,nc_after_per_kg,qnn_after_per_kg
0,1,1, 1.0000000000000000E+000, 1.0000000000000000E+005, 1.0000000000000000E+000, 1.2491074800491333E+000, 2.7800000000000000E+002,-2.0000000298023224E-001, 1.0000000000000000E+000, 5.3596617653965950E-003, 2.7800000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 5.3596617653965950E-003, 2.7800000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008
1,2,1, 5.0000000000000000E+000, 9.9789000000000000E+004, 9.9939632415771484E-001, 1.2456450462341309E+000, 2.7817001342773438E+002, 0.0000000000000000E+000, 1.0000000000000000E+000, 5.4460307583212852E-003, 2.7833804321289062E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 5.4460307583212852E-003, 2.7833804321289062E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008
2,3,1, 1.0000000000000000E+001, 9.9578000000000000E+004, 9.9879169464111328E-001, 1.2421780824661255E+000, 2.7833999633789062E+002, 3.8999998569488525E-001, 1.0000000000000000E+000, 5.5442075245082378E-003, 2.7867672729492188E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 5.5442075245082378E-003, 2.7867672729492188E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008
3,4,1, 3.0000000000000000E+001, 9.9367000000000000E+004, 9.9818617105484009E-001, 1.2387301921844482E+000, 2.7851000976562500E+002, 4.0099999308586121E-001, 5.0000000745058060E-002, 5.6227738969027996E-003, 2.7901608276367188E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 5.6227315217256546E-003, 2.7901617431640625E+002, 4.2317676474112886E-008, 1.2628245000000000E+006, 3.7413491200000000E+008
4,1,2, 6.0000000000000000E+001, 9.0500000000000000E+004, 9.7186505794525146E-001, 1.1159576177597046E+000, 2.8125000000000000E+002, 5.0000000000000000E-001, 2.0000000298023224E-001, 7.4621909298002720E-003, 2.8939202880859375E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 7.4588637799024582E-003, 2.8940048217773438E+002, 3.3273117878707126E-006, 5.6325784000000000E+007, 3.5183747200000000E+008
5,2,2, 1.0000000000000000E+000, 9.0289000000000000E+004, 9.7121673822402954E-001, 1.1125873327255249E+000, 2.8142001342773438E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 7.6042395085096359E-003, 2.8976025390625000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 7.5847976841032505E-003, 2.8980972290039062E+002, 1.9441611584625207E-005, 9.8392400000000000E+007, 3.0977084800000000E+008
6,3,2, 5.0000000000000000E+000, 9.0078000000000000E+004, 9.7056728601455688E-001, 1.1090410947799683E+000, 2.8158999633789062E+002, 5.0000000000000000E+000, 5.0000000000000000E+000, 8.0159325152635574E-003, 2.9012930297851562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 7.8646801412105560E-003, 2.9051431274414062E+002, 1.5125234494917095E-004, 4.0816326400000000E+008, 0.0000000000000000E+000
7,4,2, 1.0000000000000000E+001, 8.9867000000000000E+004, 9.6991682052612305E-001, 1.1049761772155762E+000, 2.8176000976562500E+002, 1.9000000000000000E+001, 2.0000000000000000E+001, 9.2116529121994972E-003, 2.9049914550781250E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 8.6246598511934280E-003, 2.9199401855468750E+002, 5.8699271176010370E-004, 4.0816323200000000E+008, 2.8959899902343750E+001
8,1,3, 3.0000000000000000E+001, 8.1000000000000000E+004, 9.4153439998626709E-001, 9.8563671112060547E-001, 2.8450000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.0422755964100361E-002, 3.0216635131835938E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816328000000000E+007, 1.0399608872830868E-002, 3.0222692871093750E+002, 2.3147465981310233E-005, 4.0816328000000000E+007, 0.0000000000000000E+000
9,2,3, 6.0000000000000000E+001, 8.0789000000000000E+004, 9.4083255529403687E-001, 9.8239570856094360E-001, 2.8467001342773438E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.0568304918706417E-002, 3.0257244873046875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0408164000000000E+007, 1.0568304918706417E-002, 3.0257244873046875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6817186000000000E+007
10,3,3, 1.0000000000000000E+000, 8.0578000000000000E+004, 9.4012939929962158E-001, 9.7915786504745483E-001, 2.8483999633789062E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.0715817101299763E-002, 3.0297955322265625E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0715817101299763E-002, 3.0297955322265625E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,4,3, 5.0000000000000000E+000, 8.0367000000000000E+004, 9.3942493200302124E-001, 9.7595494985580444E-001, 2.8501000976562500E+002, 5.0000000000000000E-001, 2.0000000000000000E+001, 1.0811506770551205E-002, 3.0338775634765625E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 1.0807865299284458E-002, 3.0339730834960938E+002, 3.6415372051123995E-006, 1.0866907200000000E+008, 1.2210803200000000E+008
0,1,4, 1.0000000000000000E+000, 7.1500000000000000E+004, 9.0854537487030029E-001, 8.5813212394714355E-001, 2.8775000000000000E+002,-2.0000000298023224E-001, 1.0000000000000000E+000, 1.4431845396757126E-002, 3.1671505737304688E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 1.4431845396757126E-002, 3.1671505737304688E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008
1,2,4, 5.0000000000000000E+000, 7.1289000000000000E+004, 9.0777802467346191E-001, 8.5497510433197021E-001, 2.8792001342773438E+002, 0.0000000000000000E+000, 1.0000000000000000E+000, 1.4663562178611755E-002, 3.1717007446289062E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 1.4663562178611755E-002, 3.1717007446289062E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008
2,3,4, 1.0000000000000000E+001, 7.1078000000000000E+004, 9.0700906515121460E-001, 8.5180640220642090E-001, 2.8808999633789062E+002, 3.8999998569488525E-001, 1.0000000000000000E+000, 1.4927132986485958E-002, 3.1762637329101562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 1.4927132986485958E-002, 3.1762637329101562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816329600000000E+008
3,4,4, 3.0000000000000000E+001, 7.0867000000000000E+004, 9.0623843669891357E-001, 8.4866887331008911E-001, 2.8826000976562500E+002, 4.0099999308586121E-001, 5.0000000745058060E-002, 1.5137972310185432E-002, 3.1808407592773438E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 1.5137896873056889E-002, 3.1808428955078125E+002, 7.5820274503257679E-008, 2.2625935000000000E+006, 3.7103174400000000E+008
4,1,5, 6.0000000000000000E+001, 1.0000000000000000E+005, 1.0000000000000000E+000, 1.2490792274475098E+000, 2.7800000000000000E+002, 5.0000000000000000E-001, 2.0000000298023224E-001, 5.3972541354596615E-003, 2.7800000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 5.3943018428981304E-003, 2.7800732421875000E+002, 2.9521797841880471E-006, 5.4879844000000000E+007, 3.5328342400000000E+008
5,2,5, 1.0000000000000000E+000, 9.9789000000000000E+004, 9.9939632415771484E-001, 1.2456037998199463E+000, 2.7817001342773438E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 5.5004912428557873E-003, 2.7833804321289062E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 5.4838717915117741E-003, 2.7837927246093750E+002, 1.6619454981992021E-005, 9.5861296000000000E+007, 3.1230198400000000E+008
6,3,5, 5.0000000000000000E+000, 9.9578000000000000E+004, 9.9879169464111328E-001, 1.2419863939285278E+000, 2.7833999633789062E+002, 5.0000000000000000E+000, 5.0000000000000000E+000, 5.7988017797470093E-003, 2.7867672729492188E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 5.6704287417232990E-003, 2.7899526977539062E+002, 1.2837312533520162E-004, 4.0816326400000000E+008, 0.0000000000000000E+000
7,4,5, 1.0000000000000000E+001, 9.9367000000000000E+004, 9.9818617105484009E-001, 1.2379491329193115E+000, 2.7851000976562500E+002, 1.9000000000000000E+001, 2.0000000000000000E+001, 6.6643776372075081E-003, 2.7901608276367188E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 6.1564394272863865E-003, 2.8027697753906250E+002, 5.0793803529813886E-004, 4.0816326400000000E+008, 0.0000000000000000E+000
8,1,6, 3.0000000000000000E+001, 9.0500000000000000E+004, 9.7186505794525146E-001, 1.1159324645996094E+000, 2.8125000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 7.4993162415921688E-003, 2.8939202880859375E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816328000000000E+007, 7.4793738313019276E-003, 2.8944274902343750E+002, 1.9942361177527346E-005, 4.0816328000000000E+007, 0.0000000000000000E+000
9,2,6, 6.0000000000000000E+001, 9.0289000000000000E+004, 9.7121673822402954E-001, 1.1125873327255249E+000, 2.8142001342773438E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 7.6042395085096359E-003, 2.8976025390625000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0408164000000000E+007, 7.6042395085096359E-003, 2.8976025390625000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6817174000000000E+007
10,3,6, 1.0000000000000000E+000, 9.0078000000000000E+004, 9.7056728601455688E-001, 1.1092460155487061E+000, 2.8158999633789062E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 7.7105639502406120E-003, 2.9012930297851562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 7.7105639502406120E-003, 2.9012930297851562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,4,6, 5.0000000000000000E+000, 8.9867000000000000E+004, 9.6991682052612305E-001, 1.1059336662292480E+000, 2.8176000976562500E+002, 5.0000000000000000E-001, 2.0000000000000000E+001, 7.7795884571969509E-003, 2.9049914550781250E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 7.7761528082191944E-003, 2.9050790405273438E+002, 3.4356223750364734E-006, 1.0252425600000000E+008, 1.3024358400000000E+008
0,1,7, 1.0000000000000000E+000, 8.1000000000000000E+004, 9.4153439998626709E-001, 9.8571044206619263E-001, 2.8450000000000000E+002,-2.0000000298023224E-001, 1.0000000000000000E+000, 1.0298921726644039E-002, 3.0216635131835938E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 1.0298921726644039E-002, 3.0216635131835938E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008
1,2,7, 5.0000000000000000E+000, 8.0789000000000000E+004, 9.4083255529403687E-001, 9.8245775699615479E-001, 2.8467001342773438E+002, 0.0000000000000000E+000, 1.0000000000000000E+000, 1.0463668033480644E-002, 3.0257244873046875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 1.0463668033480644E-002, 3.0257244873046875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008
2,3,7, 1.0000000000000000E+001, 8.0578000000000000E+004, 9.4012939929962158E-001, 9.7919607162475586E-001, 2.8483999633789062E+002, 3.8999998569488525E-001, 1.0000000000000000E+000, 1.0651098564267159E-002, 3.0297955322265625E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 1.0651098564267159E-002, 3.0297955322265625E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008
3,4,7, 3.0000000000000000E+001, 8.0367000000000000E+004, 9.3942493200302124E-001, 9.7596126794815063E-001, 2.8501000976562500E+002, 4.0099999308586121E-001, 5.0000000745058060E-002, 1.0800856165587902E-002, 3.0338775634765625E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 1.0800791904330254E-002, 3.0338793945312500E+002, 6.4213338646368356E-008, 1.9162248750000000E+006, 3.7221020800000000E+008
4,1,8, 6.0000000000000000E+001, 7.1500000000000000E+004, 9.0854537487030029E-001, 8.5807967185974121E-001, 2.8775000000000000E+002, 5.0000000000000000E-001, 2.0000000298023224E-001, 1.4533070847392082E-002, 3.1671505737304688E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 1.4528482221066952E-002, 3.1672744750976562E+002, 4.5890733417763840E-006, 5.9847036000000000E+007, 3.4831622400000000E+008
5,2,8, 1.0000000000000000E+000, 7.1289000000000000E+004, 9.0777802467346191E-001, 8.5489958524703979E-001, 2.8792001342773438E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.4810197986662388E-002, 3.1717007446289062E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 1.4783589169383049E-002, 3.1724203491210938E+002, 2.6608482585288584E-005, 1.0456008000000000E+008, 3.0360316800000000E+008
6,3,8, 5.0000000000000000E+000, 7.1078000000000000E+004, 9.0700906515121460E-001, 8.5145461559295654E-001, 2.8808999633789062E+002, 5.0000000000000000E+000, 5.0000000000000000E+000, 1.5612598508596420E-002, 3.1762637329101562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 1.5416249632835388E-002, 3.1815780639648438E+002, 1.9634861382655799E-004, 4.0816323200000000E+008, 0.0000000000000000E+000
7,4,8, 1.0000000000000000E+001, 7.0867000000000000E+004, 9.0623843669891357E-001, 8.4723752737045288E-001, 2.8826000976562500E+002, 1.9000000000000000E+001, 2.0000000000000000E+001, 1.7942240461707115E-002, 3.1808407592773438E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 1.7231402918696404E-002, 3.2000939941406250E+002, 7.1083789225667715E-004, 4.0816326400000000E+008, 0.0000000000000000E+000
8,1,9, 3.0000000000000000E+001, 1.0000000000000000E+005, 1.0000000000000000E+000, 1.2490588426589966E+000, 2.7800000000000000E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 5.4241060279309750E-003, 2.7800000000000000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816328000000000E+007, 5.4077282547950745E-003, 2.7804058837890625E+002, 1.6377782230847515E-005, 4.0816328000000000E+007, 0.0000000000000000E+000
9,2,9, 6.0000000000000000E+001, 9.9789000000000000E+004, 9.9939632415771484E-001, 1.2456037998199463E+000, 2.7817001342773438E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 5.5004912428557873E-003, 2.7833804321289062E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.0408164000000000E+007, 5.5004912428557873E-003, 2.7833804321289062E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.6817182000000000E+007
10,3,9, 1.0000000000000000E+000, 9.9578000000000000E+004, 9.9879169464111328E-001, 1.2421525716781616E+000, 2.7833999633789062E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 5.5778953246772289E-003, 2.7867672729492188E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.5778953246772289E-003, 2.7867672729492188E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
11,4,9, 5.0000000000000000E+000, 9.9367000000000000E+004, 9.9818617105484009E-001, 1.2387261390686035E+000, 2.7851000976562500E+002, 5.0000000000000000E-001, 2.0000000000000000E+001, 5.6283185258507729E-003, 2.7901608276367188E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 5.6258481927216053E-003, 2.7902221679687500E+002, 2.4703274448256707E-006, 7.3718368000000000E+007, 1.3742179200000000E+008
0,1,10, 1.0000000000000000E+000, 9.0500000000000000E+004, 9.7186505794525146E-001, 1.1159926652908325E+000, 2.8125000000000000E+002,-2.0000000298023224E-001, 1.0000000000000000E+000, 7.4102156795561314E-003, 2.8939202880859375E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 7.4102156795561314E-003, 2.8939202880859375E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008
1,2,10, 5.0000000000000000E+000, 9.0289000000000000E+004, 9.7121673822402954E-001, 1.1126381158828735E+000, 2.8142001342773438E+002, 0.0000000000000000E+000, 1.0000000000000000E+000, 7.5289499945938587E-003, 2.8976025390625000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 7.5289499945938587E-003, 2.8976025390625000E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008
2,3,10, 1.0000000000000000E+001, 9.0078000000000000E+004, 9.7056728601455688E-001, 1.1092773675918579E+000, 2.8158999633789062E+002, 3.8999998569488525E-001, 1.0000000000000000E+000, 7.6639954932034016E-003, 2.9012930297851562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008, 7.6639954932034016E-003, 2.9012930297851562E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.0816326400000000E+008
