case,i,k,dt_s,pressure_pa,exner,rho_kg_m3,temperature_k,supersaturation_percent,w_m_s,qv_before,theta_before_k,qc_before,nc_before_per_kg,qnn_before_per_kg,qv_after,theta_after_k,qc_after,nc_after_per_kg,qnn_after_per_kg
0,1,1, 1.0000000000000000E+000, 1.0000000000000000E+005, 1.0000000000000000E+000, 1.3283913135528564E+000, 2.6200000000000000E+002, 5.0999999046325684E-001, 5.0000000745058060E-002, 1.6300467541441321E-003, 2.6200000000000000E+002, 9.9999997473787516E-005, 1.0000000000000000E+008, 2.0408163200000000E+008, 1.6288978513330221E-003, 2.6200289916992188E+002, 1.0114889300893992E-004, 1.1290463200000000E+008, 1.9117697600000000E+008
1,2,1, 5.0000000000000000E+000, 9.9827000000000000E+004, 9.9950510263442993E-001, 1.3251066207885742E+000, 2.6219000244140625E+002, 7.5000000000000000E-001, 5.0000000000000000E-001, 1.6618599183857441E-003, 2.6231982421875000E+002, 4.9999998736893758E-005, 2.0000000000000000E+008, 4.0816328000000000E+007, 1.6559842042624950E-003, 2.6233462524414062E+002, 5.5875741963973269E-005, 2.4081633600000000E+008, 3.0186250209808350E+000
2,3,1, 1.0000000000000000E+001, 9.9654000000000000E+004, 9.9900954961776733E-001, 1.3218262195587158E+000, 2.6238000488281250E+002, 1.0000000000000000E+000, 1.0000000000000000E+000, 1.6944141825661063E-003, 2.6264013671875000E+002, 1.9999999494757503E-004, 3.0000000000000000E+008, 3.0612243200000000E+008, 1.6824924387037754E-003, 2.6267016601562500E+002, 2.1192178246565163E-004, 3.9455635200000000E+008, 2.1156608000000000E+008
3,4,1, 3.0000000000000000E+001, 9.9481000000000000E+004, 9.9851346015930176E-001, 1.3185399770736694E+000, 2.6257000732421875E+002, 2.0000000000000000E+000, 5.0000000000000000E+000, 1.7403534147888422E-003, 2.6296090698242188E+002, 5.0000002374872565E-004, 5.0000000000000000E+007, 4.0816326400000000E+008, 1.7155803507193923E-003, 2.6302334594726562E+002, 5.2477308781817555E-004, 2.1515488000000000E+008, 2.4300836800000000E+008
4,1,2, 6.0000000000000000E+001, 9.1000000000000000E+004, 9.7339719533920288E-001, 1.1739702224731445E+000, 2.6950000000000000E+002, 5.0000000000000000E+000, 2.0000000000000000E+001, 3.3478364348411560E-003, 2.7686538696289062E+002, 1.0000000474974513E-003, 8.0000000000000000E+008, 8.1632650000000000E+006, 3.2493653707206249E-003, 2.7711828613281250E+002, 1.0984712280333042E-003, 8.0816326400000000E+008, 5.1108622550964355E+000
5,2,2, 1.0000000000000000E+000, 9.0827000000000000E+004, 9.7286772727966309E-001, 1.1705288887023926E+000, 2.6969000244140625E+002, 2.0000000000000000E+001, 0.0000000000000000E+000, 3.8884107489138842E-003, 2.7721136474609375E+002, 3.0000001424923539E-004, 1.5000000000000000E+008, 3.2653062400000000E+008, 3.7604602985084057E-003, 2.7754006958007812E+002, 4.2795037734322250E-004, 1.5000000000000000E+008, 3.2653062400000000E+008
6,3,2, 5.0000000000000000E+000, 9.0654000000000000E+004, 9.7233760356903076E-001, 1.1667330265045166E+000, 2.6988000488281250E+002, 5.0000000000000000E+001,-2.0000000000000000E+000, 4.9395742826163769E-003, 2.7755792236328125E+002, 7.5000000651925802E-004, 4.0000000000000000E+008, 2.4489796800000000E+008, 3.9923232980072498E-003, 2.7999230957031250E+002, 1.6972508747130632E-003, 4.0000000000000000E+008, 2.4489798400000000E+008
7,4,2, 1.0000000000000000E+001, 9.0481000000000000E+004, 9.7180676460266113E-001, 1.1627107858657837E+000, 2.7007000732421875E+002, 8.9000000000000000E+001, 2.0000000000000000E+000, 6.3249776139855385E-003, 2.7790505981445312E+002, 2.5000001187436283E-004, 2.0000000000000000E+007, 1.2244898400000000E+008, 5.4024108685553074E-003, 2.8027688598632812E+002, 1.1725666699931026E-003, 1.4244896000000000E+008, 1.3760945320129395E+001
8,1,3, 3.0000000000000000E+001, 8.2000000000000000E+004, 9.4484305381774902E-001, 1.0274786949157715E+000, 2.7700000000000000E+002, 6.0000002384185791E-001, 1.0000000000000000E+001, 6.1420258134603500E-003, 2.9317037963867188E+002, 9.9999999747524271E-007, 9.9999999590400000E+011, 3.6734691200000000E+008, 6.1248820275068283E-003, 2.9321539306640625E+002, 1.8143715351470746E-005, 5.4143635200000000E+008, 1.4496926400000000E+008
9,2,3, 6.0000000000000000E+001, 8.1827000000000000E+004, 9.4427275657653809E-001, 1.0245141983032227E+000, 2.7719000244140625E+002, 1.5000000000000000E+000, 1.0000000149011612E-001, 6.2937214970588684E-003, 2.9354864501953125E+002, 1.0000000474974513E-003, 1.0000000000000000E+003, 4.8979593600000000E+008, 6.2615652568638325E-003, 2.9363314819335938E+002, 1.0321565205231309E-003, 5.3102640000000000E+007, 4.3779852800000000E+008
