case,i,k,dt_s,pressure_pa,exner,rho_kg_m3,temperature_k,supersaturation_percent,qv_before,theta_before_k,qc_before,nc_before_per_kg,qnn_before_per_kg,qv_after,theta_after_k,qc_after,nc_after_per_kg,qnn_after_per_kg
0,1,1, 1.0000000000000000E+000, 1.0000000000000000E+005, 1.0000000000000000E+000, 1.2983025312423706E+000, 2.6800000000000000E+002,-2.0000000000000000E+001, 2.0724646747112274E-003, 2.6800000000000000E+002, 1.0000000116860974E-007, 2.0000000000000000E+008, 8.1632656000000000E+007, 2.0725645590573549E-003, 2.6799975585937500E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.8166780800000000E+008
1,2,1, 5.0000000000000000E+000, 9.9789000000000000E+004, 9.9939632415771484E-001, 1.2944070100784302E+000, 2.6817001342773438E+002,-5.0000000000000000E+000, 2.4983175098896027E-003, 2.6833200073242188E+002, 4.9999998736893758E-005, 1.5000000000000000E+008, 2.0408163200000000E+008, 2.5483174249529839E-003, 2.6820675659179688E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 3.5415670400000000E+008
2,3,1, 1.0000000000000000E+001, 9.9578000000000000E+004, 9.9879169464111328E-001, 1.2907384634017944E+000, 2.6833999633789062E+002,-1.0000000000000000E+000, 2.6429006829857826E-003, 2.6866461181640625E+002, 5.0000002374872565E-004, 2.5000000000000000E+008, 3.0612243200000000E+008, 2.6606204919517040E-003, 2.6862020874023438E+002, 4.8228024388663471E-004, 2.4202609600000000E+008, 3.1409635200000000E+008
3,4,1, 3.0000000000000000E+001, 9.9367000000000000E+004, 9.9818617105484009E-001, 1.2871375083923340E+000, 2.6851000976562500E+002,-1.0000000149011612E-001, 2.7072383090853691E-003, 2.6899792480468750E+002, 9.9999997473787516E-005, 3.0000000000000000E+008, 3.6734691200000000E+008, 2.7090290095657110E-003, 2.6899343872070312E+002, 9.8209362477064133E-005, 2.9516528000000000E+008, 3.7218163200000000E+008
4,1,2, 6.0000000000000000E+001, 9.0500000000000000E+004, 9.7186505794525146E-001, 1.1464641094207764E+000, 2.7425000000000000E+002, 0.0000000000000000E+000, 4.5471820048987865E-003, 2.8218939208984375E+002, 9.9999997473787516E-005, 2.0000000000000000E+008, 4.0816326400000000E+008, 4.5471820048987865E-003, 2.8218939208984375E+002, 9.9999997473787516E-005, 2.0000000000000000E+008, 4.0816326400000000E+008
5,2,2, 1.0000000000000000E+000, 9.0289000000000000E+004, 9.7121673822402954E-001, 1.1430360078811646E+000, 2.7442001342773438E+002, 9.9999997764825821E-003, 4.6144393272697926E-003, 2.8255279541015625E+002, 9.9999997473787516E-005, 1.0000000000000000E+008, 3.2653062400000000E+008, 4.6144369989633560E-003, 2.8255279541015625E+002, 1.0000226029660553E-004, 1.0000000000000000E+008, 3.2653062400000000E+008
6,3,2, 5.0000000000000000E+000, 9.0078000000000000E+004, 9.7056728601455688E-001, 1.1396090984344482E+000, 2.7458999633789062E+002, 1.0000000149011612E-001, 4.6863900497555733E-003, 2.8291702270507812E+002, 1.9999999494757503E-004, 2.0000000000000000E+008, 2.4489796800000000E+008, 4.6843909658491611E-003, 2.8292214965820312E+002, 2.0199918071739376E-004, 2.0000000000000000E+008, 2.4489798400000000E+008
7,4,2, 1.0000000000000000E+001, 8.9867000000000000E+004, 9.6991682052612305E-001, 1.1361759901046753E+000, 2.7476000976562500E+002, 4.9000000953674316E-001, 4.7736526466906071E-003, 2.8328204345703125E+002, 3.0000001424923539E-004, 3.5000000000000000E+008, 1.6326531200000000E+008, 4.7619412653148174E-003, 2.8331207275390625E+002, 3.1171157024800777E-004, 3.5000000000000000E+008, 1.6326531200000000E+008
8,1,3, 3.0000000000000000E+001, 8.1000000000000000E+004, 9.4153439998626709E-001, 1.0012052059173584E+000, 2.8050000000000000E+002, 5.0000000000000000E-001, 7.9212896525859833E-003, 2.9791793823242188E+002, 4.9999998736893758E-005, 5.0000000000000000E+007, 1.0204081600000000E+008, 7.9066315665841103E-003, 2.9795645141601562E+002, 6.4658073824830353E-005, 5.0000000000000000E+007, 1.0204081600000000E+008
9,2,3, 6.0000000000000000E+001, 8.0789000000000000E+004, 9.4083255529403687E-001, 9.9794834852218628E-001, 2.8067001342773438E+002,-9.9999997764825821E-003, 7.9941134899854660E-003, 2.9832089233398438E+002, 9.9999999600419720E-013, 1.0000000000000000E+008, 4.0816328000000000E+007, 7.9941134899854660E-003, 2.9832089233398438E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.4523518400000000E+008
