case,i,k,rho_kg_m3,qc,nc_per_kg,qi,ni_per_kg,qs,ns_per_kg,raw_cloud_m,raw_ice_m,raw_snow_m,re_cloud_m,re_ice_m,re_snow_m
0,1,1, 1.2250000238418579E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5100000584643567E-006, 1.0009999641624745E-005, 2.4999999368446879E-005, 2.5100000584643567E-006, 1.0009999641624745E-005, 2.4999999368446879E-005
1,2,1, 1.2250000238418579E+000, 4.9999999122583502E-014, 1.0000000000000000E+008, 4.9999999122583502E-014, 1.0000000000000000E+008, 4.9999999122583502E-014, 1.0000000000000000E+008, 2.5100000584643567E-006, 1.0009999641624745E-005, 2.4999999368446879E-005, 2.5100000584643567E-006, 1.0009999641624745E-005, 2.4999999368446879E-005
2,3,1, 1.2250000238418579E+000, 7.9432838901993819E-006, 3.1622778125000000E+005, 5.5602986321900971E-006, 5.6921003906250000E+004, 1.2709254406217951E-005, 3.7947333984375000E+003, 2.0125118680880405E-005, 3.2779280445538461E-005, 2.8617671341635287E-004, 2.0125118680880405E-005, 3.2779280445538461E-005, 2.8617671341635287E-004
3,4,1, 1.2250000238418579E+000, 2.2387206627172418E-005, 5.6234135000000000E+006, 1.5671044820919633E-005, 1.0122145000000000E+006, 3.5819532058667392E-005, 6.7480960937500000E+004, 1.0891099009313621E-005, 1.7739146642270498E-005, 1.5487009659409523E-004, 1.0891099009313621E-005, 1.7739146642270498E-005, 1.5487009659409523E-004
4,1,2, 1.1507810354232788E+000, 6.3095765653997660E-005, 1.0000000000000000E+008, 4.4167034502606839E-005, 1.8000000000000000E+007, 1.0095322795677930E-004, 1.2000000000000000E+006, 5.8939322116202675E-006, 9.5998875622171909E-006, 8.3810999058187008E-005, 5.8939322116202675E-006, 1.0009999641624745E-005, 8.3810999058187008E-005
5,2,2, 1.1507810354232788E+000, 1.7782794020604342E-004, 1.7782794240000000E+009, 1.2447955668903887E-004, 3.2009030400000000E+008, 2.8452472179196775E-004, 2.1339354000000000E+007, 3.1896158816380193E-006, 5.1951660680060741E-006, 4.5355951442616060E-005, 3.1896158816380193E-006, 1.0009999641624745E-005, 4.5355951442616060E-005
6,3,2, 1.1507810354232788E+000, 5.0118699437007308E-004, 3.1622776832000000E+010, 3.5083090187981725E-004, 5.6921000960000000E+009, 8.0189917935058475E-004, 3.7947331200000000E+008, 1.7261226048503886E-006, 2.8114650376664940E-006, 2.4545252017560415E-005, 2.5100000584643567E-006, 1.0009999641624745E-005, 2.4999999368446879E-005
7,4,2, 1.1507810354232788E+000, 1.4125370653346181E-003, 5.6234134732800000E+011, 9.8877598065882921E-004, 1.0122144972800000E+011, 2.2600593511015177E-003, 6.7480960000000000E+009, 9.3412501200873521E-007, 1.5214791346807033E-006, 1.3283143744047265E-005, 2.5100000584643567E-006, 1.0009999641624745E-005, 2.4999999368446879E-005
0,1,3, 1.0810587406158447E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5100000584643567E-006, 1.0009999641624745E-005, 2.4999999368446879E-005, 2.5100000584643567E-006, 1.0009999641624745E-005, 2.4999999368446879E-005
1,2,3, 1.0810587406158447E+000, 4.9999999122583502E-014, 1.0000000000000000E+008, 4.9999999122583502E-014, 1.0000000000000000E+008, 4.9999999122583502E-014, 1.0000000000000000E+008, 2.5100000584643567E-006, 1.0009999641624745E-005, 2.4999999368446879E-005, 2.5100000584643567E-006, 1.0009999641624745E-005, 2.4999999368446879E-005
2,3,3, 1.0810587406158447E+000, 7.9432838901993819E-006, 3.1622778125000000E+005, 5.5602986321900971E-006, 5.6921003906250000E+004, 1.2709254406217951E-005, 3.7947333984375000E+003, 2.0125118680880405E-005, 3.2779280445538461E-005, 2.8617674252018332E-004, 2.0125118680880405E-005, 3.2779280445538461E-005, 2.8617674252018332E-004
3,4,3, 1.0810587406158447E+000, 2.2387206627172418E-005, 5.6234135000000000E+006, 1.5671044820919633E-005, 1.0122145000000000E+006, 3.5819532058667392E-005, 6.7480960937500000E+004, 1.0891099009313621E-005, 1.7739146642270498E-005, 1.5487009659409523E-004, 1.0891099009313621E-005, 1.7739146642270498E-005, 1.5487009659409523E-004
4,1,4, 1.0155607461929321E+000, 6.3095765653997660E-005, 1.0000000000000000E+008, 4.4167034502606839E-005, 1.8000000000000000E+007, 1.0095322795677930E-004, 1.2000000000000000E+006, 5.8939322116202675E-006, 9.5998875622171909E-006, 8.3810999058187008E-005, 5.8939322116202675E-006, 1.0009999641624745E-005, 8.3810999058187008E-005
5,2,4, 1.0155607461929321E+000, 1.7782794020604342E-004, 1.7782794240000000E+009, 1.2447955668903887E-004, 3.2009030400000000E+008, 2.8452472179196775E-004, 2.1339354000000000E+007, 3.1896161090116948E-006, 5.1951660680060741E-006, 4.5355951442616060E-005, 3.1896161090116948E-006, 1.0009999641624745E-005, 4.5355951442616060E-005
