case,repetition,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,rain_diameter_m,ice_diameter_m,snow_diameter_m,graupel_diameter_m,hail_diameter_m,graupel_density_kg_m3,hail_density_kg_m3,theta_before_k,qv_before,qc_before,qr_before,qnr_before_per_kg,qi_before,qni_before_per_kg,qs_before,qns_before_per_kg,qg_before,qng_before_per_kg,qvolg_before_m3_per_kg,qh_before,qnh_before_per_kg,qvolh_before_m3_per_kg,theta_after_k,qv_after,qc_after,qr_after,qnr_after_per_kg,qi_after,qni_after_per_kg,qs_after,qns_after_per_kg,qg_after,qng_after_per_kg,qvolg_after_m3_per_kg,qh_after,qnh_after_per_kg,qvolh_after_m3_per_kg
0,0, 1.0000000149011612E-001, 1.2200000286102295E+000, 9.6000000000000000E+004, 9.8839694261550903E-001, 2.3800000000000000E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4079394531250000E+002, 1.9649082969408482E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4079394531250000E+002, 1.9649082969408482E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
1,0, 1.0000000149011612E-001, 1.2215000391006470E+000, 9.5750000000000000E+004, 9.8766040802001953E-001, 2.3819999694824219E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4117601013183594E+002, 2.0099112589377910E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.9724456250000000E+005, 5.0000002374872565E-004, 3.5367762500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4117601013183594E+002, 2.0099112589377910E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999976211693138E-004, 6.9724375000000000E+005, 5.0000025657936931E-004, 3.5367762500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
2,0, 1.0000000149011612E-001, 1.2230000495910645E+000, 9.5500000000000000E+004, 9.8692244291305542E-001, 2.3839999389648438E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4155899047851562E+002, 2.0558775577228516E-004, 0.0000000000000000E+000, 5.0000002374872565E-004, 9.5492938232421875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 3.5367762500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4155899047851562E+002, 2.0558775577228516E-004, 0.0000000000000000E+000, 5.0000002374872565E-004, 9.5492938232421875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 3.5367762500000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
3,0, 1.0000000149011612E-001, 1.2245000600814819E+000, 9.5250000000000000E+004, 9.8618316650390625E-001, 2.3860000610351562E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4194288635253906E+002, 2.1028301853220910E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.9724456250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 1.1317684326171875E+003, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4194288635253906E+002, 2.1028301853220910E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999951473437250E-004, 6.9724293750000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000005131587386E-003, 1.1317684326171875E+003, 2.0000027234345907E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
4,0, 1.0000000149011612E-001, 1.2260000705718994E+000, 9.5000000000000000E+004, 9.8544239997863770E-001, 2.3880000305175781E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 2.9999999242136255E-005, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4232771301269531E+002, 2.1507788915187120E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 3.5367766400000000E+008, 1.0000000474974513E-003, 1.1317684326171875E+003, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4232771301269531E+002, 2.1507788915187120E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 3.5367766400000000E+008, 1.0000000474974513E-003, 1.1317684326171875E+003, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
5,0, 1.0000000149011612E-001, 1.2275000810623169E+000, 9.4750000000000000E+004, 9.8470032215118408E-001, 2.3900000000000000E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 7.9999997979030013E-005, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4271343994140625E+002, 2.1997565636411309E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 1.8650972000000000E+007, 1.0000000474974513E-003, 1.1317684326171875E+003, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4271343994140625E+002, 2.1997565636411309E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9999984912574291E-004, 1.8650968000000000E+007, 1.0000001639127731E-003, 1.1317684326171875E+003, 2.0000009044451872E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
6,0, 1.0000000149011612E-001, 1.2289999723434448E+000, 9.4500000000000000E+004, 9.8395681381225586E-001, 2.3919999694824219E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 1.9999999494757503E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 2.9000000000000000E+002, 9.0000000000000000E+002, 2.4310009765625000E+002, 2.2497739701066166E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 1.1936622500000000E+006, 1.0000000474974513E-003, 1.9513250732421875E+003, 3.4482759474485647E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4310009765625000E+002, 2.2497739701066166E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 1.1936622500000000E+006, 1.0000000474974513E-003, 1.9513250732421875E+003, 3.4482759474485647E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
7,0, 1.0000000149011612E-001, 1.2304999828338623E+000, 9.4250000000000000E+004, 9.8321193456649780E-001, 2.3939999389648438E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 1.9999999494757503E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 4.5000000000000000E+002, 9.0000000000000000E+002, 2.4348768615722656E+002, 2.3008546850178391E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 5.0000002374872565E-004, 1.1936622500000000E+006, 1.0000000474974513E-003, 1.2575205078125000E+003, 2.2222222924028756E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4348768615722656E+002, 2.3008546850178391E-004, 9.9999998245167004E-014, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 4.9999961629509926E-004, 1.1936613750000000E+006, 1.0000005131587386E-003, 1.2575205078125000E+003, 2.2222247935133055E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
8,0, 1.0000000149011612E-001, 1.2319999933242798E+000, 9.4000000000000000E+004, 9.8246556520462036E-001, 2.3960000610351562E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4387623596191406E+002, 2.3530234466306865E-004, 0.0000000000000000E+000, 5.0000002374872565E-004, 9.5492938232421875E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 1.1317684326171875E+003, 1.9999999949504854E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4387652587890625E+002, 2.3530234466306865E-004, 0.0000000000000000E+000, 4.9888977082446218E-004, 9.5437750244140625E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0011103004217148E-003, 1.1317684326171875E+003, 2.0022207536385395E-006, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
9,0, 1.0000000149011612E-001, 1.2335000038146973E+000, 9.3750000000000000E+004, 9.8171782493591309E-001, 2.3980000305175781E+002, 1.0000000474974513E-003, 9.9999997473787516E-005, 3.0000001424923539E-004, 1.5000000130385160E-003, 4.0000001899898052E-003, 5.0000000000000000E+002, 9.0000000000000000E+002, 2.4426571655273438E+002, 2.4062923330347985E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.9724456250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.3157272338867188E+001, 1.1111111462014378E-006, 2.4426571655273438E+002, 2.4062923330347985E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.9999999494757503E-004, 6.9724456250000000E+005, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 1.0000000474974513E-003, 3.3157272338867188E+001, 1.1111111462014378E-006
