case,i,k,dt_s,rho_kg_m3,pressure_pa,exner,temperature_k,rh_ice,target_ice_diameter_m,target_snow_diameter_m,theta_before_k,qv_before,qi_before,qni_before_per_kg,qs_before,qns_before_per_kg,theta_after_k,qv_after,qi_after,qni_after_per_kg,qs_after,qns_after_per_kg
0,1,1, 1.0000000149011612E-001, 1.2799999713897705E+000, 1.0000000000000000E+005, 1.0000000000000000E+000, 2.3800000000000000E+002, 1.0499999523162842E+000, 7.9999997979030013E-005, 5.0000002374872565E-004, 2.3800000000000000E+002, 1.4166707114782184E-004, 2.4999999936881068E-007, 1.6707600097656250E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.3800000000000000E+002, 1.4166705659590662E-004, 2.5000957748488872E-007, 1.6707600097656250E+003, 0.0000000000000000E+000, 0.0000000000000000E+000
1,2,1, 1.0000000000000000E+000, 1.2819999456405640E+000, 9.9650000000000000E+004, 9.9899810552597046E-001, 2.4500000000000000E+002, 1.0499999523162842E+000, 7.9999997979030013E-005, 1.9999999494757503E-004, 2.4524571228027344E+002, 2.9904540861025453E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999936881068E-007, 5.9683087158203125E+002, 2.4524571228027344E+002, 2.9904508846811950E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5033253336914640E-007, 5.9683087158203125E+002
2,3,1, 5.0000000000000000E+000, 1.2839999198913574E+000, 9.9300000000000000E+004, 9.9799370765686035E-001, 2.5000000000000000E+002, 1.2000000476837158E+000, 7.9999997979030013E-005, 5.0000002374872565E-004, 2.5050257873535156E+002, 5.6821171892806888E-004, 1.2499999968440534E-007, 8.3538000488281250E+002, 1.2499999968440534E-007, 1.9098581314086914E+001, 2.5050259399414062E+002, 5.6820700410753489E-004, 1.2841073271374626E-007, 8.3537994384765625E+002, 1.2632587242933369E-007, 1.9098581314086914E+001
3,4,1, 3.0000000000000000E+001, 1.2860000133514404E+000, 9.8950000000000000E+004, 9.9698674678802490E-001, 2.5500000000000000E+002, 1.5000000000000000E+000, 9.8999997135251760E-005, 2.0000000949949026E-003, 2.5577070617675781E+002, 1.1570235947147012E-003, 2.4999998515795596E-008, 8.9747886657714844E+001, 2.2499999374758772E-007, 5.3714758157730103E-001, 2.5577075195312500E+002, 1.1570049682632089E-003, 3.5994649039139404E-008, 8.9747886657714844E+001, 2.3268381710295216E-007, 5.3714758157730103E-001
4,1,2, 1.0000000000000000E+000, 1.2879999876022339E+000, 9.8600000000000000E+004, 9.9597728252410889E-001, 2.4000000000000000E+002, 9.4999998807907104E-001, 7.9999997979030013E-005, 5.0000002374872565E-004, 2.4096934509277344E+002, 1.6150357259903103E-004, 2.4999999936881068E-007, 1.6707600097656250E+003, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4096934509277344E+002, 1.6150370356626809E-004, 2.4987613755911298E-007, 1.6699323730468750E+003, 0.0000000000000000E+000, 0.0000000000000000E+000
5,2,2, 5.0000000000000000E+000, 1.2899999618530273E+000, 9.8250000000000000E+004, 9.9496525526046753E-001, 2.4800000000000000E+002, 8.9999997615814209E-001, 7.9999997979030013E-005, 2.5000001187436283E-004, 2.4925492858886719E+002, 3.5284311161376536E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4999999936881068E-007, 3.0557730102539062E+002, 2.4925491333007812E+002, 3.5284634213894606E-004, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.4676552357050241E-007, 3.0162374877929688E+002
6,3,2, 1.5000000000000000E+001, 1.2919999361038208E+000, 9.7900000000000000E+004, 9.9395060539245605E-001, 2.5800000000000000E+002, 7.5000000000000000E-001, 7.9999997979030013E-005, 1.0000000474974513E-003, 2.5957025146484375E+002, 7.7471951954066753E-004, 1.2499999968440534E-007, 8.3538000488281250E+002, 1.2499999968440534E-007, 2.3873226642608643E+000, 2.5957015991210938E+002, 7.7474967110902071E-004, 9.8496649059143238E-008, 6.5825701904296875E+002, 1.2133449445173028E-007, 2.3173165321350098E+000
7,4,2, 6.0000000000000000E+001, 1.2940000295639038E+000, 9.7550000000000000E+004, 9.9293339252471924E-001, 2.6500000000000000E+002, 2.0000000298023224E-001, 7.9999997979030013E-005, 4.9999998882412910E-003, 2.6688598632812500E+002, 3.8969074375927448E-004, 4.9999997031591192E-008, 3.3415197753906250E+002, 1.9999998812636477E-007, 3.0557731166481972E-002, 2.6688586425781250E+002, 3.8972907350398600E-004, 2.4999996739438757E-008, 1.6707595825195312E+002, 1.8668129087018315E-007, 2.8522787615656853E-002
8,1,3, 3.0000000000000000E+002, 1.2960000038146973E+000, 9.7200000000000000E+004, 9.9191355705261230E-001, 2.6800000000000000E+002, 9.9900001287460327E-001, 7.9999997979030013E-005, 4.9999998736893758E-005, 2.7018484497070312E+002, 2.5337033439427614E-003, 9.9999994063182385E-008, 6.6830395507812500E+002, 1.4999999109477358E-007, 2.2918302734375000E+004, 2.7018463134765625E+002, 2.5337818078696728E-003, 9.6570637708737195E-008, 6.4538543701171875E+002, 7.4999995547386789E-008, 1.1459151367187500E+004
9,2,3, 1.0000000000000000E+001, 1.2979999780654907E+000, 9.6850000000000000E+004, 9.9089109897613525E-001, 2.5000000000000000E+002, 1.0099999904632568E+000, 9.9999997473787516E-005, 5.0000002374872565E-004, 2.5229815673828125E+002, 4.9034296534955502E-004, 2.4999999936881068E-007, 8.7155572509765625E+002, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.5229815673828125E+002, 4.9034249968826771E-004, 2.5023973648785613E-007, 8.7071990966796875E+002, 2.3974866536491390E-010, 8.3581709861755371E-001
10,3,3, 6.0000000000000000E+001, 1.2999999523162842E+000, 9.6500000000000000E+004, 9.8986601829528809E-001, 2.6000000000000000E+002, 1.1000000238418579E+000, 1.5000000712461770E-004, 1.0000000474974513E-003, 2.6266180419921875E+002, 1.3854254502803087E-003, 1.9999998812636477E-007, 2.1372229003906250E+002, 4.9999997031591192E-008, 9.5492899417877197E-001, 2.6266189575195312E+002, 1.3853955315425992E-003, 2.1355154444790969E-007, 1.9924093627929688E+002, 6.6338962767531484E-008, 1.5436277389526367E+001
11,4,3, 1.0000000000000000E+003, 1.3019999265670776E+000, 9.6150000000000000E+004, 9.8883825540542603E-001, 2.7200000000000000E+002, 1.0010000467300415E+000, 1.9999999494757503E-004, 9.4999996945261955E-003, 2.7507025146484375E+002, 3.5969903692603111E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 2.7507025146484375E+002, 3.5969903692603111E-003, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000, 0.0000000000000000E+000
